ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
PMB.N0000,2016-01-04,20.1,20.1,20.0,20.0,110760.0,5537,11
PMB.N0000,2016-01-05,19.9,19.9,19.9,20.0,995.0,50,1
PMB.N0000,2016-01-06,19.8,20.0,19.6,20.0,330955.6,16561,11
PMB.N0000,2016-01-07,19.6,19.6,19.5,19.5,29845.5,1527,6
PMB.N0000,2016-01-10,20.0,20.5,19.8,19.8,116065.5,5811,6
PMB.N0000,2016-01-11,20.7,20.7,18.2,18.2,29800.0,1500,3
PMB.N0000,2016-01-12,18.7,18.7,18.5,18.6,13716.0,736,2
PMB.N0000,2016-01-17,18.4,18.4,18.2,18.3,11688.0,640,5
PMB.N0000,2016-01-18,17.2,18.0,17.1,17.7,395207.4,22388,18
PMB.N0000,2016-01-19,16.5,18.3,16.5,18.3,32431.0,1894,6
PMB.N0000,2016-01-20,17.3,19.0,17.2,18.8,698601.9,37307,28
PMB.N0000,2016-01-21,19.8,19.8,18.6,18.6,45192.8,2406,9
PMB.N0000,2016-01-24,16.6,19.6,16.6,19.4,11105.0,600,6
PMB.N0000,2016-01-25,16.9,18.0,16.9,16.9,5106.0,302,2
PMB.N0000,2016-01-26,16.9,16.9,16.9,16.9,33.8,2,1
PMB.N0000,2016-01-27,17.1,17.1,16.9,17.0,31150.0,1830,6
PMB.N0000,2016-01-28,18.0,18.4,18.0,18.4,3280.0,180,3
PMB.N0000,2016-01-31,17.1,17.1,17.1,17.1,15971.4,934,4
PMB.N0000,2016-02-01,17.1,18.0,17.1,18.0,44583.6,2484,3
PMB.N0000,2016-02-02,17.5,18.0,17.5,18.0,111150.0,6200,4
PMB.N0000,2016-02-04,17.8,18.9,17.6,17.6,20806.9,1181,4
PMB.N0000,2016-02-08,17.8,17.8,17.8,17.8,1780.0,100,1
PMB.N0000,2016-02-10,17.7,17.7,16.0,16.1,33830.0,2000,8
PMB.N0000,2016-02-11,16.0,16.0,16.0,16.0,9760.0,610,2
PMB.N0000,2016-02-15,15.1,15.1,15.1,15.1,6040.0,400,2
PMB.N0000,2016-02-17,15.3,16.5,15.3,16.3,1925.4,118,2
PMB.N0000,2016-02-18,16.3,16.3,16.3,16.3,3830.5,235,3
PMB.N0000,2016-02-22,15.2,15.2,15.0,15.1,12060.0,800,4
PMB.N0000,2016-02-24,14.2,14.2,14.2,14.2,1420.0,100,1
PMB.N0000,2016-02-25,13.7,13.7,13.7,13.7,4575.8,334,1
PMB.N0000,2016-02-28,14.0,14.0,14.0,14.0,21000.0,1500,3
PMB.N0000,2016-02-29,14.0,14.0,13.6,13.7,36920.0,2700,6
PMB.N0000,2016-03-01,13.3,13.3,12.7,12.7,491593.8,38644,28
PMB.N0000,2016-03-02,12.5,12.5,12.0,12.0,123314.3,10200,13
PMB.N0000,2016-03-03,12.1,12.1,12.1,12.1,72600.0,6000,3
PMB.N0000,2016-03-07,12.5,12.5,11.8,11.8,843933.3,71257,13
PMB.N0000,2016-03-08,11.7,11.7,11.4,11.5,54380.0,4720,8
PMB.N0000,2016-03-09,11.5,13.4,11.5,13.4,23180.0,1900,6
PMB.N0000,2016-03-10,13.5,13.5,13.5,13.5,56700.0,4200,6
PMB.N0000,2016-03-14,12.1,12.3,12.1,12.2,15870.0,1300,6
PMB.N0000,2016-03-15,13.9,13.9,12.2,12.6,1444.5,115,3
PMB.N0000,2016-03-16,12.5,12.5,12.5,12.5,2250.0,180,2
PMB.N0000,2016-03-17,13.0,13.5,13.0,13.5,34107.5,2545,4
PMB.N0000,2016-03-22,14.0,14.1,14.0,14.1,25220.0,1800,5
PMB.N0000,2016-03-23,14.1,14.1,14.1,14.1,2820.0,200,2
PMB.N0000,2016-03-27,14.0,14.0,14.0,14.1,42.0,3,1
PMB.N0000,2016-03-28,13.1,13.5,12.0,13.5,206188.0,16835,23
PMB.N0000,2016-03-29,11.9,13.4,11.9,12.0,3045.0,254,4
PMB.N0000,2016-03-31,13.5,13.5,13.5,13.5,1350.0,100,1
PMB.N0000,2016-04-03,13.5,15.6,13.5,14.8,338183.0,23105,48
PMB.N0000,2016-04-04,13.6,14.5,13.6,14.1,85550.0,6085,12
PMB.N0000,2016-04-06,14.1,16.6,14.1,16.0,1146155.0,72495,57
PMB.N0000,2016-04-10,15.1,15.1,15.1,16.0,302.0,20,1
PMB.N0000,2016-04-11,16.5,17.9,16.5,17.2,1183026.0,69243,32
PMB.N0000,2016-04-14,17.9,18.5,17.9,18.4,205250.0,11300,7
PMB.N0000,2016-04-17,16.5,18.3,16.2,17.5,52805.0,3030,12
PMB.N0000,2016-04-18,17.5,17.9,17.5,17.9,29830.0,1700,3
PMB.N0000,2016-04-19,17.0,17.1,17.0,17.1,233297.0,13721,5
PMB.N0000,2016-04-21,18.0,18.5,17.3,17.7,137426.3,7731,9
PMB.N0000,2016-04-24,18.0,18.6,18.0,18.4,9191.0,500,4
PMB.N0000,2016-04-25,17.1,18.4,17.1,18.0,10102.0,570,11
PMB.N0000,2016-04-26,17.3,19.8,17.3,19.5,3005874.7,154283,49
PMB.N0000,2016-04-27,19.4,19.8,18.7,19.2,235737.2,12201,11
PMB.N0000,2016-04-28,18.6,19.4,18.5,19.4,303698.0,15812,10
PMB.N0000,2016-05-02,17.5,21.5,17.5,20.2,899405.0,44051,67
PMB.N0000,2016-05-03,18.2,21.5,18.2,20.0,1280546.4,63840,44
PMB.N0000,2016-05-04,20.0,21.4,20.0,20.7,897117.2,44001,40
PMB.N0000,2016-05-05,20.2,21.3,20.2,21.0,523339.4,24612,20
PMB.N0000,2016-05-08,20.6,21.3,20.5,20.9,93385.0,4500,6
PMB.N0000,2016-05-09,20.1,20.2,20.0,20.0,591760.0,29550,17
PMB.N0000,2016-05-10,20.0,20.6,20.0,20.1,144600.9,7200,9
PMB.N0000,2016-05-11,20.0,20.0,20.0,20.0,14200.0,710,4
PMB.N0000,2016-05-12,20.0,20.0,20.0,20.0,46520.0,2326,7
PMB.N0000,2016-05-15,20.0,20.3,20.0,20.2,70750.0,3500,2
