ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
RCL.N0000,2016-01-03,111.0,111.0,110.9,111.0,1722236.0,15516,25
RCL.N0000,2016-01-04,111.1,112.0,111.1,111.9,275340.0,2475,6
RCL.N0000,2016-01-05,112.5,112.5,111.0,111.5,1059656.0,9503,19
RCL.N0000,2016-01-06,112.5,112.5,110.9,111.0,2841994.9,25572,24
RCL.N0000,2016-01-07,109.5,109.6,107.5,107.6,1264407.6,11604,30
RCL.N0000,2016-01-10,108.0,108.0,105.0,106.7,2903334.9,27403,50
RCL.N0000,2016-01-11,106.0,108.9,103.0,103.2,2366961.0,22543,41
RCL.N0000,2016-01-12,103.3,105.0,103.3,104.0,1016738.0,9768,20
RCL.N0000,2016-01-13,103.0,104.9,102.0,102.1,2609488.0,25520,30
RCL.N0000,2016-01-17,101.5,102.0,96.5,98.8,6354512.5,63810,41
RCL.N0000,2016-01-18,102.9,102.9,97.5,98.0,7238840.0,73811,17
RCL.N0000,2016-01-19,100.0,103.0,98.0,98.0,14367831.5,146546,34
RCL.N0000,2016-01-20,99.5,103.0,99.5,100.2,4629135.0,46184,40
RCL.N0000,2016-01-21,103.9,103.9,98.0,98.5,5113298.6,51726,29
RCL.N0000,2016-01-24,98.6,99.0,98.0,99.0,10218534.7,103990,18
RCL.N0000,2016-01-25,99.0,99.0,98.1,98.9,2000664.0,20226,12
RCL.N0000,2016-01-26,98.3,104.0,98.3,103.5,189496.5,1875,9
RCL.N0000,2016-01-27,103.5,103.5,100.1,101.1,120792.0,1180,7
RCL.N0000,2016-01-28,103.5,103.8,103.5,103.8,225361.2,2174,7
RCL.N0000,2016-01-31,103.8,105.0,103.8,105.0,4337899.1,41314,32
RCL.N0000,2016-02-01,104.0,104.0,103.0,104.0,1226800.0,11800,10
RCL.N0000,2016-02-02,103.1,104.0,102.7,103.3,9295283.7,90224,29
RCL.N0000,2016-02-04,104.0,105.9,104.0,105.0,4954235.0,47224,35
RCL.N0000,2016-02-07,105.0,110.0,105.0,108.1,2929344.4,26910,34
RCL.N0000,2016-02-08,108.1,108.1,105.2,106.5,24029680.4,222602,31
RCL.N0000,2016-02-09,106.9,107.0,106.9,107.0,123688.4,1156,4
RCL.N0000,2016-02-10,108.0,108.0,104.9,105.6,7002939.3,66628,46
RCL.N0000,2016-02-11,104.5,104.5,102.0,103.0,322474.5,3132,16
RCL.N0000,2016-02-14,102.3,102.3,101.2,101.2,1073430.5,10528,15
RCL.N0000,2016-02-15,101.9,104.5,101.2,101.3,340461.5,3340,21
RCL.N0000,2016-02-16,101.8,101.8,100.4,101.0,565968.8,5595,16
RCL.N0000,2016-02-17,100.3,102.0,100.3,100.5,1053497.9,10481,17
RCL.N0000,2016-02-18,101.8,104.0,101.8,104.0,61638.2,599,5
RCL.N0000,2016-02-22,103.8,103.8,102.0,102.5,2323020.9,22645,17
RCL.N0000,2016-02-23,103.0,103.0,102.9,103.0,643725.0,6250,6
RCL.N0000,2016-02-24,102.1,102.1,102.0,102.1,21439.5,210,10
RCL.N0000,2016-02-25,102.0,103.0,102.0,102.4,90045.3,880,16
RCL.N0000,2016-02-28,102.0,102.2,102.0,102.0,1525721.0,14955,17
RCL.N0000,2016-02-29,101.0,101.8,100.1,101.0,11857915.9,117407,45
RCL.N0000,2016-03-01,100.0,100.0,100.0,100.0,9686800.0,96868,33
RCL.N0000,2016-03-02,100.0,100.0,99.0,99.0,2219754.5,22373,19
RCL.N0000,2016-03-03,100.0,100.9,100.0,100.9,119545.8,1194,8
RCL.N0000,2016-03-07,100.0,100.0,97.0,97.8,3289662.5,33428,35
RCL.N0000,2016-03-08,97.0,97.1,95.1,97.0,2355770.0,24600,17
RCL.N0000,2016-03-09,95.0,99.8,95.0,98.4,4861184.5,50550,31
RCL.N0000,2016-03-10,99.8,101.9,99.8,101.8,192717.0,1925,7
RCL.N0000,2016-03-13,102.0,105.0,102.0,103.2,64895.4,629,12
RCL.N0000,2016-03-14,100.0,100.0,97.0,97.1,386704.5,3949,9
RCL.N0000,2016-03-15,97.1,100.0,97.0,97.5,1160991.0,11910,5
RCL.N0000,2016-03-16,100.0,104.0,100.0,101.3,17720.0,175,4
RCL.N0000,2016-03-17,100.6,102.0,100.6,102.0,335115.2,3306,12
RCL.N0000,2016-03-20,104.0,104.0,101.1,102.1,394822.3,3865,12
RCL.N0000,2016-03-22,100.1,103.5,100.1,102.3,544814.5,5337,11
RCL.N0000,2016-03-27,103.5,104.5,100.0,100.0,231224.5,2255,16
RCL.N0000,2016-03-28,99.0,100.1,99.0,100.0,211001.0,2120,3
RCL.N0000,2016-03-29,100.1,100.1,100.0,100.0,19032200.0,190321,17
RCL.N0000,2016-03-30,100.1,100.5,100.0,100.1,3919859.0,39188,15
RCL.N0000,2016-03-31,100.2,101.5,100.2,100.1,3317.0,33,4
RCL.N0000,2016-04-03,103.0,103.0,103.0,100.1,2060.0,20,2
RCL.N0000,2016-04-04,105.0,105.0,104.2,105.0,586341.5,5596,12
