ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
RFL.N0000,2016-01-03,27.8,28.5,27.5,28.1,65391.0,2328,16
RFL.N0000,2016-01-04,28.3,28.5,28.3,28.1,511.0,18,3
RFL.N0000,2016-01-06,29.0,29.0,27.0,27.0,29908.4,1107,9
RFL.N0000,2016-01-07,26.8,26.8,26.8,27.0,536.0,20,1
RFL.N0000,2016-01-10,28.9,28.9,28.9,27.0,289.0,10,1
RFL.N0000,2016-01-11,26.8,28.9,25.2,25.3,291320.0,11446,18
RFL.N0000,2016-01-12,28.3,28.3,28.3,28.3,2830.0,100,1
RFL.N0000,2016-01-18,25.1,25.1,25.0,25.0,25002.0,1000,4
RFL.N0000,2016-01-19,24.6,25.0,23.5,23.7,188794.3,7580,8
RFL.N0000,2016-01-20,25.0,26.5,25.0,25.5,40810.0,1620,5
RFL.N0000,2016-01-21,26.9,26.9,26.9,26.9,4035.0,150,2
RFL.N0000,2016-01-25,26.9,26.9,26.9,26.9,32280.0,1200,2
RFL.N0000,2016-01-27,27.8,27.8,24.7,24.7,19544.0,790,3
RFL.N0000,2016-01-28,27.8,27.8,27.8,24.7,278.0,10,1
RFL.N0000,2016-01-31,27.6,27.6,26.1,26.1,88156.5,3205,5
RFL.N0000,2016-02-01,26.0,27.0,26.0,26.0,15735.0,605,3
RFL.N0000,2016-02-02,27.5,27.5,26.1,26.2,3328.7,127,3
RFL.N0000,2016-02-04,27.4,27.4,27.4,26.2,739.8,27,1
RFL.N0000,2016-02-07,25.4,26.6,25.0,25.1,210148.0,8372,6
RFL.N0000,2016-02-08,26.7,27.0,26.7,26.9,93689.0,3481,5
RFL.N0000,2016-02-09,26.5,26.5,26.5,26.5,5300.0,200,4
RFL.N0000,2016-02-10,27.4,27.4,27.4,26.5,274.0,10,1
RFL.N0000,2016-02-15,26.2,26.2,23.0,23.4,257595.0,11000,13
RFL.N0000,2016-02-17,26.9,26.9,26.8,26.8,16090.0,600,3
RFL.N0000,2016-02-18,23.5,26.8,23.5,23.8,238680.0,10100,8
RFL.N0000,2016-02-23,23.0,25.5,23.0,23.1,11755.0,510,5
RFL.N0000,2016-02-25,26.3,26.3,24.9,24.9,24596.5,985,6
RFL.N0000,2016-02-28,24.6,26.0,24.6,26.0,24739.4,994,6
RFL.N0000,2016-03-01,26.0,26.0,26.0,26.0,2600.0,100,1
RFL.N0000,2016-03-02,26.0,26.2,26.0,26.1,13061.0,500,2
RFL.N0000,2016-03-03,23.8,25.0,23.0,24.9,372875.0,15575,21
RFL.N0000,2016-03-08,24.0,24.0,21.3,22.8,73130.0,3100,3
RFL.N0000,2016-03-09,23.0,23.0,21.2,23.0,23445.2,1021,4
RFL.N0000,2016-03-10,24.0,24.0,24.0,24.0,31200.0,1300,3
RFL.N0000,2016-03-14,20.7,20.7,20.7,20.7,2070.0,100,1
RFL.N0000,2016-03-15,25.5,25.5,25.5,25.5,2550.0,100,1
RFL.N0000,2016-03-16,25.9,25.9,25.9,25.9,25900.0,1000,2
RFL.N0000,2016-03-17,23.0,23.0,23.0,23.0,46000.0,2000,5
RFL.N0000,2016-03-20,23.0,23.0,23.0,23.0,46000.0,2000,1
