ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
RHL.N0000,2016-01-03,27.5,27.8,26.7,27.0,634850.6,23423,23
RHL.N0000,2016-01-04,27.0,27.0,27.0,27.0,27.0,1,1
RHL.N0000,2016-01-05,27.0,27.9,26.7,26.8,4093418.2,151370,35
RHL.N0000,2016-01-06,27.0,27.0,26.8,26.8,93881.0,3503,5
RHL.N0000,2016-01-07,27.0,27.0,27.0,27.0,13500.0,500,1
RHL.N0000,2016-01-10,26.7,26.9,26.0,26.2,173763.1,6537,14
RHL.N0000,2016-01-11,26.6,26.6,25.0,25.1,825555.8,32483,22
RHL.N0000,2016-01-12,25.1,25.7,25.1,25.6,83402.5,3265,8
RHL.N0000,2016-01-13,26.5,26.5,25.5,25.5,210869.5,8243,13
RHL.N0000,2016-01-17,26.5,26.5,24.0,24.0,864014.3,34596,15
RHL.N0000,2016-01-18,23.5,24.9,23.5,24.3,273700.0,11400,14
RHL.N0000,2016-01-19,24.9,24.9,23.7,23.7,231124.9,9751,4
RHL.N0000,2016-01-20,24.9,25.0,24.1,24.5,241676.1,9717,13
RHL.N0000,2016-01-21,25.0,25.0,24.5,24.5,580705.1,23540,23
RHL.N0000,2016-01-24,24.3,25.4,24.3,24.3,39514.3,1626,5
RHL.N0000,2016-01-25,25.5,25.5,24.3,24.3,49257.3,2027,6
RHL.N0000,2016-01-26,24.2,24.2,24.2,24.3,1452.0,60,1
RHL.N0000,2016-01-27,25.1,25.1,24.0,24.4,354245.8,14588,22
RHL.N0000,2016-01-28,24.3,25.1,24.3,24.5,42463.8,1738,8
RHL.N0000,2016-01-31,25.0,25.0,24.5,24.5,282145.0,11511,5
RHL.N0000,2016-02-01,25.0,26.0,25.0,25.8,132077.6,5184,8
RHL.N0000,2016-02-02,26.0,26.0,25.0,25.0,118455.9,4711,10
RHL.N0000,2016-02-04,25.0,25.4,25.0,25.3,300803.1,12008,19
RHL.N0000,2016-02-07,25.0,25.0,24.3,25.0,558840.0,22671,18
RHL.N0000,2016-02-08,24.5,24.5,24.4,24.4,220335.0,9030,4
RHL.N0000,2016-02-09,24.3,24.3,24.0,24.2,530595.1,22000,8
RHL.N0000,2016-02-10,24.2,24.2,24.0,24.0,540324.0,22501,13
RHL.N0000,2016-02-11,24.0,24.0,23.7,23.8,276682.6,11593,10
RHL.N0000,2016-02-14,23.7,24.0,23.7,23.9,28977.0,1210,4
RHL.N0000,2016-02-15,23.7,23.7,23.5,23.5,172945.4,7342,9
RHL.N0000,2016-02-16,23.5,23.5,23.1,23.1,6847170.5,291403,18
RHL.N0000,2016-02-17,24.0,24.0,21.6,22.0,431528.4,19300,14
RHL.N0000,2016-02-18,21.5,23.4,21.5,23.0,59997.4,2640,12
RHL.N0000,2016-02-22,23.1,23.1,22.5,22.5,11481.0,510,2
RHL.N0000,2016-02-23,22.3,23.0,22.2,22.4,105980.0,4750,6
RHL.N0000,2016-02-24,22.3,22.8,22.1,22.8,172985.0,7800,8
RHL.N0000,2016-02-25,22.3,22.3,22.1,22.1,91010.0,4100,4
RHL.N0000,2016-02-28,22.1,22.1,21.6,21.7,638662.6,29197,27
RHL.N0000,2016-02-29,22.0,22.0,21.3,21.5,477100.6,22211,6
RHL.N0000,2016-03-01,21.2,21.5,21.2,21.4,256255.9,12033,10
RHL.N0000,2016-03-02,21.3,21.4,21.3,21.4,8423.5,395,2
RHL.N0000,2016-03-03,21.4,21.4,21.3,21.4,315620.7,14766,11
RHL.N0000,2016-03-07,21.3,21.3,20.3,20.6,270664.9,12832,13
RHL.N0000,2016-03-08,20.0,21.6,18.5,20.0,1477613.6,74134,16
RHL.N0000,2016-03-09,20.0,21.6,20.0,20.2,610041.6,30492,5
RHL.N0000,2016-03-10,21.0,21.5,20.7,20.7,25121.7,1199,5
RHL.N0000,2016-03-13,23.8,23.8,20.6,22.9,114170.6,4801,4
RHL.N0000,2016-03-15,22.4,22.4,21.0,21.4,8560.0,400,3
RHL.N0000,2016-03-16,21.1,21.2,21.0,21.0,1052682.0,50100,28
RHL.N0000,2016-03-17,21.0,21.0,21.0,21.0,10500.0,500,1
RHL.N0000,2016-03-20,21.0,23.4,21.0,22.8,1739831.0,76587,49
RHL.N0000,2016-03-22,23.4,23.4,22.9,22.9,1122460.0,48888,11
RHL.N0000,2016-03-23,22.9,23.5,22.9,22.9,1033.5,45,2
RHL.N0000,2016-03-27,23.0,23.0,21.2,22.0,277321.2,12601,5
RHL.N0000,2016-03-28,22.0,22.0,21.0,21.1,31806.0,1508,6
RHL.N0000,2016-03-29,21.0,21.0,21.0,21.0,73500.0,3500,2
RHL.N0000,2016-03-30,21.1,21.5,21.1,21.1,24163.5,1145,4
RHL.N0000,2016-03-31,21.5,23.4,21.5,22.1,205283.6,9315,8
RHL.N0000,2016-04-03,23.4,23.4,21.4,21.4,228984.0,10410,5
RHL.N0000,2016-04-04,23.0,23.3,22.0,23.3,1845069.9,80392,25
RHL.N0000,2016-04-05,23.0,23.0,22.0,22.0,266133.1,12000,5
RHL.N0000,2016-04-06,23.0,23.9,23.0,23.1,3798045.9,164257,44
RHL.N0000,2016-04-07,24.8,24.8,24.0,24.2,276818.0,11427,11
RHL.N0000,2016-04-10,22.6,22.6,22.6,24.2,293.8,13,1
RHL.N0000,2016-04-11,24.2,25.0,24.0,25.0,4541509.4,182516,63
RHL.N0000,2016-04-14,25.3,26.5,25.3,25.6,1236703.0,48207,18
RHL.N0000,2016-04-17,25.5,25.5,24.5,25.1,1552615.8,62968,18
RHL.N0000,2016-04-18,25.0,25.1,24.5,24.6,630986.5,25619,10
RHL.N0000,2016-04-19,24.3,25.0,24.3,25.0,331940.0,13300,8
RHL.N0000,2016-04-21,24.4,26.9,24.4,26.1,4678912.2,179213,55
RHL.N0000,2016-04-24,25.4,26.1,25.3,25.3,306009.0,12094,10
RHL.N0000,2016-04-25,25.4,26.0,25.3,25.8,94007.5,3677,8
RHL.N0000,2016-04-26,26.1,27.0,25.6,27.0,7900258.4,292823,77
RHL.N0000,2016-04-27,27.4,27.4,26.1,26.5,551801.9,20754,16
RHL.N0000,2016-04-28,26.9,26.9,26.4,26.4,3155436.8,118991,16
RHL.N0000,2016-05-02,26.4,27.0,26.1,26.3,806416.0,30431,23
RHL.N0000,2016-05-03,26.4,27.0,26.1,26.4,5447545.3,205838,26
RHL.N0000,2016-05-04,26.1,26.1,26.1,26.1,13076.1,501,3
RHL.N0000,2016-05-05,26.0,26.8,26.0,26.6,544729.8,20513,14
RHL.N0000,2016-05-08,26.4,26.5,26.0,26.0,280549.5,10787,8
RHL.N0000,2016-05-09,26.5,26.5,26.0,26.3,8206231.5,309775,26
RHL.N0000,2016-05-10,26.5,26.5,26.1,26.1,707017.9,26786,14
RHL.N0000,2016-05-11,26.1,26.1,26.0,26.0,260134.5,10002,4
RHL.N0000,2016-05-12,26.1,26.3,26.1,26.2,236461.0,9010,3
RHL.N0000,2016-05-15,26.0,26.5,26.0,26.5,589251.0,22251,17
RHL.N0000,2016-05-16,26.2,26.2,25.7,25.8,215671.3,8334,11
RHL.N0000,2016-05-17,25.8,26.5,25.8,26.0,663034.2,25507,9
