ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
RHTL.N0000,2016-01-05,15.0,15.0,15.0,15.0,750.0,50,1
RHTL.N0000,2016-01-06,15.0,15.0,14.9,14.9,21700.0,1450,2
RHTL.N0000,2016-01-07,14.9,14.9,14.7,14.8,42930.0,2900,4
RHTL.N0000,2016-01-10,14.7,14.7,14.5,14.7,6595.0,450,2
RHTL.N0000,2016-01-11,14.5,14.5,14.2,14.5,104388.0,7204,9
RHTL.N0000,2016-01-12,14.5,15.8,14.3,15.3,448692.3,29051,23
RHTL.N0000,2016-01-13,14.5,14.5,14.5,14.5,14500.0,1000,2
RHTL.N0000,2016-01-17,15.4,15.4,15.4,15.4,84700.0,5500,3
RHTL.N0000,2016-01-18,14.3,14.3,14.2,14.2,42640.0,3000,5
RHTL.N0000,2016-01-19,14.3,14.3,14.2,14.2,96271.5,6755,15
RHTL.N0000,2016-01-20,14.5,15.0,14.5,14.7,40048.0,2744,7
RHTL.N0000,2016-01-21,15.3,15.5,15.3,15.4,19101.4,1238,2
RHTL.N0000,2016-01-24,15.0,15.0,14.5,14.5,8750.0,600,2
RHTL.N0000,2016-01-25,14.4,14.4,14.3,14.3,15090.0,1050,2
RHTL.N0000,2016-01-27,14.3,14.8,14.3,14.7,47786.2,3244,4
RHTL.N0000,2016-01-28,14.3,14.8,14.3,14.8,18715.0,1300,4
RHTL.N0000,2016-02-01,14.8,14.8,14.3,14.7,18819.0,1280,5
RHTL.N0000,2016-02-02,14.8,14.9,14.5,14.5,30224.2,2084,4
RHTL.N0000,2016-02-04,14.9,14.9,14.9,14.5,715.2,48,1
RHTL.N0000,2016-02-07,14.5,14.5,14.5,14.5,115014.0,7932,3
RHTL.N0000,2016-02-08,14.7,14.8,14.7,14.7,30140.0,2050,2
RHTL.N0000,2016-02-09,14.8,14.8,14.8,14.8,29600.0,2000,1
RHTL.N0000,2016-02-10,14.4,14.4,14.4,14.4,1440.0,100,1
RHTL.N0000,2016-02-11,14.4,14.5,14.4,14.5,47620.0,3300,6
RHTL.N0000,2016-02-14,14.4,14.4,14.1,14.1,748415.2,52708,7
RHTL.N0000,2016-02-15,14.2,14.2,14.1,14.2,14150.0,1000,2
RHTL.N0000,2016-02-16,14.2,14.2,14.0,14.1,53050.0,3750,4
RHTL.N0000,2016-02-18,14.3,14.3,14.3,14.1,457.6,32,1
RHTL.N0000,2016-02-24,14.1,14.1,13.7,13.9,18795.0,1350,6
RHTL.N0000,2016-02-29,14.1,14.1,14.1,13.9,592.2,42,2
RHTL.N0000,2016-03-02,13.6,13.6,13.6,13.9,136.0,10,1
RHTL.N0000,2016-03-03,13.3,13.3,13.3,13.3,13300.0,1000,3
RHTL.N0000,2016-03-07,13.3,13.3,12.0,12.1,27066.5,2205,9
RHTL.N0000,2016-03-08,13.0,13.0,12.7,12.8,30740.0,2400,7
RHTL.N0000,2016-03-09,12.1,12.9,12.1,12.3,177067.7,14499,14
RHTL.N0000,2016-03-10,12.5,13.0,12.5,13.0,271150.0,21000,11
RHTL.N0000,2016-03-13,13.0,13.0,12.5,12.9,296450.5,22984,7
RHTL.N0000,2016-03-14,12.7,12.7,12.7,12.7,50812.7,4001,8
RHTL.N0000,2016-03-16,12.9,14.0,12.9,14.0,392917.0,29799,15
RHTL.N0000,2016-03-17,13.9,14.0,13.4,14.0,90436.0,6499,9
RHTL.N0000,2016-03-20,13.8,13.8,13.2,13.6,2040.0,150,2
RHTL.N0000,2016-03-22,13.4,13.4,13.4,13.4,6713.4,501,5
RHTL.N0000,2016-03-23,13.3,13.3,13.0,13.2,5789.0,440,4
RHTL.N0000,2016-03-27,13.2,13.2,13.1,13.2,26300.0,2000,2
RHTL.N0000,2016-03-28,12.8,13.0,12.8,13.0,5512.8,426,4
