ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
SDB.N0000,2016-01-03,155.1,157.1,155.1,156.0,5195347.5,33302,25
SDB.N0000,2016-01-04,155.1,158.8,155.1,158.0,1136433.5,7234,43
SDB.N0000,2016-01-05,156.0,156.1,156.0,156.1,5722826.2,36682,43
SDB.N0000,2016-01-06,158.0,158.0,156.1,157.0,7529461.8,47907,72
SDB.N0000,2016-01-07,156.7,158.0,155.5,155.5,20199746.0,128710,105
SDB.N0000,2016-01-10,154.0,155.3,150.0,150.0,16514715.2,109182,65
SDB.N0000,2016-01-11,146.6,149.5,146.0,146.9,3388939.1,23171,58
SDB.N0000,2016-01-12,147.0,150.0,146.1,149.0,16212698.0,108991,37
SDB.N0000,2016-01-13,149.0,149.1,147.2,147.3,6720415.1,45441,65
SDB.N0000,2016-01-17,147.0,147.0,144.0,144.3,2023810.9,13962,64
SDB.N0000,2016-01-18,144.0,144.0,136.0,140.1,7629893.1,54566,97
SDB.N0000,2016-01-19,143.0,143.0,140.0,141.1,2171696.7,15445,38
SDB.N0000,2016-01-20,140.0,143.0,140.0,143.0,19443302.6,136238,41
SDB.N0000,2016-01-21,141.2,145.5,141.1,144.7,441994.1,3077,33
SDB.N0000,2016-01-24,142.0,144.5,141.8,142.1,1115208.5,7853,59
SDB.N0000,2016-01-25,142.0,143.0,141.8,141.9,859349.0,6052,45
SDB.N0000,2016-01-26,141.8,141.8,141.7,141.7,355109.6,2505,17
SDB.N0000,2016-01-27,141.7,144.0,140.0,141.8,294267.3,2082,19
SDB.N0000,2016-01-28,142.5,143.1,142.0,143.0,1201562.2,8407,23
SDB.N0000,2016-01-31,142.6,145.0,142.6,143.2,273846.8,1910,18
SDB.N0000,2016-02-01,143.3,145.5,143.3,144.9,885051.9,6135,46
SDB.N0000,2016-02-02,145.0,145.0,144.0,144.1,23191037.5,154798,29
SDB.N0000,2016-02-04,144.1,146.0,144.0,144.3,440411.7,3055,28
SDB.N0000,2016-02-07,144.5,146.7,144.1,145.4,1668070.0,11512,47
SDB.N0000,2016-02-08,146.8,146.8,145.0,145.0,796615.0,5479,28
SDB.N0000,2016-02-09,145.0,146.0,145.0,145.2,575838.5,3970,23
SDB.N0000,2016-02-10,144.5,144.5,144.1,144.3,738398.6,5113,19
SDB.N0000,2016-02-11,144.1,144.1,142.0,142.0,666243.4,4673,35
SDB.N0000,2016-02-14,140.3,141.0,140.3,140.9,372546.7,2646,25
SDB.N0000,2016-02-15,141.0,141.0,140.2,140.3,481774.2,3429,28
SDB.N0000,2016-02-16,141.0,141.0,140.0,140.2,685576.2,4880,42
SDB.N0000,2016-02-17,140.0,140.2,140.0,140.2,2305080.5,16458,69
SDB.N0000,2016-02-18,140.1,141.0,140.1,140.3,562810.8,4012,25
SDB.N0000,2016-02-22,140.5,141.0,140.4,140.9,735185.2,5226,36
SDB.N0000,2016-02-23,141.0,141.0,140.5,140.5,221740.0,1578,16
SDB.N0000,2016-02-24,140.6,140.6,140.4,140.6,766862.7,5458,27
SDB.N0000,2016-02-25,142.0,145.0,140.0,140.2,632575.8,4499,45
SDB.N0000,2016-02-28,142.0,142.0,136.0,136.1,1456666.5,10490,62
SDB.N0000,2016-02-29,138.0,138.0,130.2,130.7,2349200.5,17665,59
SDB.N0000,2016-03-01,130.2,130.5,130.0,130.1,1893162.2,14556,66
SDB.N0000,2016-03-02,130.0,130.1,129.1,129.6,2292257.6,17651,41
SDB.N0000,2016-03-03,129.0,129.5,129.0,129.0,548522.0,4248,29
SDB.N0000,2016-03-07,129.0,129.0,121.5,121.9,22829663.1,185589,58
SDB.N0000,2016-03-08,121.8,123.0,117.8,120.1,7925811.8,66546,61
SDB.N0000,2016-03-09,120.0,124.0,116.0,123.6,2119263.7,17354,45
SDB.N0000,2016-03-10,122.0,135.0,122.0,134.7,15331398.4,114441,94
SDB.N0000,2016-03-13,127.0,133.9,127.0,129.9,7649411.1,58881,50
SDB.N0000,2016-03-14,128.8,130.0,128.8,130.0,311250.2,2414,21
SDB.N0000,2016-03-15,130.1,142.0,130.0,140.9,39282738.3,280822,149
SDB.N0000,2016-03-16,140.0,145.0,140.0,143.7,1650224.9,11639,65
SDB.N0000,2016-03-17,141.1,145.0,139.0,145.0,8963453.1,62124,113
SDB.N0000,2016-03-20,139.0,145.0,139.0,140.2,755968.9,5332,38
SDB.N0000,2016-03-22,140.2,140.2,139.5,139.6,1458663.7,10420,49
SDB.N0000,2016-03-23,139.5,141.0,138.8,139.1,661348.2,4752,46
SDB.N0000,2016-03-27,139.6,139.6,132.1,134.2,757317.7,5584,63
SDB.N0000,2016-03-28,132.2,135.0,132.2,133.9,484763.2,3629,22
SDB.N0000,2016-03-29,136.0,140.0,134.1,139.2,1985098.3,14457,92
SDB.N0000,2016-03-30,139.0,139.9,136.1,136.7,1281077.7,9336,54
SDB.N0000,2016-03-31,136.1,136.5,135.5,136.1,582201.8,4279,35
SDB.N0000,2016-04-03,136.1,137.0,135.7,135.9,544369.3,4003,60
SDB.N0000,2016-04-04,136.1,138.8,135.6,137.3,2226491.6,16353,39
SDB.N0000,2016-04-05,136.1,136.1,135.0,135.4,433762.1,3200,38
SDB.N0000,2016-04-06,135.3,137.7,135.2,137.1,858975.2,6329,36
SDB.N0000,2016-04-07,138.8,138.8,135.8,137.6,385601.9,2812,21
SDB.N0000,2016-04-10,137.1,137.1,135.7,136.1,420538.9,3094,35
SDB.N0000,2016-04-11,136.1,143.8,136.0,142.0,1424160.3,10310,66
SDB.N0000,2016-04-14,143.0,144.7,141.0,143.9,1375615.7,9703,16
SDB.N0000,2016-04-17,144.0,144.0,140.0,141.1,1870190.4,13259,32
SDB.N0000,2016-04-18,141.0,143.5,141.0,142.2,1636678.8,11546,31
SDB.N0000,2016-04-19,143.5,144.7,141.0,142.3,651381.5,4588,52
SDB.N0000,2016-04-21,141.2,143.5,141.2,142.8,2747368.7,19298,62
SDB.N0000,2016-04-24,143.0,144.7,142.0,142.1,9278357.3,64920,96
SDB.N0000,2016-04-25,142.0,146.0,142.0,144.2,4130019.9,28407,54
SDB.N0000,2016-04-26,142.7,144.5,141.7,143.4,3161432.5,21898,27
SDB.N0000,2016-04-27,142.0,143.5,142.0,143.0,1748727.5,12260,85
