ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
SEYB.X0000,2016-01-03,73.0,73.0,72.5,72.5,450575.0,6210,12
SEYB.X0000,2016-01-04,72.5,73.0,72.0,72.0,2540761.0,35163,17
SEYB.X0000,2016-01-05,72.5,72.5,70.6,71.0,2012064.5,28244,28
SEYB.X0000,2016-01-06,71.0,71.0,70.0,70.0,6821725.2,97292,53
SEYB.X0000,2016-01-07,69.0,69.0,69.0,69.0,1627365.0,23585,23
SEYB.X0000,2016-01-10,69.1,69.1,68.5,68.7,1787783.5,25941,21
SEYB.X0000,2016-01-11,68.5,68.5,66.0,66.0,4091752.4,61348,44
SEYB.X0000,2016-01-12,66.0,67.3,66.0,67.0,10739986.5,160388,74
SEYB.X0000,2016-01-13,67.0,68.0,66.0,66.3,4599910.0,69016,44
SEYB.X0000,2016-01-17,65.2,67.0,62.0,62.8,5085095.9,79130,57
SEYB.X0000,2016-01-18,62.1,63.0,59.5,61.5,15543548.9,257608,138
SEYB.X0000,2016-01-19,62.0,63.8,60.2,63.0,4061366.2,64813,42
SEYB.X0000,2016-01-20,62.9,63.9,62.0,63.3,5503471.0,87239,50
SEYB.X0000,2016-01-21,63.4,66.0,63.4,64.8,7707403.4,118710,41
SEYB.X0000,2016-01-24,66.0,67.0,64.1,66.8,1308975.0,19625,8
SEYB.X0000,2016-01-25,62.6,65.0,62.3,65.0,226277.1,3562,11
SEYB.X0000,2016-01-26,64.8,65.0,64.0,64.5,95085.0,1471,6
SEYB.X0000,2016-01-27,64.0,65.0,63.8,63.9,170848.8,2671,13
SEYB.X0000,2016-01-28,64.5,66.8,64.5,65.9,451705.0,6864,6
SEYB.X0000,2016-01-31,65.8,66.7,65.0,65.0,645297.5,9925,6
SEYB.X0000,2016-02-01,65.0,68.5,65.0,68.3,6267079.1,92553,41
SEYB.X0000,2016-02-02,66.0,68.0,66.0,66.0,36368.0,551,5
SEYB.X0000,2016-02-04,67.8,67.8,67.8,66.0,1695.0,25,1
SEYB.X0000,2016-02-07,67.0,67.0,66.0,66.0,474362.0,7107,14
SEYB.X0000,2016-02-08,66.0,66.0,65.1,65.1,1560859.6,23845,21
SEYB.X0000,2016-02-10,65.5,65.5,64.0,65.0,1238818.0,19105,16
SEYB.X0000,2016-02-11,65.0,65.0,64.1,64.1,137931.4,2129,8
SEYB.X0000,2016-02-14,64.1,64.1,63.1,63.2,212343.5,3360,17
SEYB.X0000,2016-02-15,63.0,64.9,62.2,62.3,547150.4,8762,16
SEYB.X0000,2016-02-16,62.2,62.2,62.2,62.3,622.0,10,2
SEYB.X0000,2016-02-17,62.1,63.4,61.0,62.0,2147732.0,34630,22
SEYB.X0000,2016-02-18,62.5,62.5,61.5,62.0,457584.0,7352,15
SEYB.X0000,2016-02-22,62.0,62.0,61.0,61.1,3755224.5,61402,18
SEYB.X0000,2016-02-23,60.2,60.4,60.2,60.3,708944.4,11758,12
SEYB.X0000,2016-02-24,61.1,61.1,60.7,61.0,1181871.2,19374,14
SEYB.X0000,2016-02-25,63.0,63.4,62.9,63.0,1656094.9,26291,34
SEYB.X0000,2016-02-28,63.4,63.4,62.5,62.9,12743288.5,202465,55
SEYB.X0000,2016-02-29,62.5,62.5,62.0,62.0,281971.5,4540,19
SEYB.X0000,2016-03-01,62.0,62.0,60.6,60.6,1737784.2,28349,35
SEYB.X0000,2016-03-02,62.0,62.0,61.0,62.0,3154791.5,50967,16
SEYB.X0000,2016-03-03,62.0,62.0,61.0,61.5,734494.5,11876,14
SEYB.X0000,2016-03-07,61.9,62.0,60.0,60.0,4282791.5,70588,44
SEYB.X0000,2016-03-08,59.1,61.5,58.5,59.3,2159533.0,36434,43
SEYB.X0000,2016-03-09,60.5,62.0,59.2,61.6,492458.2,8007,25
SEYB.X0000,2016-03-10,62.5,64.0,62.0,63.6,1076677.0,16994,21
SEYB.X0000,2016-03-13,63.0,63.0,61.0,61.5,4102925.4,66983,31
SEYB.X0000,2016-03-14,63.0,63.0,60.5,62.0,106210863.0,1650937,52
SEYB.X0000,2016-03-15,61.2,64.0,61.1,62.9,7778597.3,125040,40
SEYB.X0000,2016-03-16,62.5,64.0,62.5,64.0,51050.0,800,5
SEYB.X0000,2016-03-17,63.0,64.0,62.8,63.0,334573.0,5311,8
SEYB.X0000,2016-03-20,63.0,65.0,63.0,63.4,613483.0,9679,23
SEYB.X0000,2016-03-22,65.0,65.0,63.1,63.4,1008044.0,15736,12
SEYB.X0000,2016-03-23,64.0,64.0,63.3,63.3,5883401.7,92797,25
SEYB.X0000,2016-03-27,63.5,63.5,63.0,63.2,8362180.2,132366,23
SEYB.X0000,2016-03-28,63.5,63.5,63.0,63.5,3921327.0,61765,15
SEYB.X0000,2016-03-29,63.5,63.5,63.0,63.4,7507081.2,119009,18
SEYB.X0000,2016-03-30,63.5,63.5,63.0,63.0,4659957.0,73702,46
SEYB.X0000,2016-03-31,62.0,62.0,61.0,61.9,1051562.0,17001,17
SEYB.X0000,2016-04-03,61.1,61.1,60.5,61.0,697903.0,11443,13
SEYB.X0000,2016-04-04,61.0,61.8,60.5,61.5,8966140.0,146147,86
SEYB.X0000,2016-04-05,61.9,63.0,61.9,62.2,6034049.1,97124,13
SEYB.X0000,2016-04-06,62.3,63.0,62.0,62.6,1737835.0,27799,21
