ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
SHL.N0000,2016-01-03,15.5,15.6,15.4,15.4,211991.2,13692,21
SHL.N0000,2016-01-04,15.5,15.7,15.5,15.6,692677.6,44345,15
SHL.N0000,2016-01-05,15.5,15.5,15.5,15.5,229865.0,14830,7
SHL.N0000,2016-01-06,15.5,15.5,15.4,15.4,1535870.0,99200,17
SHL.N0000,2016-01-07,15.3,15.3,15.3,15.3,644130.0,42100,8
SHL.N0000,2016-01-10,15.2,15.2,14.7,14.7,2254189.7,151437,34
SHL.N0000,2016-01-11,14.5,14.9,14.5,14.7,757924.9,51301,18
SHL.N0000,2016-01-12,14.8,15.1,14.8,15.0,389018.2,26022,25
SHL.N0000,2016-01-13,15.0,15.0,14.7,14.9,4042810.0,272500,40
SHL.N0000,2016-01-17,14.7,14.7,14.4,14.5,894490.0,61300,41
SHL.N0000,2016-01-18,14.3,14.3,14.0,14.0,4475109.6,319050,53
SHL.N0000,2016-01-19,14.0,14.3,13.9,14.0,3487298.3,249087,28
SHL.N0000,2016-01-20,14.0,14.5,13.9,14.3,2439426.4,172980,45
SHL.N0000,2016-01-21,14.1,14.5,14.1,14.5,999550.0,69000,14
SHL.N0000,2016-01-24,14.3,14.3,14.2,14.3,1192735.6,83492,14
SHL.N0000,2016-01-25,14.3,14.4,14.3,14.4,9329.4,651,4
SHL.N0000,2016-01-26,14.5,14.5,14.2,14.3,226306.0,15820,19
SHL.N0000,2016-01-27,14.4,14.4,14.2,14.2,235760.0,16500,14
SHL.N0000,2016-01-28,14.6,14.6,14.3,14.3,38881.2,2708,6
SHL.N0000,2016-01-31,14.3,14.6,14.2,14.3,1427883.3,99929,26
SHL.N0000,2016-02-01,14.5,15.0,14.5,14.9,2572215.5,173805,28
SHL.N0000,2016-02-02,15.0,15.0,14.6,14.6,1518090.6,103961,15
SHL.N0000,2016-02-04,14.7,15.0,14.6,15.0,628908.0,42120,22
SHL.N0000,2016-02-07,14.7,14.8,14.7,14.7,447955.0,30450,20
SHL.N0000,2016-02-08,14.7,14.9,14.6,14.9,401757.0,27330,11
SHL.N0000,2016-02-09,14.7,14.9,14.7,14.9,2136722.6,143874,27
SHL.N0000,2016-02-10,14.9,14.9,14.1,14.5,11703823.8,806085,35
SHL.N0000,2016-02-11,14.5,14.5,14.2,14.3,730950.0,51100,17
SHL.N0000,2016-02-14,14.2,14.3,14.1,14.3,1509398.0,106460,19
SHL.N0000,2016-02-15,14.7,14.7,14.1,14.2,1925451.8,135254,29
SHL.N0000,2016-02-16,14.2,14.3,14.0,14.0,3398908.0,241717,37
SHL.N0000,2016-02-17,14.0,14.3,14.0,14.1,253600.0,18050,7
SHL.N0000,2016-02-18,14.4,14.4,14.1,14.1,86909.6,6045,7
SHL.N0000,2016-02-22,14.1,14.5,14.0,14.0,356375.0,25291,21
