ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
SHOT.N0000,2016-01-04,34.0,34.0,30.5,31.9,6308.0,202,3
SHOT.N0000,2016-01-05,31.0,31.0,31.0,31.9,1550.0,50,1
SHOT.N0000,2016-01-10,30.7,30.7,30.7,31.9,1535.0,50,1
SHOT.N0000,2016-01-13,31.9,31.9,31.9,31.9,638000.0,20000,2
SHOT.N0000,2016-01-19,31.0,31.0,31.0,31.9,1240.0,40,1
SHOT.N0000,2016-01-20,31.0,31.0,29.0,29.7,36860.7,1242,18
SHOT.N0000,2016-01-21,30.9,32.0,30.9,32.0,2401011.6,76047,13
SHOT.N0000,2016-01-24,30.0,30.0,30.0,32.0,210.0,7,1
SHOT.N0000,2016-01-25,32.9,33.0,32.9,33.0,497072.7,15063,2
SHOT.N0000,2016-01-26,32.9,32.9,32.5,32.8,656522.0,20025,6
SHOT.N0000,2016-01-28,30.6,31.5,30.0,30.0,3113300.0,103753,35
SHOT.N0000,2016-01-31,30.1,30.1,29.6,30.0,69591.0,2320,13
SHOT.N0000,2016-02-01,30.0,31.4,29.9,30.0,555690.0,18525,27
SHOT.N0000,2016-02-02,29.9,30.0,29.9,29.9,119662.5,4001,3
SHOT.N0000,2016-02-04,29.9,29.9,29.9,29.9,29.9,1,1
SHOT.N0000,2016-02-07,29.6,29.6,29.6,29.6,136160.0,4600,1
SHOT.N0000,2016-02-09,29.5,29.5,29.0,29.0,28974.0,999,4
SHOT.N0000,2016-02-11,29.0,29.9,29.0,29.6,52749.2,1783,3
SHOT.N0000,2016-02-14,28.6,28.6,28.6,28.6,5720.0,200,1
SHOT.N0000,2016-02-16,28.7,28.7,28.7,28.6,143.5,5,1
SHOT.N0000,2016-02-17,28.6,28.6,28.0,28.0,1455512.0,51959,15
SHOT.N0000,2016-02-23,28.9,28.9,28.9,28.9,5780.0,200,1
SHOT.N0000,2016-02-24,28.0,28.0,28.0,28.9,560.0,20,1
SHOT.N0000,2016-02-25,26.1,26.1,26.1,26.1,2610.0,100,1
SHOT.N0000,2016-02-28,27.0,27.0,26.6,26.7,16000.0,600,3
SHOT.N0000,2016-03-01,26.1,26.1,26.1,26.1,5220.0,200,1
SHOT.N0000,2016-03-09,27.5,27.5,27.5,27.5,5060.0,184,2
SHOT.N0000,2016-03-22,27.5,27.5,27.5,27.5,11000.0,400,3
SHOT.N0000,2016-03-23,27.5,27.5,27.5,27.5,275.0,10,1
SHOT.N0000,2016-03-27,27.5,27.5,27.3,27.3,82300.0,3000,5
SHOT.N0000,2016-03-28,27.5,27.5,27.5,27.5,27500.0,1000,1
SHOT.N0000,2016-03-31,27.5,27.5,27.5,27.5,2750.0,100,1
SHOT.N0000,2016-04-06,29.7,31.0,29.7,30.2,608665.0,20151,9
SHOT.N0000,2016-04-10,30.0,30.0,30.0,30.0,3000.0,100,1
SHOT.N0000,2016-04-14,30.0,31.9,30.0,31.1,208019.0,6810,7
SHOT.N0000,2016-04-17,30.5,30.5,30.5,30.5,4483.5,147,2
SHOT.N0000,2016-04-25,28.0,28.0,28.0,30.5,28.0,1,1
SHOT.N0000,2016-04-26,30.0,31.8,30.0,31.7,28391.9,901,6
SHOT.N0000,2016-04-27,31.0,31.0,30.6,30.7,3221.0,105,3
SHOT.N0000,2016-05-05,31.9,31.9,30.8,30.9,31797.0,1030,3
SHOT.N0000,2016-05-08,32.3,32.3,30.9,30.9,6244.6,202,2
SHOT.N0000,2016-05-09,31.7,31.7,31.7,31.7,3170.0,100,1
SHOT.N0000,2016-05-10,31.1,31.1,31.1,31.7,622.0,20,1
SHOT.N0000,2016-05-11,31.1,31.1,31.1,31.1,6220.0,200,1
SHOT.N0000,2016-05-12,31.9,32.0,31.9,32.0,121560.0,3800,6
SHOT.N0000,2016-05-15,32.0,32.0,31.9,32.0,55357.0,1730,4
SHOT.N0000,2016-05-18,32.3,32.3,31.3,31.3,104310.0,3300,10
SHOT.N0000,2016-05-19,31.8,33.0,31.8,31.8,270730.0,8510,5
SHOT.N0000,2016-05-23,31.8,31.8,31.8,31.8,31.8,1,1
SHOT.N0000,2016-05-24,32.0,32.0,32.0,31.8,32.0,1,1
SHOT.N0000,2016-05-26,32.0,32.0,32.0,31.8,64.0,2,1
SHOT.N0000,2016-05-31,31.8,31.8,30.8,31.8,1203.4,38,2
SHOT.N0000,2016-06-01,32.2,32.2,32.2,32.2,3220.0,100,2
SHOT.N0000,2016-06-02,30.1,32.7,30.1,30.5,19072.5,625,4
SHOT.N0000,2016-06-05,30.5,30.5,30.5,30.5,3050.0,100,1
SHOT.N0000,2016-06-06,30.5,30.5,30.0,30.3,18241.5,603,3
SHOT.N0000,2016-06-12,30.2,30.2,30.2,30.2,3050.2,101,2
SHOT.N0000,2016-06-13,30.0,30.0,30.0,30.0,3000.0,100,1
SHOT.N0000,2016-06-14,29.8,29.9,28.3,29.9,84142.8,2816,3
SHOT.N0000,2016-06-15,28.5,28.5,28.5,28.5,99009.0,3474,4
SHOT.N0000,2016-06-19,28.5,28.5,28.2,28.3,5655.0,200,3
SHOT.N0000,2016-06-23,27.0,27.0,27.0,27.0,40500.0,1500,6
SHOT.N0000,2016-06-29,27.5,27.5,27.5,27.5,17187.5,625,2
SHOT.N0000,2016-06-30,28.0,28.0,28.0,28.0,285600.0,10200,11
SHOT.N0000,2016-07-03,29.5,29.5,28.0,28.0,63779.0,2277,5
SHOT.N0000,2016-07-04,27.5,27.5,27.5,27.5,41250.0,1500,2
SHOT.N0000,2016-07-06,29.2,29.2,29.1,29.2,58429.1,2001,2
SHOT.N0000,2016-07-07,29.0,29.0,29.0,29.2,580.0,20,1
SHOT.N0000,2016-07-10,29.0,29.6,28.0,28.1,20156.0,710,5
SHOT.N0000,2016-07-11,28.0,28.0,28.0,28.0,116340.0,4155,10
SHOT.N0000,2016-07-12,29.4,29.4,29.0,29.0,5829.4,201,4
SHOT.N0000,2016-07-13,29.5,29.5,29.5,29.0,29.5,1,1
SHOT.N0000,2016-07-17,28.8,29.5,28.8,29.0,1936.6,67,2
SHOT.N0000,2016-07-19,29.8,29.8,29.8,29.0,59.6,2,2
SHOT.N0000,2016-07-20,29.8,29.8,29.8,29.8,2980.0,100,1
SHOT.N0000,2016-07-26,29.4,29.4,29.4,29.8,29.4,1,1
SHOT.N0000,2016-08-08,28.9,29.0,28.9,29.0,26474.5,913,8
SHOT.N0000,2016-08-09,29.3,29.3,29.3,29.0,849.7,29,2
SHOT.N0000,2016-08-10,29.0,29.0,28.3,28.3,14150.7,500,3
SHOT.N0000,2016-08-11,28.3,29.2,28.3,28.3,57.5,2,2
SHOT.N0000,2016-08-15,28.4,28.4,28.0,28.2,28170.0,1000,4
SHOT.N0000,2016-08-18,29.1,29.1,29.1,28.2,291.0,10,1
SHOT.N0000,2016-08-22,28.0,28.0,28.0,28.0,140000.0,5000,3
SHOT.N0000,2016-08-23,28.0,28.0,27.0,27.1,180673.0,6615,11
SHOT.N0000,2016-08-24,27.0,27.0,27.0,27.0,24300.0,900,2
SHOT.N0000,2016-08-25,26.8,26.8,26.8,26.8,58906.4,2198,1
SHOT.N0000,2016-08-28,27.0,28.5,26.5,28.1,254547.0,9090,12
SHOT.N0000,2016-09-01,28.1,28.1,26.7,28.1,5646.7,201,2
SHOT.N0000,2016-09-04,26.8,26.8,26.8,26.8,12301.2,459,3
SHOT.N0000,2016-09-07,28.0,28.0,28.0,26.8,28.0,1,1
SHOT.N0000,2016-09-08,27.0,27.0,27.0,27.0,2700.0,100,1
SHOT.N0000,2016-09-12,27.0,27.0,27.0,27.0,8100.0,300,1
SHOT.N0000,2016-09-18,27.0,27.0,27.0,27.0,108.0,4,1
SHOT.N0000,2016-09-20,27.0,27.0,27.0,27.0,13392.0,496,1
SHOT.N0000,2016-09-21,27.0,27.0,27.0,27.0,78624.0,2912,2
SHOT.N0000,2016-09-26,27.0,27.0,27.0,27.0,405.0,15,1
SHOT.N0000,2016-10-02,27.0,27.0,27.0,27.0,8100.0,300,1
SHOT.N0000,2016-10-05,27.3,27.3,26.1,26.1,130533.5,5000,5
SHOT.N0000,2016-10-16,26.8,26.8,25.8,25.8,91175.0,3490,9
SHOT.N0000,2016-10-24,25.8,25.8,25.8,25.8,232.2,9,1
SHOT.N0000,2016-10-26,25.7,26.4,25.6,25.7,22658.6,880,5
SHOT.N0000,2016-10-27,26.7,26.7,26.7,25.7,53.4,2,1
SHOT.N0000,2016-11-06,26.5,26.5,26.5,26.5,2591700.0,97800,1
SHOT.N0000,2016-11-08,25.7,25.7,25.7,25.7,2570.0,100,1
SHOT.N0000,2016-11-10,26.5,26.5,25.5,25.5,15750287.1,594370,7
SHOT.N0000,2016-11-28,24.9,24.9,24.9,24.9,4731.0,190,2
SHOT.N0000,2016-12-07,24.5,24.5,24.5,24.5,6125.0,250,2
SHOT.N0000,2016-12-08,24.2,24.2,24.0,24.0,69655.0,2900,7
SHOT.N0000,2016-12-13,24.0,24.0,24.0,24.0,26400.0,1100,5
SHOT.N0000,2016-12-14,24.2,24.2,24.0,24.0,24514.0,1020,3
SHOT.N0000,2016-12-15,24.9,24.9,24.9,24.0,124.5,5,1
SHOT.N0000,2016-12-20,24.0,24.0,24.0,24.0,4800.0,200,1
SHOT.N0000,2016-12-27,24.0,24.0,24.0,24.0,38400.0,1600,4
SHOT.N0000,2016-12-28,24.4,24.4,24.0,24.0,40400.0,1680,4
SHOT.N0000,2016-12-29,24.4,24.4,24.4,24.0,48.8,2,1
SHOT.N0000,2017-01-03,24.5,24.5,24.0,24.2,7250.0,300,2
SHOT.N0000,2017-01-09,23.5,23.5,23.5,23.5,235000.0,10000,1
SHOT.N0000,2017-01-10,24.0,24.0,24.0,24.0,935280.0,38970,6
SHOT.N0000,2017-01-12,23.6,23.7,23.6,23.7,6390.0,270,4
SHOT.N0000,2017-01-16,23.4,23.4,23.4,23.4,93600.0,4000,1
SHOT.N0000,2017-01-17,23.3,23.3,23.0,23.0,32937.0,1430,6
SHOT.N0000,2017-01-18,23.2,23.2,22.5,22.5,3450142.5,153308,8
SHOT.N0000,2017-01-19,22.6,22.6,22.6,22.6,22600.0,1000,1
SHOT.N0000,2017-01-25,22.8,22.8,22.2,22.6,27342.2,1201,9
SHOT.N0000,2017-01-30,24.6,24.6,23.0,22.6,859.0,37,2
SHOT.N0000,2017-02-02,22.6,22.6,22.6,22.6,6780.0,300,1
SHOT.N0000,2017-02-05,22.5,22.5,22.5,22.5,4500.0,200,1
SHOT.N0000,2017-02-08,22.1,22.6,22.1,22.2,7674.5,345,3
SHOT.N0000,2017-02-12,23.0,23.0,23.0,23.0,6238750.0,271250,11
SHOT.N0000,2017-02-14,22.2,22.2,21.8,21.8,4366.0,200,2
SHOT.N0000,2017-02-15,23.0,23.0,22.5,22.5,10761.0,476,3
SHOT.N0000,2017-02-20,23.0,23.0,23.0,23.0,23000.0,1000,4
SHOT.N0000,2017-02-21,23.0,24.0,23.0,23.0,12890.0,560,3
SHOT.N0000,2017-02-26,25.0,25.0,23.0,23.0,33274.0,1438,3
SHOT.N0000,2017-02-27,23.0,23.0,23.0,23.0,163346.0,7102,2
SHOT.N0000,2017-02-28,21.9,23.0,21.9,23.0,36887.6,1604,3
SHOT.N0000,2017-03-02,23.0,23.0,23.0,23.0,46.0,2,2
SHOT.N0000,2017-03-05,22.5,23.0,22.5,23.0,69066.5,3003,2
SHOT.N0000,2017-03-07,23.3,23.5,23.3,23.5,3886100.0,165400,22
SHOT.N0000,2017-03-08,24.0,24.7,24.0,24.0,26700686.0,1112514,9
SHOT.N0000,2017-03-12,23.0,23.0,23.0,23.0,93610.0,4070,1
SHOT.N0000,2017-03-21,26.4,26.4,23.1,26.4,2663.1,101,3
SHOT.N0000,2017-03-22,25.5,25.5,25.5,25.5,2550.0,100,1
SHOT.N0000,2017-03-23,24.0,25.0,24.0,24.0,516640224.1,21261038,5
SHOT.N0000,2017-03-27,23.2,23.2,23.0,23.1,82860.0,3600,4
SHOT.N0000,2017-03-28,23.9,28.0,23.9,28.0,49054279.5,1752000,6
SHOT.N0000,2017-03-29,23.3,23.3,23.0,23.1,43810.0,1900,3
SHOT.N0000,2017-04-02,23.0,24.0,23.0,23.1,129300.0,5600,4
SHOT.N0000,2017-04-03,24.3,26.0,24.3,24.6,119588.0,4871,6
SHOT.N0000,2017-04-05,24.0,24.0,24.0,24.6,240.0,10,1
SHOT.N0000,2017-04-16,24.9,24.9,24.9,24.6,49.8,2,1
SHOT.N0000,2017-04-27,24.7,24.7,24.7,24.7,2470.0,100,1
SHOT.N0000,2017-05-01,25.0,25.0,25.0,24.7,500.0,20,1
SHOT.N0000,2017-05-03,24.5,24.5,24.5,24.7,735.0,30,1
SHOT.N0000,2017-05-04,24.1,24.5,23.2,23.3,5930.6,255,3
SHOT.N0000,2017-05-08,25.0,25.0,25.0,23.3,25.0,1,1
SHOT.N0000,2017-05-11,24.9,24.9,23.9,23.9,2414.9,101,2
SHOT.N0000,2017-05-14,24.9,25.7,24.9,24.9,19920.8,800,5
SHOT.N0000,2017-05-15,25.7,25.7,25.0,25.0,26476.4,1052,4
SHOT.N0000,2017-05-16,25.5,25.5,25.5,25.5,9460.5,371,2
SHOT.N0000,2017-05-17,24.5,25.7,24.5,25.5,515.7,21,2
SHOT.N0000,2017-05-18,25.7,26.0,23.9,24.0,352650.7,14598,26
SHOT.N0000,2017-05-21,25.2,25.2,25.0,25.0,17540.0,700,4
SHOT.N0000,2017-05-22,25.2,25.2,25.2,25.2,57960.0,2300,4
SHOT.N0000,2017-05-23,25.5,25.6,25.5,25.6,34435.0,1350,6
SHOT.N0000,2017-05-24,25.5,25.5,25.5,25.5,2550.0,100,1
SHOT.N0000,2017-05-30,26.2,26.2,26.2,25.5,26.2,1,1
SHOT.N0000,2017-05-31,23.9,23.9,23.9,23.9,2390.0,100,2
SHOT.N0000,2017-06-04,24.9,24.9,23.5,23.5,8495.5,361,5
SHOT.N0000,2017-06-05,23.5,23.5,23.5,23.5,587.5,25,1
SHOT.N0000,2017-06-06,24.9,26.5,23.6,23.5,75.0,3,3
SHOT.N0000,2017-06-08,25.0,25.0,25.0,23.5,25.0,1,1
SHOT.N0000,2017-06-11,26.4,26.4,26.0,26.3,158410.6,6024,9
SHOT.N0000,2017-06-12,24.3,25.9,24.2,24.3,12379.1,510,4
SHOT.N0000,2017-06-13,25.0,25.0,25.0,24.3,25.0,1,1
SHOT.N0000,2017-06-14,24.1,24.1,24.0,24.1,24291.8,1008,5
SHOT.N0000,2017-06-20,25.3,25.3,24.2,24.3,12760.3,526,3
SHOT.N0000,2017-06-21,24.2,25.5,24.2,24.2,155594.8,6429,5
SHOT.N0000,2017-06-22,24.2,25.5,24.2,24.2,96851.0,4002,2
SHOT.N0000,2017-06-28,25.8,25.8,23.9,23.9,11378.3,476,2
SHOT.N0000,2017-06-29,24.0,24.0,24.0,24.0,2400.0,100,1
SHOT.N0000,2017-07-02,23.9,23.9,23.6,23.9,239023.6,10001,2
SHOT.N0000,2017-07-05,23.9,23.9,23.7,23.7,89069.2,3758,4
SHOT.N0000,2017-07-06,24.0,24.0,24.0,23.7,96.0,4,1
SHOT.N0000,2017-07-09,23.7,23.7,23.7,23.7,711.0,30,1
SHOT.N0000,2017-07-12,23.6,23.6,23.5,23.6,11775.6,500,4
SHOT.N0000,2017-07-13,23.6,25.8,23.6,24.4,17114.0,700,3
SHOT.N0000,2017-07-18,24.1,24.1,24.1,24.1,2410.0,100,1
SHOT.N0000,2017-07-19,23.3,23.3,23.3,24.1,23.3,1,1
SHOT.N0000,2017-07-25,23.3,23.3,23.3,23.3,11650.0,500,2
SHOT.N0000,2017-07-27,26.0,26.0,26.0,23.3,520.0,20,1
SHOT.N0000,2017-08-08,23.3,23.3,23.3,23.3,1444.6,62,1
SHOT.N0000,2017-08-09,23.3,23.3,23.3,23.3,5522.1,237,2
SHOT.N0000,2017-08-13,23.5,24.1,23.3,23.3,12367.2,530,5
SHOT.N0000,2017-08-14,23.3,23.3,23.3,23.3,46.6,2,1
SHOT.N0000,2017-08-16,21.8,21.8,21.8,23.3,239.8,11,1
SHOT.N0000,2017-08-20,22.0,22.0,22.0,22.0,24420.0,1110,3
SHOT.N0000,2017-08-21,21.9,21.9,21.9,21.9,2190.0,100,1
SHOT.N0000,2017-08-24,21.9,21.9,21.9,21.9,2518.5,115,2
SHOT.N0000,2017-08-27,21.6,21.6,21.0,21.0,16519.0,785,4
SHOT.N0000,2017-09-05,21.1,21.1,21.1,21.0,21.1,1,1
SHOT.N0000,2017-09-10,24.2,24.2,24.2,21.0,24.2,1,1
SHOT.N0000,2017-09-11,20.2,22.0,20.2,21.0,725.0,35,2
SHOT.N0000,2017-09-12,22.0,22.0,21.9,22.0,6245.5,284,3
SHOT.N0000,2017-09-14,22.0,22.0,22.0,22.0,440.0,20,1
SHOT.N0000,2017-09-19,22.0,22.0,22.0,22.0,220.0,10,1
SHOT.N0000,2017-09-20,22.5,22.5,21.1,21.1,2427.9,115,2
SHOT.N0000,2017-09-21,22.0,22.0,22.0,21.1,220.0,10,1
SHOT.N0000,2017-09-24,21.1,21.1,21.0,21.0,11138.6,530,3
SHOT.N0000,2017-09-26,20.5,22.0,20.5,21.9,59507.5,2875,11
SHOT.N0000,2017-09-28,21.0,22.0,21.0,22.0,155018.0,7069,4
SHOT.N0000,2017-10-08,22.5,22.5,22.5,22.5,28125.0,1250,5
SHOT.N0000,2017-10-10,22.0,22.0,20.1,20.2,4319.5,205,3
SHOT.N0000,2017-10-11,23.5,23.8,23.5,20.2,473.0,20,2
SHOT.N0000,2017-10-12,23.6,23.6,23.6,20.2,944.0,40,1
SHOT.N0000,2017-10-22,22.0,22.1,22.0,22.0,11221.0,510,3
SHOT.N0000,2017-10-26,22.0,22.0,21.8,22.0,2573.4,117,3
SHOT.N0000,2017-11-01,22.0,22.0,19.4,22.0,489.0,24,3
SHOT.N0000,2017-11-06,21.0,21.0,21.0,22.0,945.0,45,1
SHOT.N0000,2017-11-07,20.9,20.9,20.9,22.0,104.5,5,1
SHOT.N0000,2017-11-08,20.9,21.0,20.9,20.9,10471.0,501,3
SHOT.N0000,2017-11-09,19.7,20.0,19.7,20.0,145521.6,7380,19
SHOT.N0000,2017-11-12,20.0,20.0,20.0,20.0,10000.0,500,2
SHOT.N0000,2017-11-19,20.0,20.0,18.5,18.6,89057.5,4800,3
SHOT.N0000,2017-12-03,18.8,18.8,18.6,18.6,46505.3,2500,5
SHOT.N0000,2017-12-04,20.0,20.0,18.6,18.6,9500.0,510,2
SHOT.N0000,2017-12-13,20.0,20.0,20.0,20.0,140000.0,7000,1
SHOT.N0000,2017-12-18,20.0,20.0,20.0,20.0,432940.0,21647,1
SHOT.N0000,2017-12-20,20.0,20.0,20.0,20.0,7860.0,393,2
SHOT.N0000,2018-01-01,20.0,20.0,20.0,20.0,20.0,1,1
SHOT.N0000,2018-01-16,20.0,20.0,19.0,19.0,5800.0,300,2
SHOT.N0000,2018-01-17,19.3,19.3,19.0,19.0,7603.0,400,2
SHOT.N0000,2018-01-23,19.1,19.1,19.0,19.0,75943.9,3996,2
SHOT.N0000,2018-01-24,19.0,19.1,19.0,19.0,171.1,9,2
SHOT.N0000,2018-02-05,22.7,22.7,22.7,22.7,4540.0,200,2
SHOT.N0000,2018-02-11,17.1,17.1,17.1,22.7,85.5,5,1
SHOT.N0000,2018-02-15,22.7,22.7,22.7,22.7,295.1,13,1
SHOT.N0000,2018-02-19,18.8,18.8,18.8,22.7,695.6,37,2
SHOT.N0000,2018-02-20,19.1,19.1,19.1,22.7,191.0,10,1
SHOT.N0000,2018-02-21,20.0,20.0,20.0,22.7,1600.0,80,2
SHOT.N0000,2018-02-22,19.2,20.0,19.0,19.5,1952.0,100,4
SHOT.N0000,2018-02-25,20.0,20.0,20.0,20.0,165400.0,8270,2
SHOT.N0000,2018-02-27,22.5,22.5,22.5,20.0,247.5,11,2
SHOT.N0000,2018-03-01,20.0,20.0,20.0,20.0,11180.0,559,2
SHOT.N0000,2018-03-12,20.0,20.0,20.0,20.0,220.0,11,1
SHOT.N0000,2018-03-18,20.0,20.0,20.0,20.0,20000.0,1000,1
SHOT.N0000,2018-03-19,20.0,20.0,20.0,20.0,200.0,10,1
SHOT.N0000,2018-03-20,19.1,19.1,17.1,17.5,35150.5,1990,10
SHOT.N0000,2018-03-21,19.7,19.7,19.7,17.5,512.2,26,1
SHOT.N0000,2018-03-26,18.1,18.1,18.1,17.5,814.5,45,2
SHOT.N0000,2018-03-27,18.1,18.1,18.1,17.5,72.4,4,1
SHOT.N0000,2018-04-05,20.0,20.0,20.0,17.5,1800.0,90,4
SHOT.N0000,2018-04-08,20.1,20.1,20.1,17.5,40.2,2,1
SHOT.N0000,2018-04-11,20.0,20.0,20.0,17.5,500.0,25,1
SHOT.N0000,2018-04-16,20.0,20.0,20.0,20.0,2020.0,101,2
SHOT.N0000,2018-04-18,20.0,20.0,18.5,19.9,7462.5,375,4
SHOT.N0000,2018-04-19,20.0,20.0,20.0,19.9,940.0,47,1
SHOT.N0000,2018-04-23,18.4,18.4,18.4,19.9,920.0,50,1
