ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
SINS.N0000,2016-01-03,136.0,140.0,136.0,138.0,3600189.0,25969,40
SINS.N0000,2016-01-04,137.0,139.0,135.0,137.7,768455.0,5625,10
SINS.N0000,2016-01-05,136.5,137.0,135.0,135.4,432711.0,3185,11
SINS.N0000,2016-01-06,134.3,134.3,134.3,134.3,224281.0,1670,3
SINS.N0000,2016-01-07,135.0,135.0,134.1,134.1,201824.2,1501,4
SINS.N0000,2016-01-10,132.4,132.4,130.1,130.5,79614.0,610,4
SINS.N0000,2016-01-11,130.0,130.0,125.3,125.7,168721.8,1342,5
SINS.N0000,2016-01-12,125.6,130.0,125.6,128.8,568249.8,4413,13
SINS.N0000,2016-01-13,126.0,126.0,122.0,122.3,238929.9,1920,10
SINS.N0000,2016-01-17,122.3,122.3,118.0,118.0,420583.0,3552,7
SINS.N0000,2016-01-19,115.0,118.0,115.0,118.0,35290.0,304,3
SINS.N0000,2016-01-20,118.0,122.3,118.0,120.0,2769128.0,23091,37
SINS.N0000,2016-01-21,124.6,125.0,124.6,124.9,437100.0,3500,5
SINS.N0000,2016-01-24,121.1,124.6,118.0,121.2,2117600.0,17500,9
SINS.N0000,2016-01-25,121.0,124.6,120.5,121.2,932860.0,7700,8
SINS.N0000,2016-01-26,124.0,124.0,124.0,121.2,372.0,3,1
SINS.N0000,2016-01-27,124.0,125.9,124.0,125.3,691450.0,5550,5
SINS.N0000,2016-01-28,126.0,131.0,125.1,129.7,1316881.9,10214,25
SINS.N0000,2016-01-31,130.0,133.9,130.0,130.8,1619861.2,12382,16
SINS.N0000,2016-02-01,133.0,135.0,132.0,134.0,2918718.2,21756,29
SINS.N0000,2016-02-02,134.3,134.5,134.0,134.1,474819.0,3542,11
SINS.N0000,2016-02-04,130.9,138.0,130.9,137.9,2375034.1,17602,47
SINS.N0000,2016-02-07,137.5,137.5,137.5,137.5,412500.0,3000,4
SINS.N0000,2016-02-09,128.2,134.9,128.2,134.6,141310.0,1050,3
SINS.N0000,2016-02-10,134.6,134.6,133.5,133.5,253391.8,1898,2
SINS.N0000,2016-02-11,128.4,128.5,128.0,128.2,548030.0,4275,4
SINS.N0000,2016-02-14,125.3,125.3,125.3,128.2,501.2,4,1
SINS.N0000,2016-02-16,128.0,128.0,125.0,125.0,167618.8,1340,6
SINS.N0000,2016-02-18,124.0,124.0,121.1,123.2,17244.0,140,2
SINS.N0000,2016-02-22,122.0,122.0,122.0,122.0,603168.0,4944,4
SINS.N0000,2016-02-23,126.0,127.9,126.0,127.0,172757.7,1361,10
SINS.N0000,2016-02-24,126.0,126.0,124.1,124.4,1254388.8,10068,10
SINS.N0000,2016-02-25,124.2,124.2,124.2,124.2,24840.0,200,1
SINS.N0000,2016-02-28,125.0,129.4,125.0,129.4,583256.0,4576,12
SINS.N0000,2016-02-29,125.1,125.1,123.6,123.6,63275.0,507,7
SINS.N0000,2016-03-01,125.0,125.0,125.0,125.0,62625.0,501,1
SINS.N0000,2016-03-07,124.0,124.0,124.0,124.0,12400.0,100,1
SINS.N0000,2016-03-08,120.0,120.0,118.0,118.9,60394.0,508,6
SINS.N0000,2016-03-09,121.0,125.0,121.0,124.9,315723.0,2527,6
SINS.N0000,2016-03-10,123.0,123.0,123.0,123.0,172692.0,1404,3
SINS.N0000,2016-03-13,123.0,123.0,123.0,123.0,12669.0,103,3
SINS.N0000,2016-03-14,120.0,120.1,120.0,120.0,5947880.0,49564,14
SINS.N0000,2016-03-15,119.0,120.0,115.5,119.9,108376.9,906,7
SINS.N0000,2016-03-16,119.9,120.0,118.0,119.8,9608569.0,80084,48
SINS.N0000,2016-03-17,115.0,119.0,115.0,119.0,14200.0,120,2
SINS.N0000,2016-03-20,118.9,121.0,118.9,120.3,399470.0,3350,5
SINS.N0000,2016-03-22,120.0,120.0,114.3,115.0,927483415.5,8114018,51
SINS.N0000,2016-03-23,118.0,118.0,115.0,115.0,7248364.2,63010,19
SINS.N0000,2016-03-27,115.0,115.0,115.0,115.0,208265.0,1811,12
SINS.N0000,2016-03-28,114.6,117.0,114.5,116.0,1237570.0,10800,6
SINS.N0000,2016-03-29,117.9,118.0,117.9,117.9,64865.0,550,4
SINS.N0000,2016-03-30,117.0,118.8,116.5,117.7,258332.6,2198,13
SINS.N0000,2016-03-31,114.5,115.5,114.5,115.5,1197025.0,10450,5
SINS.N0000,2016-04-03,115.4,115.5,115.4,115.5,231035.5,2001,5
SINS.N0000,2016-04-04,117.9,120.0,117.0,119.2,3663092.8,30559,31
SINS.N0000,2016-04-05,115.1,121.9,115.1,119.2,6210.1,51,2
SINS.N0000,2016-04-06,122.0,122.0,122.0,122.0,43920.0,360,2
SINS.N0000,2016-04-07,122.9,122.9,121.0,122.0,122571.0,1001,3
SINS.N0000,2016-04-10,121.9,121.9,120.0,121.0,241900.0,2000,4
SINS.N0000,2016-04-11,121.0,125.0,121.0,123.1,1352811.7,10997,18
SINS.N0000,2016-04-14,123.4,123.4,123.0,123.0,53176.0,432,4
SINS.N0000,2016-04-17,121.0,121.0,121.0,121.0,14036.0,116,2
SINS.N0000,2016-04-18,119.0,119.0,118.0,118.9,1791318.1,15132,12
SINS.N0000,2016-04-19,119.0,119.0,119.0,119.0,2689400.0,22600,14
SINS.N0000,2016-04-21,120.0,120.0,119.0,119.0,120200.0,1010,2
SINS.N0000,2016-04-24,118.0,118.5,118.0,118.0,18043498.5,152911,20
SINS.N0000,2016-04-25,117.5,119.0,117.0,118.0,1854119.2,15736,12
SINS.N0000,2016-04-26,119.0,119.0,118.0,118.0,364950.0,3070,16
SINS.N0000,2016-04-27,118.5,120.0,117.0,118.3,5434666.5,46127,14
SINS.N0000,2016-04-28,120.0,120.9,118.0,119.7,1379022.0,11504,16
SINS.N0000,2016-05-02,119.7,120.0,119.7,119.8,1270100.0,10600,14
SINS.N0000,2016-05-03,117.2,120.0,117.2,118.3,950880.0,8000,18
SINS.N0000,2016-05-04,118.4,118.4,117.0,117.0,2061462.0,17610,12
SINS.N0000,2016-05-05,120.0,124.0,118.9,120.0,23995162.7,200398,62
SINS.N0000,2016-05-08,120.0,121.0,118.7,120.1,3595807.0,30001,25
SINS.N0000,2016-05-09,120.0,120.0,119.0,119.2,2452869.6,20501,16
SINS.N0000,2016-05-10,119.9,119.9,118.0,118.0,3084648.0,26140,14
SINS.N0000,2016-05-11,118.0,118.5,118.0,118.0,3553951.8,30118,10
SINS.N0000,2016-05-12,117.1,117.1,117.1,118.0,234.2,2,1
SINS.N0000,2016-05-15,118.0,119.0,118.0,118.0,181403.0,1537,4
SINS.N0000,2016-05-16,119.0,119.0,119.0,118.0,119.0,1,1
SINS.N0000,2016-05-17,117.0,119.5,117.0,118.8,744633.0,6282,15
SINS.N0000,2016-05-18,119.0,119.9,118.0,118.0,1835019.8,15422,11
SINS.N0000,2016-05-19,118.1,119.0,118.0,118.9,1115755.3,9393,12
SINS.N0000,2016-05-23,118.5,118.5,117.2,117.9,792918.0,6703,8
SINS.N0000,2016-05-24,117.2,117.2,116.5,116.5,1166282.2,10011,4
SINS.N0000,2016-05-25,116.4,116.4,115.0,115.3,345997.9,3000,11
SINS.N0000,2016-05-29,115.3,115.3,115.3,115.3,103770.0,900,1
SINS.N0000,2016-05-31,115.3,115.3,114.1,115.0,4318281.4,37826,9
SINS.N0000,2016-06-01,115.0,115.0,115.0,115.0,1201290.0,10446,2
SINS.N0000,2016-06-02,114.2,115.0,114.2,114.9,126420.0,1100,3
SINS.N0000,2016-06-06,114.5,114.5,113.0,113.1,514317.2,4544,7
SINS.N0000,2016-06-07,114.0,115.0,114.0,114.9,230917.0,2010,4
SINS.N0000,2016-06-08,114.0,114.0,114.0,114.9,2280.0,20,1
SINS.N0000,2016-06-09,112.5,115.0,112.5,115.0,23561.5,205,7
SINS.N0000,2016-06-12,115.0,115.0,115.0,115.0,69000.0,600,2
SINS.N0000,2016-06-13,114.9,115.0,112.0,112.0,10337103.3,91857,35
SINS.N0000,2016-06-14,114.5,114.5,112.0,112.0,1681717.5,15015,5
SINS.N0000,2016-06-15,114.5,114.5,112.0,112.1,2167482.3,19337,13
SINS.N0000,2016-06-16,112.1,112.1,112.0,112.0,48284.3,431,6
