ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
SIRA.N0000,2016-01-03,4.0,4.1,3.9,4.0,907846.0,226739,32
SIRA.N0000,2016-01-04,3.9,4.0,3.9,3.9,8435.0,2150,3
SIRA.N0000,2016-01-05,4.0,4.0,3.9,3.9,766288.6,196484,42
SIRA.N0000,2016-01-06,3.9,4.0,3.8,3.8,2871551.0,754634,46
SIRA.N0000,2016-01-07,3.8,3.8,3.6,3.7,2743136.7,737463,98
SIRA.N0000,2016-01-10,3.8,3.8,3.5,3.6,4210412.4,1171095,144
SIRA.N0000,2016-01-11,3.6,3.7,3.5,3.6,624050.2,173248,43
SIRA.N0000,2016-01-12,3.6,3.8,3.6,3.7,1459555.3,394682,55
SIRA.N0000,2016-01-13,3.7,3.7,3.5,3.5,3568212.7,999266,61
SIRA.N0000,2016-01-17,3.6,3.6,3.4,3.4,2698121.1,771790,76
SIRA.N0000,2016-01-18,3.4,3.4,3.2,3.3,2283261.5,690010,75
SIRA.N0000,2016-01-19,3.4,3.4,3.3,3.3,841579.7,255012,26
SIRA.N0000,2016-01-20,3.4,3.5,3.4,3.5,6187166.0,1769536,64
SIRA.N0000,2016-01-21,3.6,3.6,3.4,3.5,1447610.0,413700,39
SIRA.N0000,2016-01-24,3.5,3.5,3.4,3.4,2419740.0,709950,24
SIRA.N0000,2016-01-25,3.4,3.4,3.4,3.4,455430.0,133950,15
SIRA.N0000,2016-01-26,3.4,3.5,3.4,3.4,597308.0,175620,31
SIRA.N0000,2016-01-27,3.5,3.5,3.4,3.5,758177.5,222665,18
SIRA.N0000,2016-01-28,3.4,3.6,3.4,3.5,512200.0,146400,38
SIRA.N0000,2016-01-31,3.6,3.7,3.6,3.7,452114.8,124948,34
SIRA.N0000,2016-02-01,3.7,3.8,3.7,3.8,446897.4,120102,30
SIRA.N0000,2016-02-02,3.8,3.8,3.7,3.7,3312516.1,893043,65
SIRA.N0000,2016-02-04,3.7,3.8,3.7,3.7,352882.6,94898,18
SIRA.N0000,2016-02-07,3.6,3.6,3.3,3.4,6617616.3,1938918,144
SIRA.N0000,2016-02-08,3.5,3.5,3.3,3.4,368424.9,108372,18
SIRA.N0000,2016-02-09,3.4,3.4,3.3,3.3,457477.0,134905,18
SIRA.N0000,2016-02-10,3.5,3.6,3.4,3.5,13306089.9,3806045,200
SIRA.N0000,2016-02-11,3.5,3.5,3.4,3.4,2509581.6,735733,93
SIRA.N0000,2016-02-14,3.5,3.5,3.3,3.3,809186.3,241362,39
SIRA.N0000,2016-02-15,3.4,3.4,3.3,3.4,790077.0,232405,33
SIRA.N0000,2016-02-16,3.4,3.5,3.3,3.3,3727927.3,1129290,110
SIRA.N0000,2016-02-17,3.4,3.4,3.2,3.3,140938.4,42812,15
SIRA.N0000,2016-02-18,3.4,3.4,3.2,3.3,2013445.8,609483,44
