ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
SMOT.N0000,2016-01-03,339.9,339.9,330.0,330.0,49839.9,151,2
SMOT.N0000,2016-01-06,330.0,330.0,329.0,330.0,85790.0,260,2
SMOT.N0000,2016-01-11,330.0,330.0,330.0,330.0,49500.0,150,1
SMOT.N0000,2016-01-12,329.9,329.9,329.9,330.0,1649.5,5,1
SMOT.N0000,2016-01-13,291.0,291.0,291.0,330.0,12804.0,44,1
SMOT.N0000,2016-01-17,329.9,329.9,320.0,330.0,24217.8,75,4
SMOT.N0000,2016-01-18,290.0,290.0,270.0,270.2,361610.5,1335,20
SMOT.N0000,2016-01-19,270.1,270.1,270.1,270.2,270.1,1,1
SMOT.N0000,2016-01-21,291.7,292.9,291.7,292.7,76090.9,260,5
SMOT.N0000,2016-02-02,324.9,325.0,324.9,292.7,3574.9,11,2
SMOT.N0000,2016-02-04,320.0,320.0,318.0,319.1,32232.0,101,5
SMOT.N0000,2016-02-11,309.5,309.5,309.5,319.1,619.0,2,1
SMOT.N0000,2016-02-16,287.0,304.0,286.0,287.2,58866.0,205,15
SMOT.N0000,2016-02-18,304.0,305.0,304.0,287.2,1827.0,6,4
SMOT.N0000,2016-02-22,304.0,340.0,304.0,308.4,37011.6,120,10
SMOT.N0000,2016-02-28,299.9,315.0,299.9,310.8,64954.9,209,7
SMOT.N0000,2016-03-02,295.0,295.0,295.0,310.8,5900.0,20,1
SMOT.N0000,2016-03-03,290.0,290.0,275.1,275.5,491580.8,1780,14
SMOT.N0000,2016-03-14,280.0,280.0,275.0,275.5,7250.0,26,2
SMOT.N0000,2016-03-16,300.0,300.0,300.0,300.0,30000.0,100,1
SMOT.N0000,2016-03-17,300.0,300.0,300.0,300.0,1200.0,4,2
SMOT.N0000,2016-03-31,305.0,305.0,305.0,300.0,305.0,1,1
SMOT.N0000,2016-04-04,308.0,308.0,300.0,300.0,608.0,2,2
SMOT.N0000,2016-04-05,300.0,307.0,300.0,306.7,32200.0,105,2
SMOT.N0000,2016-04-07,305.0,305.0,305.0,306.7,610.0,2,1
SMOT.N0000,2016-04-14,309.0,309.0,309.0,306.7,927.0,3,1
SMOT.N0000,2016-04-17,280.0,280.0,280.0,306.7,2800.0,10,1
SMOT.N0000,2016-04-18,320.0,320.0,300.0,306.7,11120.0,37,3
SMOT.N0000,2016-04-19,300.0,300.0,300.0,300.0,79200.0,264,2
SMOT.N0000,2016-04-21,300.0,300.0,300.0,300.0,111600.0,372,4
SMOT.N0000,2016-04-27,300.0,300.0,300.0,300.0,900.0,3,1
SMOT.N0000,2016-04-28,300.0,300.0,300.0,300.0,59100.0,197,1
SMOT.N0000,2016-05-05,280.3,305.0,280.3,300.0,4328.0,15,2
SMOT.N0000,2016-05-11,305.0,305.0,305.0,300.0,28975.0,95,1
SMOT.N0000,2016-05-12,290.0,290.0,290.0,300.0,290.0,1,1
SMOT.N0000,2016-05-16,300.0,310.0,300.0,300.3,62470.0,208,4
SMOT.N0000,2016-05-17,309.9,309.9,309.9,300.3,12396.0,40,1
SMOT.N0000,2016-05-23,319.0,319.0,314.5,315.0,36581.5,116,4
SMOT.N0000,2016-05-24,315.0,315.0,314.9,315.0,139229.5,442,3
SMOT.N0000,2016-05-29,319.8,320.0,315.0,319.5,88173.4,276,7
SMOT.N0000,2016-06-02,300.0,320.0,290.0,308.8,77192.5,250,8
SMOT.N0000,2016-06-07,295.0,295.0,295.0,308.8,1180.0,4,1
SMOT.N0000,2016-06-08,310.0,320.0,310.0,319.8,32620.0,102,2
SMOT.N0000,2016-06-14,319.0,320.0,319.0,319.9,183596.0,574,7
SMOT.N0000,2016-06-15,320.2,349.7,320.0,320.6,343799.7,1073,6
SMOT.N0000,2016-06-16,340.0,340.0,340.0,320.6,680.0,2,1
SMOT.N0000,2016-06-19,340.0,340.0,280.0,283.4,146595.0,467,18
SMOT.N0000,2016-06-20,288.2,320.0,288.2,298.8,44820.0,150,7
SMOT.N0000,2016-06-21,320.0,320.0,319.9,320.0,174396.0,545,4
SMOT.N0000,2016-06-22,329.9,329.9,329.9,320.0,329.9,1,1
SMOT.N0000,2016-06-23,320.0,320.0,320.0,320.0,163200.0,510,3
SMOT.N0000,2016-06-27,296.0,296.0,296.0,320.0,2960.0,10,1
SMOT.N0000,2016-06-28,296.2,296.2,296.1,320.0,13920.9,47,5
SMOT.N0000,2016-06-29,296.1,296.1,296.0,296.0,29602.8,100,4
SMOT.N0000,2016-06-30,298.0,298.0,298.0,296.0,298.0,1,1
SMOT.N0000,2016-07-06,297.0,301.0,297.0,296.0,3303.0,11,2
SMOT.N0000,2016-07-11,310.0,310.0,305.0,305.1,158661.0,520,5
SMOT.N0000,2016-07-12,311.5,311.5,311.5,305.1,27100.5,87,3
SMOT.N0000,2016-07-13,320.0,320.0,315.0,316.0,47670.0,151,4
SMOT.N0000,2016-07-17,311.6,311.6,311.6,316.0,1869.6,6,3
SMOT.N0000,2016-07-19,320.0,320.0,310.0,316.0,1590.0,5,3
SMOT.N0000,2016-07-20,338.8,338.8,338.8,316.0,338.8,1,1
SMOT.N0000,2016-07-27,310.0,325.0,310.0,316.0,5285.0,17,2
SMOT.N0000,2016-08-01,316.0,320.0,316.0,316.0,17560.0,55,4
SMOT.N0000,2016-08-02,321.0,321.0,321.0,316.0,2889.0,9,1
SMOT.N0000,2016-08-03,321.0,321.0,321.0,321.0,32100.0,100,1
SMOT.N0000,2016-08-04,316.1,316.1,316.1,321.0,316.1,1,1
SMOT.N0000,2016-08-07,316.1,316.1,305.0,305.1,307528.8,1008,3
SMOT.N0000,2016-08-08,310.0,310.0,310.0,305.1,1240.0,4,3
SMOT.N0000,2016-08-10,306.5,306.5,306.5,306.5,30650.0,100,1
SMOT.N0000,2016-08-11,307.0,307.0,307.0,306.5,307.0,1,1
SMOT.N0000,2016-08-18,315.0,315.0,315.0,306.5,3465.0,11,1
SMOT.N0000,2016-09-01,290.1,290.1,290.1,290.1,62661.6,216,5
SMOT.N0000,2016-09-04,302.0,302.0,302.0,290.1,27180.0,90,1
SMOT.N0000,2016-09-05,302.0,302.0,302.0,290.1,3020.0,10,1
SMOT.N0000,2016-09-26,295.0,300.0,295.0,290.1,2995.0,10,2
SMOT.N0000,2016-10-06,302.0,302.0,301.0,301.2,331350.0,1100,3
SMOT.N0000,2016-10-09,302.0,302.0,290.0,302.0,118372.0,392,2
SMOT.N0000,2016-10-13,320.0,320.0,320.0,302.0,320.0,1,1
SMOT.N0000,2016-10-23,290.1,290.1,290.1,302.0,290.1,1,1
SMOT.N0000,2016-11-07,305.0,305.0,305.0,302.0,15250.0,50,3
SMOT.N0000,2016-11-08,303.0,303.0,302.0,302.0,45350.0,150,2
SMOT.N0000,2016-11-09,305.0,305.0,302.0,302.0,62828.0,208,5
SMOT.N0000,2016-11-10,302.0,302.0,302.0,302.0,28992.0,96,4
SMOT.N0000,2016-11-16,302.0,302.0,302.0,302.0,302.0,1,1
SMOT.N0000,2016-11-20,291.0,291.0,291.0,302.0,20370.0,70,1
SMOT.N0000,2016-11-21,300.0,300.0,300.0,302.0,9900.0,33,1
SMOT.N0000,2016-11-23,302.0,302.0,292.0,298.7,44800.0,150,3
SMOT.N0000,2016-12-04,296.0,296.0,295.0,298.7,2951.0,10,2
SMOT.N0000,2016-12-13,298.0,298.0,298.0,298.7,596.0,2,1
SMOT.N0000,2016-12-14,290.1,290.1,290.1,298.7,2901.0,10,2
SMOT.N0000,2016-12-22,319.9,319.9,298.7,298.7,6421.1,21,3
SMOT.N0000,2017-01-15,299.0,299.0,299.0,299.0,59800.0,200,1
SMOT.N0000,2017-01-19,282.0,282.0,280.0,299.0,2244.0,8,2
SMOT.N0000,2017-01-22,280.0,280.0,280.0,280.0,56000.0,200,3
SMOT.N0000,2017-01-23,280.2,280.2,280.1,280.0,14005.7,50,2
SMOT.N0000,2017-01-25,285.0,285.0,285.0,280.0,285.0,1,1
SMOT.N0000,2017-01-30,281.1,281.1,281.1,280.0,3373.2,12,4
SMOT.N0000,2017-02-14,300.0,300.0,300.0,280.0,5400.0,18,2
SMOT.N0000,2017-02-15,309.8,310.0,309.8,310.0,201134.0,649,13
SMOT.N0000,2017-02-16,315.0,315.0,315.0,310.0,4725.0,15,2
SMOT.N0000,2017-02-21,313.0,313.0,313.0,313.0,62600.0,200,2
SMOT.N0000,2017-02-22,300.1,300.1,300.0,300.0,245105.0,817,6
SMOT.N0000,2017-02-26,295.1,295.1,280.0,280.4,84976.3,303,7
SMOT.N0000,2017-02-28,300.0,303.6,300.0,300.0,120303.6,401,2
SMOT.N0000,2017-03-06,304.9,304.9,304.9,300.0,304.9,1,1
SMOT.N0000,2017-03-07,304.0,304.0,304.0,300.0,304.0,1,1
SMOT.N0000,2017-03-08,304.9,304.9,290.0,300.0,1754.9,6,2
SMOT.N0000,2017-03-09,303.0,303.0,281.2,300.0,15487.9,55,3
SMOT.N0000,2017-03-15,300.0,300.0,300.0,300.0,59100.0,197,3
SMOT.N0000,2017-03-21,303.0,303.0,303.0,300.0,606.0,2,1
SMOT.N0000,2017-04-05,304.0,304.0,304.0,300.0,6384.0,21,2
SMOT.N0000,2017-04-06,305.0,305.0,305.0,300.0,8235.0,27,1
SMOT.N0000,2017-04-17,305.0,305.0,305.0,300.0,1220.0,4,2
SMOT.N0000,2017-04-18,305.0,305.0,305.0,300.0,15555.0,51,3
SMOT.N0000,2017-04-19,300.0,305.0,300.0,303.5,32475.0,107,4
SMOT.N0000,2017-04-27,302.0,305.0,302.0,304.8,206966.0,679,3
SMOT.N0000,2017-05-03,304.0,304.0,304.0,304.8,304.0,1,1
SMOT.N0000,2017-05-08,304.0,304.0,304.0,304.8,1216.0,4,1
SMOT.N0000,2017-05-16,297.0,310.0,297.0,304.8,9502.8,31,13
SMOT.N0000,2017-05-17,299.5,310.0,299.5,304.8,609.5,2,2
SMOT.N0000,2017-05-18,317.5,317.5,317.4,304.8,952.3,3,2
SMOT.N0000,2017-05-21,300.0,300.0,300.0,304.8,11700.0,39,1
SMOT.N0000,2017-05-22,300.0,300.0,300.0,304.8,11100.0,37,1
SMOT.N0000,2017-05-28,310.0,310.0,310.0,304.8,620.0,2,1
SMOT.N0000,2017-05-29,310.0,310.0,310.0,304.8,620.0,2,1
SMOT.N0000,2017-05-31,310.0,313.0,310.0,310.0,154693.0,499,4
SMOT.N0000,2017-06-01,310.0,310.0,310.0,310.0,1550.0,5,1
SMOT.N0000,2017-06-04,310.0,310.0,310.0,310.0,1550.0,5,1
SMOT.N0000,2017-06-05,314.0,314.0,310.0,310.0,154706.0,499,2
SMOT.N0000,2017-06-06,310.0,310.0,310.0,310.0,155000.0,500,4
SMOT.N0000,2017-06-13,305.0,305.0,305.0,310.0,305.0,1,1
SMOT.N0000,2017-06-15,309.9,309.9,295.1,310.0,1785.4,6,4
