ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
SPEN.N0000,2016-01-03,91.0,93.5,90.3,91.0,38194.5,420,11
SPEN.N0000,2016-01-04,90.5,93.5,90.0,93.4,154904.1,1714,18
SPEN.N0000,2016-01-05,91.0,91.0,91.0,93.4,6006.0,66,2
SPEN.N0000,2016-01-06,91.0,91.0,91.0,91.0,45500.0,500,5
SPEN.N0000,2016-01-07,90.1,90.1,88.5,88.5,5641648.6,63633,24
SPEN.N0000,2016-01-10,89.0,91.0,88.0,88.0,573576.0,6504,26
SPEN.N0000,2016-01-11,88.5,89.0,86.1,87.4,16335236.5,185960,25
SPEN.N0000,2016-01-12,89.9,89.9,89.6,89.6,32815.4,366,6
SPEN.N0000,2016-01-13,87.1,89.5,87.0,88.5,17815708.1,201201,22
SPEN.N0000,2016-01-17,89.6,89.6,86.0,88.0,1103448.0,12563,12
SPEN.N0000,2016-01-18,86.0,86.5,85.0,86.0,6148001.5,71401,34
SPEN.N0000,2016-01-19,85.1,86.0,85.0,85.0,68091.5,801,4
SPEN.N0000,2016-01-20,85.5,88.0,85.5,87.0,14807373.0,169912,24
SPEN.N0000,2016-01-21,88.0,88.0,87.0,87.0,274975.0,3126,5
SPEN.N0000,2016-01-24,87.0,87.0,85.0,85.0,3126920.1,36360,14
SPEN.N0000,2016-01-25,85.0,85.0,85.0,85.0,133025.0,1565,11
SPEN.N0000,2016-01-26,87.0,87.0,86.0,86.0,203021.8,2360,8
SPEN.N0000,2016-01-27,86.0,86.0,85.1,85.2,34659.5,405,7
SPEN.N0000,2016-01-28,86.2,87.0,80.2,84.5,3636773.2,42912,27
SPEN.N0000,2016-01-31,84.0,85.0,83.9,83.9,790821.2,9425,6
SPEN.N0000,2016-02-01,83.9,84.8,83.5,83.5,4025034.0,48175,19
SPEN.N0000,2016-02-02,84.5,84.5,83.0,83.0,4888210.5,58881,19
SPEN.N0000,2016-02-04,83.0,83.0,83.0,83.0,8300.0,100,2
SPEN.N0000,2016-02-08,83.5,83.5,82.5,82.5,50896.5,615,5
SPEN.N0000,2016-02-09,84.0,84.0,84.0,84.0,16800.0,200,1
SPEN.N0000,2016-02-10,84.0,84.0,82.5,82.5,95927.0,1155,8
SPEN.N0000,2016-02-11,83.9,83.9,82.6,82.6,33300.0,400,3
SPEN.N0000,2016-02-14,82.0,82.1,80.5,81.3,291600.0,3573,25
SPEN.N0000,2016-02-16,81.0,81.0,80.0,80.0,789368.0,9800,24
SPEN.N0000,2016-02-17,80.0,81.0,79.0,79.0,113302.0,1431,17
SPEN.N0000,2016-02-18,78.5,82.0,78.1,78.5,1061450.0,13525,12
SPEN.N0000,2016-02-22,78.5,78.7,78.0,78.1,307717.5,3938,14
SPEN.N0000,2016-02-23,77.5,79.9,77.4,77.5,163865.5,2114,18
SPEN.N0000,2016-02-24,77.0,77.5,77.0,77.0,89941.0,1168,9
SPEN.N0000,2016-02-25,77.2,77.2,76.4,76.8,23197.7,302,8
SPEN.N0000,2016-02-28,79.9,79.9,77.0,78.1,88595.0,1131,23
SPEN.N0000,2016-02-29,77.0,77.0,75.0,75.1,76594926.8,1021199,31
SPEN.N0000,2016-03-01,75.1,75.1,75.1,75.1,225.3,3,1
SPEN.N0000,2016-03-02,75.5,75.5,75.5,75.5,7550.0,100,1
SPEN.N0000,2016-03-03,75.5,76.0,75.5,75.7,90800.0,1200,5
SPEN.N0000,2016-03-07,75.1,75.1,70.0,71.8,626865.0,8716,41
SPEN.N0000,2016-03-08,71.4,71.5,67.1,69.9,11734822.5,167747,58
SPEN.N0000,2016-03-09,70.0,71.5,69.1,69.5,47450502.6,678569,50
SPEN.N0000,2016-03-10,71.5,72.5,70.0,70.0,3007317.0,42894,30
SPEN.N0000,2016-03-13,70.1,70.1,69.2,70.0,379718.0,5429,17
SPEN.N0000,2016-03-14,70.0,70.0,69.0,69.0,24275331.0,351780,32
SPEN.N0000,2016-03-15,69.2,70.0,69.0,70.0,1026125.0,14741,21
SPEN.N0000,2016-03-16,71.9,72.0,70.0,70.1,874920.0,12340,25
SPEN.N0000,2016-03-17,69.3,70.0,69.3,69.5,333774.6,4808,16
SPEN.N0000,2016-03-20,73.5,73.5,69.0,69.3,169997.0,2450,9
SPEN.N0000,2016-03-22,70.0,70.0,70.0,70.0,98700.0,1410,8
SPEN.N0000,2016-03-23,70.0,73.2,70.0,72.5,184232.0,2560,6
SPEN.N0000,2016-03-27,71.0,73.5,71.0,73.0,922910.0,12600,20
SPEN.N0000,2016-03-28,71.5,72.9,71.5,71.7,257774.5,3605,7
SPEN.N0000,2016-03-29,71.7,72.0,71.0,71.4,855320.0,12000,11
SPEN.N0000,2016-03-30,72.0,73.5,72.0,73.5,75527862.5,1041545,35
SPEN.N0000,2016-03-31,75.0,75.0,72.5,72.5,72511176.0,1000114,8
SPEN.N0000,2016-04-03,72.5,75.0,72.0,72.0,90275.0,1253,8
SPEN.N0000,2016-04-04,72.0,74.0,71.5,74.0,96488606.5,1331241,22
SPEN.N0000,2016-04-05,74.0,74.0,73.9,74.0,396712.0,5363,7
SPEN.N0000,2016-04-06,74.0,75.0,73.0,75.0,267070.0,3597,9
SPEN.N0000,2016-04-07,75.6,77.0,75.0,75.6,523083.0,6901,16
