ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
TKYO.N0000,2016-01-03,49.0,49.0,49.0,49.0,98000.0,2000,2
TKYO.N0000,2016-01-04,49.6,49.6,49.0,49.5,7922.5,160,3
TKYO.N0000,2016-01-05,49.0,49.0,48.0,48.5,179697.0,3690,8
TKYO.N0000,2016-01-06,48.1,48.1,48.0,48.0,71522.0,1490,5
TKYO.N0000,2016-01-07,47.5,48.0,45.1,46.5,38633.1,830,13
TKYO.N0000,2016-01-10,45.2,45.5,45.0,45.0,224501.0,4985,19
TKYO.N0000,2016-01-11,45.0,45.0,42.5,43.1,737486.4,17117,19
TKYO.N0000,2016-01-12,43.2,43.3,42.0,42.0,553887.3,12853,15
TKYO.N0000,2016-01-13,42.0,42.1,41.8,41.9,328535.0,7825,13
TKYO.N0000,2016-01-17,41.6,41.6,39.0,39.1,352296.0,8813,17
TKYO.N0000,2016-01-18,39.8,40.0,39.8,39.8,356467.2,8918,15
TKYO.N0000,2016-01-19,39.8,39.8,39.5,39.6,1020634.6,25752,17
TKYO.N0000,2016-01-20,39.9,40.0,39.5,39.8,2502966.3,62693,30
TKYO.N0000,2016-01-21,39.9,40.0,39.3,39.5,9673031.9,242497,39
TKYO.N0000,2016-01-24,40.0,40.0,39.4,39.7,160982.8,4051,10
TKYO.N0000,2016-01-25,39.5,39.9,39.5,39.9,66739.0,1682,9
TKYO.N0000,2016-01-26,39.5,39.5,39.5,39.5,6007476.0,152088,11
TKYO.N0000,2016-01-27,39.4,40.0,39.4,39.4,7960.6,202,3
TKYO.N0000,2016-01-28,42.0,42.0,39.0,39.2,317866.9,8105,13
TKYO.N0000,2016-01-31,42.0,42.0,42.0,39.2,420.0,10,1
TKYO.N0000,2016-02-01,39.7,41.3,39.4,39.9,3365466.4,85303,49
TKYO.N0000,2016-02-02,39.9,40.9,39.3,39.3,664877.0,16840,20
TKYO.N0000,2016-02-04,40.5,40.5,39.1,39.2,811822.5,20733,19
TKYO.N0000,2016-02-07,39.1,39.1,39.0,39.0,103555.5,2652,8
TKYO.N0000,2016-02-08,39.1,39.1,38.5,38.5,3739609.0,95890,30
TKYO.N0000,2016-02-09,38.5,38.5,38.5,38.5,1401669.5,36407,18
TKYO.N0000,2016-02-10,38.5,38.5,38.0,38.1,255181.0,6705,18
TKYO.N0000,2016-02-11,38.0,38.0,37.8,37.8,166720.0,4400,5
TKYO.N0000,2016-02-14,38.0,38.0,37.5,37.5,367343.0,9765,11
TKYO.N0000,2016-02-15,37.2,37.2,37.2,37.2,11160.0,300,1
TKYO.N0000,2016-02-16,37.2,37.2,36.0,36.0,632398.0,17230,22
TKYO.N0000,2016-02-17,36.0,36.0,34.5,34.6,2728185.5,77745,28
