ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
TKYO.X0000,2016-01-03,39.5,40.0,39.5,40.0,2919200.0,73025,28
TKYO.X0000,2016-01-04,39.0,39.9,38.5,38.5,53940.4,1401,3
TKYO.X0000,2016-01-05,40.0,41.0,39.5,40.0,1638292.5,40911,30
TKYO.X0000,2016-01-06,38.6,39.0,38.5,38.6,412772.5,10700,11
TKYO.X0000,2016-01-07,39.9,39.9,39.3,39.3,124192.4,3160,7
TKYO.X0000,2016-01-10,38.2,38.2,38.0,38.0,10812123.8,284523,15
TKYO.X0000,2016-01-11,37.9,37.9,37.4,37.5,2957338.7,78823,67
TKYO.X0000,2016-01-12,37.4,37.5,37.4,37.5,6625033.8,176713,20
TKYO.X0000,2016-01-13,37.1,37.5,37.0,37.0,18195989.5,491782,10
TKYO.X0000,2016-01-17,37.5,37.5,34.0,35.0,2200474.5,62398,30
TKYO.X0000,2016-01-18,34.1,34.5,34.0,34.5,3802042.5,111720,17
TKYO.X0000,2016-01-19,33.2,34.5,33.1,34.5,27283.0,820,4
TKYO.X0000,2016-01-20,34.5,35.0,34.5,34.7,564060.0,16130,9
TKYO.X0000,2016-01-21,35.0,36.5,35.0,35.0,3343209.0,94745,27
TKYO.X0000,2016-01-24,35.7,35.7,34.6,35.0,36918.5,1055,7
TKYO.X0000,2016-01-25,36.5,36.5,34.3,35.0,691009.6,19217,15
TKYO.X0000,2016-01-26,34.5,36.3,34.5,35.5,1435034.6,40828,14
TKYO.X0000,2016-01-27,35.3,35.3,35.3,35.3,10590.0,300,2
TKYO.X0000,2016-01-28,35.0,35.0,35.0,35.0,14000.0,400,2
TKYO.X0000,2016-01-31,35.3,35.3,35.3,35.0,353.0,10,1
TKYO.X0000,2016-02-01,35.4,36.4,35.4,35.5,1276346.5,35952,8
TKYO.X0000,2016-02-02,35.6,35.6,35.5,35.5,1094305.0,30810,12
TKYO.X0000,2016-02-04,36.1,36.1,36.1,35.5,469.3,13,1
TKYO.X0000,2016-02-07,35.5,35.5,35.0,35.1,56185.0,1591,5
TKYO.X0000,2016-02-08,35.5,35.5,34.6,35.0,39169.2,1112,7
TKYO.X0000,2016-02-09,35.0,35.0,35.0,35.0,10815.0,309,5
TKYO.X0000,2016-02-10,35.4,35.4,34.1,34.3,38255.0,1100,8
TKYO.X0000,2016-02-14,35.2,36.4,34.0,34.0,443490.0,12480,12
TKYO.X0000,2016-02-15,34.5,34.5,34.0,34.0,4809.5,141,2
TKYO.X0000,2016-02-16,34.0,34.0,34.0,34.0,196146.0,5769,9
TKYO.X0000,2016-02-17,34.0,35.0,33.3,33.9,15533.5,458,4
TKYO.X0000,2016-02-18,34.5,34.5,31.7,32.2,175664.0,5400,23
TKYO.X0000,2016-02-22,32.6,33.0,32.5,32.6,3583.5,110,3
TKYO.X0000,2016-02-24,33.0,33.0,32.0,32.1,52253.5,1615,9
TKYO.X0000,2016-02-25,33.0,33.0,32.1,32.6,5710.0,175,3
TKYO.X0000,2016-02-29,32.1,32.1,32.1,32.1,6420.0,200,2
TKYO.X0000,2016-03-01,32.2,32.2,30.0,30.0,1293502.2,42100,34
TKYO.X0000,2016-03-02,30.0,30.9,28.0,28.5,582932.4,20036,23
TKYO.X0000,2016-03-03,29.6,29.6,28.0,28.1,594927.1,21200,19
TKYO.X0000,2016-03-07,27.3,27.3,25.0,26.0,7133892.0,275900,65
TKYO.X0000,2016-03-08,26.0,26.0,24.6,25.0,10526466.3,420729,92
TKYO.X0000,2016-03-09,25.0,28.9,25.0,27.6,1971592.0,75306,34
TKYO.X0000,2016-03-10,28.0,28.9,28.0,28.7,114989.0,4010,4
TKYO.X0000,2016-03-13,28.9,29.5,27.5,27.5,321876704.1,10694779,14
TKYO.X0000,2016-03-14,27.3,28.4,27.3,28.1,1632860.4,58526,18
TKYO.X0000,2016-03-15,29.0,29.0,28.6,28.6,13446.0,470,2
TKYO.X0000,2016-03-16,29.9,33.0,29.9,31.5,5442733.8,173112,62
TKYO.X0000,2016-03-17,31.6,33.0,31.6,32.1,7732788.0,239940,41
TKYO.X0000,2016-03-20,32.8,32.8,32.8,32.8,8200.0,250,1
TKYO.X0000,2016-03-22,32.5,32.6,32.5,32.5,515131.1,15850,12
TKYO.X0000,2016-03-23,32.8,33.2,32.8,33.1,3861982.8,116967,26
TKYO.X0000,2016-03-27,32.9,33.5,32.6,32.9,380434.0,11550,9
TKYO.X0000,2016-03-28,32.6,32.6,31.6,32.5,556647.6,17270,13
TKYO.X0000,2016-03-29,31.6,31.7,31.6,31.6,190017.1,6013,4
TKYO.X0000,2016-03-30,32.9,33.2,31.7,32.3,300204.0,9150,14
TKYO.X0000,2016-03-31,34.0,34.3,34.0,34.3,216060.0,6300,8
TKYO.X0000,2016-04-03,33.9,34.8,32.7,34.0,39884.6,1174,13
TKYO.X0000,2016-04-04,33.1,33.9,33.0,33.9,751305.0,22500,13
TKYO.X0000,2016-04-05,33.9,33.9,33.5,33.5,143573036.8,4285689,40
TKYO.X0000,2016-04-06,34.5,34.7,34.5,34.5,186520.0,5400,5
TKYO.X0000,2016-04-07,34.5,34.7,34.4,34.5,1942879.0,56265,18
TKYO.X0000,2016-04-10,34.1,34.8,33.9,34.5,24550.6,715,17
TKYO.X0000,2016-04-11,34.8,36.6,34.8,35.1,604354.1,17210,25
TKYO.X0000,2016-04-14,35.4,37.4,35.4,36.5,997454.9,27336,34
TKYO.X0000,2016-04-17,35.7,38.1,35.7,38.0,1277481.6,33805,58
TKYO.X0000,2016-04-18,38.3,38.3,36.5,36.7,726051.0,19752,18
TKYO.X0000,2016-04-19,35.6,37.3,35.6,36.9,3027714.9,84921,10
TKYO.X0000,2016-04-21,37.3,37.3,36.0,37.0,1936373.7,51959,10
TKYO.X0000,2016-04-24,37.0,37.0,36.2,36.2,288192.3,7961,8
TKYO.X0000,2016-04-25,36.2,36.2,36.0,36.0,127468.8,3530,11
TKYO.X0000,2016-04-26,37.0,37.3,36.0,37.0,8809023.5,241170,25
TKYO.X0000,2016-04-27,36.2,36.5,36.2,36.5,2389100.0,65500,6
TKYO.X0000,2016-04-28,37.0,38.5,36.4,37.9,2141915.7,57052,28
TKYO.X0000,2016-05-02,38.7,38.7,37.9,38.1,96054.0,2520,6
TKYO.X0000,2016-05-03,38.0,38.0,37.5,37.7,425304.6,11264,13
TKYO.X0000,2016-05-04,37.5,37.7,37.0,37.7,40920.0,1100,3
TKYO.X0000,2016-05-05,37.0,37.8,37.0,37.8,174660.0,4700,8
TKYO.X0000,2016-05-08,37.5,37.5,37.5,37.8,1987.5,53,1
TKYO.X0000,2016-05-09,37.2,37.5,37.2,37.3,325270.5,8723,16
TKYO.X0000,2016-05-10,37.2,37.7,37.2,37.3,736710.0,19800,6
TKYO.X0000,2016-05-11,37.3,37.3,37.1,37.2,69018.2,1856,6
TKYO.X0000,2016-05-12,37.2,37.2,37.0,37.0,346229.7,9357,24
TKYO.X0000,2016-05-15,37.2,37.4,37.2,37.2,2082823.5,55988,9
TKYO.X0000,2016-05-16,37.4,37.4,37.0,37.0,153804.2,4156,3
TKYO.X0000,2016-05-17,37.1,37.1,36.6,37.1,39321.0,1060,3
TKYO.X0000,2016-05-18,37.0,37.4,37.0,37.4,478597.0,12852,9
TKYO.X0000,2016-05-19,36.6,37.0,36.6,37.0,97368.2,2637,11
TKYO.X0000,2016-05-23,36.6,36.6,36.2,36.2,928096.0,25638,15
TKYO.X0000,2016-05-24,36.2,36.2,36.0,36.0,1704766.0,47302,19
TKYO.X0000,2016-05-25,36.1,36.1,36.0,36.0,669323.0,18583,9
TKYO.X0000,2016-05-26,36.0,36.0,35.0,36.0,319490.0,9122,9
TKYO.X0000,2016-05-29,36.0,36.0,35.5,35.8,82714.0,2299,5
TKYO.X0000,2016-05-30,36.0,36.0,35.2,35.4,22437.2,636,7
TKYO.X0000,2016-05-31,36.0,37.5,36.0,36.9,1941886.0,52649,22
TKYO.X0000,2016-06-01,38.0,38.5,38.0,38.0,2199056.5,57356,30
TKYO.X0000,2016-06-02,38.0,39.0,38.0,38.4,24009628.0,624170,65
TKYO.X0000,2016-06-05,39.0,39.9,38.2,39.8,2748435.8,69182,50
TKYO.X0000,2016-06-06,38.5,39.5,38.3,38.8,95938.5,2495,9
TKYO.X0000,2016-06-07,39.0,39.0,38.4,38.5,48668.4,1251,4
TKYO.X0000,2016-06-08,38.5,38.6,38.3,38.5,339985.0,8840,10
TKYO.X0000,2016-06-09,38.1,38.2,38.1,38.2,88997.0,2335,2
