ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
UCAR.N0000,2016-01-05,550.0,550.0,550.0,600.0,550.0,1,1
UCAR.N0000,2016-01-17,530.0,530.0,530.0,600.0,530.0,1,1
UCAR.N0000,2016-01-18,530.0,530.0,530.0,600.0,2650.0,5,1
UCAR.N0000,2016-01-19,501.1,501.1,501.1,600.0,501.1,1,1
UCAR.N0000,2016-01-20,580.0,580.0,580.0,600.0,11600.0,20,1
UCAR.N0000,2016-01-24,520.1,520.1,520.1,600.0,1040.2,2,2
UCAR.N0000,2016-01-31,550.0,550.0,530.0,600.0,16450.1,31,4
UCAR.N0000,2016-02-01,550.0,550.0,550.0,600.0,5500.0,10,1
UCAR.N0000,2016-02-02,590.0,639.0,590.0,624.3,580583.6,931,11
UCAR.N0000,2016-02-18,600.0,600.0,600.0,600.0,60000.0,100,1
UCAR.N0000,2016-02-22,600.0,600.0,600.0,600.0,1200.0,2,1
UCAR.N0000,2016-02-23,590.0,590.0,590.0,590.0,59000.0,100,1
UCAR.N0000,2016-02-24,580.0,580.0,580.0,590.0,35380.0,61,4
UCAR.N0000,2016-02-25,580.0,580.0,580.0,590.0,22620.0,39,1
UCAR.N0000,2016-03-10,600.0,600.0,600.0,590.0,600.0,1,1
UCAR.N0000,2016-03-30,591.0,591.0,591.0,590.0,29550.0,50,1
UCAR.N0000,2016-04-26,630.0,630.0,630.0,590.0,6930.0,11,1
UCAR.N0000,2016-05-05,496.0,570.0,496.0,590.0,26658.0,53,2
UCAR.N0000,2016-05-08,570.0,570.0,570.0,590.0,24510.0,43,2
UCAR.N0000,2016-05-11,570.0,570.0,570.0,590.0,5700.0,10,1
UCAR.N0000,2016-05-23,600.0,600.0,575.0,590.0,7175.0,12,5
UCAR.N0000,2016-05-29,600.0,600.0,600.0,590.0,1800.0,3,1
UCAR.N0000,2016-06-16,500.0,550.0,500.0,544.6,61000.0,112,6
UCAR.N0000,2016-07-10,591.0,591.0,554.0,544.6,3365.0,6,4
UCAR.N0000,2016-07-17,550.0,550.0,550.0,544.6,3300.0,6,2
UCAR.N0000,2016-07-20,550.0,550.0,550.0,544.6,23100.0,42,4
UCAR.N0000,2016-07-21,520.0,544.6,520.0,544.6,2104.6,4,3
UCAR.N0000,2016-07-24,546.0,546.0,546.0,544.6,5460.0,10,4
UCAR.N0000,2016-07-25,544.6,544.6,544.6,544.6,54460.0,100,2
UCAR.N0000,2016-07-26,545.0,545.0,545.0,544.6,4905.0,9,1
UCAR.N0000,2016-07-27,540.0,550.0,540.0,544.6,8200.0,15,2
UCAR.N0000,2016-07-28,550.0,550.0,550.0,544.6,11000.0,20,1
UCAR.N0000,2016-08-01,550.0,550.0,550.0,544.6,2200.0,4,3
UCAR.N0000,2016-08-04,550.0,550.0,550.0,544.6,2750.0,5,1
UCAR.N0000,2016-08-07,550.0,550.0,550.0,544.6,550.0,1,1
UCAR.N0000,2016-08-08,560.0,560.0,560.0,544.6,11200.0,20,3
UCAR.N0000,2016-08-09,550.0,550.0,550.0,544.6,2750.0,5,1
UCAR.N0000,2016-08-18,555.0,555.0,555.0,544.6,8880.0,16,1
UCAR.N0000,2016-08-22,624.9,624.9,624.9,544.6,624.9,1,1
UCAR.N0000,2016-08-23,615.0,615.0,615.0,544.6,1230.0,2,1
UCAR.N0000,2016-09-01,555.0,555.0,555.0,544.6,5550.0,10,1
