ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
UML.N0000,2016-01-03,92.0,92.5,92.0,92.0,473251.0,5143,13
UML.N0000,2016-01-04,92.4,92.5,92.0,92.2,468737.0,5081,13
UML.N0000,2016-01-05,95.0,95.0,92.0,92.0,15235.0,165,4
UML.N0000,2016-01-06,92.1,92.1,92.0,92.0,229550.5,2494,10
UML.N0000,2016-01-07,92.0,92.0,91.0,91.3,94004.8,1024,7
UML.N0000,2016-01-10,89.9,89.9,88.6,89.3,173505.1,1936,7
UML.N0000,2016-01-11,89.8,89.8,87.0,87.0,493277.4,5642,27
UML.N0000,2016-01-12,88.8,90.0,88.8,88.8,13410.0,151,3
UML.N0000,2016-01-13,88.6,88.8,88.0,88.1,2069676.5,23375,14
UML.N0000,2016-01-17,88.2,88.2,85.2,85.2,181543.5,2102,18
UML.N0000,2016-01-18,85.2,88.0,85.1,85.5,89813.8,1047,10
UML.N0000,2016-01-19,87.8,87.8,85.5,85.8,123414.9,1433,14
UML.N0000,2016-01-20,85.5,88.0,85.5,88.0,60326.5,693,6
UML.N0000,2016-01-21,88.0,88.3,88.0,88.0,367304.4,4173,23
UML.N0000,2016-01-24,87.5,87.5,87.0,87.5,201725.0,2306,13
UML.N0000,2016-01-25,87.1,87.1,86.0,86.0,215873.0,2495,12
UML.N0000,2016-01-26,86.0,87.0,85.0,87.0,459451.4,5364,20
UML.N0000,2016-01-27,86.2,87.0,86.0,87.0,321039.0,3718,16
UML.N0000,2016-01-28,86.5,87.5,85.0,85.9,1169110.5,13547,37
UML.N0000,2016-01-31,87.3,87.3,87.0,87.0,9573.0,110,2
UML.N0000,2016-02-01,87.0,87.0,85.0,85.3,593532.8,6907,32
UML.N0000,2016-02-02,85.1,85.7,85.0,85.2,1235162.3,14480,19
UML.N0000,2016-02-04,85.0,85.5,84.9,85.1,2207571.4,25958,64
UML.N0000,2016-02-07,85.0,85.5,85.0,85.0,301454.5,3543,16
UML.N0000,2016-02-08,84.6,85.0,83.6,84.4,436749.4,5187,39
UML.N0000,2016-02-09,85.0,85.0,83.7,84.4,5710.6,68,4
UML.N0000,2016-02-10,84.9,84.9,83.5,83.6,51147.7,612,12
UML.N0000,2016-02-11,84.9,84.9,84.0,84.0,508372.5,6052,12
UML.N0000,2016-02-14,85.0,86.0,84.0,84.9,489322.0,5793,19
UML.N0000,2016-02-15,84.2,84.9,84.2,84.2,42949.0,510,2
UML.N0000,2016-02-16,84.9,85.0,84.5,84.5,185585.5,2195,12
UML.N0000,2016-02-17,85.0,85.5,84.0,84.6,447963.0,5284,24
UML.N0000,2016-02-22,85.7,85.7,84.0,84.1,590863.0,6999,23
UML.N0000,2016-02-23,84.0,85.0,84.0,84.0,88665.0,1055,13
UML.N0000,2016-02-24,84.2,84.5,84.2,84.3,180866.7,2145,8
UML.N0000,2016-02-25,87.0,89.0,87.0,88.2,2255414.1,25683,28
UML.N0000,2016-02-28,88.5,88.5,88.0,88.1,538518.6,6113,26
UML.N0000,2016-02-29,88.1,88.1,87.1,87.2,152909.5,1745,13
UML.N0000,2016-03-01,88.1,88.1,85.6,87.5,1481254.0,16972,24
UML.N0000,2016-03-02,87.5,87.5,86.9,87.0,293300.8,3370,13
UML.N0000,2016-03-03,87.0,88.0,86.0,87.7,157909.6,1823,13
UML.N0000,2016-03-07,85.9,85.9,80.0,80.4,170161.6,2055,12
UML.N0000,2016-03-08,80.0,80.0,76.0,79.0,720685.2,9334,18
UML.N0000,2016-03-09,76.0,82.9,75.3,79.1,802281.3,10162,17
UML.N0000,2016-03-10,78.6,84.3,78.6,80.0,7091531.9,88828,47
UML.N0000,2016-03-13,81.0,81.0,78.0,80.0,191373.4,2420,18
UML.N0000,2016-03-14,79.0,80.0,79.0,80.0,21214.0,266,2
UML.N0000,2016-03-15,80.0,84.0,80.0,84.0,322758.7,3905,5
UML.N0000,2016-03-16,83.7,85.0,83.7,84.6,44475.2,526,5
UML.N0000,2016-03-17,86.0,86.0,80.7,81.6,76957.2,930,12
UML.N0000,2016-03-20,84.0,86.0,81.0,83.9,50098.0,597,7
UML.N0000,2016-03-22,86.9,86.9,85.0,86.8,18230.0,210,5
UML.N0000,2016-03-23,86.5,86.5,86.5,86.8,2595.0,30,1
UML.N0000,2016-03-27,86.3,86.4,84.1,85.0,746152.8,8764,15
UML.N0000,2016-03-28,85.2,85.2,85.0,85.1,191780.8,2252,8
UML.N0000,2016-03-29,85.0,85.0,83.0,83.1,908651.5,10924,14
UML.N0000,2016-03-30,83.0,86.4,83.0,83.0,85592.0,1030,4
UML.N0000,2016-03-31,85.9,87.0,85.9,86.7,234277.0,2701,5
UML.N0000,2016-04-03,86.0,87.0,86.0,86.0,427339.0,4969,6
UML.N0000,2016-04-04,86.9,88.0,86.9,88.0,331302.0,3788,19
UML.N0000,2016-04-05,88.4,90.9,88.0,90.0,20674878.0,229822,40
UML.N0000,2016-04-06,90.0,91.0,88.5,88.5,2509471.5,28281,18
UML.N0000,2016-04-07,88.5,90.9,88.3,90.7,893570.1,10100,12
UML.N0000,2016-04-10,90.0,91.0,89.0,91.0,186628.0,2052,7
UML.N0000,2016-04-11,91.4,92.0,91.4,92.0,246537.0,2680,8
UML.N0000,2016-04-14,92.0,92.0,90.0,90.0,257484.0,2802,10
UML.N0000,2016-04-17,90.1,90.1,90.0,90.0,4775.0,53,2
UML.N0000,2016-04-18,90.0,90.0,90.0,90.0,3172500.0,35250,7
UML.N0000,2016-04-19,90.0,91.0,90.0,91.0,801440.0,8893,10
UML.N0000,2016-04-21,91.2,91.2,90.0,90.0,537330.0,5954,14
UML.N0000,2016-04-24,91.0,91.0,90.0,90.2,1173960.0,13042,20
UML.N0000,2016-04-25,90.5,90.5,86.2,90.0,368010.7,4089,8
UML.N0000,2016-04-26,90.0,90.0,90.0,90.0,585090.0,6501,7
UML.N0000,2016-04-27,90.0,90.0,90.0,90.0,16470.0,183,5
UML.N0000,2016-04-28,88.4,90.0,88.4,90.0,457010.0,5085,10
UML.N0000,2016-05-02,91.5,92.0,90.2,91.0,658955.5,7234,14
UML.N0000,2016-05-03,90.5,95.1,90.5,91.2,739102.5,8092,29
UML.N0000,2016-05-04,90.0,92.0,90.0,90.1,1088442.0,12061,16
UML.N0000,2016-05-05,91.0,91.9,90.0,91.0,367871.9,4043,3
UML.N0000,2016-05-08,91.8,93.0,91.1,92.0,460662.7,5008,16
UML.N0000,2016-05-09,91.5,92.0,91.5,92.0,312194.0,3407,6
UML.N0000,2016-05-11,93.5,93.5,91.8,91.8,189193.0,2060,5
UML.N0000,2016-05-12,92.0,92.5,92.0,92.0,534770.5,5812,17
UML.N0000,2016-05-15,92.6,93.5,92.6,93.1,18611.0,200,5
UML.N0000,2016-05-16,92.7,92.7,92.0,92.1,278057.0,3015,10
UML.N0000,2016-05-17,92.7,92.9,92.0,92.0,591762.4,6401,19
UML.N0000,2016-05-18,92.5,92.5,91.8,92.0,2278277.9,24761,16
UML.N0000,2016-05-19,91.8,96.0,91.8,94.2,813582.0,8665,26
UML.N0000,2016-05-23,93.1,93.1,91.8,93.0,246483.1,2651,8
UML.N0000,2016-05-24,91.6,93.0,91.6,93.0,413111.2,4444,9
UML.N0000,2016-05-25,93.9,93.9,93.0,93.0,193490.7,2063,14
UML.N0000,2016-05-26,91.7,93.0,91.6,93.0,78090.0,850,7
UML.N0000,2016-05-29,91.9,92.5,91.9,92.0,378762.0,4117,7
UML.N0000,2016-05-30,90.2,90.3,87.0,89.8,1928042.9,21419,41
