ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
VFIN.N0000,2016-01-03,67.0,67.0,67.0,67.0,160733.0,2399,7
VFIN.N0000,2016-01-04,66.5,66.5,66.1,66.5,227422.0,3420,6
VFIN.N0000,2016-01-05,66.1,66.3,66.1,66.3,1662457.5,25075,4
VFIN.N0000,2016-01-06,66.1,66.1,65.0,65.8,659684.5,10025,11
VFIN.N0000,2016-01-07,65.3,65.5,64.0,64.7,2077956.9,32191,48
VFIN.N0000,2016-01-10,64.0,64.3,61.4,63.1,1315907.3,20891,27
VFIN.N0000,2016-01-11,62.2,65.9,62.0,63.4,3939303.0,62404,35
VFIN.N0000,2016-01-12,63.6,65.0,63.1,64.9,485056.7,7564,10
VFIN.N0000,2016-01-13,63.5,63.5,61.0,61.2,223149.5,3650,21
VFIN.N0000,2016-01-17,61.0,64.0,60.0,60.0,1197733.0,19954,31
VFIN.N0000,2016-01-18,60.0,60.0,56.0,57.0,2179636.3,38687,43
VFIN.N0000,2016-01-19,58.9,59.0,57.0,57.6,364917.9,6307,14
VFIN.N0000,2016-01-20,61.5,62.0,59.9,60.0,294925.6,4917,10
VFIN.N0000,2016-01-21,62.0,63.0,61.2,62.2,39797.0,640,8
VFIN.N0000,2016-01-25,62.8,64.0,62.8,63.0,382303.2,6067,12
VFIN.N0000,2016-01-26,64.0,64.6,62.0,63.0,773191.0,12385,15
VFIN.N0000,2016-01-27,64.9,65.0,63.1,63.6,2911370.8,45174,45
VFIN.N0000,2016-01-28,64.9,64.9,63.1,64.5,25968.9,403,13
VFIN.N0000,2016-01-31,64.0,64.0,63.1,63.3,203141.0,3209,11
VFIN.N0000,2016-02-01,63.8,64.9,63.1,63.7,6377626.7,99798,43
VFIN.N0000,2016-02-02,64.4,64.4,64.3,64.3,45020.0,700,6
VFIN.N0000,2016-02-04,64.0,64.7,63.8,64.0,1485187.5,23211,16
VFIN.N0000,2016-02-07,63.5,63.5,63.0,63.0,1250786.0,19842,22
VFIN.N0000,2016-02-08,62.6,63.0,61.6,62.7,146716.8,2340,10
VFIN.N0000,2016-02-09,63.0,63.0,62.0,62.0,68906.5,1107,9
VFIN.N0000,2016-02-10,62.2,62.2,62.2,62.0,1990.4,32,1
VFIN.N0000,2016-02-11,62.0,62.0,61.6,61.8,319204.6,5166,24
VFIN.N0000,2016-02-14,61.6,61.6,58.2,60.1,1416037.9,23539,26
VFIN.N0000,2016-02-15,60.5,60.5,58.0,60.0,5773709.0,96456,27
VFIN.N0000,2016-02-16,59.0,59.0,58.0,58.1,925765.5,15902,15
VFIN.N0000,2016-02-17,58.0,58.0,57.3,58.0,148758.0,2566,12
VFIN.N0000,2016-02-18,58.0,62.0,58.0,60.7,303390.0,5200,8
VFIN.N0000,2016-02-22,58.2,58.5,57.1,58.0,205946.0,3551,9
VFIN.N0000,2016-02-23,57.2,57.2,56.5,57.0,404652.0,7100,19
VFIN.N0000,2016-02-24,58.0,61.9,57.0,59.9,2033963.4,34108,32
VFIN.N0000,2016-02-25,60.5,60.9,58.0,59.6,363662.4,6101,6
VFIN.N0000,2016-02-28,59.4,59.4,57.5,57.5,441286.2,7668,11
VFIN.N0000,2016-02-29,57.4,57.4,56.5,56.9,591030.2,10377,12
VFIN.N0000,2016-03-01,57.9,57.9,56.5,56.5,388619.4,6854,14
VFIN.N0000,2016-03-02,56.2,57.0,55.1,57.0,1429504.0,25240,29
VFIN.N0000,2016-03-03,55.7,57.4,55.7,57.4,459185.0,8050,3
VFIN.N0000,2016-03-07,55.7,55.7,52.0,52.5,2762097.2,52116,37
VFIN.N0000,2016-03-08,52.0,52.0,47.1,50.2,2263715.0,45070,26
VFIN.N0000,2016-03-09,52.5,53.0,51.1,53.0,1398361.8,26442,32
VFIN.N0000,2016-03-10,52.0,56.0,52.0,55.9,261186.0,4735,14
VFIN.N0000,2016-03-13,53.1,53.1,52.0,52.2,289410.5,5525,16
VFIN.N0000,2016-03-14,52.1,52.2,52.1,52.1,47024.2,902,4
