ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
VLL.X0000,2021-06-16,4.5,4.9,4.3,4.4,11093740.6,2513916,323
VLL.X0000,2021-06-17,4.4,4.5,4.3,4.4,1946560.8,442687,59
VLL.X0000,2021-06-20,4.3,4.4,4.3,4.3,536808.8,124839,22
VLL.X0000,2021-06-21,4.3,4.3,4.3,4.3,766075.1,178157,29
VLL.X0000,2021-06-22,4.3,4.4,4.3,4.3,495012.7,115119,19
VLL.X0000,2021-06-24,4.3,4.3,4.3,4.3,512701.9,119233,23
VLL.X0000,2021-06-27,4.4,4.4,4.3,4.3,246475.3,56971,12
VLL.X0000,2021-06-28,4.3,4.4,4.2,4.4,1168081.5,271674,34
VLL.X0000,2021-06-29,4.3,4.4,4.3,4.3,736570.5,171133,22
VLL.X0000,2021-06-30,4.3,4.4,4.3,4.3,320950.6,74592,14
VLL.X0000,2021-07-01,4.4,4.4,4.3,4.4,786170.1,179304,15
VLL.X0000,2021-07-04,4.4,4.4,4.4,4.4,4621588.4,1050361,23
VLL.X0000,2021-07-05,4.4,4.4,4.3,4.3,249686.0,58065,12
VLL.X0000,2021-07-06,4.4,4.5,4.4,4.4,54099.3,12295,6
VLL.X0000,2021-07-07,4.4,4.4,4.4,4.4,70.4,16,2
VLL.X0000,2021-07-08,4.4,4.8,4.4,4.6,3402454.2,752328,82
VLL.X0000,2021-07-11,4.5,4.5,4.4,4.5,426006.2,95119,22
VLL.X0000,2021-07-12,4.5,4.6,4.5,4.5,658611.1,146358,7
VLL.X0000,2021-07-13,4.5,4.6,4.5,4.5,598836.1,133068,11
VLL.X0000,2021-07-14,4.6,4.6,4.5,4.5,1305481.6,290107,11
VLL.X0000,2021-07-15,4.5,4.5,4.5,4.5,3847.5,855,2
VLL.X0000,2021-07-18,4.5,4.5,4.5,4.5,1574478.0,349884,25
VLL.X0000,2021-07-19,4.6,4.7,4.6,4.6,1237922.6,267331,30
VLL.X0000,2021-07-21,4.7,4.7,4.6,4.6,140298.7,30491,5
VLL.X0000,2021-07-25,4.6,4.7,4.6,4.6,1023339.2,222465,12
VLL.X0000,2021-07-26,4.6,4.6,4.6,4.6,89700.0,19500,5
VLL.X0000,2021-07-27,4.6,4.7,4.5,4.6,820612.0,179133,12
VLL.X0000,2021-07-28,4.7,4.7,4.6,4.6,982105.1,213501,14
VLL.X0000,2021-07-29,4.6,4.7,4.6,4.6,31749.4,6902,6
VLL.X0000,2021-08-01,4.6,4.6,4.6,4.6,92000.0,20000,2
VLL.X0000,2021-08-02,4.6,4.6,4.6,4.6,443283.6,96366,8
VLL.X0000,2021-08-03,4.6,4.6,4.5,4.5,26255.6,5834,5
VLL.X0000,2021-08-04,4.5,4.7,4.5,4.5,406272.0,90266,13
VLL.X0000,2021-08-05,4.4,4.5,4.4,4.5,569050.8,126652,11
VLL.X0000,2021-08-08,4.5,4.5,4.5,4.5,14553.0,3234,4
VLL.X0000,2021-08-09,4.5,4.5,4.5,4.5,4063.5,903,4
VLL.X0000,2021-08-10,4.6,4.6,4.5,4.5,198.1,44,2
VLL.X0000,2021-08-11,4.5,4.5,4.5,4.5,52654.5,11701,8
VLL.X0000,2021-08-12,4.6,5.0,4.6,4.8,463327.0,96286,41
VLL.X0000,2021-08-15,4.9,4.9,4.5,4.5,22620.0,5011,11
VLL.X0000,2021-08-16,4.8,4.8,4.5,4.5,26195.4,5805,18
VLL.X0000,2021-08-17,4.8,4.8,4.5,4.8,136146.5,29802,20
VLL.X0000,2021-08-18,4.7,4.8,4.6,4.6,177604.8,38601,7
VLL.X0000,2021-08-19,4.7,4.7,4.6,4.6,22310.4,4832,8
VLL.X0000,2021-08-22,4.6,4.7,4.5,4.5,204131.4,44590,19
VLL.X0000,2021-08-23,4.7,4.7,4.5,4.5,358384.9,79638,18
VLL.X0000,2021-08-24,4.5,4.6,4.5,4.5,160554.1,35212,15
VLL.X0000,2021-08-25,4.6,4.6,4.5,4.5,452006.0,99868,16
VLL.X0000,2021-08-26,4.5,4.7,4.5,4.5,393009.9,86777,9
VLL.X0000,2021-08-29,4.5,4.6,4.5,4.5,362142.1,80476,9
VLL.X0000,2021-08-30,4.6,4.7,4.4,4.5,258179.4,57264,17
VLL.X0000,2021-08-31,4.6,4.6,4.5,4.5,90009.2,20002,3
VLL.X0000,2021-09-01,4.6,4.6,4.5,4.6,54424.8,12061,12
VLL.X0000,2021-09-02,4.6,4.7,4.6,4.7,134112.0,28920,25
VLL.X0000,2021-09-05,4.7,4.7,4.7,4.7,4.7,1,1
VLL.X0000,2021-09-06,4.7,4.7,4.5,4.6,48400.7,10355,11
VLL.X0000,2021-09-07,4.8,4.8,4.5,4.5,74688.0,16517,14
VLL.X0000,2021-09-08,4.7,4.7,4.6,4.5,142.8,31,4
VLL.X0000,2021-09-09,4.7,4.7,4.7,4.5,4.7,1,1
VLL.X0000,2021-09-12,4.6,4.6,4.6,4.6,5290.0,1150,3
VLL.X0000,2021-09-13,4.6,4.7,4.6,4.7,47598.7,10141,8
VLL.X0000,2021-09-14,4.7,4.9,4.7,4.7,270848.9,56692,16
VLL.X0000,2021-09-15,4.8,5.1,4.8,4.9,783114.3,158400,61
VLL.X0000,2021-09-16,4.9,4.9,4.8,4.8,100819.6,21004,8
VLL.X0000,2021-09-20,4.9,4.9,4.8,4.9,9169.4,1879,4
VLL.X0000,2021-09-21,4.8,4.9,4.8,4.8,272299.3,56729,8
VLL.X0000,2021-09-22,4.9,4.9,4.8,4.8,20375.2,4199,4
VLL.X0000,2021-09-23,4.9,4.9,4.9,4.9,4904.9,1001,2
VLL.X0000,2021-09-26,4.9,4.9,4.9,4.9,4.9,1,1
VLL.X0000,2021-09-27,4.9,5.0,4.8,4.8,34151.0,7071,8
VLL.X0000,2021-09-28,4.9,5.0,4.9,4.9,108995.0,21929,18
VLL.X0000,2021-09-29,5.0,5.0,4.9,4.9,9810.0,2002,5
VLL.X0000,2021-09-30,4.9,5.0,4.9,5.0,65504.1,13291,17
VLL.X0000,2021-10-03,5.0,5.0,4.9,5.0,6294.9,1259,10
VLL.X0000,2021-10-04,5.1,5.1,4.7,4.7,15242271.9,3237060,30
VLL.X0000,2021-10-05,5.0,5.0,4.9,4.9,31665.0,6401,7
