ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
VONE.N0000,2016-01-03,21.7,21.8,21.5,21.5,757545.5,35065,20
VONE.N0000,2016-01-04,21.3,21.5,21.3,21.4,296355.0,13850,19
VONE.N0000,2016-01-05,21.4,21.5,21.3,21.4,638171.2,29758,16
VONE.N0000,2016-01-06,21.3,21.3,21.0,21.2,682862.4,32184,28
VONE.N0000,2016-01-07,21.1,21.1,20.9,21.0,1453297.0,69207,20
VONE.N0000,2016-01-10,20.9,20.9,20.0,20.1,1993170.0,98300,32
VONE.N0000,2016-01-11,20.3,20.3,19.5,19.5,4750325.9,238761,55
VONE.N0000,2016-01-12,19.8,20.7,19.7,20.0,1136651.2,56881,34
VONE.N0000,2016-01-13,20.1,20.1,19.6,19.8,4343788.8,220464,26
VONE.N0000,2016-01-17,19.5,20.4,19.2,19.4,2635924.0,135270,40
VONE.N0000,2016-01-18,19.4,19.4,19.0,19.4,2761838.0,144005,38
VONE.N0000,2016-01-19,19.5,19.5,19.2,19.5,3141604.5,161111,21
VONE.N0000,2016-01-20,19.7,20.3,19.6,20.0,1127539.3,56636,28
VONE.N0000,2016-01-21,20.2,20.3,20.1,20.3,1699010.6,83702,32
VONE.N0000,2016-01-24,20.3,20.3,19.8,20.0,30140.5,1505,6
VONE.N0000,2016-01-25,20.3,20.3,20.0,20.0,376817.6,18817,16
VONE.N0000,2016-01-26,20.0,20.0,19.8,19.9,262360.0,13200,15
VONE.N0000,2016-01-27,19.9,19.9,19.7,19.8,2239231.5,112835,30
VONE.N0000,2016-01-28,19.7,19.9,19.7,19.7,611038.0,30824,26
VONE.N0000,2016-01-31,19.9,19.9,19.6,19.7,319452.8,16230,20
VONE.N0000,2016-02-01,19.7,20.6,19.7,20.0,3170839.3,159406,28
VONE.N0000,2016-02-02,20.1,20.1,19.9,20.0,327095.0,16350,9
VONE.N0000,2016-02-04,20.0,20.6,20.0,20.1,161410.0,8060,13
VONE.N0000,2016-02-07,20.2,20.5,19.7,20.2,519784.1,25964,24
VONE.N0000,2016-02-08,19.8,20.0,19.6,19.6,461290.0,23406,30
VONE.N0000,2016-02-09,19.6,19.9,19.6,19.7,305972.2,15526,7
VONE.N0000,2016-02-10,19.6,19.6,19.2,19.5,328121.5,16815,45
