ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
YORK.N0000,2016-01-03,15.6,15.6,15.6,15.6,1560.0,100,1
YORK.N0000,2016-01-07,14.6,14.6,14.6,14.6,33580.0,2300,6
YORK.N0000,2016-01-18,13.3,14.3,13.3,14.3,15026.7,1099,6
YORK.N0000,2016-01-19,14.5,14.5,14.0,14.0,12614.5,901,3
YORK.N0000,2016-01-20,14.0,14.5,13.3,14.5,18180.0,1300,8
YORK.N0000,2016-01-26,13.9,14.5,13.8,13.9,18030.0,1300,4
YORK.N0000,2016-01-27,15.0,15.0,15.0,15.0,1500.0,100,1
YORK.N0000,2016-02-02,14.5,14.8,14.5,14.5,11600.3,800,3
YORK.N0000,2016-02-07,14.5,14.5,12.0,14.1,99329.5,7851,8
YORK.N0000,2016-02-09,12.6,14.0,12.5,12.5,6271.0,501,4
YORK.N0000,2016-02-10,13.9,13.9,12.5,12.6,92490.0,7350,7
YORK.N0000,2016-02-11,12.7,13.7,12.0,13.3,146154.0,12020,18
YORK.N0000,2016-02-14,13.0,13.2,12.6,12.7,57432.4,4487,12
YORK.N0000,2016-02-15,12.6,12.6,12.6,12.6,52390.8,4158,5
YORK.N0000,2016-02-16,12.6,12.9,12.0,12.0,92490.7,7479,12
YORK.N0000,2016-02-17,12.0,12.9,12.0,12.9,26531.4,2203,4
YORK.N0000,2016-02-18,12.5,12.8,12.5,12.9,200.3,16,2
YORK.N0000,2016-02-22,12.8,12.8,12.8,12.9,12.8,1,1
YORK.N0000,2016-02-24,12.1,12.8,12.1,12.8,12835.5,1055,4
YORK.N0000,2016-02-25,12.5,12.5,12.5,12.5,56250.0,4500,7
YORK.N0000,2016-02-28,12.5,12.7,12.3,12.7,29395.6,2372,5
YORK.N0000,2016-02-29,12.1,12.2,12.0,12.0,24910.0,2070,7
YORK.N0000,2016-03-01,11.8,11.8,11.5,11.5,39190.0,3400,3
YORK.N0000,2016-03-07,11.0,11.0,9.9,10.0,66898.5,6645,12
YORK.N0000,2016-03-08,10.0,10.0,9.9,10.0,9970.0,1000,5
YORK.N0000,2016-03-09,10.0,11.5,10.0,10.1,13039.0,1288,4
YORK.N0000,2016-03-10,11.4,11.5,11.3,11.4,69428.7,6100,9
YORK.N0000,2016-03-15,11.5,12.0,11.5,11.8,84274.5,7163,13
YORK.N0000,2016-03-16,12.5,12.6,11.9,12.2,48805.3,4057,11
YORK.N0000,2016-03-20,12.9,13.0,12.9,12.9,2710.0,210,5
YORK.N0000,2016-03-22,12.1,13.4,11.0,12.7,177972.0,16002,9
YORK.N0000,2016-03-29,13.0,13.0,13.0,13.0,182000.0,14000,2
YORK.N0000,2016-03-30,13.0,13.0,13.0,13.0,26000.0,2000,2
YORK.N0000,2016-03-31,12.4,13.0,12.3,13.0,318938.8,25301,21
YORK.N0000,2016-04-03,13.0,13.2,12.6,12.6,57455.0,4455,8
YORK.N0000,2016-04-04,13.3,13.4,13.3,13.3,31800.5,2391,8
YORK.N0000,2016-04-05,13.3,13.8,13.3,13.6,309853.0,22845,12
YORK.N0000,2016-04-06,13.0,13.6,13.0,13.4,28122.0,2120,5
YORK.N0000,2016-04-07,13.6,13.7,13.0,13.1,82809.5,6152,14
YORK.N0000,2016-04-10,13.5,13.7,13.5,13.7,58544.8,4313,5
YORK.N0000,2016-04-11,13.8,13.9,13.8,13.8,5530.0,400,5
YORK.N0000,2016-04-14,13.7,14.2,13.7,14.0,21547.0,1560,5
YORK.N0000,2016-04-17,13.5,13.5,13.2,13.4,8010.0,600,2
YORK.N0000,2016-04-18,13.9,13.9,13.2,13.3,64879.0,4870,8
YORK.N0000,2016-04-19,13.2,14.0,13.2,13.8,113336.2,8491,10
YORK.N0000,2016-04-21,13.7,14.0,13.4,13.9,72588.4,5215,5
YORK.N0000,2016-04-24,13.2,14.0,13.2,13.9,15990.0,1200,4
YORK.N0000,2016-04-25,13.0,14.0,13.0,14.0,1413.0,101,2
YORK.N0000,2016-04-28,14.0,14.0,13.9,13.9,7655.0,550,2
YORK.N0000,2016-05-02,13.5,14.0,13.5,13.8,11724.5,847,5
YORK.N0000,2016-05-03,13.9,13.9,13.9,13.9,1390.0,100,1
YORK.N0000,2016-05-04,13.7,13.7,13.7,13.7,17823.7,1301,5
YORK.N0000,2016-05-05,13.4,13.9,13.4,13.7,12240.0,900,7
YORK.N0000,2016-05-08,14.0,14.0,13.9,13.9,2785.0,200,4
YORK.N0000,2016-05-09,13.9,14.2,13.9,14.0,497994.2,35601,29
YORK.N0000,2016-05-10,14.3,14.3,14.3,14.3,1430.0,100,1
YORK.N0000,2016-05-12,14.2,14.3,14.2,14.3,16468.4,1152,3
YORK.N0000,2016-05-15,14.0,14.0,14.0,14.0,611380.0,43670,21
YORK.N0000,2016-05-16,14.3,14.3,14.1,14.1,167842.3,11852,13
YORK.N0000,2016-05-17,14.5,14.5,14.5,14.5,281807.5,19435,7
YORK.N0000,2016-05-18,14.5,14.5,14.1,14.1,75669.1,5351,8
YORK.N0000,2016-05-19,14.1,14.6,14.0,14.5,267765.2,18852,14
YORK.N0000,2016-05-23,14.1,14.7,14.1,14.7,45820.0,3200,5
YORK.N0000,2016-05-24,14.2,14.5,14.2,14.5,48469.2,3411,3
YORK.N0000,2016-05-25,14.2,14.2,14.1,14.2,192737.7,13577,12
