ticker,relative_path,status,rows,start_date,end_date,filesize_bytes
AMCL.N0000,empty_array/AMCL.N0000.json,empty_array,0,,,2
CALC.U0000,empty_array/CALC.U0000.json,empty_array,0,,,2
CALH.N0000,empty_array/CALH.N0000.json,empty_array,0,,,2
CALI.U0000,empty_array/CALI.U0000.json,empty_array,0,,,2
CBNK.N0000,empty_array/CBNK.N0000.json,empty_array,0,,,2
CHOU.N0000,empty_array/CHOU.N0000.json,empty_array,0,,,2
DOCK.R0000,empty_array/DOCK.R0000.json,empty_array,0,,,2
MFPE.R0000,empty_array/MFPE.R0000.json,empty_array,0,,,2
WLTH.N0000,empty_array/WLTH.N0000.json,empty_array,0,,,2
PKME.N0000,empty_file/PKME.N0000.json,empty_file,0,,,0
AAF.N0000,has_data/AAF.N0000.json,has_data,2255,2016-01-03,2025-12-30,516292
AAF.P0000,has_data/AAF.P0000.json,has_data,501,2021-08-22,2025-12-30,113884
AAIC.N0000,has_data/AAIC.N0000.json,has_data,2319,2016-01-03,2025-12-30,543664
ABAN.N0000,has_data/ABAN.N0000.json,has_data,2107,2016-01-03,2025-12-30,491464
ABL.N0000,has_data/ABL.N0000.json,has_data,2322,2016-01-03,2025-12-30,533930
ACAP.N0000,has_data/ACAP.N0000.json,has_data,2232,2016-01-03,2025-12-30,506600
ACL.N0000,has_data/ACL.N0000.json,has_data,2313,2016-01-03,2025-12-30,546290
ACME.N0000,has_data/ACME.N0000.json,has_data,2259,2016-01-03,2025-12-30,514222
ACME.R0000,has_data/ACME.R0000.json,has_data,6,2022-07-10,2022-07-18,1387
AEL.N0000,has_data/AEL.N0000.json,has_data,2362,2016-01-03,2025-12-30,559853
AFS.N0000,has_data/AFS.N0000.json,has_data,554,2023-02-28,2025-12-30,127149
AFSL.N0000,has_data/AFSL.N0000.json,has_data,1780,2016-01-03,2025-12-30,407873
AFSL.R0000,has_data/AFSL.R0000.json,has_data,17,2016-03-31,2022-09-26,3887
AGAL.N0000,has_data/AGAL.N0000.json,has_data,1895,2016-01-03,2025-12-30,439872
AGPL.N0000,has_data/AGPL.N0000.json,has_data,560,2023-09-03,2025-12-30,130479
AGST.N0000,has_data/AGST.N0000.json,has_data,2125,2016-01-03,2025-12-30,488556
AGST.R0000,has_data/AGST.R0000.json,has_data,6,2022-01-30,2022-02-07,1420
AGST.R0001,has_data/AGST.R0001.json,has_data,6,2022-01-30,2022-02-07,1399
AGST.X0000,has_data/AGST.X0000.json,has_data,96,2022-01-04,2025-12-30,21948
AHPL.N0000,has_data/AHPL.N0000.json,has_data,2195,2016-01-05,2025-12-30,508287
AHUN.N0000,has_data/AHUN.N0000.json,has_data,2300,2016-01-03,2025-12-30,535255
AINS.N0000,has_data/AINS.N0000.json,has_data,1787,2016-01-04,2025-12-30,410279
ALHP.N0000,has_data/ALHP.N0000.json,has_data,1451,2016-01-03,2022-04-28,331634
ALLI.N0000,has_data/ALLI.N0000.json,has_data,2264,2016-01-06,2025-12-30,528423
ALUM.N0000,has_data/ALUM.N0000.json,has_data,2346,2016-01-03,2025-12-30,548525
AMF.N0000,has_data/AMF.N0000.json,has_data,1541,2016-01-03,2025-12-30,358469
AMSL.N0000,has_data/AMSL.N0000.json,has_data,2266,2016-01-03,2025-12-30,522664
APLA.N0000,has_data/APLA.N0000.json,has_data,2206,2016-01-03,2025-12-30,519857
ASCO.N0000,has_data/ASCO.N0000.json,has_data,2109,2016-01-03,2025-12-30,488407
ASHO.N0000,has_data/ASHO.N0000.json,has_data,1542,2016-01-03,2025-12-30,360932
ASIR.N0000,has_data/ASIR.N0000.json,has_data,2289,2016-01-03,2025-12-30,531022
ASIY.N0000,has_data/ASIY.N0000.json,has_data,2313,2016-01-03,2025-12-30,529618
ASPH.N0000,has_data/ASPH.N0000.json,has_data,1747,2016-01-05,2025-12-30,403798
ASPM.N0000,has_data/ASPM.N0000.json,has_data,7,2022-01-09,2022-10-13,1588
ATL.N0000,has_data/ATL.N0000.json,has_data,2227,2016-01-03,2025-12-30,508414
ATLL.N0000,has_data/ATLL.N0000.json,has_data,1478,2016-08-17,2025-12-30,335044
AUTO.N0000,has_data/AUTO.N0000.json,has_data,1446,2016-01-03,2025-12-30,332369
BALA.N0000,has_data/BALA.N0000.json,has_data,2304,2016-01-03,2025-12-30,534982
BALA.R0000,has_data/BALA.R0000.json,has_data,6,2022-12-08,2022-12-15,1399
BBH.N0000,has_data/BBH.N0000.json,has_data,2149,2016-01-03,2025-12-30,493884
BERU.N0000,has_data/BERU.N0000.json,has_data,2287,2016-01-03,2025-12-30,521901
BFL.N0000,has_data/BFL.N0000.json,has_data,2328,2016-01-03,2025-12-30,552471
BFN.N0000,has_data/BFN.N0000.json,has_data,2164,2016-02-17,2025-12-30,498748
BIL.N0000,has_data/BIL.N0000.json,has_data,2358,2016-01-03,2025-12-30,551808
BLI.N0000,has_data/BLI.N0000.json,has_data,1173,2016-01-03,2022-01-06,268715
BLUE.N0000,has_data/BLUE.N0000.json,has_data,1855,2016-01-03,2024-12-08,422676
BLUE.X0000,has_data/BLUE.X0000.json,has_data,1796,2016-01-03,2024-12-08,407536
BOGA.N0000,has_data/BOGA.N0000.json,has_data,2145,2016-01-03,2025-12-30,497745
BOPL.N0000,has_data/BOPL.N0000.json,has_data,2141,2016-01-03,2025-12-30,492231
