End_Week_End_Week,Average_Weigted_Lending_Rate_(AWLR)_Average_Weigted_Lending_Rate_(AWLR),Average_Weighted_Prime_Lending_Rate_(AWPR)_Weekly,Average_Weighted_Prime_Lending_Rate_(AWPR)_Monthly,Average_Weighted_Prime_Lending_Rate_(AWPR)_6_months,Average_Weighted_Deposit_Rate_Monthly,Average_Weighted_Deposit_Rate_6_months,Average_Weighted_Fixed_Deposit_Rate_(AWFDR)_Rate_(%_)_Average_Weighted_Fixed_Deposit_Rate_(AWFDR)_Rate_(%_),Average_Weighted_SME_Rate_(AWSR)_Average_Weighted_SME_Rate_(AWSR)
2025-12-31,11.48,,,,6.78,6.81,8.41,11.53
2025-12-26,,8.94,,,,,,
2025-12-19,,8.78,,,,,,
2025-12-12,,8.81,,,,,,
2025-12-05,,8.74,,,,,,
2025-11-28,11.37,8.64,8.44,8.17,6.77,6.83,8.31,11.43
2025-11-21,,8.35,,,,,,
2025-11-14,,8.34,,,,,,
2025-11-07,,8.42,,,,,,
2025-10-31,11.37,8.31,8.15,8.17,6.79,6.87,8.32,11.46
2025-10-24,,8.17,,,,,,
2025-10-17,,7.93,,,,,,
2025-10-10,,8.19,,,,,,
2025-10-03,,8.1,8.1,8.23,,,,
2025-09-30,11.37,,,,6.8,6.92,8.34,11.48
2025-09-26,,8.05,,,,,,
2025-09-19,,8.07,,,,,,
2025-09-12,,8.13,,,,,,
2025-09-04,,8.16,,,,,,
2025-08-29,11.44,7.97,8.1,8.27,6.82,6.97,8.36,11.66
2025-08-22,,8.07,,,,,,
2025-08-15,,8.09,,,,,,
2025-08-07,,8.25,,,,,,
2025-08-01,,8.07,8.02,8.33,,,,
2025-07-31,11.5,,,,6.88,7.04,8.46,11.78
2025-07-25,,8.1,,,,,,
2025-07-18,,8.01,,,,,,
2025-07-11,,7.88,,,,,,
2025-07-04,,8.06,,,,,,
2025-06-30,11.56,,,,6.93,7.11,8.52,11.82
2025-06-27,,8.11,8.22,8.44,,,,
2025-06-20,,8.17,,,,,,
2025-06-13,,8.21,,,,,,
2025-06-06,,8.37,,,,,,
2025-05-30,11.67,8.35,8.45,8.56,6.98,7.21,8.56,11.94
2025-05-23,,8.47,,,,,,
2025-05-16,,8.58,,,,,,
2025-05-09,,8.41,,,,,,
2025-05-02,,8.36,8.47,8.67,,,,
2025-04-30,11.7,,,,7.08,7.31,8.74,12.06
2025-04-25,,8.39,,,,,,
2025-04-17,,8.44,,,,,,
2025-04-11,,8.63,,,,,,
2025-04-04,,8.53,,,,,,
2025-03-28,11.8,8.43,8.39,8.78,7.15,7.4,8.79,12.14
2025-03-21,,8.44,,,,,,
2025-03-14,,8.37,,,,,,
2025-03-07,,8.33,,,,,,
2025-02-28,11.99,8.36,8.45,8.93,7.21,7.49,8.84,12.2
2025-02-21,,8.39,,,,,,
2025-02-14,,8.42,,,,,,
2025-02-07,,8.59,,,,,,
2025-01-31,12.07,8.56,8.66,9.04,7.31,7.6,8.97,12.38
2025-01-24,,8.67,,,,,,
2025-01-17,,8.65,,,,,,
2025-01-10,,8.74,,,,,,
2025-01-03,,8.9,8.92,9.09,,,,
2024-12-31,11.93,,,,7.53,7.72,9.27,12.48
2024-12-27,,9.06,,,,,,
2024-12-20,,8.72,,,,,,
2024-12-13,,8.82,,,,,,
2024-12-06,,9.09,,,,,,
2024-11-29,12.06,9.1,9.11,9.12,7.59,7.87,9.36,12.63
2024-11-22,,9.08,,,,,,
2024-11-14,,9.11,,,,,,
2024-11-08,,9.16,,,,,,
2024-11-01,,9.05,9.14,9.21,,,,
2024-10-30,12.09,,,,7.61,8.11,9.46,12.81
2024-10-25,,9.17,,,,,,
2024-10-18,,9.1,,,,,,
2024-10-11,,9.25,,,,,,
2024-10-04,,9.13,,,,,,
2024-09-30,12.14,,,,7.7,8.45,9.46,12.88
2024-09-27,,9.32,9.31,9.41,,,,
2024-09-20,,9.38,,,,,,
2024-09-13,,9.23,,,,,,
2024-09-06,,9.32,,,,,,
2024-08-30,12.12,9.13,9.1,9.71,7.87,8.88,9.67,12.88
2024-08-23,,9.13,,,,,,
2024-08-16,,9.07,,,,,,
2024-08-09,,9.05,,,,,,
2024-08-02,,9.04,8.97,10.13,,,,
2024-07-31,12.25,,,,8.04,9.37,9.9,13.07
2024-07-26,,8.81,,,,,,
2024-07-19,,9.12,,,,,,
2024-07-12,,8.85,,,,,,
2024-07-05,,9.04,,,,,,
2024-06-28,12.47,8.78,9.08,10.62,8.38,9.89,10.39,13.32
2024-06-20,,9.09,,,,,,
2024-06-14,,9.15,,,,,,
2024-06-07,,9.28,,,,,,
2024-05-31,12.81,9.36,9.65,11.18,9.05,10.43,11.36,13.72
2024-05-22,,9.68,,,,,,
2024-05-17,,9.65,,,,,,
2024-05-10,,9.92,,,,,,
2024-05-03,,10.15,10.38,11.76,,,,
2024-04-30,13.14,,,,9.66,10.94,12.12,14.07
2024-04-26,,10.13,,,,,,
2024-04-19,,10.41,,,,,,
2024-04-10,,10.63,,,,,,
2024-04-05,,10.56,,,,,,
2024-03-28,13.43,10.69,11.11,12.35,10.3,11.46,13.1,14.41
2024-03-22,,11.04,,,,,,
2024-03-15,,11.35,,,,,,
2024-03-07,,11.35,,,,,,
2024-03-01,,11.42,11.59,12.99,,,,
2024-02-29,13.74,,,,10.8,11.97,13.77,14.72
2024-02-22,,11.5,,,,,,
2024-02-16,,11.61,,,,,,
2024-02-09,,11.83,,,,,,
2024-02-02,,11.91,11.94,13.75,,,,
2024-01-31,13.88,,,,11.15,12.53,14.28,14.98
2024-01-26,,12.25,,,,,,
2024-01-19,,11.78,,,,,,
2024-01-12,,11.87,,,,,,
2024-01-05,,11.87,,,,,,
2023-12-29,14.21,12.13,12.39,14.79,11.64,13.13,14.88,15.33
2023-12-22,,12.19,,,,,,
2023-12-15,,12.46,,,,,,
2023-12-08,,12.79,,,,,,
2023-12-01,,13.03,13.13,16.06,,,,
2023-11-30,14.66,,,,12.11,13.71,15.54,16.02
2023-11-24,,13.05,,,,,,
2023-11-17,,13.14,,,,,,
2023-11-10,,13.31,,,,,,
2023-11-03,,13.88,13.94,17.34,,,,
2023-10-31,15.18,,,,12.75,14.23,16.34,16.45
2023-10-27,,13.86,,,,,,
2023-10-20,,13.68,,,,,,
2023-10-13,,14.0,,,,,,
2023-10-06,,14.3,,,,,,
2023-09-27,15.62,14.67,14.96,18.65,13.39,14.62,17.24,17.1
2023-09-22,,14.81,,,,,,
2023-09-15,,15.21,,,,,,
2023-09-08,,15.14,,,,,,
2023-09-01,,15.29,16.11,19.9,,,,
2023-08-31,16.2,,,,14.15,14.9,18.26,17.67
2023-08-25,,15.59,,,,,,
2023-08-18,,16.02,,,,,,
2023-08-11,,16.67,,,,,,
2023-08-04,,16.96,,,,,,
2023-07-31,16.9,,,,14.76,15.0,19.02,18.54
2023-07-28,,17.18,18.2,21.33,,,,
2023-07-21,,17.76,,,,,,
2023-07-14,,18.69,,,,,,
2023-07-07,,19.17,,,,,,
2023-06-28,17.51,19.47,20.04,22.75,15.09,14.98,19.7,19.13
2023-06-23,,19.69,,,,,,
2023-06-16,,20.26,,,,,,
2023-06-09,,20.73,,,,,,
2023-06-02,,20.29,20.81,24.11,,,,
2023-05-31,17.75,,,,15.23,14.81,19.84,19.14
2023-05-26,,21.28,,,,,,
2023-05-19,,20.34,,,,,,
2023-05-12,,21.32,,,,,,
2023-05-04,,20.84,,,,,,
2023-04-28,17.87,21.03,21.8,25.35,15.12,14.5,19.72,19.04
2023-04-21,,21.45,,,,,,
2023-04-12,,22.09,,,,,,
2023-04-06,,22.63,,,,,,
2023-03-31,18.29,21.4,22.42,26.4,15.06,14.08,19.8,19.91
2023-03-24,,21.74,,,,,,
2023-03-17,,23.78,,,,,,
2023-03-10,,22.74,,,,,,
2023-03-03,,23.45,24.71,27.02,,,,
2023-02-28,18.5,,,,14.74,13.51,19.23,20.29
2023-02-24,,24.21,,,,,,
2023-02-17,,25.35,,,,,,
2023-02-10,,25.83,,,,,,
2023-02-03,,24.82,26.73,27.11,,,,
2023-01-31,18.66,,,,14.63,12.8,19.15,20.49
2023-01-27,,25.28,,,,,,
2023-01-20,,27.54,,,,,,
2023-01-13,,27.93,,,,,,
2023-01-05,,28.07,,,,,,
2022-12-30,18.7,27.24,28.19,26.53,14.06,11.95,18.49,20.73
2022-12-23,,28.68,,,,,,
2022-12-16,,28.31,,,,,,
