ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
ABL.N0000,2016-01-03,5.0,5.1,4.9,4.9,1232244.8,247443,33
ABL.N0000,2016-01-04,4.9,4.9,4.8,4.8,441509.7,91252,17
ABL.N0000,2016-01-05,4.9,4.9,4.8,4.8,774872.0,161015,35
ABL.N0000,2016-01-06,4.8,4.9,4.8,4.9,5394.8,1101,3
ABL.N0000,2016-01-07,4.8,4.8,4.7,4.7,799995.2,169999,21
ABL.N0000,2016-01-10,4.7,4.7,4.6,4.7,143961.2,30722,7
ABL.N0000,2016-01-11,4.6,4.6,4.6,4.6,177100.0,38500,11
ABL.N0000,2016-01-12,4.6,4.7,4.6,4.6,884231.9,188360,20
ABL.N0000,2016-01-13,4.7,4.7,4.6,4.6,46521.7,10111,5
ABL.N0000,2016-01-17,4.6,4.6,4.6,4.6,109066.0,23710,4
ABL.N0000,2016-01-18,4.6,4.7,4.6,4.6,15461.0,3360,5
ABL.N0000,2016-01-19,4.7,4.7,4.7,4.7,1071040.7,227881,9
ABL.N0000,2016-01-20,4.7,4.7,4.6,4.6,44818.6,9591,8
ABL.N0000,2016-01-21,4.6,4.6,4.5,4.6,463248.0,102880,12
ABL.N0000,2016-01-24,4.5,4.6,4.5,4.6,6156.0,1360,2
ABL.N0000,2016-01-25,4.5,4.5,4.5,4.5,9000.0,2000,6
ABL.N0000,2016-01-26,4.5,4.6,4.5,4.6,280953.5,62413,11
ABL.N0000,2016-01-27,4.6,4.6,4.5,4.6,143705.5,31759,10
ABL.N0000,2016-01-28,4.6,4.6,4.5,4.6,98521.0,21635,10
ABL.N0000,2016-01-31,4.7,4.7,4.5,4.7,14790.7,3161,6
ABL.N0000,2016-02-01,4.6,4.8,4.6,4.8,5720.0,1200,3
ABL.N0000,2016-02-02,4.6,4.6,4.5,4.6,169700.0,37000,9
ABL.N0000,2016-02-04,4.6,4.6,4.6,4.6,44620.0,9700,2
ABL.N0000,2016-02-07,4.7,4.7,4.7,4.7,23871.3,5079,4
ABL.N0000,2016-02-08,4.7,4.7,4.6,4.6,464170.0,100900,4
ABL.N0000,2016-02-09,4.6,4.6,4.6,4.6,12190.0,2650,3
ABL.N0000,2016-02-10,4.5,4.5,4.5,4.5,177525.0,39450,12
ABL.N0000,2016-02-11,4.5,4.5,4.5,4.5,45000.0,10000,2
ABL.N0000,2016-02-14,4.7,4.7,4.5,4.5,38119.7,8471,6
ABL.N0000,2016-02-15,4.6,4.6,4.6,4.6,4144.6,901,2
ABL.N0000,2016-02-16,4.6,4.6,4.5,4.5,416800.1,92400,11
ABL.N0000,2016-02-17,4.6,4.6,4.5,4.5,33800.6,7511,4
ABL.N0000,2016-02-18,4.5,4.5,4.5,4.5,301050.0,66900,13
ABL.N0000,2016-02-22,4.6,4.6,4.5,4.5,1296020.0,288000,19
ABL.N0000,2016-02-23,4.5,4.6,4.5,4.6,1330113.8,293803,16
ABL.N0000,2016-02-24,4.6,4.7,4.5,4.7,290336.0,62435,11
ABL.N0000,2016-02-25,4.6,4.7,4.6,4.6,11013.0,2390,3
ABL.N0000,2016-02-28,4.7,4.7,4.5,4.5,596407.0,130960,11
ABL.N0000,2016-02-29,4.6,4.6,4.6,4.6,46000.0,10000,1
ABL.N0000,2016-03-01,4.6,4.6,4.5,4.5,100510.0,22000,6
ABL.N0000,2016-03-02,4.5,4.5,4.5,4.5,39195.0,8710,6
ABL.N0000,2016-03-03,4.6,4.6,4.5,4.5,44215.0,9825,2
ABL.N0000,2016-03-07,4.5,4.5,4.2,4.3,343550.0,77410,17
ABL.N0000,2016-03-08,4.2,4.2,4.0,4.1,72045.0,17350,14
ABL.N0000,2016-03-09,4.2,4.3,4.1,4.3,83860.0,20200,7
ABL.N0000,2016-03-10,4.3,4.9,4.3,4.7,1396002.5,301905,36
ABL.N0000,2016-03-13,4.8,4.8,4.6,4.6,76363.0,16600,6
ABL.N0000,2016-03-14,4.7,4.7,4.6,4.6,2083167.0,452860,16
ABL.N0000,2016-03-15,4.6,4.7,4.6,4.6,152264.7,33101,3
ABL.N0000,2016-03-16,4.6,5.0,4.6,4.8,1431012.8,301850,17
ABL.N0000,2016-03-17,4.9,5.3,4.9,5.0,1689965.7,335000,19
ABL.N0000,2016-03-20,6.0,6.0,4.9,5.4,18376722.3,3306394,180
ABL.N0000,2016-03-22,5.3,5.4,5.1,5.1,4180877.6,792718,47
ABL.N0000,2016-03-23,5.0,5.2,5.0,5.0,1946990.7,387172,33
ABL.N0000,2016-03-27,5.1,5.1,5.1,5.0,15.3,3,1
ABL.N0000,2016-03-28,5.0,5.1,5.0,5.0,14005.0,2800,3
ABL.N0000,2016-03-29,4.9,5.0,4.9,5.0,185690.7,37743,9
ABL.N0000,2016-03-30,5.0,5.6,5.0,5.4,9580524.4,1763957,75
ABL.N0000,2016-03-31,5.3,5.3,5.2,5.3,121366.5,22955,6
ABL.N0000,2016-04-03,5.2,5.3,5.1,5.2,557240.1,107301,14
ABL.N0000,2016-04-04,5.2,5.3,5.2,5.2,1589812.8,303214,21
ABL.N0000,2016-04-05,5.2,5.2,5.2,5.2,541684.0,104170,16
ABL.N0000,2016-04-06,5.2,5.2,5.1,5.2,53091.0,10210,9
ABL.N0000,2016-04-07,5.3,5.3,5.2,5.2,4448.0,845,9
ABL.N0000,2016-04-10,5.2,5.3,5.2,5.3,368065.0,69450,9
ABL.N0000,2016-04-11,5.3,5.3,5.2,5.2,64520.0,12200,11
ABL.N0000,2016-04-14,5.3,5.3,5.2,5.2,42925.0,8250,4
ABL.N0000,2016-04-17,5.2,5.2,5.2,5.2,722337.2,138911,12
