ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
ACAP.N0000,2016-01-03,7.7,8.0,7.5,7.7,118779.8,15665,25
ACAP.N0000,2016-01-04,8.0,8.0,7.6,7.7,163.0,21,3
ACAP.N0000,2016-01-05,8.0,8.0,7.6,7.7,484.0,63,3
ACAP.N0000,2016-01-06,7.6,7.6,7.6,7.6,5061.6,666,6
ACAP.N0000,2016-01-07,7.6,7.6,7.4,7.4,65875.6,8852,13
ACAP.N0000,2016-01-10,7.7,7.7,7.6,7.6,1919.6,251,3
ACAP.N0000,2016-01-11,7.4,7.6,7.4,7.4,16147.0,2182,8
ACAP.N0000,2016-01-12,7.6,8.4,7.2,7.4,66574.8,8471,20
ACAP.N0000,2016-01-13,8.0,8.0,8.0,7.4,8.0,1,1
ACAP.N0000,2016-01-17,7.4,8.0,7.4,7.5,9452.0,1261,6
ACAP.N0000,2016-01-18,7.5,7.5,7.5,7.5,44325.0,5910,7
ACAP.N0000,2016-01-19,7.9,7.9,7.5,7.5,115673.4,15423,13
ACAP.N0000,2016-01-21,7.5,7.8,7.1,7.3,184332.8,24831,17
ACAP.N0000,2016-01-25,7.2,7.8,7.0,7.3,288511.6,40050,32
ACAP.N0000,2016-01-26,7.1,7.7,7.1,7.2,333266.3,46812,22
ACAP.N0000,2016-01-27,7.0,7.0,7.0,7.0,12047.0,1721,8
ACAP.N0000,2016-01-28,7.5,7.5,6.7,7.1,83951.3,11791,17
ACAP.N0000,2016-01-31,7.4,7.4,7.1,7.1,3574.8,502,4
ACAP.N0000,2016-02-01,7.4,7.4,7.0,7.0,87757.4,12501,6
ACAP.N0000,2016-02-02,7.3,7.5,7.3,7.0,234.0,32,4
ACAP.N0000,2016-02-04,7.3,7.3,6.9,7.0,220340.6,31547,23
ACAP.N0000,2016-02-07,7.3,7.4,6.9,7.0,22023.4,3112,6
ACAP.N0000,2016-02-08,6.9,7.0,6.8,6.8,71964.0,10502,8
ACAP.N0000,2016-02-09,7.2,7.2,6.7,6.8,16414.7,2414,11
ACAP.N0000,2016-02-10,6.9,6.9,6.9,6.8,6.9,1,1
ACAP.N0000,2016-02-14,6.8,6.8,6.6,6.6,4013.5,602,7
ACAP.N0000,2016-02-15,6.5,6.7,6.3,6.4,147486.7,23018,22
ACAP.N0000,2016-02-16,6.2,6.5,5.9,6.1,186524.1,30900,16
ACAP.N0000,2016-02-17,6.9,7.0,6.9,6.9,4126.3,598,2
