ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
ACME.N0000,2016-01-03,8.2,8.2,8.2,8.2,51282.8,6254,4
ACME.N0000,2016-01-04,8.2,8.3,8.2,8.2,494663.0,60315,15
ACME.N0000,2016-01-05,8.2,8.2,8.0,8.1,121811.0,15122,8
ACME.N0000,2016-01-06,8.0,8.1,8.0,8.1,96100.0,12000,6
ACME.N0000,2016-01-07,8.0,8.0,7.9,7.9,888567.7,111143,30
ACME.N0000,2016-01-10,7.9,7.9,7.8,7.8,1200601.3,153817,26
ACME.N0000,2016-01-11,7.8,7.8,7.5,7.5,550460.0,72120,37
ACME.N0000,2016-01-12,7.6,7.9,7.6,7.6,889116.4,116153,45
ACME.N0000,2016-01-13,7.6,7.6,7.5,7.6,313250.0,41300,16
ACME.N0000,2016-01-17,7.6,7.6,7.3,7.5,920125.0,123010,20
ACME.N0000,2016-01-18,7.3,7.3,6.7,7.3,738376.0,104217,28
ACME.N0000,2016-01-19,7.0,7.2,6.8,6.9,708788.4,102982,32
ACME.N0000,2016-01-20,7.2,7.2,7.2,7.2,34581.6,4803,5
ACME.N0000,2016-01-21,7.2,7.7,7.1,7.2,691244.0,93320,68
ACME.N0000,2016-01-24,7.2,7.2,7.1,7.1,47438.0,6680,12
ACME.N0000,2016-01-25,7.1,7.1,7.0,7.0,6340.0,900,4
ACME.N0000,2016-01-26,7.0,7.2,6.9,7.0,488899.0,69745,46
ACME.N0000,2016-01-27,7.0,7.0,7.0,7.0,429870.0,61410,25
ACME.N0000,2016-01-28,7.0,7.0,7.0,7.0,70000.0,10000,2
ACME.N0000,2016-01-31,7.4,7.4,7.1,7.2,9827.4,1351,6
ACME.N0000,2016-02-01,7.4,7.4,7.3,7.3,144922.6,19749,24
ACME.N0000,2016-02-02,7.5,7.5,7.1,7.1,116629.0,16166,8
ACME.N0000,2016-02-04,7.4,7.5,7.2,7.2,43988.5,6066,5
ACME.N0000,2016-02-07,7.1,7.4,7.1,7.1,78196.3,10940,20
ACME.N0000,2016-02-09,7.2,7.5,7.0,7.0,182147.9,25820,23
ACME.N0000,2016-02-10,7.0,7.0,6.8,6.8,41264.8,5985,22
ACME.N0000,2016-02-11,6.8,6.8,6.7,6.8,290184.1,42771,15
ACME.N0000,2016-02-14,6.7,6.7,6.6,6.6,419036.6,63301,22
ACME.N0000,2016-02-15,6.5,6.6,6.5,6.5,539442.6,82984,28
ACME.N0000,2016-02-16,6.5,6.5,6.4,6.4,46126.5,7201,8
ACME.N0000,2016-02-17,6.3,6.5,6.2,6.3,42973.3,6902,19
ACME.N0000,2016-02-18,6.4,6.5,6.2,6.4,235781.0,37461,12
ACME.N0000,2016-02-22,6.5,6.7,6.4,6.4,96156.7,15001,13
ACME.N0000,2016-02-23,6.3,7.0,6.3,6.5,57518.0,8903,7
ACME.N0000,2016-02-24,6.8,6.8,6.3,6.3,54398.0,8510,11
ACME.N0000,2016-02-25,6.3,6.5,6.3,6.4,31246.2,4864,4
ACME.N0000,2016-02-28,6.4,6.5,6.0,6.0,139050.0,22700,13
ACME.N0000,2016-02-29,6.0,6.4,5.9,6.0,207270.1,34561,26
ACME.N0000,2016-03-01,5.9,5.9,5.6,5.7,167264.4,29306,27
ACME.N0000,2016-03-02,5.5,5.8,5.5,5.8,89560.0,15700,6
ACME.N0000,2016-03-03,5.8,5.8,5.5,5.5,241189.8,43849,20
ACME.N0000,2016-03-07,5.5,5.6,5.0,5.1,753785.0,140010,42
ACME.N0000,2016-03-08,5.1,5.1,4.9,5.0,476989.9,95728,41
ACME.N0000,2016-03-09,5.2,5.5,5.1,5.3,264356.0,50390,24
ACME.N0000,2016-03-10,5.5,5.6,5.2,5.4,241609.2,44917,31
ACME.N0000,2016-03-13,5.5,5.5,5.1,5.2,90540.0,17400,13
ACME.N0000,2016-03-14,5.0,5.2,5.0,5.0,345200.0,68640,24
ACME.N0000,2016-03-15,5.2,5.9,5.0,5.5,1242689.6,229181,54
ACME.N0000,2016-03-16,5.6,5.9,5.6,5.8,1332132.6,231757,99
ACME.N0000,2016-03-17,5.8,5.8,5.5,5.7,228890.0,41600,9
ACME.N0000,2016-03-20,5.7,5.8,5.7,5.7,11485.0,2000,4
ACME.N0000,2016-03-22,5.8,5.8,5.5,5.5,152745.0,27600,17
ACME.N0000,2016-03-23,5.5,5.7,5.5,5.7,5680.0,1000,3
ACME.N0000,2016-03-27,5.4,5.6,5.4,5.6,284118.8,52522,4
ACME.N0000,2016-03-28,5.5,5.5,5.4,5.5,156199.5,28849,10
ACME.N0000,2016-03-29,5.4,5.4,5.3,5.4,59334.8,11082,8
ACME.N0000,2016-03-30,5.3,5.5,5.2,5.3,307189.0,57930,21
ACME.N0000,2016-03-31,5.4,5.9,5.4,5.8,703361.1,124410,45
ACME.N0000,2016-04-03,5.5,6.0,5.5,6.0,1017726.0,172101,48
ACME.N0000,2016-04-04,6.0,6.5,6.0,6.4,4294468.6,688786,176
ACME.N0000,2016-04-05,6.3,6.3,6.1,6.3,891554.8,144872,39
ACME.N0000,2016-04-06,6.3,6.5,6.3,6.3,962465.0,151290,61
ACME.N0000,2016-04-07,6.4,6.5,6.3,6.3,164758.6,26134,21
ACME.N0000,2016-04-10,6.3,6.3,6.3,6.3,3843.0,610,2
