ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
AEL.N0000,2016-01-03,23.3,23.8,23.3,23.6,10213063.4,432947,153
AEL.N0000,2016-01-04,23.7,23.8,23.5,23.5,1509117.6,64062,74
AEL.N0000,2016-01-05,23.6,23.6,23.2,23.3,5188213.2,221144,101
AEL.N0000,2016-01-06,23.2,23.2,22.8,22.9,5773922.9,250975,107
AEL.N0000,2016-01-07,22.8,23.1,22.4,22.6,17267471.7,765201,201
AEL.N0000,2016-01-10,22.6,22.9,21.8,22.1,7856010.1,355595,168
AEL.N0000,2016-01-11,22.0,22.3,21.5,21.5,13826198.5,638771,155
AEL.N0000,2016-01-12,21.5,22.5,21.5,22.2,7530612.2,339715,161
AEL.N0000,2016-01-13,22.3,22.3,21.5,21.6,4802925.1,221758,138
AEL.N0000,2016-01-17,21.5,21.8,20.9,20.9,7055535.6,333332,145
AEL.N0000,2016-01-18,21.0,21.3,19.5,20.7,16716615.1,824256,199
AEL.N0000,2016-01-19,20.9,21.0,19.8,20.0,7284027.9,363953,130
AEL.N0000,2016-01-20,20.8,21.3,20.5,21.2,13606136.8,651382,210
AEL.N0000,2016-01-21,21.2,21.9,21.1,21.2,16774185.0,779487,276
AEL.N0000,2016-01-24,21.3,21.3,20.9,21.3,8361522.5,396760,96
AEL.N0000,2016-01-25,21.1,21.6,21.0,21.4,6428763.5,304301,78
AEL.N0000,2016-01-26,21.5,21.9,21.2,21.6,4690488.9,217556,68
AEL.N0000,2016-01-27,22.0,22.1,21.5,21.9,7611205.1,348500,124
AEL.N0000,2016-01-28,22.0,22.1,21.8,22.1,5487740.5,249270,85
AEL.N0000,2016-01-31,22.2,22.3,21.9,22.0,3028177.2,137621,52
AEL.N0000,2016-02-01,22.1,22.4,22.0,22.3,2178760.0,98060,72
AEL.N0000,2016-02-02,22.3,22.4,22.0,22.0,2364193.7,106601,65
AEL.N0000,2016-02-04,22.0,22.1,22.0,22.0,2506067.7,113860,50
AEL.N0000,2016-02-07,22.0,22.3,22.0,22.0,8712688.3,396025,48
AEL.N0000,2016-02-08,22.0,22.1,21.9,22.0,21997741.6,999891,138
AEL.N0000,2016-02-09,22.0,22.1,21.9,22.0,4266356.4,193908,66
AEL.N0000,2016-02-10,22.0,22.0,21.5,21.5,43243246.2,2010964,100
AEL.N0000,2016-02-11,21.7,21.7,21.0,21.4,43865723.2,2087567,57
AEL.N0000,2016-02-14,21.1,21.3,20.8,21.0,11742132.3,559093,75
AEL.N0000,2016-02-15,20.8,21.2,20.6,20.8,1294521.2,62449,39
AEL.N0000,2016-02-16,20.7,20.7,20.2,20.3,1453362.4,71110,87
AEL.N0000,2016-02-17,20.2,20.5,20.1,20.4,1517280.3,74359,51
AEL.N0000,2016-02-18,20.3,20.8,20.3,20.7,1853382.6,89705,65
AEL.N0000,2016-02-22,20.5,20.7,20.3,20.3,1365726.9,66899,56
AEL.N0000,2016-02-23,20.5,20.7,20.3,20.5,4556267.3,222409,72
AEL.N0000,2016-02-24,20.5,20.7,20.5,20.5,1719682.0,83600,50
AEL.N0000,2016-02-25,20.7,20.7,20.3,20.4,1595052.7,78181,56
AEL.N0000,2016-02-28,20.5,20.6,20.4,20.5,8003744.1,390434,118
AEL.N0000,2016-02-29,20.4,20.4,20.0,20.1,5211711.2,257702,134
AEL.N0000,2016-03-01,20.1,20.3,19.9,20.0,6656534.0,332768,102
AEL.N0000,2016-03-02,20.0,20.1,20.0,20.0,8199220.1,409931,92
AEL.N0000,2016-03-03,20.0,20.2,19.9,20.1,2553162.2,127542,54
AEL.N0000,2016-03-07,20.0,20.0,19.2,19.4,3853992.3,198094,116
AEL.N0000,2016-03-08,19.3,19.6,18.8,19.0,33777949.8,1775727,198
AEL.N0000,2016-03-09,19.3,20.1,19.0,20.0,110180946.2,5752724,351
AEL.N0000,2016-03-10,20.2,21.0,20.2,20.9,25376696.4,1219892,402
AEL.N0000,2016-03-13,21.1,21.1,19.8,19.9,5326670.1,266787,124
AEL.N0000,2016-03-14,20.3,20.3,19.7,20.0,24169654.9,1208645,275
AEL.N0000,2016-03-15,20.2,20.6,19.9,20.5,11175297.9,551842,195
AEL.N0000,2016-03-16,20.5,21.0,20.5,20.7,9904196.7,477301,173
AEL.N0000,2016-03-17,20.7,20.7,20.1,20.3,143115920.0,6656584,73
AEL.N0000,2016-03-20,20.9,20.9,20.3,20.4,4955683.9,243059,71
AEL.N0000,2016-03-22,20.5,20.7,20.4,20.5,761791.1,37165,36
AEL.N0000,2016-03-23,20.6,20.7,20.5,20.5,1830570.5,89212,42
AEL.N0000,2016-03-27,20.5,20.5,20.3,20.3,6287978.5,309229,81
AEL.N0000,2016-03-28,20.3,20.3,19.8,19.9,6632684.1,332369,125
AEL.N0000,2016-03-29,20.3,20.5,20.1,20.3,22582664.1,1117765,74
AEL.N0000,2016-03-30,20.4,21.0,20.2,20.8,19181432.7,926469,196
AEL.N0000,2016-03-31,20.9,21.1,20.8,21.1,17597119.3,837660,147
AEL.N0000,2016-04-03,21.2,21.2,20.9,21.0,3808006.0,181301,56
AEL.N0000,2016-04-04,21.0,21.4,21.0,21.3,28774016.2,1352180,135
AEL.N0000,2016-04-05,21.3,21.4,21.0,21.2,9076105.6,427965,71
AEL.N0000,2016-04-06,21.3,22.1,21.3,21.9,81403403.0,3734576,440
AEL.N0000,2016-04-07,22.2,22.4,22.0,22.2,29620353.4,1334224,287
AEL.N0000,2016-04-10,22.2,23.0,22.1,22.9,25362150.2,1114851,374
AEL.N0000,2016-04-11,22.9,23.7,22.9,23.4,49504360.5,2113829,582
AEL.N0000,2016-04-14,23.5,24.0,23.5,23.7,8295985.4,349108,156
AEL.N0000,2016-04-17,23.7,23.8,22.8,23.2,10958115.5,474414,327
AEL.N0000,2016-04-18,23.2,23.2,22.5,22.8,62940136.6,2768290,307
AEL.N0000,2016-04-19,22.8,23.4,22.8,22.9,8814979.8,383340,177
AEL.N0000,2016-04-21,22.9,23.3,22.9,23.0,4386641.9,190704,92
AEL.N0000,2016-04-24,23.2,23.2,22.5,22.6,5578984.1,247015,145
AEL.N0000,2016-04-25,22.8,22.8,22.3,22.5,19767541.9,878450,212
AEL.N0000,2016-04-26,22.6,23.1,22.5,23.0,12698789.2,553066,127
AEL.N0000,2016-04-27,23.0,23.3,22.8,23.0,10673634.4,463187,127
AEL.N0000,2016-04-28,23.2,23.5,23.0,23.4,30871502.1,1325759,265
AEL.N0000,2016-05-02,23.2,23.5,23.2,23.4,29383704.3,1259991,145
AEL.N0000,2016-05-03,23.5,23.7,23.3,23.3,19819701.5,844052,159
AEL.N0000,2016-05-04,23.3,23.3,22.9,23.1,9432208.7,409171,149
AEL.N0000,2016-05-05,23.3,23.5,23.0,23.2,6893755.1,298045,137
AEL.N0000,2016-05-08,23.0,23.3,22.9,23.0,3563576.5,154900,86
AEL.N0000,2016-05-09,23.0,23.5,22.9,23.1,3683268.8,159243,90
AEL.N0000,2016-05-10,23.1,23.4,23.0,23.0,6546138.4,283457,94
AEL.N0000,2016-05-11,23.1,23.1,22.8,23.0,5531521.3,240833,94
AEL.N0000,2016-05-12,23.0,23.6,23.0,23.4,35617733.9,1519309,257
AEL.N0000,2016-05-15,23.5,23.5,23.2,23.3,43606496.9,1871413,75
AEL.N0000,2016-05-16,23.3,23.4,23.1,23.2,6048143.3,261591,81
AEL.N0000,2016-05-17,23.1,23.3,23.1,23.1,27580861.9,1185260,56
AEL.N0000,2016-05-18,23.2,23.3,22.8,23.0,8859308.0,384525,81
AEL.N0000,2016-05-19,23.0,23.1,22.9,23.0,4811602.7,209633,54
AEL.N0000,2016-05-23,23.0,23.0,22.6,22.7,9241604.8,405989,81
AEL.N0000,2016-05-24,22.8,23.0,22.5,22.5,23087309.8,1024617,131
AEL.N0000,2016-05-25,22.9,22.9,22.5,22.7,13412597.7,593037,79
AEL.N0000,2016-05-26,22.6,22.8,22.5,22.5,8716358.3,386116,150
AEL.N0000,2016-05-29,22.6,22.9,22.5,22.8,3746378.7,165124,77
AEL.N0000,2016-05-30,22.8,22.8,22.7,22.7,3670176.6,161558,46
AEL.N0000,2016-05-31,22.8,23.2,22.8,23.2,5375356.6,234339,98
AEL.N0000,2016-06-01,23.3,23.6,23.2,23.5,55404074.1,2359154,284
AEL.N0000,2016-06-02,23.3,23.3,23.0,23.1,15097970.1,651481,138
AEL.N0000,2016-06-05,23.0,23.4,22.9,23.0,5246839.5,227536,103
AEL.N0000,2016-06-06,23.0,23.0,22.8,23.0,4485643.1,195499,70
AEL.N0000,2016-06-07,22.9,23.5,22.9,23.3,61280684.7,2660048,142
AEL.N0000,2016-06-08,23.5,23.5,23.0,23.1,3513809.2,151859,52
AEL.N0000,2016-06-09,23.0,23.1,22.7,23.0,6235108.6,271705,103
