ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
AFS.N0000,2023-02-28,11.7,11.7,11.7,11.7,7911540.0,676200,6
AFS.N0000,2023-03-01,12.0,12.0,12.0,12.0,1200.0,100,2
AFS.N0000,2023-03-23,12.2,12.2,12.2,12.2,11933564.2,978161,3
AFS.N0000,2023-05-15,20.0,21.3,18.4,19.1,38188.8,2000,11
AFS.N0000,2023-05-16,21.3,21.3,18.3,20.3,6094.1,300,5
AFS.N0000,2023-05-22,25.3,25.3,25.3,20.3,2504.7,99,1
AFS.N0000,2023-05-29,25.3,25.3,25.3,20.3,101.2,4,1
AFS.N0000,2023-05-31,25.3,25.3,25.3,25.3,2555.3,101,3
AFS.N0000,2023-06-15,31.0,31.0,31.0,25.3,31.0,1,1
AFS.N0000,2023-06-25,19.0,31.0,19.0,19.0,171958.4,9034,14
AFS.N0000,2023-06-27,23.7,23.7,23.7,23.7,2370.0,100,2
AFS.N0000,2023-07-03,29.6,29.6,29.6,29.6,2989.6,101,2
AFS.N0000,2023-07-04,31.6,37.0,31.6,37.0,30273.4,856,20
AFS.N0000,2023-07-05,46.2,46.2,46.2,46.2,194733.0,4215,45
AFS.N0000,2023-07-06,57.7,57.7,47.0,50.0,948508.6,18238,107
AFS.N0000,2023-07-09,50.0,50.0,46.2,49.2,45604.7,934,17
AFS.N0000,2023-07-10,50.0,50.0,40.1,41.2,19366.7,465,21
AFS.N0000,2023-07-11,42.0,48.9,42.0,45.9,19068.1,422,16
AFS.N0000,2023-07-12,47.9,49.0,47.0,47.0,129864.8,2700,22
AFS.N0000,2023-07-13,48.9,48.9,48.0,47.0,1108.1,23,9
AFS.N0000,2023-07-16,48.0,48.0,46.0,47.0,326.0,7,2
AFS.N0000,2023-07-17,46.0,46.0,43.0,43.7,61522.9,1406,21
AFS.N0000,2023-07-18,44.2,44.2,42.2,42.7,152971.6,3577,37
AFS.N0000,2023-07-19,42.7,42.7,42.7,42.7,4739.7,111,3
AFS.N0000,2023-07-20,41.4,41.4,41.4,42.7,2111.4,51,6
AFS.N0000,2023-07-23,41.2,41.2,40.0,40.2,99449.6,2474,19
AFS.N0000,2023-07-24,40.0,40.0,37.9,37.9,45860.0,1197,19
AFS.N0000,2023-07-25,39.9,41.9,39.9,40.0,1384715.8,34613,71
AFS.N0000,2023-07-26,42.3,44.3,39.6,39.9,341915.5,8297,59
AFS.N0000,2023-07-27,41.9,41.9,38.0,41.7,162646.2,4120,13
AFS.N0000,2023-07-30,41.6,42.0,41.6,42.0,11228.8,268,5
AFS.N0000,2023-08-01,42.0,42.7,42.0,42.2,33735.1,801,6
AFS.N0000,2023-08-02,42.9,42.9,40.5,41.2,91918.4,2171,22
AFS.N0000,2023-08-03,41.0,41.0,40.1,41.2,3836.5,95,2
AFS.N0000,2023-08-07,41.3,41.7,40.2,40.4,47210.7,1171,6
AFS.N0000,2023-08-09,40.2,40.4,40.2,40.3,84480.0,2100,6
AFS.N0000,2023-08-10,41.6,50.0,41.6,48.2,308255.5,6950,35
AFS.N0000,2023-08-13,41.1,45.3,40.0,42.0,220770.0,5225,31
AFS.N0000,2023-08-15,41.0,41.0,41.0,42.0,41.0,1,1
AFS.N0000,2023-08-16,41.1,49.0,41.1,47.0,33229.0,707,4
AFS.N0000,2023-08-17,44.0,44.0,44.0,44.0,54516.0,1239,4
AFS.N0000,2023-08-20,45.0,45.0,45.0,45.0,22725.0,505,2
AFS.N0000,2023-08-21,41.2,41.2,40.0,40.1,2918199.0,72800,17
AFS.N0000,2023-08-22,41.5,42.0,41.5,41.9,6499.5,155,5
AFS.N0000,2023-08-23,43.9,46.5,40.0,43.2,85192.0,1916,17
AFS.N0000,2023-08-24,41.1,46.5,41.0,45.1,20343.0,470,7
AFS.N0000,2023-08-27,46.4,46.4,40.0,40.0,1115343.6,27657,42
AFS.N0000,2023-08-28,41.0,41.0,40.0,40.0,833683.5,20820,36
AFS.N0000,2023-08-31,39.6,39.6,34.9,36.8,58695633.0,1671097,272
AFS.N0000,2023-09-03,36.8,36.8,35.2,35.5,503632.1,14178,41
AFS.N0000,2023-09-04,36.7,36.9,36.0,36.6,53626.7,1477,42
AFS.N0000,2023-09-05,36.7,39.7,36.5,38.0,3393776.3,90759,75
AFS.N0000,2023-09-06,39.0,39.0,38.0,38.1,397173.4,10438,16
AFS.N0000,2023-09-07,39.0,39.8,37.2,39.0,48178.1,1243,23
AFS.N0000,2023-09-10,39.5,39.5,38.0,38.1,51071.9,1341,14
AFS.N0000,2023-09-11,38.1,38.1,38.0,38.0,599398.0,15771,31
AFS.N0000,2023-09-12,38.0,38.0,37.7,37.9,3827.7,101,5
AFS.N0000,2023-09-13,37.2,38.0,37.0,37.5,2542549.3,67834,39
AFS.N0000,2023-09-14,38.0,38.0,35.1,35.3,161126.4,4491,38
AFS.N0000,2023-09-17,36.7,36.7,35.6,35.7,80272.9,2242,11
AFS.N0000,2023-09-18,35.6,35.6,35.0,35.0,234661.1,6701,18
