ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
AFSL.R0000,2016-03-31,20.0,20.0,20.0,13.2,20.0,1,1
AFSL.R0000,2016-04-03,3.1,15.0,3.1,8.0,2039.4,379,9
AFSL.R0000,2016-04-04,15.0,15.0,1.4,10.0,193080.0,19308,7
AFSL.R0000,2016-04-05,9.8,10.0,9.8,10.0,74685.2,7472,5
AFSL.R0000,2016-04-06,10.0,10.0,10.0,10.0,1200.0,120,12
AFSL.R0000,2017-04-20,1.5,5.0,1.5,3.0,11925001.0,7947713,21
AFSL.R0000,2017-04-23,3.2,3.2,2.5,3.0,1920.2,680,6
AFSL.R0000,2017-04-24,2.5,2.7,2.5,2.5,1119.3,446,3
AFSL.R0000,2017-04-25,2.5,3.0,2.5,3.0,3810.2,1425,10
AFSL.R0000,2017-04-26,3.0,3.7,2.5,2.7,53830.0,19485,25
AFSL.R0000,2017-04-27,3.0,3.1,2.1,3.0,89221.3,32855,51
AFSL.R0000,2022-09-19,0.2,19.5,0.2,11.5,1055559.0,121196,424
AFSL.R0000,2022-09-20,12.0,13.0,7.2,7.5,201728.1,24770,137
AFSL.R0000,2022-09-21,7.5,7.5,4.0,5.9,264291.8,47246,137
AFSL.R0000,2022-09-22,5.9,7.5,3.1,4.0,115997.8,25599,96
AFSL.R0000,2022-09-25,4.1,6.0,3.0,3.7,234078.9,58159,129
AFSL.R0000,2022-09-26,3.0,3.6,2.5,3.1,90995.8,29826,66
