ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
AGAL.N0000,2016-01-03,22.5,22.5,21.0,21.0,5325.0,250,2
AGAL.N0000,2016-01-04,20.7,20.7,20.7,20.7,3105.0,150,2
AGAL.N0000,2016-01-05,22.7,22.7,20.0,20.7,1228.0,60,3
AGAL.N0000,2016-01-06,20.7,20.7,20.0,20.0,18031.2,901,5
AGAL.N0000,2016-01-07,20.0,20.0,20.0,20.0,200.0,10,1
AGAL.N0000,2016-01-10,20.0,20.0,19.0,19.0,19290.0,1000,4
AGAL.N0000,2016-01-11,19.0,21.9,18.0,19.0,149126.9,8249,12
AGAL.N0000,2016-01-13,18.3,21.9,18.0,18.0,138970.9,7711,8
AGAL.N0000,2016-01-17,17.9,21.9,17.9,17.9,8971.9,501,4
AGAL.N0000,2016-01-25,17.5,21.3,17.5,17.5,10503.8,600,2
AGAL.N0000,2016-01-26,18.0,21.3,17.5,17.5,1771.8,101,3
AGAL.N0000,2016-01-28,18.0,18.0,17.6,17.6,5282.0,300,2
AGAL.N0000,2016-01-31,21.2,21.2,21.2,17.6,21.2,1,1
AGAL.N0000,2016-02-01,17.7,21.1,17.7,17.6,38.8,2,2
AGAL.N0000,2016-02-02,21.0,21.4,21.0,21.0,8421.4,401,4
AGAL.N0000,2016-02-04,21.2,21.3,21.2,21.2,2141.3,101,2
AGAL.N0000,2016-02-07,21.0,21.0,21.0,21.0,12600.0,600,1
AGAL.N0000,2016-02-08,21.0,21.3,21.0,21.0,42.3,2,2
AGAL.N0000,2016-02-09,21.3,21.3,21.3,21.0,21.3,1,1
AGAL.N0000,2016-02-10,20.0,20.0,18.0,18.0,4538.0,252,5
AGAL.N0000,2016-02-14,18.1,21.2,17.5,17.5,8922.2,509,5
AGAL.N0000,2016-02-16,18.6,21.8,18.6,21.7,31808.8,1518,11
AGAL.N0000,2016-02-17,19.8,20.9,19.8,21.7,100.2,5,4
AGAL.N0000,2016-02-18,21.8,21.8,18.4,20.3,18074.4,881,7
AGAL.N0000,2016-02-22,21.4,21.5,15.3,21.3,116109.4,6398,34
AGAL.N0000,2016-02-25,18.0,20.0,18.0,20.0,20319.3,1017,3
AGAL.N0000,2016-02-29,20.9,21.0,20.8,20.8,242779.1,11571,20
AGAL.N0000,2016-03-02,18.8,18.8,18.5,18.6,1857.5,100,2
AGAL.N0000,2016-03-03,20.5,20.5,20.5,20.5,2050.0,100,1
AGAL.N0000,2016-03-07,18.7,18.7,18.7,18.7,1870.0,100,1
AGAL.N0000,2016-03-08,18.1,18.7,18.1,18.7,669496.2,35802,2
AGAL.N0000,2016-03-10,20.8,20.8,16.0,16.1,16155.3,1005,5
AGAL.N0000,2016-03-14,16.9,17.0,16.9,17.0,16969.7,999,3
AGAL.N0000,2016-03-15,17.9,21.0,17.9,21.0,87451.0,4300,12
AGAL.N0000,2016-03-16,19.0,19.0,19.0,21.0,152.0,8,2
AGAL.N0000,2016-03-17,19.0,19.0,19.0,19.0,7600.0,400,4
AGAL.N0000,2016-03-23,22.2,22.2,22.0,19.0,484.4,22,3
AGAL.N0000,2016-03-29,20.0,20.0,20.0,19.0,1120.0,56,1
AGAL.N0000,2016-03-31,22.8,22.8,22.8,22.8,16963.2,744,2
AGAL.N0000,2016-04-05,22.7,22.7,19.0,19.0,2376.7,121,3
AGAL.N0000,2016-04-10,19.2,21.5,19.1,19.3,2298.5,119,5
AGAL.N0000,2016-04-19,19.7,19.7,19.6,19.3,610.6,31,2
AGAL.N0000,2016-04-24,19.4,19.4,19.4,19.3,1881.8,97,2
AGAL.N0000,2016-05-03,19.4,19.4,19.4,19.4,9700.0,500,4
