ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
AGPL.N0000,2023-09-03,10.1,10.2,9.1,9.2,191159875.3,20037893,2945
AGPL.N0000,2023-09-04,9.2,9.4,9.1,9.1,40658811.7,4431362,592
AGPL.N0000,2023-09-05,9.1,9.3,9.0,9.2,20830437.2,2279883,400
AGPL.N0000,2023-09-06,9.2,9.6,9.1,9.5,28621290.8,3046929,498
AGPL.N0000,2023-09-07,9.6,9.8,9.5,9.6,18646105.2,1920538,445
AGPL.N0000,2023-09-10,9.7,9.7,9.4,9.4,3443696.5,363080,121
AGPL.N0000,2023-09-11,9.5,9.5,9.3,9.3,4580112.6,489156,85
AGPL.N0000,2023-09-12,9.4,9.5,9.2,9.3,965082.9,103624,83
AGPL.N0000,2023-09-13,9.3,9.4,9.2,9.4,6635812.4,712856,120
AGPL.N0000,2023-09-14,9.4,9.5,9.3,9.4,1964769.1,209290,55
AGPL.N0000,2023-09-17,9.4,9.4,9.2,9.3,2001607.6,215562,95
AGPL.N0000,2023-09-18,9.3,9.4,9.2,9.3,4789273.8,515715,74
AGPL.N0000,2023-09-19,9.3,9.4,9.2,9.3,2780833.9,298740,69
AGPL.N0000,2023-09-20,9.2,9.3,9.0,9.1,6017389.8,662118,144
AGPL.N0000,2023-09-21,9.0,9.2,9.0,9.1,1083765.4,119086,27
AGPL.N0000,2023-09-24,9.2,9.2,9.0,9.0,2243164.7,246732,61
AGPL.N0000,2023-09-25,9.1,9.2,9.1,9.1,2710441.5,297240,45
AGPL.N0000,2023-09-26,9.1,9.2,9.0,9.0,2208089.9,245066,51
AGPL.N0000,2023-10-01,9.0,9.0,8.8,8.9,2404044.0,270735,71
AGPL.N0000,2023-10-02,8.9,9.1,8.9,9.0,7026699.3,781253,78
AGPL.N0000,2023-10-03,9.0,9.1,8.8,9.1,3596074.6,404457,73
AGPL.N0000,2023-10-04,9.2,9.2,8.9,9.0,149789.3,16631,36
AGPL.N0000,2023-10-05,9.0,9.0,8.9,9.0,271055.0,30395,23
AGPL.N0000,2023-10-08,9.0,9.1,8.8,9.1,5627231.9,637412,61
AGPL.N0000,2023-10-09,9.1,9.1,8.8,8.8,519531.5,58672,42
AGPL.N0000,2023-10-10,9.0,9.0,8.7,8.7,1322641.2,150679,99
AGPL.N0000,2023-10-11,8.9,8.9,8.6,8.6,1510461.2,173712,62
AGPL.N0000,2023-10-12,8.7,8.8,8.4,8.5,3692307.0,433832,182
AGPL.N0000,2023-10-15,8.6,8.6,8.3,8.4,1396755.0,166300,62
AGPL.N0000,2023-10-16,8.5,8.5,8.3,8.3,383376.0,45840,25
AGPL.N0000,2023-10-17,8.3,8.4,8.2,8.3,1127294.8,135852,72
AGPL.N0000,2023-10-18,8.2,8.4,8.2,8.3,410501.8,49602,29
