ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
AGST.N0000,2016-01-03,6.3,6.3,6.3,6.4,6.3,1,1
AGST.N0000,2016-01-04,6.4,6.4,6.4,6.4,32000.0,5000,1
AGST.N0000,2016-01-05,6.3,6.3,6.3,6.3,541976.4,86028,4
AGST.N0000,2016-01-06,6.4,6.4,6.2,6.2,144389.0,23095,46
AGST.N0000,2016-01-07,6.3,6.3,6.1,6.2,232607.6,37405,13
AGST.N0000,2016-01-10,6.2,6.2,6.0,6.0,30200.0,5000,5
AGST.N0000,2016-01-11,6.0,6.0,5.9,5.9,77741.3,13007,4
AGST.N0000,2016-01-12,5.9,6.2,5.8,6.0,497498.0,83178,22
AGST.N0000,2016-01-13,5.9,5.9,5.9,5.9,18408.0,3120,3
AGST.N0000,2016-01-17,5.9,5.9,5.7,5.8,157854.1,27099,12
AGST.N0000,2016-01-18,5.8,5.8,5.5,5.5,177374.0,32100,11
AGST.N0000,2016-01-19,5.3,5.9,5.3,5.5,187803.1,34509,5
AGST.N0000,2016-01-21,5.8,5.8,5.8,5.8,127600.0,22000,3
AGST.N0000,2016-01-24,5.6,5.6,5.4,5.5,141710.0,25900,8
AGST.N0000,2016-01-26,5.5,5.5,5.5,5.5,49131.5,8933,4
AGST.N0000,2016-01-27,5.4,5.4,5.4,5.4,81000.0,15000,2
AGST.N0000,2016-01-28,5.9,5.9,5.5,5.5,9157.5,1655,3
AGST.N0000,2016-02-02,5.8,6.1,5.8,6.0,222605.8,37246,17
AGST.N0000,2016-02-04,5.9,5.9,5.9,5.9,4838.0,820,2
AGST.N0000,2016-02-07,5.9,5.9,5.9,5.9,472.0,80,2
AGST.N0000,2016-02-08,5.9,6.2,5.9,6.0,274736.1,45753,10
AGST.N0000,2016-02-09,6.1,6.1,6.1,6.1,30500.0,5000,1
AGST.N0000,2016-02-10,6.1,6.2,6.1,6.1,314385.0,51129,8
AGST.N0000,2016-02-14,6.0,6.0,6.0,6.1,6.0,1,1
AGST.N0000,2016-02-15,5.9,5.9,5.6,5.6,5923.5,1055,5
