ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
ALUM.N0000,2016-01-03,17.3,17.4,17.2,17.2,627885.0,36350,27
ALUM.N0000,2016-01-04,17.2,17.4,17.1,17.2,722925.5,42055,36
ALUM.N0000,2016-01-05,17.2,17.2,17.1,17.1,345338.0,20180,18
ALUM.N0000,2016-01-06,17.0,17.1,16.8,17.1,183797916.1,10811602,38
ALUM.N0000,2016-01-07,17.1,17.1,16.5,16.9,608238.0,36174,33
ALUM.N0000,2016-01-10,16.8,16.8,16.5,16.5,613340.0,36988,41
ALUM.N0000,2016-01-11,16.5,16.5,15.4,15.5,1279292.5,81750,48
ALUM.N0000,2016-01-12,15.7,16.4,15.7,16.0,227470.7,14080,23
ALUM.N0000,2016-01-13,15.7,15.7,15.5,15.5,319900.5,20631,20
ALUM.N0000,2016-01-17,16.4,16.4,15.0,15.1,577692.9,37640,30
ALUM.N0000,2016-01-18,15.9,16.0,15.1,15.6,1938544.9,124440,26
ALUM.N0000,2016-01-19,15.5,15.5,15.2,15.2,125140.0,8200,7
ALUM.N0000,2016-01-20,15.8,16.2,15.6,16.0,1653369.0,103449,38
ALUM.N0000,2016-01-21,16.1,16.3,15.8,16.2,5921564.8,370287,34
ALUM.N0000,2016-01-24,16.3,16.3,15.8,15.8,1377508.8,87078,16
ALUM.N0000,2016-01-25,16.0,16.3,16.0,16.1,231265.3,14286,16
ALUM.N0000,2016-01-26,16.0,16.1,16.0,16.1,275695.2,17152,17
ALUM.N0000,2016-01-27,16.1,16.1,15.9,16.0,4075350.0,254700,44
ALUM.N0000,2016-01-28,16.0,16.0,15.9,16.0,2039846.0,127501,34
ALUM.N0000,2016-01-31,15.9,16.0,15.8,15.9,201187.2,12650,14
ALUM.N0000,2016-02-01,16.0,16.5,16.0,16.3,9043966.0,562983,85
ALUM.N0000,2016-02-02,16.7,17.2,16.5,16.8,11913807.8,707526,207
ALUM.N0000,2016-02-04,17.2,17.2,16.8,16.9,3601887.5,213611,83
ALUM.N0000,2016-02-07,17.0,17.0,16.8,16.9,1999206.2,118311,49
ALUM.N0000,2016-02-08,16.9,16.9,16.8,16.9,325955.0,19352,28
ALUM.N0000,2016-02-09,16.9,16.9,16.8,16.9,2849563.5,168615,32
ALUM.N0000,2016-02-10,16.9,16.9,16.7,16.8,3424591.1,203368,70
ALUM.N0000,2016-02-11,16.4,16.4,16.0,16.0,2109280.4,131447,47
ALUM.N0000,2016-02-14,15.9,16.0,15.7,15.8,254245.9,16100,18
ALUM.N0000,2016-02-15,15.8,15.8,15.7,15.8,259850.1,16550,15
ALUM.N0000,2016-02-16,15.7,15.7,15.2,15.6,718063.0,46575,43
ALUM.N0000,2016-02-17,15.5,16.0,15.3,15.4,154005.8,9992,21
ALUM.N0000,2016-02-18,15.5,15.8,15.5,15.6,744666.5,47571,39
ALUM.N0000,2016-02-22,15.6,16.0,15.2,15.3,320520.8,20832,30
ALUM.N0000,2016-02-23,15.8,15.8,15.3,15.3,3209984.2,209772,17
ALUM.N0000,2016-02-24,15.3,15.7,15.2,15.3,557016.6,36403,27
ALUM.N0000,2016-02-25,15.7,15.7,15.6,15.6,3198.5,205,3
ALUM.N0000,2016-02-28,15.5,15.5,15.1,15.3,422586.7,27637,36
ALUM.N0000,2016-02-29,15.0,15.3,15.0,15.1,1969074.6,130862,56
ALUM.N0000,2016-03-01,15.2,15.2,15.0,15.0,629220.0,41900,23
ALUM.N0000,2016-03-02,15.4,15.4,14.9,14.9,981987.1,65525,28
ALUM.N0000,2016-03-03,15.0,15.0,14.9,15.0,2618055.0,174558,61
ALUM.N0000,2016-03-07,15.0,15.0,14.2,14.5,1564165.3,108167,70
ALUM.N0000,2016-03-08,14.2,14.5,13.5,14.3,2220771.6,158448,39
ALUM.N0000,2016-03-09,14.9,15.8,14.5,15.5,4347031.7,289511,57
ALUM.N0000,2016-03-10,15.8,15.8,15.1,15.5,700812.5,45205,28
ALUM.N0000,2016-03-13,15.5,15.5,15.0,15.0,1899992.4,124518,23
ALUM.N0000,2016-03-14,15.0,15.4,15.0,15.0,27400.0,1826,4
ALUM.N0000,2016-03-15,15.0,15.7,15.0,15.5,1141747.0,73694,25
ALUM.N0000,2016-03-16,15.2,15.7,15.2,15.5,703215.7,45301,24
ALUM.N0000,2016-03-17,15.5,15.5,15.4,15.5,157307.0,10154,5
ALUM.N0000,2016-03-20,15.4,15.4,15.4,15.4,1540.0,100,1
ALUM.N0000,2016-03-22,15.3,15.7,15.3,15.5,3317472.0,214542,39
ALUM.N0000,2016-03-23,15.5,15.5,15.3,15.3,6612.0,430,8
ALUM.N0000,2016-03-27,15.5,15.6,15.3,15.3,328194.0,21220,12
ALUM.N0000,2016-03-28,15.5,15.5,15.2,15.4,261536.8,17000,14
ALUM.N0000,2016-03-29,15.5,15.7,15.3,15.5,3748668.6,241801,31
ALUM.N0000,2016-03-30,15.5,15.5,15.4,15.4,476560.0,30940,10
ALUM.N0000,2016-03-31,15.5,15.7,15.5,15.7,1686560.0,107560,23
ALUM.N0000,2016-04-03,15.7,16.0,15.7,15.7,2126967.8,135247,34
ALUM.N0000,2016-04-04,15.9,16.0,15.8,16.0,3763015.6,235448,54
ALUM.N0000,2016-04-05,16.1,16.1,15.9,15.9,502209.6,31566,20
ALUM.N0000,2016-04-06,15.8,16.0,15.8,16.0,798844.4,49928,13
ALUM.N0000,2016-04-07,16.1,16.1,15.9,16.0,5981562.1,375320,41
ALUM.N0000,2016-04-10,16.0,16.2,15.9,16.2,524970.2,32596,16
ALUM.N0000,2016-04-11,16.2,16.7,16.2,16.5,11149745.8,674161,101
ALUM.N0000,2016-04-14,16.6,16.7,16.5,16.7,1342405.5,81007,21
ALUM.N0000,2016-04-17,16.6,16.7,16.4,16.6,862690.1,52079,34
ALUM.N0000,2016-04-18,16.7,16.7,16.3,16.5,310803.5,18774,17
ALUM.N0000,2016-04-19,16.5,16.5,16.4,16.4,2590769.5,157183,30
ALUM.N0000,2016-04-21,16.6,16.7,16.5,16.5,4590959.0,276597,62
ALUM.N0000,2016-04-24,16.5,16.6,16.3,16.4,813453.0,49505,19
ALUM.N0000,2016-04-25,16.4,16.5,16.3,16.5,515785.9,31361,17
ALUM.N0000,2016-04-26,16.5,16.9,16.5,16.6,9696552.6,584488,81
ALUM.N0000,2016-04-27,16.5,16.7,16.5,16.7,507190.0,30400,6
ALUM.N0000,2016-04-28,16.8,17.1,16.7,17.0,8301582.4,489121,57
ALUM.N0000,2016-05-02,17.0,17.1,17.0,17.0,2507180.0,147400,26
ALUM.N0000,2016-05-03,17.0,17.0,16.8,16.9,287156.1,16947,12
ALUM.N0000,2016-05-04,16.8,17.0,16.8,16.9,1160389.6,68547,8
ALUM.N0000,2016-05-05,17.0,17.2,17.0,17.1,5292680.5,311180,50
ALUM.N0000,2016-05-08,17.0,17.2,17.0,17.2,1975362.5,115375,34
ALUM.N0000,2016-05-09,17.2,17.3,17.2,17.2,73673.9,4282,10
ALUM.N0000,2016-05-10,17.2,17.2,17.1,17.2,581708.4,33851,18
ALUM.N0000,2016-05-11,17.3,17.4,17.1,17.1,1090126.6,62909,44
ALUM.N0000,2016-05-12,17.2,17.6,17.2,17.5,4972314.5,284674,66
ALUM.N0000,2016-05-15,17.3,17.4,17.2,17.2,2935156.9,170039,33
ALUM.N0000,2016-05-16,17.2,17.2,17.0,17.0,2284335.2,133852,21
ALUM.N0000,2016-05-17,17.3,17.6,17.2,17.5,6631012.4,379463,82
ALUM.N0000,2016-05-18,17.3,17.3,17.2,17.2,238825.0,13840,17
ALUM.N0000,2016-05-19,17.4,17.4,17.3,17.3,2524675.3,145461,41
ALUM.N0000,2016-05-23,17.3,17.3,17.2,17.3,1682306.3,97371,33
ALUM.N0000,2016-05-24,17.2,17.8,17.2,17.5,19297144.8,1102984,66
ALUM.N0000,2016-05-25,17.6,17.8,17.5,17.7,5149462.2,290825,57
ALUM.N0000,2016-05-26,17.5,17.5,17.4,17.4,946092.0,54280,18
ALUM.N0000,2016-05-29,17.5,17.7,17.4,17.5,1180805.4,67615,26
ALUM.N0000,2016-05-30,17.6,17.6,17.4,17.4,1355451.7,77542,20
ALUM.N0000,2016-05-31,17.4,17.6,17.4,17.4,765304.5,43833,17
ALUM.N0000,2016-06-01,17.5,17.6,17.4,17.5,135342690.0,7733837,151
ALUM.N0000,2016-06-02,17.6,17.9,17.5,17.9,194567845.9,11115285,146
ALUM.N0000,2016-06-05,17.8,18.2,17.8,18.0,5808667.2,321731,106
ALUM.N0000,2016-06-06,18.1,18.5,18.1,18.4,9629503.4,522806,177
ALUM.N0000,2016-06-07,18.5,18.5,18.2,18.3,2776707.7,151745,48
ALUM.N0000,2016-06-08,18.2,18.3,18.2,18.2,1284622.9,70254,26
ALUM.N0000,2016-06-09,18.2,18.2,17.9,18.0,4548114.9,252416,77
ALUM.N0000,2016-06-12,17.9,18.0,17.8,17.9,134923.6,7532,19
ALUM.N0000,2016-06-13,17.8,18.1,17.8,18.0,38555.6,2142,6
