ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
AMF.N0000,2016-01-03,490.0,490.0,490.0,480.6,1960.0,4,1
AMF.N0000,2016-01-05,490.0,490.0,490.0,480.6,1470.0,3,1
AMF.N0000,2016-01-07,455.5,455.5,455.0,480.6,19577.0,43,3
AMF.N0000,2016-01-10,456.3,456.3,452.6,454.4,70878.8,156,11
AMF.N0000,2016-01-12,460.1,460.1,460.0,454.4,13341.0,29,4
AMF.N0000,2016-01-13,460.1,469.9,460.0,454.4,19059.1,41,6
AMF.N0000,2016-01-17,453.2,453.2,452.5,454.4,31696.8,70,9
AMF.N0000,2016-01-19,422.4,422.4,422.4,454.4,2112.0,5,1
AMF.N0000,2016-01-21,454.1,507.9,454.1,454.4,18586.1,39,11
AMF.N0000,2016-01-24,450.0,450.0,450.0,454.4,450.0,1,1
AMF.N0000,2016-01-25,450.0,450.1,450.0,454.4,31500.7,70,4
AMF.N0000,2016-01-27,460.0,460.0,460.0,460.0,49680.0,108,4
AMF.N0000,2016-01-28,460.0,460.0,460.0,460.0,920.0,2,2
AMF.N0000,2016-02-04,480.0,532.8,480.0,460.0,11762.6,23,9
AMF.N0000,2016-02-07,532.0,532.9,527.0,460.0,14318.4,27,12
AMF.N0000,2016-02-09,526.0,526.0,526.0,460.0,1052.0,2,1
AMF.N0000,2016-02-10,465.1,465.1,465.1,460.0,465.1,1,1
AMF.N0000,2016-02-11,460.5,460.5,460.0,460.0,11041.3,24,7
AMF.N0000,2016-02-14,450.1,450.1,450.0,460.0,8100.3,18,2
AMF.N0000,2016-02-16,455.1,460.0,425.5,460.0,5425.7,12,5
AMF.N0000,2016-02-18,425.5,485.0,425.5,460.0,8912.5,19,5
AMF.N0000,2016-02-25,420.1,420.1,420.1,460.0,8402.0,20,1
AMF.N0000,2016-02-28,420.0,420.0,410.0,419.6,43640.0,104,7
AMF.N0000,2016-02-29,411.0,411.0,408.0,411.0,82605.0,201,10
AMF.N0000,2016-03-07,415.0,415.0,415.0,411.0,2490.0,6,2
AMF.N0000,2016-03-08,410.0,410.0,410.0,410.0,82000.0,200,6
AMF.N0000,2016-03-09,495.4,495.4,495.4,410.0,990.8,2,1
AMF.N0000,2016-03-14,420.0,420.0,390.0,393.4,78675.0,200,15
AMF.N0000,2016-03-16,449.5,450.0,449.5,393.4,1798.5,4,2
AMF.N0000,2016-03-17,450.0,450.0,450.0,393.4,450.0,1,1
AMF.N0000,2016-03-20,430.2,430.2,430.1,393.4,22795.4,53,5
AMF.N0000,2016-03-27,426.0,426.0,425.0,393.4,21712.9,51,5
AMF.N0000,2016-03-28,410.0,440.0,400.0,393.4,38827.5,96,11
AMF.N0000,2016-03-29,400.0,400.0,400.0,393.4,400.0,1,1
AMF.N0000,2016-03-31,396.1,396.1,396.1,393.4,13863.5,35,2
AMF.N0000,2016-04-04,425.0,425.0,425.0,425.0,42500.0,100,2
AMF.N0000,2016-04-05,425.0,425.0,425.0,425.0,11900.0,28,2
AMF.N0000,2016-04-06,425.0,426.0,425.0,425.6,73200.0,172,8
AMF.N0000,2016-04-11,490.0,492.0,490.0,425.6,24561.0,50,3
AMF.N0000,2016-04-17,425.0,425.0,424.7,425.6,8074.4,19,3
AMF.N0000,2016-04-25,423.0,423.0,423.0,425.6,423.0,1,1
AMF.N0000,2016-04-27,425.0,425.0,425.0,425.6,3825.0,9,2
AMF.N0000,2016-04-28,425.0,425.0,384.0,425.6,3636.0,9,5
AMF.N0000,2016-05-03,405.0,405.0,400.2,425.6,33226.2,83,2
AMF.N0000,2016-05-05,430.0,449.0,430.0,425.6,35728.0,83,7
AMF.N0000,2016-05-08,449.0,449.0,449.0,425.6,449.0,1,1
AMF.N0000,2016-05-11,420.0,420.0,410.0,425.6,4120.0,10,2
AMF.N0000,2016-05-12,410.1,410.1,410.1,425.6,8202.0,20,1
AMF.N0000,2016-05-17,415.0,415.0,415.0,425.6,415.0,1,1
AMF.N0000,2016-05-19,416.0,416.2,416.0,425.6,23307.0,56,2
AMF.N0000,2016-05-25,440.0,440.0,440.0,425.6,880.0,2,2
AMF.N0000,2016-05-26,440.0,440.0,440.0,425.6,2640.0,6,1
AMF.N0000,2016-06-01,430.0,430.0,430.0,425.6,10750.0,25,3
AMF.N0000,2016-06-02,440.0,470.0,440.0,425.6,5339.0,12,5
AMF.N0000,2016-06-06,470.0,497.0,470.0,425.6,47995.5,98,21
AMF.N0000,2016-06-07,496.0,499.0,496.0,425.6,21875.2,44,8
AMF.N0000,2016-06-09,496.9,496.9,496.9,425.6,993.8,2,1
AMF.N0000,2016-06-13,400.0,400.0,400.0,425.6,1600.0,4,2
AMF.N0000,2016-06-15,469.9,469.9,469.9,425.6,1879.6,4,2
AMF.N0000,2016-06-19,430.0,430.0,430.0,430.0,71810.0,167,1
AMF.N0000,2016-06-20,401.0,401.0,401.0,401.0,40100.0,100,1
AMF.N0000,2016-06-21,435.0,435.0,425.0,401.0,41305.0,96,3
AMF.N0000,2016-06-27,470.0,470.0,420.0,401.0,5190.0,12,4
AMF.N0000,2016-06-28,420.0,420.0,420.0,401.0,840.0,2,1
AMF.N0000,2016-07-07,420.0,420.0,420.0,420.0,54180.0,129,2
AMF.N0000,2016-07-10,420.0,420.0,420.0,420.0,84000.0,200,4
AMF.N0000,2016-07-17,448.6,448.6,448.6,420.0,897.2,2,1
AMF.N0000,2016-07-27,450.0,450.0,450.0,420.0,900.0,2,1
AMF.N0000,2016-08-17,450.0,500.0,449.0,487.9,66260.8,136,7
AMF.N0000,2016-08-24,477.9,490.0,451.0,489.0,65530.9,134,3
AMF.N0000,2016-08-28,455.0,455.0,455.0,489.0,4095.0,9,1
AMF.N0000,2016-08-29,488.0,488.0,488.0,489.0,14640.0,30,1
AMF.N0000,2016-09-05,493.8,493.8,490.0,489.0,1473.8,3,3
AMF.N0000,2016-09-07,492.8,493.5,492.8,489.0,3945.9,8,5
AMF.N0000,2016-09-13,493.0,493.0,492.9,489.0,985.9,2,2
AMF.N0000,2016-09-14,493.0,493.0,493.0,489.0,1972.0,4,4
AMF.N0000,2016-09-18,489.0,492.8,489.0,489.0,4897.6,10,3
AMF.N0000,2016-09-19,492.9,492.9,492.9,489.0,2957.4,6,4
AMF.N0000,2016-09-20,490.0,490.0,490.0,489.0,4900.0,10,1
AMF.N0000,2016-09-22,496.6,496.6,496.6,489.0,1489.8,3,3
AMF.N0000,2016-09-25,497.7,497.7,497.5,489.0,2488.1,5,5
AMF.N0000,2016-09-26,497.6,497.6,497.6,489.0,30353.6,61,7
AMF.N0000,2016-09-27,489.1,498.9,489.1,489.0,12726.4,26,2
AMF.N0000,2016-09-28,450.2,450.2,450.0,489.0,11251.2,25,2
AMF.N0000,2016-10-02,451.0,451.0,451.0,451.0,135300.0,300,1
AMF.N0000,2016-10-03,497.2,497.2,479.4,451.0,4954.2,10,2
AMF.N0000,2016-10-04,475.0,480.0,475.0,451.0,12424.9,26,5
AMF.N0000,2016-10-05,460.0,460.0,451.0,452.7,61111.0,135,3
AMF.N0000,2016-10-06,450.0,459.0,450.0,450.2,184590.0,410,3
AMF.N0000,2016-10-09,450.0,450.0,450.0,450.2,450.0,1,1
AMF.N0000,2016-10-13,460.0,460.0,453.1,459.9,46453.1,101,3
AMF.N0000,2016-10-18,451.0,451.0,451.0,459.9,24805.0,55,2
AMF.N0000,2016-10-25,485.0,485.0,485.0,459.9,21340.0,44,1
AMF.N0000,2016-11-15,400.1,400.1,400.1,459.9,400.1,1,1
AMF.N0000,2016-12-08,450.0,450.0,450.0,459.9,450.0,1,1
AMF.N0000,2016-12-26,460.0,460.0,460.0,459.9,2300.0,5,1
