ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
ASCO.N0000,2016-01-03,29.0,29.0,28.9,28.9,35953.6,1244,5
ASCO.N0000,2016-01-04,28.9,30.5,28.9,30.0,449223.4,14982,48
ASCO.N0000,2016-01-05,28.9,30.5,28.9,30.0,462706.0,15429,16
ASCO.N0000,2016-01-06,30.0,30.0,30.0,30.0,76290.0,2543,3
ASCO.N0000,2016-01-07,29.0,30.0,29.0,29.9,354770.0,12030,10
ASCO.N0000,2016-01-10,29.2,30.0,29.0,30.0,453556.6,15550,17
ASCO.N0000,2016-01-11,29.0,31.6,28.9,31.6,2576143.0,83598,45
ASCO.N0000,2016-01-12,31.6,31.6,31.6,31.6,948.0,30,1
ASCO.N0000,2016-01-13,29.5,30.0,28.2,29.6,893777.4,30981,22
ASCO.N0000,2016-01-17,28.4,31.7,28.4,31.3,7825288.4,248944,152
ASCO.N0000,2016-01-18,31.3,31.6,30.0,31.6,5466420.1,173115,48
ASCO.N0000,2016-01-19,30.1,30.1,30.1,30.1,113326.5,3765,8
ASCO.N0000,2016-01-20,31.4,31.4,31.4,30.1,31.4,1,1
ASCO.N0000,2016-01-24,30.0,30.0,30.0,30.0,60000.0,2000,5
ASCO.N0000,2016-01-25,30.0,30.0,30.0,30.0,69000.0,2300,7
ASCO.N0000,2016-01-27,30.0,30.0,30.0,30.0,60240.0,2008,6
ASCO.N0000,2016-01-28,30.0,30.0,30.0,30.0,121260.0,4042,4
ASCO.N0000,2016-01-31,31.0,31.0,30.0,30.0,395432.0,13181,8
ASCO.N0000,2016-02-01,30.0,31.0,30.0,31.0,40570.0,1314,6
ASCO.N0000,2016-02-04,30.0,30.0,30.0,31.0,180.0,6,1
ASCO.N0000,2016-02-07,30.5,30.5,30.0,30.0,325960.0,10857,7
ASCO.N0000,2016-02-09,28.5,31.9,28.5,31.0,672943.8,21708,8
ASCO.N0000,2016-02-11,30.1,30.1,30.1,31.0,451.5,15,1
ASCO.N0000,2016-02-14,30.1,31.0,30.0,30.2,387306.2,12860,11
ASCO.N0000,2016-02-15,30.0,31.4,30.0,30.0,780961.4,26032,14
ASCO.N0000,2016-02-16,30.0,31.0,29.6,29.6,547318.0,18253,15
ASCO.N0000,2016-02-17,30.2,30.2,29.0,29.0,84160.1,2902,4
ASCO.N0000,2016-02-18,29.9,29.9,29.9,29.0,29.9,1,1
ASCO.N0000,2016-02-22,29.8,29.8,29.8,29.0,29.8,1,1
ASCO.N0000,2016-02-24,28.0,28.0,28.0,28.0,14000.0,500,3
ASCO.N0000,2016-02-28,27.6,27.6,27.6,27.6,4167.6,151,3
ASCO.N0000,2016-02-29,27.4,27.4,26.6,27.0,29803.5,1105,4
ASCO.N0000,2016-03-01,26.6,28.7,26.6,26.7,2803.5,105,2
ASCO.N0000,2016-03-02,26.0,26.0,26.0,26.0,11700.0,450,2
ASCO.N0000,2016-03-07,25.5,25.5,24.0,24.5,3675.0,150,2
ASCO.N0000,2016-03-08,24.0,26.9,23.5,26.7,186860.0,7800,9
ASCO.N0000,2016-03-10,22.2,24.0,22.2,24.0,12022.2,501,3
ASCO.N0000,2016-03-13,24.0,24.0,24.0,24.0,25200.0,1050,2
ASCO.N0000,2016-03-14,24.0,24.0,22.9,23.7,182011.5,7705,15
ASCO.N0000,2016-03-15,23.0,26.6,23.0,25.5,11110.9,435,3
ASCO.N0000,2016-03-16,26.5,26.5,24.0,24.0,134500.0,5500,4
ASCO.N0000,2016-03-17,24.2,24.2,24.2,24.2,8228.0,340,2
ASCO.N0000,2016-03-22,23.7,23.7,23.2,23.5,46969.5,2015,9
ASCO.N0000,2016-03-23,23.3,24.0,23.3,24.0,31700.0,1350,7
ASCO.N0000,2016-03-27,24.0,24.0,24.0,24.0,240.0,10,1
ASCO.N0000,2016-03-28,24.4,24.4,22.3,22.3,13201.4,591,3
ASCO.N0000,2016-03-29,22.4,22.4,22.0,22.0,85850.0,3895,10
ASCO.N0000,2016-03-30,22.0,23.8,22.0,23.6,69723.6,3001,9
ASCO.N0000,2016-03-31,23.8,25.0,23.8,24.2,177565.5,7332,13
ASCO.N0000,2016-04-05,23.1,23.1,23.1,23.1,6930.0,300,3
ASCO.N0000,2016-04-06,23.2,25.8,23.1,25.5,189988.5,7563,11
ASCO.N0000,2016-04-10,23.5,25.7,23.5,25.4,11381.6,456,4
ASCO.N0000,2016-04-11,25.8,30.9,25.8,30.0,15987169.9,533822,77
ASCO.N0000,2016-04-14,30.1,31.0,30.0,30.1,84022.2,2779,18
ASCO.N0000,2016-04-17,28.0,31.0,28.0,29.6,311174.0,10538,15
ASCO.N0000,2016-04-18,29.5,30.0,29.5,30.0,83900.0,2800,4
ASCO.N0000,2016-04-19,28.7,28.7,28.6,28.7,5732.0,200,2
ASCO.N0000,2016-04-21,28.6,28.6,28.3,28.3,28306.0,1000,2
ASCO.N0000,2016-04-24,28.5,30.5,28.5,30.5,174122.5,5775,8
ASCO.N0000,2016-04-25,30.5,30.5,30.3,30.3,97308.5,3197,3
ASCO.N0000,2016-04-26,29.0,29.0,28.8,28.8,8642.0,300,2
ASCO.N0000,2016-04-27,30.0,32.3,30.0,31.9,924922.2,29785,90
ASCO.N0000,2016-04-28,32.0,33.6,31.0,32.7,3223514.5,98614,120
ASCO.N0000,2016-05-02,33.0,33.4,33.0,33.0,717665.0,21744,24
ASCO.N0000,2016-05-03,33.0,34.0,32.8,32.9,601339.6,18253,21
ASCO.N0000,2016-05-04,31.6,32.0,31.5,31.5,221234.0,7015,8
ASCO.N0000,2016-05-05,31.1,31.1,31.0,31.0,31030.0,1000,2
ASCO.N0000,2016-05-09,30.1,31.4,30.1,30.4,56235.2,1852,12
ASCO.N0000,2016-05-12,30.0,30.0,30.0,30.0,3000.0,100,1
ASCO.N0000,2016-05-15,30.1,31.5,30.0,30.1,50508.8,1679,13
ASCO.N0000,2016-05-16,31.5,31.5,30.0,30.1,107967.5,3585,5
ASCO.N0000,2016-05-17,31.6,31.6,30.0,30.0,36063.1,1202,15
ASCO.N0000,2016-05-18,31.6,31.6,30.2,30.0,1573.2,52,2
ASCO.N0000,2016-05-19,31.3,31.4,31.3,30.0,188.2,6,3
ASCO.N0000,2016-05-23,31.3,31.3,30.0,30.0,4117.8,137,4
ASCO.N0000,2016-05-24,31.2,31.2,30.0,30.0,61.2,2,2
ASCO.N0000,2016-05-25,29.8,29.8,29.7,29.8,6049.1,203,2
ASCO.N0000,2016-05-26,29.8,29.8,29.8,29.8,13737.8,461,1
ASCO.N0000,2016-05-29,31.2,31.2,29.8,30.0,22380.0,746,8
ASCO.N0000,2016-05-30,29.2,30.0,29.0,29.1,32544.1,1118,8
ASCO.N0000,2016-05-31,30.0,31.7,30.0,31.5,1092835.4,35264,55
ASCO.N0000,2016-06-01,31.7,33.5,31.7,32.1,518250.4,15946,43
ASCO.N0000,2016-06-02,32.9,35.8,31.7,35.0,1794465.5,52313,139
ASCO.N0000,2016-06-05,35.9,39.0,35.0,35.7,2044902.5,54709,102
ASCO.N0000,2016-06-06,36.0,36.0,34.5,34.7,518851.7,15000,23
ASCO.N0000,2016-06-07,34.2,35.1,33.5,34.3,717677.1,20723,50
ASCO.N0000,2016-06-08,33.5,35.0,33.5,35.0,440792.8,12602,15
ASCO.N0000,2016-06-09,35.0,35.9,35.0,35.0,199107.8,5638,21
ASCO.N0000,2016-06-12,35.0,35.0,32.6,33.6,177240.2,5277,13
ASCO.N0000,2016-06-13,34.0,34.0,33.5,33.5,40280.0,1200,6
ASCO.N0000,2016-06-14,33.3,34.5,33.3,33.5,339390.3,10067,23
ASCO.N0000,2016-06-15,33.4,34.4,33.3,34.1,1089300.8,32036,44
ASCO.N0000,2016-06-16,34.5,35.9,34.5,35.1,386704.4,11015,27
ASCO.N0000,2016-06-19,36.0,36.0,34.2,34.2,299200.0,8500,13
ASCO.N0000,2016-06-20,35.0,35.0,35.0,35.0,51135.0,1461,5
ASCO.N0000,2016-06-21,35.0,35.0,35.0,35.0,7000.0,200,1
ASCO.N0000,2016-06-22,35.0,35.5,34.1,35.0,269114.6,7689,24
ASCO.N0000,2016-06-23,34.1,35.0,34.1,34.8,563011.5,16206,27
ASCO.N0000,2016-06-26,33.7,35.0,33.7,35.0,1828352.4,52259,34
ASCO.N0000,2016-06-27,35.2,35.5,34.1,34.3,134917.2,3903,12
ASCO.N0000,2016-06-28,34.5,35.0,34.5,35.0,894445.0,25577,10
ASCO.N0000,2016-06-29,35.1,35.1,35.0,35.0,151335.0,4323,6
ASCO.N0000,2016-06-30,35.0,35.0,34.1,35.0,470902.0,13466,10
ASCO.N0000,2016-07-03,35.0,35.0,34.7,34.7,835758.5,24055,4
ASCO.N0000,2016-07-04,35.0,35.0,34.5,35.0,105172.5,3005,6
ASCO.N0000,2016-07-06,35.0,35.0,35.0,35.0,168385.0,4811,6
ASCO.N0000,2016-07-07,35.8,39.0,35.8,38.6,694628.3,18429,37
ASCO.N0000,2016-07-10,38.0,38.0,38.0,38.6,760.0,20,1
ASCO.N0000,2016-07-11,38.6,39.1,37.0,37.2,524761.2,13765,30
ASCO.N0000,2016-07-12,38.8,42.6,38.0,41.8,4586051.6,112563,197
ASCO.N0000,2016-07-13,43.0,46.6,40.5,45.3,9724070.3,217653,247
ASCO.N0000,2016-07-14,46.0,48.0,44.5,45.4,5324568.0,115302,141
ASCO.N0000,2016-07-17,45.5,47.5,44.5,45.5,1021287.2,22581,34
ASCO.N0000,2016-07-19,45.0,45.9,45.0,45.9,487397.8,10720,20
ASCO.N0000,2016-07-20,45.9,48.4,45.9,47.9,5089627.8,107545,145
ASCO.N0000,2016-07-21,46.5,47.9,46.0,47.0,1681401.6,36206,56
ASCO.N0000,2016-07-24,47.0,47.0,45.3,45.5,367721.0,7960,24
ASCO.N0000,2016-07-25,46.0,46.0,45.3,45.3,34095.0,745,4
ASCO.N0000,2016-07-26,45.3,46.2,45.0,45.0,103782.0,2280,4
ASCO.N0000,2016-07-27,44.5,44.5,44.0,44.3,173553.0,3930,11
ASCO.N0000,2016-07-28,42.0,44.9,42.0,44.4,216850.1,5094,13
ASCO.N0000,2016-07-31,45.0,45.6,44.0,44.0,601791.0,13410,13
ASCO.N0000,2016-08-03,43.0,43.0,42.9,42.9,34750.0,810,4
ASCO.N0000,2016-08-04,44.0,44.0,42.2,43.9,158287.6,3608,5
ASCO.N0000,2016-08-07,42.1,42.5,42.0,42.5,52168.0,1230,4
ASCO.N0000,2016-08-08,43.5,43.8,40.8,41.5,117138.8,2808,13
ASCO.N0000,2016-08-09,42.0,43.3,42.0,42.9,114287.0,2669,9
ASCO.N0000,2016-08-10,43.0,43.9,42.0,42.1,567938.1,13374,31
ASCO.N0000,2016-08-11,41.4,43.0,41.4,42.9,6512.8,152,6
ASCO.N0000,2016-08-14,41.0,41.2,38.2,39.2,538568.0,13496,49
ASCO.N0000,2016-08-15,39.5,40.6,39.5,39.5,120099.0,3039,18
ASCO.N0000,2016-08-17,40.2,40.2,39.1,39.1,11840.0,300,2
ASCO.N0000,2016-08-18,39.1,39.2,38.0,38.2,1019538.0,26554,24
ASCO.N0000,2016-08-21,39.9,39.9,39.0,39.0,47520.0,1200,5
ASCO.N0000,2016-08-22,38.9,38.9,38.0,38.0,382213.9,10051,20
