ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
BIL.N0000,2016-01-03,1.4,1.5,1.4,1.4,11988.4,8556,5
BIL.N0000,2016-01-04,1.4,1.5,1.4,1.4,331941.7,237101,11
BIL.N0000,2016-01-05,1.5,1.5,1.4,1.4,292873.4,209181,18
BIL.N0000,2016-01-06,1.4,1.4,1.4,1.4,466575.2,333268,16
BIL.N0000,2016-01-07,1.4,1.4,1.3,1.3,48958.6,35299,10
BIL.N0000,2016-01-10,1.4,1.4,1.3,1.3,194052.4,149248,14
BIL.N0000,2016-01-11,1.3,1.3,1.3,1.3,1468612.6,1129702,36
BIL.N0000,2016-01-12,1.3,1.4,1.3,1.4,11667.7,8952,5
BIL.N0000,2016-01-13,1.3,1.4,1.3,1.3,8854.0,6810,3
BIL.N0000,2016-01-17,1.3,1.3,1.2,1.2,870539.6,703492,36
BIL.N0000,2016-01-18,1.2,1.3,1.2,1.2,3704192.6,3086410,31
BIL.N0000,2016-01-19,1.3,1.3,1.2,1.2,1297800.0,1079400,34
BIL.N0000,2016-01-20,1.2,1.3,1.2,1.2,38015.0,31350,8
BIL.N0000,2016-01-21,1.3,1.3,1.2,1.2,89317.3,74321,8
BIL.N0000,2016-01-24,1.3,1.3,1.2,1.3,7060.0,5500,5
BIL.N0000,2016-01-25,1.3,1.3,1.2,1.2,14556.4,11428,7
BIL.N0000,2016-01-26,1.2,1.2,1.2,1.2,110026.8,91689,8
BIL.N0000,2016-01-27,1.2,1.3,1.2,1.3,1110667.6,856223,21
BIL.N0000,2016-01-28,1.3,1.3,1.2,1.3,125937.1,97907,11
BIL.N0000,2016-01-31,1.3,1.4,1.3,1.3,542878.1,398337,23
BIL.N0000,2016-02-01,1.3,1.4,1.3,1.3,192005.0,147650,14
BIL.N0000,2016-02-02,1.4,1.4,1.3,1.3,79310.0,60700,5
BIL.N0000,2016-02-04,1.4,1.4,1.3,1.3,31540.0,24100,5
BIL.N0000,2016-02-07,1.3,1.3,1.3,1.3,28990.0,22300,5
BIL.N0000,2016-02-08,1.3,1.4,1.3,1.3,13245.0,10150,7
BIL.N0000,2016-02-09,1.4,1.4,1.3,1.3,369340.0,284100,19
BIL.N0000,2016-02-10,1.4,1.4,1.3,1.3,332859.8,255946,17
BIL.N0000,2016-02-11,1.3,1.4,1.3,1.3,300570.0,230050,8
BIL.N0000,2016-02-14,1.4,1.4,1.3,1.4,125196.0,95335,14
BIL.N0000,2016-02-15,1.3,1.4,1.3,1.3,501971.4,386051,9
BIL.N0000,2016-02-16,1.3,1.4,1.3,1.3,2207537.2,1698094,23
BIL.N0000,2016-02-17,1.2,1.3,1.2,1.2,707123.2,589186,14
BIL.N0000,2016-02-18,1.3,1.3,1.2,1.2,514960.4,428292,11
BIL.N0000,2016-02-22,1.3,1.3,1.2,1.3,203110.5,157367,8
BIL.N0000,2016-02-23,1.2,1.3,1.2,1.2,86660.0,72200,5
BIL.N0000,2016-02-24,1.3,1.3,1.2,1.2,1236992.0,1029160,24
BIL.N0000,2016-02-25,1.2,1.3,1.2,1.2,3486.5,2905,3
BIL.N0000,2016-02-28,1.2,1.2,1.2,1.2,323040.0,269200,15
BIL.N0000,2016-02-29,1.2,1.2,1.1,1.1,1512859.2,1338291,27
BIL.N0000,2016-03-01,1.2,1.2,1.1,1.2,2823758.0,2353215,28
BIL.N0000,2016-03-02,1.1,1.2,1.1,1.2,781112.1,651011,9
BIL.N0000,2016-03-03,1.2,1.3,1.2,1.2,40450.0,33500,4
BIL.N0000,2016-03-07,1.2,1.2,1.1,1.2,1023100.2,855532,18
BIL.N0000,2016-03-08,1.1,1.3,1.1,1.2,5431886.3,4536651,40
BIL.N0000,2016-03-09,1.2,1.3,1.2,1.3,513283.0,427685,10
BIL.N0000,2016-03-10,1.3,1.3,1.2,1.2,720860.8,600714,13
BIL.N0000,2016-03-13,1.2,1.2,1.2,1.2,2183935.2,1819946,12
BIL.N0000,2016-03-14,1.2,1.2,1.1,1.2,2437100.0,2031000,10
BIL.N0000,2016-03-15,1.2,1.3,1.2,1.3,4173.6,3468,4
BIL.N0000,2016-03-16,1.2,1.2,1.2,1.2,12277.2,10231,2
BIL.N0000,2016-03-17,1.2,1.3,1.2,1.2,39202.5,32625,5
BIL.N0000,2016-03-20,1.3,1.3,1.3,1.3,650.0,500,1
BIL.N0000,2016-03-22,1.2,1.2,1.2,1.2,1680.0,1400,1
BIL.N0000,2016-03-23,1.3,1.3,1.2,1.2,36760.0,30200,4
BIL.N0000,2016-03-27,1.2,1.3,1.2,1.2,8450.0,7000,12
BIL.N0000,2016-03-28,1.2,1.3,1.2,1.2,131180.0,109300,6
BIL.N0000,2016-03-29,1.2,1.3,1.2,1.2,266994.2,222466,9
BIL.N0000,2016-03-30,1.2,1.3,1.2,1.3,833541.5,665235,32
BIL.N0000,2016-03-31,1.2,1.3,1.2,1.3,56060.0,46700,4
BIL.N0000,2016-04-03,1.2,1.2,1.2,1.2,47730.0,39775,2
BIL.N0000,2016-04-04,1.3,1.3,1.2,1.2,24180.0,19600,5
BIL.N0000,2016-04-05,1.3,1.3,1.2,1.2,51093.4,40432,16
BIL.N0000,2016-04-06,1.3,1.3,1.2,1.2,75250.0,62500,7
BIL.N0000,2016-04-07,1.3,1.3,1.3,1.3,327423.2,251864,27
BIL.N0000,2016-04-10,1.4,1.4,1.2,1.3,134940.0,103800,6
BIL.N0000,2016-04-11,1.3,1.4,1.3,1.3,36229.8,27869,4
BIL.N0000,2016-04-14,1.4,1.4,1.3,1.3,460341.3,354101,9
BIL.N0000,2016-04-17,1.4,1.4,1.3,1.3,193928.9,149176,5
BIL.N0000,2016-04-18,1.4,1.5,1.3,1.4,1818106.2,1302218,50
BIL.N0000,2016-04-19,1.4,1.5,1.4,1.4,831567.1,593905,21
BIL.N0000,2016-04-21,1.4,1.5,1.4,1.4,216992.8,154992,17
BIL.N0000,2016-04-24,1.4,1.4,1.3,1.3,56560.0,41200,11
BIL.N0000,2016-04-25,1.3,1.4,1.3,1.3,785739.2,604412,24
BIL.N0000,2016-04-26,1.3,1.4,1.3,1.3,42244.4,32411,15
BIL.N0000,2016-04-27,1.3,1.4,1.3,1.3,22764.0,17510,11
BIL.N0000,2016-04-28,1.4,1.4,1.3,1.4,800.0,600,3
BIL.N0000,2016-05-02,1.4,1.4,1.3,1.4,161030.2,115921,23
BIL.N0000,2016-05-03,1.4,1.4,1.3,1.3,2798327.4,2152466,41
BIL.N0000,2016-05-04,1.3,1.4,1.3,1.3,144572.7,110402,18
BIL.N0000,2016-05-05,1.4,1.5,1.4,1.4,3604874.2,2574903,55
BIL.N0000,2016-05-08,1.3,1.4,1.3,1.4,2799342.8,1999702,24
BIL.N0000,2016-05-09,1.4,1.5,1.4,1.4,274267.5,195905,8
BIL.N0000,2016-05-10,1.5,1.5,1.4,1.4,2608837.6,1863419,25
BIL.N0000,2016-05-11,1.4,1.4,1.4,1.4,14351.4,10251,6
