ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
BLI.N0000,2016-01-03,64.0,64.7,64.0,64.0,77547.0,1211,7
BLI.N0000,2016-01-04,64.0,64.0,62.0,64.0,4121.0,66,4
BLI.N0000,2016-01-05,62.0,62.0,62.0,62.0,94860.0,1530,7
BLI.N0000,2016-01-07,52.0,62.0,52.0,62.0,8044.0,132,8
BLI.N0000,2016-01-10,55.1,57.4,52.6,55.0,1247593.1,22692,46
BLI.N0000,2016-01-11,56.5,56.5,55.0,55.0,286150.0,5200,3
BLI.N0000,2016-01-12,55.0,58.8,55.0,56.4,273482.2,4851,29
BLI.N0000,2016-01-13,54.5,55.5,54.5,55.2,273958.0,4956,17
BLI.N0000,2016-01-17,52.7,54.0,50.0,50.2,353694.0,6906,20
BLI.N0000,2016-01-18,48.0,50.1,40.1,49.1,2023795.2,42375,67
BLI.N0000,2016-01-19,49.1,49.1,45.0,45.1,502862.0,10521,27
BLI.N0000,2016-01-20,45.1,53.0,45.1,50.0,2153367.8,42155,78
BLI.N0000,2016-01-21,51.9,53.5,51.0,51.0,404345.9,7875,23
BLI.N0000,2016-01-24,50.9,51.5,49.0,50.7,513643.0,10190,20
BLI.N0000,2016-01-25,49.0,52.0,48.1,51.2,81939.0,1607,11
BLI.N0000,2016-01-26,48.2,51.5,48.1,50.0,119670.7,2402,8
BLI.N0000,2016-01-27,50.0,52.0,50.0,51.2,56689.0,1107,17
BLI.N0000,2016-01-28,50.1,52.5,50.1,51.3,123369.4,2434,10
BLI.N0000,2016-02-01,52.5,52.5,50.8,50.9,10198.7,200,5
BLI.N0000,2016-02-02,52.6,52.6,50.8,50.9,155.9,3,3
BLI.N0000,2016-02-04,51.0,51.0,50.0,50.5,80329.1,1586,12
BLI.N0000,2016-02-07,52.1,52.1,50.5,50.9,11455.0,225,6
BLI.N0000,2016-02-08,50.0,50.0,50.0,50.0,26700.0,534,4
BLI.N0000,2016-02-09,49.2,49.2,49.0,49.0,93120.0,1900,10
BLI.N0000,2016-02-10,47.5,50.0,47.5,48.5,8775.0,181,7
BLI.N0000,2016-02-11,51.4,52.5,48.0,48.5,2878778.3,58913,85
BLI.N0000,2016-02-14,51.4,51.4,48.5,48.5,23601.4,481,7
BLI.N0000,2016-02-15,47.6,49.5,46.0,46.0,286428.5,6195,8
BLI.N0000,2016-02-16,46.7,46.7,45.5,46.0,52465.9,1145,8
BLI.N0000,2016-02-17,46.0,49.8,45.5,46.2,232683.0,4805,9
BLI.N0000,2016-02-18,49.0,49.0,45.7,47.8,70455.8,1491,23
BLI.N0000,2016-02-22,48.0,48.0,48.0,48.0,31248.0,651,1
BLI.N0000,2016-02-23,45.7,48.7,45.7,48.2,9489.5,201,5
BLI.N0000,2016-02-24,45.9,45.9,43.5,44.4,68650.0,1530,17
BLI.N0000,2016-02-25,44.9,44.9,42.4,43.0,917457.8,21278,29
BLI.N0000,2016-02-28,42.0,44.7,41.0,41.4,590733.0,14121,24
BLI.N0000,2016-02-29,44.7,44.7,40.0,40.0,397526.1,9930,11
BLI.N0000,2016-03-01,38.4,39.9,35.0,35.3,1238101.6,34957,56
BLI.N0000,2016-03-02,36.9,36.9,31.0,32.6,281403.3,8764,37
BLI.N0000,2016-03-03,32.0,35.5,32.0,35.4,189849.0,5760,24
BLI.N0000,2016-03-07,33.0,35.0,30.0,31.8,515386.4,16119,26
BLI.N0000,2016-03-08,30.3,31.0,28.0,30.1,955858.0,32657,33
BLI.N0000,2016-03-09,31.0,37.0,31.0,36.8,1290896.4,36370,51
BLI.N0000,2016-03-10,36.0,40.0,36.0,39.6,565871.7,14829,30
BLI.N0000,2016-03-13,37.6,39.9,35.5,37.4,232709.9,6307,33
BLI.N0000,2016-03-14,38.0,38.0,36.1,36.4,16762.0,461,6
BLI.N0000,2016-03-15,37.9,39.8,37.0,39.6,419899.0,10843,25
BLI.N0000,2016-03-16,37.0,39.8,37.0,38.7,388260.0,10312,17
BLI.N0000,2016-03-17,38.5,40.0,38.4,39.1,622375.2,15988,21
BLI.N0000,2016-03-20,40.0,47.8,40.0,42.5,564965.3,13571,45
BLI.N0000,2016-03-22,48.3,48.3,45.2,46.1,2164365.3,46097,114
BLI.N0000,2016-03-23,47.0,53.2,47.0,51.0,3836660.4,76703,190
BLI.N0000,2016-03-27,54.0,60.0,52.5,57.6,3982455.3,71032,259
BLI.N0000,2016-03-28,60.7,62.9,59.0,60.3,3465950.2,57172,220
BLI.N0000,2016-03-29,60.3,62.0,60.3,60.4,1073854.4,17623,68
BLI.N0000,2016-03-30,59.1,64.9,56.2,62.3,4981895.8,81504,116
BLI.N0000,2016-03-31,59.1,63.3,59.1,63.1,52865.6,836,15
BLI.N0000,2016-04-03,63.0,63.0,62.0,62.0,47950.0,770,7
BLI.N0000,2016-04-04,61.8,65.5,61.5,65.1,4353261.4,67876,139
BLI.N0000,2016-04-05,66.0,66.5,63.0,65.9,1039701.1,15871,54
BLI.N0000,2016-04-06,65.9,66.3,63.6,66.0,396112.4,6001,22
BLI.N0000,2016-04-07,66.0,66.0,63.0,63.0,292474.0,4560,15
BLI.N0000,2016-04-10,58.8,64.9,58.2,61.0,164634.0,2720,20
BLI.N0000,2016-04-11,64.5,65.9,62.1,63.1,127061.0,1972,16
BLI.N0000,2016-04-14,65.0,65.0,65.0,63.1,65.0,1,1
BLI.N0000,2016-04-17,62.0,62.0,61.0,61.0,39836.0,653,4
BLI.N0000,2016-04-18,64.9,64.9,61.3,61.6,83117.3,1345,13
BLI.N0000,2016-04-19,62.1,64.0,62.0,63.2,240992.0,3870,15
BLI.N0000,2016-04-21,64.5,64.5,61.1,64.0,480792.6,7513,29
BLI.N0000,2016-04-24,61.3,61.6,61.0,61.0,270147.7,4420,11
BLI.N0000,2016-04-25,61.0,62.0,59.0,62.0,67293.0,1100,8
BLI.N0000,2016-04-26,58.6,62.5,58.6,62.5,18032.5,301,4
BLI.N0000,2016-04-27,62.0,64.0,62.0,63.3,74644.9,1186,12
BLI.N0000,2016-04-28,64.0,64.0,61.0,63.2,64107.9,1012,18
BLI.N0000,2016-05-02,60.0,63.9,60.0,63.9,97643.4,1531,14
BLI.N0000,2016-05-03,63.8,65.0,61.0,64.0,167716.8,2619,5
