ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
BOGA.N0000,2016-01-03,33.0,33.0,33.0,32.4,495.0,15,1
BOGA.N0000,2016-01-04,33.0,33.0,32.0,33.0,1303548.9,40194,37
BOGA.N0000,2016-01-05,32.2,32.2,31.7,31.9,25963.7,811,6
BOGA.N0000,2016-01-06,31.3,32.0,30.6,31.2,63029.9,2018,8
BOGA.N0000,2016-01-07,31.2,31.2,30.1,30.4,76172.0,2510,11
BOGA.N0000,2016-01-10,31.1,31.1,27.1,29.8,72147.5,2415,10
BOGA.N0000,2016-01-11,30.4,30.4,30.4,30.4,167200.0,5500,2
BOGA.N0000,2016-01-12,30.4,32.2,30.0,31.2,625252.9,19966,27
BOGA.N0000,2016-01-13,30.5,31.9,30.1,30.2,36360.5,1205,4
BOGA.N0000,2016-01-17,30.1,30.1,29.2,29.8,25142.5,845,6
BOGA.N0000,2016-01-18,31.0,31.0,28.7,29.1,154719.8,5236,20
BOGA.N0000,2016-01-19,28.9,29.0,27.0,27.9,764616.2,27705,39
BOGA.N0000,2016-01-20,30.3,30.3,29.0,29.0,213439.0,7101,13
BOGA.N0000,2016-01-21,30.0,30.1,28.0,29.6,96045.0,3250,7
BOGA.N0000,2016-01-24,29.9,29.9,29.9,29.6,149.5,5,1
BOGA.N0000,2016-01-25,28.5,29.7,28.2,28.2,21048.0,740,5
BOGA.N0000,2016-01-26,28.1,29.7,28.1,29.1,42135.0,1450,9
BOGA.N0000,2016-01-27,29.5,29.5,28.0,28.8,21078.1,733,14
BOGA.N0000,2016-01-28,31.8,35.5,31.5,35.1,5445274.0,161727,364
BOGA.N0000,2016-01-31,35.8,37.0,34.0,34.8,4904385.0,137510,270
BOGA.N0000,2016-02-01,35.0,35.8,34.6,34.8,1162204.4,32971,58
BOGA.N0000,2016-02-02,34.5,34.5,34.0,34.1,280633.6,8243,32
BOGA.N0000,2016-02-04,33.8,35.4,33.8,34.3,376505.5,10956,53
BOGA.N0000,2016-02-07,34.5,34.5,33.7,33.7,75177.0,2215,9
BOGA.N0000,2016-02-08,33.6,33.8,33.3,33.7,7915.5,235,15
BOGA.N0000,2016-02-09,33.9,33.9,33.6,33.6,7228.5,215,3
BOGA.N0000,2016-02-10,33.3,33.3,31.5,32.0,251487.0,7762,25
BOGA.N0000,2016-02-11,31.5,32.0,30.8,31.0,383262.8,12332,33
BOGA.N0000,2016-02-14,31.0,31.0,30.9,31.0,82916.0,2675,10
BOGA.N0000,2016-02-15,30.9,31.6,30.9,31.0,35506.2,1142,7
BOGA.N0000,2016-02-16,31.0,31.0,30.1,30.5,134681.0,4416,16
BOGA.N0000,2016-02-17,30.1,30.8,30.0,30.0,232989.0,7754,14
BOGA.N0000,2016-02-18,31.0,31.0,30.0,30.0,123101.5,4100,7
BOGA.N0000,2016-02-22,29.7,29.7,29.6,29.6,23682.5,800,5
BOGA.N0000,2016-02-23,29.2,30.0,29.0,30.0,34134.0,1166,6
BOGA.N0000,2016-02-24,30.0,30.0,30.0,30.0,1500.0,50,2
BOGA.N0000,2016-02-25,27.8,28.0,27.8,28.0,9433.8,337,2
BOGA.N0000,2016-02-29,28.0,28.0,27.0,27.6,163076.7,5941,17
BOGA.N0000,2016-03-01,27.8,27.9,25.3,25.7,190891.2,7347,21
BOGA.N0000,2016-03-02,27.0,27.0,27.0,25.7,1890.0,70,2
BOGA.N0000,2016-03-03,27.0,32.2,27.0,32.0,1402812.6,45363,160
BOGA.N0000,2016-03-07,28.0,29.4,27.5,28.9,469206.4,16556,41
BOGA.N0000,2016-03-08,27.0,30.5,26.5,29.2,574639.4,20786,33
BOGA.N0000,2016-03-09,30.0,30.0,29.0,29.7,130713.6,4408,20
BOGA.N0000,2016-03-10,17.0,18.0,16.4,17.4,1526216.5,88381,105
BOGA.N0000,2016-03-13,17.8,17.8,15.6,15.6,166435.5,10211,22
BOGA.N0000,2016-03-14,16.2,16.2,15.0,15.5,71683.0,4751,20
BOGA.N0000,2016-03-15,16.1,16.1,15.5,15.6,41337.5,2645,4
BOGA.N0000,2016-03-16,16.1,17.0,16.1,16.4,510611.0,30591,37
BOGA.N0000,2016-03-17,16.1,16.1,15.2,15.7,518467.0,33207,40
BOGA.N0000,2016-03-20,15.5,15.7,15.0,15.4,168139.0,11100,39
BOGA.N0000,2016-03-22,15.7,15.7,15.3,15.6,12016.1,770,5
BOGA.N0000,2016-03-23,15.4,15.7,15.0,15.2,46559.0,3070,17
BOGA.N0000,2016-03-27,15.0,15.4,14.7,14.8,76164.9,5104,20
BOGA.N0000,2016-03-28,14.2,14.3,14.2,14.2,48836.5,3431,10
BOGA.N0000,2016-03-30,15.0,15.0,14.2,15.0,3644.2,243,5
BOGA.N0000,2016-03-31,15.0,15.8,15.0,15.7,310497.9,20292,31
BOGA.N0000,2016-04-03,15.7,15.7,14.7,15.0,109546.5,7295,19
BOGA.N0000,2016-04-04,15.0,16.3,15.0,16.1,872404.7,56225,80
BOGA.N0000,2016-04-05,16.4,16.8,16.0,16.3,399954.0,24787,45
BOGA.N0000,2016-04-06,16.0,16.7,15.6,16.3,631166.8,38277,58
BOGA.N0000,2016-04-07,16.2,16.2,16.2,16.2,14985.0,925,1
BOGA.N0000,2016-04-10,15.9,15.9,15.7,15.7,8989.0,570,4
BOGA.N0000,2016-04-11,16.0,16.8,16.0,16.7,542320.1,32549,42
BOGA.N0000,2016-04-14,16.2,16.5,16.2,16.2,35268.7,2176,8
BOGA.N0000,2016-04-17,16.4,16.4,16.2,16.2,71727.2,4427,11
BOGA.N0000,2016-04-18,16.3,16.3,15.7,15.7,17330.0,1100,4
BOGA.N0000,2016-04-19,15.7,16.0,15.7,15.9,92702.8,5804,13
BOGA.N0000,2016-04-21,15.8,16.0,15.8,15.8,26120.0,1650,5
BOGA.N0000,2016-04-24,15.6,15.9,15.5,15.8,284407.6,18021,13
BOGA.N0000,2016-04-25,16.0,16.0,15.0,15.1,642376.1,42471,61
