ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
BPPL.N0000,2017-04-03,12.5,13.0,12.4,12.4,10805769.6,853881,206
BPPL.N0000,2017-04-04,12.5,12.5,12.0,12.1,1254928.2,102737,77
BPPL.N0000,2017-04-05,12.1,12.3,12.1,12.2,346265.5,28450,18
BPPL.N0000,2017-04-06,12.3,12.3,12.0,12.0,96012.3,8001,8
BPPL.N0000,2017-04-10,12.3,12.3,12.2,12.2,1589.0,130,5
BPPL.N0000,2017-04-11,12.3,12.3,12.1,12.3,66670.4,5422,10
BPPL.N0000,2017-04-16,12.3,12.4,12.3,12.4,390646.8,31516,5
BPPL.N0000,2017-04-17,12.3,12.3,12.2,12.2,11934.8,976,6
BPPL.N0000,2017-04-18,12.3,12.3,12.3,12.3,16420.5,1335,7
BPPL.N0000,2017-04-19,12.3,12.4,12.3,12.3,2149953.0,174792,22
BPPL.N0000,2017-04-20,12.3,12.4,12.3,12.4,1248636.9,101503,7
BPPL.N0000,2017-04-23,12.5,12.5,12.3,12.3,305357.6,24824,10
BPPL.N0000,2017-04-24,12.3,12.3,12.3,12.3,155595.0,12650,9
BPPL.N0000,2017-04-25,12.3,12.4,12.2,12.3,4299992.3,347426,55
BPPL.N0000,2017-04-26,12.3,12.4,12.2,12.4,567590.4,45948,11
BPPL.N0000,2017-04-27,12.4,12.5,12.3,12.4,7678659.2,619133,30
BPPL.N0000,2017-05-01,12.5,12.6,12.5,12.5,773447.5,61867,16
BPPL.N0000,2017-05-02,12.5,12.5,12.4,12.4,79585.0,6402,5
BPPL.N0000,2017-05-03,12.4,12.5,12.4,12.5,846062.5,68181,5
BPPL.N0000,2017-05-04,12.5,12.7,12.5,12.6,431186.5,34290,16
BPPL.N0000,2017-05-07,12.7,12.7,12.6,12.6,4854.5,385,3
BPPL.N0000,2017-05-08,12.6,12.7,12.6,12.7,804376.9,63413,13
BPPL.N0000,2017-05-11,12.8,13.5,12.8,13.2,4672597.9,359025,76
BPPL.N0000,2017-05-14,13.5,13.5,13.0,13.1,1638811.4,121951,30
BPPL.N0000,2017-05-15,13.4,13.6,13.0,13.5,4561775.5,337941,41
BPPL.N0000,2017-05-16,13.5,13.5,13.1,13.3,115050.0,8640,16
BPPL.N0000,2017-05-17,13.4,13.4,13.2,13.2,375957.2,28384,10
BPPL.N0000,2017-05-18,13.1,13.3,13.1,13.3,49049.9,3691,6
BPPL.N0000,2017-05-21,13.3,13.4,13.3,13.3,315676.1,23735,9
BPPL.N0000,2017-05-22,13.3,13.3,13.1,13.1,1267797.3,96281,13
BPPL.N0000,2017-05-23,13.3,13.4,13.3,13.4,2545163.6,190354,20
BPPL.N0000,2017-05-24,13.3,13.3,13.0,13.0,8263.0,629,5
BPPL.N0000,2017-05-25,13.3,13.7,13.3,13.6,4235725.4,312948,91
BPPL.N0000,2017-05-28,13.6,13.7,13.5,13.6,15551223.6,1143476,50
BPPL.N0000,2017-05-29,13.6,13.6,13.6,13.6,4749174.4,349204,21
BPPL.N0000,2017-05-30,13.7,14.0,13.7,13.9,34188297.1,2442760,48
BPPL.N0000,2017-05-31,13.8,13.8,13.8,13.8,414013.8,30001,4
BPPL.N0000,2017-06-04,14.0,14.0,14.0,13.8,14.0,1,1
BPPL.N0000,2017-06-05,14.0,14.0,13.9,13.9,2681750.0,192000,17
BPPL.N0000,2017-06-06,13.9,14.5,13.9,14.5,81019797.0,5719232,183
BPPL.N0000,2017-06-08,14.4,14.9,14.4,14.5,1913613.3,129917,25
BPPL.N0000,2017-06-11,14.7,14.7,14.5,14.5,11252895.1,773974,63
BPPL.N0000,2017-06-12,14.5,14.6,14.4,14.6,29637652.5,2043985,69
BPPL.N0000,2017-06-13,14.6,15.4,14.6,15.1,34655598.3,2314227,190
BPPL.N0000,2017-06-14,15.3,15.7,15.3,15.4,8972673.3,576385,182
BPPL.N0000,2017-06-15,15.4,15.4,15.0,15.0,3615309.0,239994,53
BPPL.N0000,2017-06-18,15.0,15.1,14.9,15.1,1316430.0,87700,29
BPPL.N0000,2017-06-19,15.2,15.4,15.2,15.3,4747706.0,310552,57
BPPL.N0000,2017-06-20,15.3,15.6,15.3,15.6,6841480.8,442448,89
BPPL.N0000,2017-06-21,15.5,15.6,15.3,15.5,2277628.0,147005,33
BPPL.N0000,2017-06-22,15.5,15.5,15.3,15.5,5799066.6,375079,37
BPPL.N0000,2017-06-26,15.2,15.6,15.2,15.6,11048474.6,711133,68
BPPL.N0000,2017-06-27,15.8,16.0,15.6,15.7,13037802.3,828561,161
BPPL.N0000,2017-06-28,15.6,15.8,15.4,15.5,4455121.2,286850,82
BPPL.N0000,2017-06-29,15.6,15.6,15.4,15.5,2068865.2,133817,40
BPPL.N0000,2017-07-02,15.5,15.6,15.4,15.5,4512824.7,291208,45
BPPL.N0000,2017-07-03,15.5,15.6,15.4,15.5,3121901.0,201440,57
BPPL.N0000,2017-07-04,15.3,15.5,15.3,15.5,161680.0,10440,10
BPPL.N0000,2017-07-05,15.5,15.5,15.4,15.4,1563080.0,101360,27
BPPL.N0000,2017-07-06,15.5,15.5,15.4,15.4,221127.6,14337,12
BPPL.N0000,2017-07-09,15.4,15.4,15.3,15.3,1500374.9,97933,36
BPPL.N0000,2017-07-10,15.4,15.4,15.2,15.3,334920.0,21800,11
BPPL.N0000,2017-07-11,15.3,15.4,15.0,15.2,3878503.2,255404,44
BPPL.N0000,2017-07-12,15.0,15.3,15.0,15.3,2827134.0,185190,22
BPPL.N0000,2017-07-13,15.3,15.4,15.3,15.3,1002197.0,65490,16
BPPL.N0000,2017-07-16,15.4,15.4,15.2,15.3,1122099.6,73015,30
BPPL.N0000,2017-07-17,15.3,15.3,15.3,15.3,573122.7,37459,13
BPPL.N0000,2017-07-18,15.2,15.3,15.1,15.1,675410.0,44600,14
