ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
BREW.N0000,2016-01-06,850.0,850.0,850.0,850.0,522750.0,615,2
BREW.N0000,2016-01-11,800.0,800.0,800.0,850.0,66400.0,83,1
BREW.N0000,2016-01-12,800.0,800.0,750.0,755.0,75500.0,100,2
BREW.N0000,2016-01-19,701.0,755.0,700.0,751.9,1111966.0,1479,8
BREW.N0000,2016-01-28,700.0,800.0,700.0,751.9,1500.0,2,2
BREW.N0000,2016-01-31,800.0,800.0,800.0,751.9,8000.0,10,1
BREW.N0000,2016-02-02,780.0,780.0,780.0,751.9,54600.0,70,3
BREW.N0000,2016-02-04,751.9,799.9,751.9,751.9,4221214.6,5614,2
BREW.N0000,2016-02-15,755.0,755.0,755.0,751.9,755.0,1,1
BREW.N0000,2016-02-17,752.0,752.0,752.0,752.0,376000.0,500,3
BREW.N0000,2016-02-29,660.0,660.0,650.0,752.0,22250.0,34,6
BREW.N0000,2016-03-01,650.0,650.0,650.0,752.0,1950.0,3,1
BREW.N0000,2016-03-03,675.0,675.0,675.0,752.0,13500.0,20,1
BREW.N0000,2016-03-07,665.0,665.0,620.1,752.0,33727.5,53,6
BREW.N0000,2016-03-08,610.1,610.1,580.0,580.6,62120.7,107,3
BREW.N0000,2016-03-17,580.0,580.0,580.0,580.0,669900.0,1155,1
BREW.N0000,2016-03-23,699.9,699.9,699.9,580.0,1399.8,2,1
BREW.N0000,2016-03-27,485.0,485.0,485.0,580.0,2425.0,5,1
BREW.N0000,2016-03-30,590.0,590.0,590.0,580.0,2950.0,5,1
BREW.N0000,2016-04-06,600.0,600.0,600.0,580.0,1800.0,3,1
BREW.N0000,2016-04-07,600.1,651.0,600.1,651.0,3069414.1,4715,2
BREW.N0000,2016-04-25,645.0,645.0,645.0,651.0,5805.0,9,2
BREW.N0000,2016-05-03,654.0,680.1,654.0,651.0,9940.5,15,2
BREW.N0000,2016-05-18,799.9,799.9,799.9,651.0,6399.2,8,1
BREW.N0000,2016-05-23,799.9,799.9,799.9,651.0,799.9,1,1
BREW.N0000,2016-05-24,680.0,680.0,680.0,680.0,85000.0,125,8
BREW.N0000,2016-06-01,611.0,651.0,602.0,651.0,765249.0,1180,4
BREW.N0000,2016-06-02,655.0,655.0,655.0,655.0,552820.0,844,1
BREW.N0000,2016-06-05,650.0,650.0,650.0,650.0,547950.0,843,2
BREW.N0000,2016-06-09,630.0,651.0,630.0,651.0,65730.0,101,2
BREW.N0000,2016-06-13,631.0,631.0,631.0,651.0,631.0,1,1
BREW.N0000,2016-06-15,601.0,651.0,601.0,650.5,542484.0,834,3
BREW.N0000,2016-06-16,650.0,650.0,650.0,650.5,6500.0,10,2
BREW.N0000,2016-07-04,749.0,749.0,725.0,650.5,2223.0,3,2
BREW.N0000,2016-07-06,701.2,701.2,700.0,650.5,3501.2,5,2
BREW.N0000,2016-07-07,747.0,747.0,747.0,650.5,747.0,1,1
BREW.N0000,2016-07-11,747.0,747.0,747.0,650.5,747.0,1,1
BREW.N0000,2016-07-12,720.0,720.0,720.0,650.5,2160.0,3,3
BREW.N0000,2016-07-14,719.0,719.0,719.0,650.5,7190.0,10,1
BREW.N0000,2016-07-17,710.0,710.0,710.0,650.5,710.0,1,1
BREW.N0000,2016-07-21,601.0,603.0,601.0,601.0,198941.0,331,12
BREW.N0000,2016-07-25,710.0,710.0,679.0,601.0,1389.0,2,2
BREW.N0000,2016-07-26,650.0,699.0,630.0,642.8,174849.0,272,5
BREW.N0000,2016-07-27,602.5,602.5,600.0,642.8,44490.9,74,8
BREW.N0000,2016-07-28,649.0,650.0,649.0,650.0,360740.0,555,8
BREW.N0000,2016-07-31,603.0,650.0,603.0,650.0,272475.0,421,8
BREW.N0000,2016-08-01,670.0,670.0,670.0,650.0,670.0,1,1
BREW.N0000,2016-08-11,600.0,600.0,600.0,650.0,600.0,1,1
BREW.N0000,2016-08-15,650.0,650.0,650.0,650.0,1300.0,2,1
BREW.N0000,2016-08-17,650.0,650.0,650.0,650.0,650.0,1,1
BREW.N0000,2016-08-18,650.0,650.0,650.0,650.0,16900.0,26,3
BREW.N0000,2016-08-23,650.0,650.0,650.0,650.0,1300000.0,2000,1
BREW.N0000,2016-08-30,631.1,631.1,600.0,650.0,6031.1,10,2
BREW.N0000,2016-09-05,650.0,650.0,650.0,650.0,16900.0,26,1
BREW.N0000,2016-09-06,600.0,650.0,600.0,648.7,1930110.0,2994,5
BREW.N0000,2016-09-08,564.0,600.0,564.0,648.7,3564.0,6,2
BREW.N0000,2016-09-18,600.0,600.0,600.0,648.7,46800.0,78,1
BREW.N0000,2016-09-21,648.0,648.0,648.0,648.0,226152.0,349,2
BREW.N0000,2016-10-03,648.0,648.0,648.0,648.0,83592.0,129,1
BREW.N0000,2016-10-05,600.0,600.0,600.0,648.0,32400.0,54,2
BREW.N0000,2016-10-17,600.0,600.0,600.0,600.0,600000.0,1000,2
BREW.N0000,2016-10-27,600.0,600.0,600.0,600.0,73800.0,123,5
BREW.N0000,2016-10-30,599.0,599.0,599.0,600.0,599.0,1,1
BREW.N0000,2016-11-03,600.0,600.0,600.0,600.0,15000.0,25,2
BREW.N0000,2016-11-10,562.0,562.5,562.0,600.0,43867.5,78,3
BREW.N0000,2016-11-14,700.0,700.0,600.0,600.0,3700.0,6,2
BREW.N0000,2016-11-15,600.0,600.0,562.6,600.0,12488.6,21,3
BREW.N0000,2016-11-20,600.0,680.0,600.0,600.0,30760.0,51,6
BREW.N0000,2016-11-24,600.0,600.0,600.0,600.0,600.0,1,1
BREW.N0000,2016-12-05,575.1,575.1,575.1,600.0,575.1,1,1
BREW.N0000,2016-12-07,600.0,600.0,600.0,600.0,601800.0,1003,4
BREW.N0000,2016-12-14,600.0,600.0,600.0,600.0,600.0,1,1
BREW.N0000,2016-12-15,600.0,600.0,600.0,600.0,600.0,1,1
BREW.N0000,2016-12-20,600.0,651.0,600.0,650.5,999380.0,1595,11
BREW.N0000,2016-12-26,650.0,650.0,650.0,650.5,3250.0,5,1
BREW.N0000,2016-12-29,625.1,625.1,625.1,650.5,3125.5,5,1
BREW.N0000,2017-01-01,625.1,625.1,625.1,650.5,43757.0,70,1
BREW.N0000,2017-01-02,600.0,601.0,600.0,650.5,6002.0,10,3
BREW.N0000,2017-01-08,640.0,640.0,640.0,640.0,137600.0,215,4
BREW.N0000,2017-01-18,600.0,600.0,600.0,600.0,90000.0,150,2
BREW.N0000,2017-02-05,745.0,745.0,600.0,600.0,2835.0,4,2
BREW.N0000,2017-02-20,600.0,600.0,600.0,600.0,600.0,1,1
BREW.N0000,2017-02-26,600.0,600.0,600.0,600.0,19200.0,32,3
BREW.N0000,2017-03-02,680.0,680.0,680.0,600.0,680.0,1,1
BREW.N0000,2017-03-05,650.0,650.0,650.0,600.0,19500.0,30,1
BREW.N0000,2017-03-27,610.0,610.0,610.0,600.0,1220.0,2,2
BREW.N0000,2017-03-28,609.9,609.9,609.9,600.0,7928.7,13,2
BREW.N0000,2017-04-02,615.0,615.0,615.0,600.0,55965.0,91,2
BREW.N0000,2017-04-03,615.0,650.0,615.0,616.5,73360.0,119,8
BREW.N0000,2017-04-05,615.0,615.0,615.0,616.5,6765.0,11,1
BREW.N0000,2017-04-06,615.0,615.0,615.0,616.5,9225.0,15,3
BREW.N0000,2017-04-10,556.0,649.0,556.0,616.5,1205.0,2,2
BREW.N0000,2017-04-11,620.0,620.0,620.0,620.0,124000.0,200,1
BREW.N0000,2017-04-16,620.0,620.0,600.0,620.0,31012000.0,50020,4
BREW.N0000,2017-04-19,620.0,620.0,620.0,620.0,15624000.0,25200,2
BREW.N0000,2017-04-20,620.0,620.0,620.0,620.0,232500.0,375,1
BREW.N0000,2017-04-23,600.0,600.0,600.0,600.0,352800.0,588,5
BREW.N0000,2017-04-25,645.0,645.0,645.0,600.0,39345.0,61,3
BREW.N0000,2017-04-26,645.0,645.0,645.0,600.0,645.0,1,1
BREW.N0000,2017-05-02,640.0,640.0,640.0,600.0,640.0,1,1
BREW.N0000,2017-05-07,640.0,640.0,640.0,600.0,19200.0,30,2
BREW.N0000,2017-05-14,639.9,640.0,639.9,600.0,8319.7,13,2
BREW.N0000,2017-05-17,640.0,640.0,640.0,600.0,640.0,1,1
BREW.N0000,2017-05-23,600.0,600.0,600.0,600.0,25800.0,43,4
BREW.N0000,2017-05-28,571.0,571.0,571.0,600.0,21127.0,37,1
BREW.N0000,2017-05-30,600.0,600.0,600.0,600.0,600.0,1,1
BREW.N0000,2017-06-01,600.0,600.0,600.0,600.0,60000.0,100,1
BREW.N0000,2017-06-14,600.0,600.0,600.0,600.0,1500000.0,2500,3
BREW.N0000,2017-06-15,600.0,600.0,600.0,600.0,2130000.0,3550,7
BREW.N0000,2017-06-19,598.0,598.0,597.5,600.0,12552.9,21,3
