ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
BRR.N0000,2016-01-03,9.4,9.4,9.4,9.0,470.0,50,3
BRR.N0000,2016-01-04,9.2,9.8,9.0,9.0,86427.8,9580,4
BRR.N0000,2016-01-05,9.1,9.6,9.0,9.6,13777.0,1460,6
BRR.N0000,2016-01-06,9.0,9.0,9.0,9.0,1800.0,200,2
BRR.N0000,2016-01-07,9.0,9.5,9.0,9.0,189.5,21,2
BRR.N0000,2016-01-10,9.7,9.7,9.7,9.0,194.0,20,1
BRR.N0000,2016-01-12,9.1,9.1,9.1,9.0,455.0,50,1
BRR.N0000,2016-01-20,9.5,9.5,9.5,9.0,475.0,50,1
BRR.N0000,2016-01-24,8.0,9.5,8.0,8.3,4510.0,545,2
BRR.N0000,2016-01-25,8.0,8.0,8.0,8.0,7992.0,999,2
BRR.N0000,2016-01-28,8.1,8.1,8.1,8.1,8091.9,999,1
BRR.N0000,2016-01-31,8.3,8.3,8.3,8.3,14110.0,1700,1
BRR.N0000,2016-02-01,8.3,8.3,8.3,8.3,7486.6,902,2
BRR.N0000,2016-02-02,8.8,8.8,8.8,8.3,193.6,22,1
BRR.N0000,2016-02-04,9.5,9.5,9.5,8.3,9.5,1,1
BRR.N0000,2016-02-14,8.9,8.9,8.5,8.5,9750.0,1100,2
BRR.N0000,2016-02-22,6.6,6.6,6.6,8.5,6.6,1,1
BRR.N0000,2016-03-07,7.1,7.1,6.6,8.5,368.7,52,3
BRR.N0000,2016-03-09,7.1,7.1,7.1,8.5,312.4,44,1
BRR.N0000,2016-03-10,8.5,8.5,7.8,7.9,35840.0,4400,3
BRR.N0000,2016-03-30,7.8,8.5,7.8,8.5,24800.0,3000,3
BRR.N0000,2016-03-31,9.0,10.0,9.0,9.9,29171.8,2992,6
BRR.N0000,2016-04-03,10.0,10.0,10.0,9.9,300.0,30,2
BRR.N0000,2016-04-07,9.7,9.8,9.7,9.8,2048.0,210,4
BRR.N0000,2016-04-10,9.3,9.3,9.3,9.8,93.0,10,1
BRR.N0000,2016-04-11,9.8,9.8,9.8,9.8,1960.0,200,1
BRR.N0000,2016-04-14,10.4,10.7,10.4,10.4,2398.0,230,3
BRR.N0000,2016-04-17,9.5,10.0,9.5,9.5,50000.0,5250,4
BRR.N0000,2016-04-18,10.0,10.0,10.0,10.0,190090.0,19009,6
BRR.N0000,2016-04-19,10.2,10.6,10.0,10.0,36557.6,3649,5
BRR.N0000,2016-04-21,9.6,10.5,9.6,10.3,74691.0,7222,9
BRR.N0000,2016-04-26,10.0,10.5,10.0,10.5,3050.0,300,2
BRR.N0000,2016-04-27,10.6,10.6,10.0,10.5,454.4,44,2
BRR.N0000,2016-05-03,10.5,10.5,10.5,10.5,10500.0,1000,2
BRR.N0000,2016-05-12,9.9,9.9,9.9,9.9,9900.0,1000,2
