ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
BRWN.N0000,2016-01-04,101.2,103.0,101.0,101.6,282689.0,2783,6
BRWN.N0000,2016-01-05,104.7,104.7,100.8,100.8,111189.4,1102,4
BRWN.N0000,2016-01-06,101.0,101.0,100.6,100.6,762430.4,7550,6
BRWN.N0000,2016-01-07,100.4,100.4,98.0,100.3,11180731.7,111473,48
BRWN.N0000,2016-01-10,101.0,101.0,97.9,98.0,81923.0,828,10
BRWN.N0000,2016-01-11,98.0,98.0,97.9,98.0,4949668.3,50507,17
BRWN.N0000,2016-01-12,97.9,98.7,97.0,98.7,518382.7,5318,9
BRWN.N0000,2016-01-13,99.7,99.7,99.7,98.7,4985.0,50,3
BRWN.N0000,2016-01-17,98.0,98.0,90.3,90.3,98486.0,1060,8
BRWN.N0000,2016-01-18,88.6,90.0,83.0,89.5,877186.5,10175,16
BRWN.N0000,2016-01-19,84.0,84.0,84.0,84.0,42000.0,500,1
BRWN.N0000,2016-01-20,84.5,86.1,84.5,85.9,41894.0,490,8
BRWN.N0000,2016-01-21,87.0,87.0,87.0,87.0,191400.0,2200,6
BRWN.N0000,2016-01-25,92.0,92.0,86.0,86.2,905407.5,10445,21
BRWN.N0000,2016-01-26,87.1,87.1,87.0,86.2,4785.5,55,2
BRWN.N0000,2016-01-27,86.7,87.0,86.7,86.2,3477.0,40,3
BRWN.N0000,2016-01-28,88.0,91.7,88.0,89.0,917856.0,10242,23
BRWN.N0000,2016-01-31,90.9,92.0,90.0,90.7,329895.9,3636,14
BRWN.N0000,2016-02-01,90.0,91.0,89.9,90.9,527860.0,5850,14
BRWN.N0000,2016-02-02,90.0,90.1,88.0,89.9,94140.2,1047,3
BRWN.N0000,2016-02-04,89.9,89.9,89.4,89.9,1257.6,14,2
BRWN.N0000,2016-02-07,87.4,87.4,87.1,87.3,63153.3,723,6
BRWN.N0000,2016-02-08,89.8,89.8,88.0,88.0,9159.2,104,2
BRWN.N0000,2016-02-09,87.5,88.0,87.1,87.2,27753.3,318,6
BRWN.N0000,2016-02-10,87.2,87.2,85.0,85.4,488901.7,5738,20
BRWN.N0000,2016-02-11,85.4,85.4,85.0,85.0,308910.8,3634,8
BRWN.N0000,2016-02-14,85.0,85.0,83.5,85.0,111315.9,1310,8
BRWN.N0000,2016-02-15,83.0,84.0,81.1,84.0,1534333.9,18270,17
BRWN.N0000,2016-02-16,84.0,84.0,81.1,83.5,869355.2,10420,9
BRWN.N0000,2016-02-17,83.0,83.7,83.0,83.7,16906.0,202,2
BRWN.N0000,2016-02-18,81.1,85.2,80.1,81.3,29908.3,368,6
BRWN.N0000,2016-02-22,84.0,84.0,82.0,82.2,45200.0,550,3
BRWN.N0000,2016-02-23,81.5,84.0,81.0,83.3,407310.0,4947,9
BRWN.N0000,2016-02-24,85.0,86.1,83.5,83.5,326839.2,3896,7
BRWN.N0000,2016-02-25,85.0,85.0,85.0,85.0,48875.0,575,3
BRWN.N0000,2016-02-28,82.2,87.8,82.2,82.5,263536.3,3168,17
BRWN.N0000,2016-02-29,82.4,82.5,81.6,82.4,600644.3,7300,21
BRWN.N0000,2016-03-01,82.4,82.6,80.5,81.0,281123.0,3436,10
BRWN.N0000,2016-03-02,80.5,80.5,76.1,78.0,1458806.5,18889,17
BRWN.N0000,2016-03-03,78.0,78.0,78.0,78.0,39000.0,500,1
BRWN.N0000,2016-03-07,76.6,76.6,76.3,76.3,328523.0,4305,7
BRWN.N0000,2016-03-08,75.0,77.7,72.0,75.0,979648.0,13055,18
BRWN.N0000,2016-03-09,77.0,77.7,77.0,77.5,31867.2,411,4
BRWN.N0000,2016-03-10,79.9,82.0,79.9,80.5,846890.0,10510,16
BRWN.N0000,2016-03-14,80.0,80.0,80.0,80.0,240000.0,3000,1
BRWN.N0000,2016-03-15,80.0,84.0,80.0,84.0,527720.0,6591,6
BRWN.N0000,2016-03-16,80.0,80.0,80.0,80.0,8000.0,100,1
BRWN.N0000,2016-03-17,80.0,80.0,80.0,80.0,1563680.0,19546,5
BRWN.N0000,2016-03-20,80.0,80.0,78.1,79.0,320855.0,4057,11
BRWN.N0000,2016-03-22,81.0,83.8,80.0,80.0,32193.8,401,5
BRWN.N0000,2016-03-23,80.1,80.1,80.1,80.1,388485.0,4850,1
BRWN.N0000,2016-03-27,81.0,81.0,80.1,81.0,1668510.0,20600,6
BRWN.N0000,2016-03-28,81.0,83.9,80.0,83.6,418855.8,5010,8
BRWN.N0000,2016-03-29,80.5,80.5,80.5,83.6,402.5,5,1
BRWN.N0000,2016-03-30,80.9,80.9,79.0,79.8,280134.4,3506,20
BRWN.N0000,2016-03-31,80.0,81.0,80.0,81.0,635742.0,7872,5
BRWN.N0000,2016-04-03,80.0,80.0,80.0,80.0,80000.0,1000,3
BRWN.N0000,2016-04-04,79.3,85.0,79.3,84.8,452021.5,5368,13
BRWN.N0000,2016-04-05,88.5,88.5,87.8,87.9,18455.0,210,3
BRWN.N0000,2016-04-06,87.5,87.5,85.0,87.2,33840.0,390,3
BRWN.N0000,2016-04-07,87.5,99.9,87.5,88.3,1057268.8,11855,28
BRWN.N0000,2016-04-10,89.9,93.9,89.4,89.9,302381.7,3365,15
BRWN.N0000,2016-04-11,93.8,93.8,92.4,92.5,296376.8,3192,25
BRWN.N0000,2016-04-14,93.0,93.9,92.7,93.6,48212.2,515,7
BRWN.N0000,2016-04-17,90.0,90.0,88.2,90.0,43082.4,479,14
BRWN.N0000,2016-04-18,90.0,90.0,88.2,88.3,39731.0,448,10
BRWN.N0000,2016-04-19,89.0,90.0,89.0,89.9,59087.0,658,12
BRWN.N0000,2016-04-21,89.9,90.0,88.0,90.0,175911.9,1974,11
BRWN.N0000,2016-04-24,88.0,90.0,87.6,88.9,280514.1,3155,5
BRWN.N0000,2016-04-25,87.7,87.7,87.7,88.9,877.0,10,1
BRWN.N0000,2016-04-26,88.0,93.8,88.0,88.0,88277.6,1003,4
BRWN.N0000,2016-04-27,90.0,90.5,90.0,90.4,685180.0,7611,11
BRWN.N0000,2016-04-28,90.0,95.0,90.0,92.6,894983.8,9732,24
BRWN.N0000,2016-05-02,95.0,96.0,95.0,95.6,70437.4,736,9
BRWN.N0000,2016-05-03,95.0,95.0,94.0,94.0,39800.0,420,6
BRWN.N0000,2016-05-04,94.0,94.0,93.9,93.9,23579.0,251,6
BRWN.N0000,2016-05-05,94.0,94.0,92.0,93.0,375620.0,4031,13
BRWN.N0000,2016-05-09,94.0,94.0,94.0,93.0,3102.0,33,2
BRWN.N0000,2016-05-10,94.0,96.0,92.6,94.1,529768.6,5633,17
BRWN.N0000,2016-05-11,95.0,99.8,95.0,95.0,2304895.9,24179,37
BRWN.N0000,2016-05-12,98.8,98.8,95.2,97.8,104385.6,1067,5
BRWN.N0000,2016-05-15,98.8,98.8,98.8,97.8,5730.4,58,1
BRWN.N0000,2016-05-16,95.2,98.0,95.2,95.2,1354919.2,14232,14
BRWN.N0000,2016-05-17,95.2,95.2,95.0,95.1,30440.1,320,4
BRWN.N0000,2016-05-18,95.1,95.1,95.1,95.1,1220798.7,12837,2
BRWN.N0000,2016-05-19,94.2,94.2,94.0,94.1,34340.0,365,3
BRWN.N0000,2016-05-23,93.5,93.5,93.2,93.3,103978.3,1115,6
BRWN.N0000,2016-05-24,94.5,95.0,94.0,94.0,601844.7,6400,7
BRWN.N0000,2016-05-25,94.0,94.0,94.0,94.0,741096.0,7884,4
BRWN.N0000,2016-05-26,93.2,93.2,93.2,93.2,35975.2,386,2
BRWN.N0000,2016-05-29,93.0,93.0,93.0,93.0,2164110.0,23270,7
BRWN.N0000,2016-05-31,91.2,93.0,91.2,93.0,211755.6,2277,7
BRWN.N0000,2016-06-01,93.0,94.0,93.0,93.0,197170.0,2120,7
BRWN.N0000,2016-06-02,91.0,91.0,91.0,91.0,9100.0,100,1
BRWN.N0000,2016-06-07,91.0,91.0,90.0,90.7,34500.0,380,4
BRWN.N0000,2016-06-08,90.0,90.0,90.0,90.7,180.0,2,1
BRWN.N0000,2016-06-09,90.0,90.0,90.0,90.0,9270.0,103,3
BRWN.N0000,2016-06-12,89.1,89.1,81.3,85.9,17320.0,200,7
BRWN.N0000,2016-06-13,86.0,86.0,86.0,85.9,4300.0,50,1
BRWN.N0000,2016-06-14,87.0,87.0,86.0,86.0,103076.0,1198,7
BRWN.N0000,2016-06-15,85.5,85.5,85.0,85.0,128021.0,1500,6
BRWN.N0000,2016-06-16,85.0,89.0,85.0,86.0,216722.1,2497,13
BRWN.N0000,2016-06-19,86.1,86.1,86.1,86.0,2583.0,30,3
BRWN.N0000,2016-06-20,86.1,86.1,86.1,86.0,1722.0,20,1
BRWN.N0000,2016-06-21,85.9,85.9,85.4,86.0,1970.7,23,2
BRWN.N0000,2016-06-22,85.8,85.8,85.8,86.0,4290.0,50,1
BRWN.N0000,2016-06-23,85.3,85.3,85.3,85.3,79329.0,930,4
BRWN.N0000,2016-06-26,85.0,85.0,81.3,84.0,4340574.0,51081,5
BRWN.N0000,2016-06-27,85.0,86.0,82.0,82.0,445405.0,5415,4
BRWN.N0000,2016-06-29,81.4,81.4,81.4,82.0,407.0,5,1
BRWN.N0000,2016-07-03,81.0,81.2,80.0,80.6,40603.1,504,13
BRWN.N0000,2016-07-04,81.0,87.0,81.0,81.6,308300.0,3780,5
BRWN.N0000,2016-07-06,81.1,86.0,81.0,86.0,30191.5,365,4
BRWN.N0000,2016-07-07,86.7,95.0,83.1,85.2,50937.8,598,3
BRWN.N0000,2016-07-11,85.0,86.9,85.0,86.3,25880.0,300,3
BRWN.N0000,2016-07-12,86.9,89.8,85.5,89.8,545945.2,6202,12
BRWN.N0000,2016-07-13,89.9,94.0,89.9,93.1,14424177.2,155090,24
BRWN.N0000,2016-07-14,90.0,92.8,90.0,90.5,216164.2,2389,8
BRWN.N0000,2016-07-17,90.0,90.0,90.0,90.0,180000.0,2000,6
BRWN.N0000,2016-07-19,92.6,92.7,90.0,90.2,14648.8,161,6
BRWN.N0000,2016-07-20,90.1,91.5,90.0,91.2,610723.5,6750,10
BRWN.N0000,2016-07-21,90.1,91.2,90.1,91.2,24344.9,267,6
BRWN.N0000,2016-07-24,90.0,93.0,90.0,90.0,217209.9,2413,9
BRWN.N0000,2016-07-25,90.0,92.0,90.0,90.6,270847.0,2999,10
BRWN.N0000,2016-07-26,90.0,100.0,90.0,94.5,1096915.9,11608,21
BRWN.N0000,2016-07-27,98.8,99.0,93.0,98.2,1338523.4,13583,26
BRWN.N0000,2016-07-28,98.0,102.0,96.0,99.8,11169108.7,110468,95
BRWN.N0000,2016-07-31,100.4,100.5,97.0,97.0,9011891.8,89691,28
BRWN.N0000,2016-08-01,100.5,100.5,97.5,100.0,56059.5,562,10
BRWN.N0000,2016-08-02,96.3,99.4,95.1,95.1,191435.0,2003,11
BRWN.N0000,2016-08-03,95.3,96.0,95.3,95.3,667196.0,7001,3
BRWN.N0000,2016-08-04,96.6,97.0,96.6,97.0,185066.0,1910,5
BRWN.N0000,2016-08-07,97.0,97.1,96.0,96.8,2015182.6,20801,17
BRWN.N0000,2016-08-08,96.3,99.0,96.3,98.5,986459.0,10015,9
BRWN.N0000,2016-08-09,96.7,97.0,96.7,97.0,490028.7,5052,5
BRWN.N0000,2016-08-10,98.4,98.5,97.0,98.0,1310109.6,13322,14
BRWN.N0000,2016-08-11,98.5,98.5,96.6,97.1,536914.8,5513,8
BRWN.N0000,2016-08-14,96.7,97.0,94.0,96.5,405374.2,4199,6
BRWN.N0000,2016-08-15,95.5,95.9,95.0,95.5,286978.0,3005,8
BRWN.N0000,2016-08-17,93.5,93.5,93.5,93.5,9350.0,100,1
BRWN.N0000,2016-08-18,93.0,93.0,93.0,93.0,27009153.0,290421,3
BRWN.N0000,2016-08-21,94.0,97.8,93.0,97.6,120095.8,1245,13
BRWN.N0000,2016-08-22,97.0,98.0,97.0,97.2,317265.2,3264,14
BRWN.N0000,2016-08-25,93.0,93.1,93.0,93.1,23554.1,253,2
BRWN.N0000,2016-08-28,93.1,93.1,93.1,93.1,25974.9,279,4
BRWN.N0000,2016-08-29,93.0,94.0,93.0,94.0,38123.0,408,7
BRWN.N0000,2016-08-30,94.0,96.0,94.0,94.0,298648.0,3177,11
BRWN.N0000,2016-08-31,96.0,98.0,96.0,96.5,125633.8,1302,6
BRWN.N0000,2016-09-04,96.6,96.6,96.0,96.3,96346.6,1001,4
BRWN.N0000,2016-09-05,94.1,94.1,94.1,94.1,9410.0,100,1
BRWN.N0000,2016-09-06,95.0,95.0,94.1,94.1,125285.7,1327,5
BRWN.N0000,2016-09-07,94.1,94.1,89.0,93.0,217263.9,2334,8
BRWN.N0000,2016-09-08,92.0,92.0,90.0,90.0,401200.0,4400,7
BRWN.N0000,2016-09-12,96.1,96.1,90.1,90.1,52236.0,550,5
BRWN.N0000,2016-09-13,90.2,94.0,90.2,94.0,3988559.4,42462,8
BRWN.N0000,2016-09-14,90.2,90.2,90.0,90.0,80140.0,890,4
BRWN.N0000,2016-09-18,90.0,90.0,89.5,89.9,313590.0,3487,8
BRWN.N0000,2016-09-19,90.0,90.0,90.0,90.0,58500.0,650,4
BRWN.N0000,2016-09-20,90.0,90.2,90.0,90.1,13520.0,150,2
BRWN.N0000,2016-09-21,90.2,90.2,90.0,90.2,433731.0,4811,6
BRWN.N0000,2016-09-22,90.2,90.2,88.0,88.3,2183680.8,24726,15
BRWN.N0000,2016-09-25,86.0,91.0,86.0,88.3,1745.0,20,2
BRWN.N0000,2016-09-26,89.0,89.0,89.0,88.3,3115.0,35,3
BRWN.N0000,2016-09-27,91.0,92.9,91.0,91.0,218495.0,2400,2
BRWN.N0000,2016-09-28,91.5,92.9,90.9,91.2,124208.9,1360,10
BRWN.N0000,2016-09-29,91.0,94.0,91.0,93.9,2954696.0,31482,18
BRWN.N0000,2016-10-02,95.0,95.0,93.0,93.0,29715.0,317,2
BRWN.N0000,2016-10-03,95.0,96.0,92.0,92.0,458336.0,4958,5
BRWN.N0000,2016-10-04,92.0,92.0,92.0,92.0,206172.0,2241,3
BRWN.N0000,2016-10-05,92.1,92.5,92.0,92.0,267620.0,2905,12
BRWN.N0000,2016-10-06,92.1,93.0,92.1,93.0,232592.1,2501,2
BRWN.N0000,2016-10-09,93.0,93.0,91.6,91.7,173991.4,1897,6
