ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
BUKI.N0000,2016-01-03,515.0,515.0,515.0,511.2,10300.0,20,1
BUKI.N0000,2016-01-04,517.0,517.0,517.0,511.2,1551.0,3,2
BUKI.N0000,2016-01-05,506.1,506.2,505.1,505.7,56640.3,112,6
BUKI.N0000,2016-01-06,506.0,506.0,506.0,505.7,8096.0,16,2
BUKI.N0000,2016-01-10,506.0,510.0,500.0,507.9,109702.0,216,11
BUKI.N0000,2016-01-11,500.0,500.0,453.0,507.9,5530.0,12,3
BUKI.N0000,2016-01-12,455.2,455.2,441.1,446.2,302465.5,676,23
BUKI.N0000,2016-01-13,441.0,441.0,435.0,439.2,135809.5,309,15
BUKI.N0000,2016-01-17,438.0,438.0,420.0,425.0,71333.0,167,11
BUKI.N0000,2016-01-18,421.1,440.0,400.0,401.7,349520.2,869,30
BUKI.N0000,2016-01-19,400.0,400.0,380.0,381.2,295297.6,765,30
BUKI.N0000,2016-01-20,400.0,425.0,400.0,400.3,335377.0,838,24
BUKI.N0000,2016-01-21,400.0,400.0,396.1,398.5,90346.1,227,11
BUKI.N0000,2016-01-24,397.0,405.0,397.0,398.5,4409.0,11,7
BUKI.N0000,2016-01-26,400.0,400.0,400.0,400.0,46800.0,117,9
BUKI.N0000,2016-01-27,398.5,400.0,398.5,400.0,3992.5,10,7
BUKI.N0000,2016-01-28,450.0,450.0,402.0,400.0,30997.0,69,10
BUKI.N0000,2016-01-31,410.0,415.0,410.0,410.1,87755.0,214,5
BUKI.N0000,2016-02-01,410.0,415.0,410.0,410.1,2890.0,7,2
BUKI.N0000,2016-02-02,415.0,415.0,415.0,410.1,17845.0,43,5
BUKI.N0000,2016-02-04,420.0,425.0,415.0,417.5,103095.0,246,10
BUKI.N0000,2016-02-07,420.0,450.0,420.0,417.5,34825.0,78,6
BUKI.N0000,2016-02-08,420.1,420.1,420.0,417.5,2940.5,7,2
BUKI.N0000,2016-02-09,420.0,420.0,420.0,417.5,10920.0,26,4
BUKI.N0000,2016-02-10,417.2,417.2,417.0,417.0,47123.0,113,9
BUKI.N0000,2016-02-14,415.5,415.5,410.0,417.0,25431.0,62,5
BUKI.N0000,2016-02-15,410.0,410.0,400.0,417.0,1220.0,3,2
BUKI.N0000,2016-02-16,399.0,399.0,390.0,417.0,4344.0,11,4
BUKI.N0000,2016-02-17,399.0,410.0,381.0,407.9,535968.8,1314,5
BUKI.N0000,2016-02-18,400.0,400.0,400.0,407.9,32400.0,81,5
BUKI.N0000,2016-02-24,391.0,391.0,391.0,407.9,782.0,2,1
BUKI.N0000,2016-02-25,390.0,410.0,390.0,400.1,56310.0,141,7
BUKI.N0000,2016-02-28,400.0,400.0,390.0,400.1,17020.0,43,7
BUKI.N0000,2016-02-29,386.2,386.2,375.0,375.0,195213.5,514,21
BUKI.N0000,2016-03-01,375.0,375.0,373.9,374.9,46863.9,125,8
BUKI.N0000,2016-03-02,370.0,370.0,370.0,374.9,16280.0,44,6
BUKI.N0000,2016-03-03,363.0,375.0,362.0,365.0,80115.5,220,10
BUKI.N0000,2016-03-07,366.0,367.0,360.0,365.2,136926.0,375,11
BUKI.N0000,2016-03-08,353.0,360.0,350.0,360.0,161608.6,457,14
BUKI.N0000,2016-03-09,360.0,360.0,360.0,360.0,7200.0,20,1
BUKI.N0000,2016-03-10,367.0,399.8,365.0,360.0,17581.5,48,15
BUKI.N0000,2016-03-13,367.0,367.0,365.0,365.7,118105.0,323,11
BUKI.N0000,2016-03-14,395.0,395.0,395.0,365.7,395.0,1,1
BUKI.N0000,2016-03-15,381.0,381.0,365.0,372.7,363058.0,974,16
BUKI.N0000,2016-03-16,395.0,395.0,395.0,372.7,26465.0,67,6
BUKI.N0000,2016-03-17,395.0,400.0,395.0,372.7,38365.0,97,6
BUKI.N0000,2016-03-20,365.0,365.0,365.0,365.0,756645.0,2073,39
BUKI.N0000,2016-03-22,393.0,399.0,365.0,367.1,122381.9,328,12
BUKI.N0000,2016-03-23,365.0,365.0,340.0,350.0,52311561.7,149436,71
BUKI.N0000,2016-03-27,372.0,372.0,350.0,350.0,7110.0,20,2
BUKI.N0000,2016-03-28,350.0,350.0,350.0,350.0,3500000.0,10000,1
BUKI.N0000,2016-03-29,352.0,352.0,349.0,350.0,1663548.0,4753,12
BUKI.N0000,2016-03-30,369.9,369.9,350.0,350.0,11284.9,32,5
BUKI.N0000,2016-03-31,350.0,356.0,350.0,353.5,54434.2,154,10
BUKI.N0000,2016-04-03,350.0,355.0,350.0,353.5,16152.2,46,5
BUKI.N0000,2016-04-04,350.0,360.0,350.0,360.0,145641.0,407,11
BUKI.N0000,2016-04-05,369.5,369.5,360.0,360.0,85358.0,237,4
BUKI.N0000,2016-04-06,360.0,360.0,359.5,359.5,212615.7,591,12
BUKI.N0000,2016-04-07,359.5,359.5,358.2,359.0,218806.4,609,16
BUKI.N0000,2016-04-10,358.0,358.0,353.0,356.5,1574857.9,4412,59
BUKI.N0000,2016-04-11,357.0,358.9,356.0,358.9,429513.6,1202,23
BUKI.N0000,2016-04-14,358.9,358.9,358.9,358.9,17227.2,48,1
BUKI.N0000,2016-04-17,394.9,394.9,390.0,358.9,36469.4,93,5
BUKI.N0000,2016-04-18,370.0,370.0,370.0,370.0,77700.0,210,2
BUKI.N0000,2016-04-19,375.0,380.0,370.0,377.1,67875.0,180,4
BUKI.N0000,2016-04-21,370.0,370.0,370.0,370.0,253080.0,684,8
BUKI.N0000,2016-04-24,359.2,365.1,354.0,354.0,15965741.0,45099,13
BUKI.N0000,2016-04-25,357.0,365.0,357.0,357.9,554736.0,1551,20
BUKI.N0000,2016-04-26,360.0,360.0,355.1,356.0,72987.9,205,7
BUKI.N0000,2016-04-27,357.1,365.0,357.0,359.1,116860.1,326,10
BUKI.N0000,2016-04-28,365.0,365.0,358.2,359.8,446670.0,1230,34
BUKI.N0000,2016-05-02,361.0,365.0,360.0,364.7,1165278.0,3202,28
BUKI.N0000,2016-05-03,363.0,363.5,363.0,364.7,8359.0,23,4
BUKI.N0000,2016-05-04,363.4,363.5,360.2,361.5,171951.5,475,8
BUKI.N0000,2016-05-05,361.0,363.5,361.0,361.5,98375.5,272,10
BUKI.N0000,2016-05-08,361.5,361.5,361.0,361.5,33965.3,94,10
BUKI.N0000,2016-05-09,361.0,361.5,361.0,361.5,111701.0,309,11
BUKI.N0000,2016-05-10,360.5,361.5,355.0,360.9,301673.1,844,21
BUKI.N0000,2016-05-11,361.5,364.0,360.3,360.5,77885.0,216,11
BUKI.N0000,2016-05-12,364.0,365.0,360.5,364.8,162999.0,447,20
BUKI.N0000,2016-05-15,365.0,365.0,362.0,364.6,309586.4,849,15
BUKI.N0000,2016-05-16,365.0,365.0,362.6,365.0,81370.4,223,11
BUKI.N0000,2016-05-17,365.0,365.0,362.0,363.7,41100.4,113,5
BUKI.N0000,2016-05-18,365.0,365.0,362.1,364.6,306194.0,840,8
BUKI.N0000,2016-05-19,361.0,363.0,360.0,362.0,161879.0,449,11
BUKI.N0000,2016-05-23,360.2,360.2,360.0,360.0,113405.4,315,8
BUKI.N0000,2016-05-24,361.0,361.0,360.0,360.0,19805.0,55,3
BUKI.N0000,2016-05-25,360.0,360.0,360.0,360.0,720.0,2,1
BUKI.N0000,2016-05-26,360.0,360.0,355.0,360.0,22026.0,62,5
BUKI.N0000,2016-05-29,355.0,355.0,352.1,360.0,9913.9,28,3
BUKI.N0000,2016-05-30,352.2,352.2,352.1,360.0,3873.6,11,2
BUKI.N0000,2016-05-31,350.0,350.0,350.0,360.0,4900.0,14,2
BUKI.N0000,2016-06-01,355.0,355.0,340.0,340.9,38299.0,112,9
BUKI.N0000,2016-06-02,346.0,348.0,346.0,340.9,15590.0,45,3
BUKI.N0000,2016-06-05,346.0,346.0,330.0,336.6,131008.8,390,12
BUKI.N0000,2016-06-06,350.0,350.0,350.0,350.0,37100.0,106,3
BUKI.N0000,2016-06-07,350.0,350.0,350.0,350.0,35000.0,100,1
BUKI.N0000,2016-06-12,347.0,347.0,345.0,350.0,7247.0,21,3
BUKI.N0000,2016-06-13,349.9,349.9,340.0,340.0,69549.7,203,5
BUKI.N0000,2016-06-14,340.0,340.0,340.0,340.0,5100.0,15,3
BUKI.N0000,2016-06-15,340.0,340.0,340.0,340.0,14620.0,43,6
BUKI.N0000,2016-06-16,338.0,350.0,338.0,349.9,39425.0,113,4
BUKI.N0000,2016-06-20,349.0,349.0,345.0,349.9,4148.0,12,3
BUKI.N0000,2016-06-22,345.0,345.0,345.0,349.9,690.0,2,1
BUKI.N0000,2016-06-26,343.0,343.0,315.0,315.2,71599.0,227,6
BUKI.N0000,2016-06-27,325.0,325.0,315.1,315.2,5100.6,16,5
BUKI.N0000,2016-06-28,315.1,315.1,315.0,315.0,199111.7,632,16
BUKI.N0000,2016-06-29,315.0,325.0,285.0,285.0,37510756.0,130546,12
BUKI.N0000,2016-06-30,295.0,300.0,295.0,298.3,64408.2,216,14
BUKI.N0000,2016-07-03,300.0,310.0,300.0,298.3,2150.0,7,2
BUKI.N0000,2016-07-04,301.0,301.0,290.2,293.4,167699.1,562,16
BUKI.N0000,2016-07-06,321.0,321.0,305.0,309.9,198951.1,642,10
BUKI.N0000,2016-07-07,310.0,310.0,310.0,309.9,1550.0,5,1
BUKI.N0000,2016-07-10,315.0,324.0,310.0,309.9,19100.0,61,6
BUKI.N0000,2016-07-11,320.0,324.0,320.0,309.9,3217.0,10,5
BUKI.N0000,2016-07-13,315.0,315.0,310.0,310.9,95769.0,308,13
BUKI.N0000,2016-07-14,315.0,315.0,308.0,310.9,18427.0,59,11
BUKI.N0000,2016-07-17,315.0,315.0,311.0,310.9,1248.0,4,4
BUKI.N0000,2016-07-19,315.0,315.0,314.0,310.9,12593.0,40,7
BUKI.N0000,2016-07-20,310.5,314.0,310.5,310.9,2815.5,9,3
BUKI.N0000,2016-07-21,311.0,312.0,311.0,312.0,67064.5,215,11
BUKI.N0000,2016-07-24,311.0,311.0,311.0,312.0,7775.0,25,3
BUKI.N0000,2016-07-25,310.0,315.0,310.0,312.0,16442.0,53,5
BUKI.N0000,2016-07-26,301.2,305.0,300.0,301.8,201290.0,667,8
BUKI.N0000,2016-07-27,313.0,313.0,313.0,301.8,313.0,1,1
BUKI.N0000,2016-07-28,310.0,310.0,305.0,301.8,2779.0,9,7
BUKI.N0000,2016-07-31,302.0,310.0,301.0,301.1,98473.0,327,10
BUKI.N0000,2016-08-01,304.0,304.0,300.0,300.8,60197.5,200,8
BUKI.N0000,2016-08-02,301.0,310.0,300.0,301.0,49070.0,163,7
BUKI.N0000,2016-08-03,301.0,301.0,301.0,301.0,301.0,1,1
BUKI.N0000,2016-08-04,310.0,318.0,310.0,301.0,5596.0,18,5
BUKI.N0000,2016-08-07,312.0,312.0,300.0,301.4,32852.0,109,9
BUKI.N0000,2016-08-08,301.4,305.0,301.4,301.4,15382.2,51,8
BUKI.N0000,2016-08-09,305.0,310.0,304.0,309.3,45683.5,148,12
BUKI.N0000,2016-08-10,310.0,310.0,302.0,302.0,64654.2,214,7
BUKI.N0000,2016-08-11,302.0,309.9,301.0,303.1,101236.3,334,12
BUKI.N0000,2016-08-14,301.2,301.2,298.0,300.4,99120.7,330,14
BUKI.N0000,2016-08-15,301.0,301.0,298.0,300.4,25797.0,86,10
BUKI.N0000,2016-08-17,300.0,300.0,287.0,294.5,43304.0,148,6
BUKI.N0000,2016-08-18,295.0,295.0,294.5,294.5,10614.5,36,3
BUKI.N0000,2016-08-21,299.9,299.9,299.9,294.5,11996.0,40,2
BUKI.N0000,2016-08-22,295.5,298.0,295.0,294.5,18948.2,64,14
BUKI.N0000,2016-08-23,295.0,295.0,295.0,294.5,9145.0,31,3
BUKI.N0000,2016-08-24,290.0,290.0,290.0,294.5,14500.0,50,5
BUKI.N0000,2016-08-28,290.0,293.9,290.0,292.6,43890.0,150,5
BUKI.N0000,2016-08-29,292.7,292.7,280.5,287.8,190266.0,654,11
BUKI.N0000,2016-08-30,287.0,290.0,286.0,286.0,290622.0,1016,7
BUKI.N0000,2016-08-31,286.0,292.0,286.0,286.4,153490.0,536,4
BUKI.N0000,2016-09-01,292.0,292.0,291.0,286.4,13431.0,46,4
BUKI.N0000,2016-09-04,287.5,290.0,280.0,280.7,419136.5,1463,19
BUKI.N0000,2016-09-05,280.1,290.0,280.0,289.9,760500.0,2695,16
BUKI.N0000,2016-09-06,280.0,290.0,270.0,275.0,290170.0,1056,11
BUKI.N0000,2016-09-07,280.0,280.0,270.0,275.0,5950.1,22,3
BUKI.N0000,2016-09-08,275.0,289.0,275.0,275.0,84164.0,306,6
BUKI.N0000,2016-09-12,280.1,280.1,280.1,275.0,8403.0,30,1
BUKI.N0000,2016-09-13,281.0,281.0,280.0,280.0,57121.0,204,4
BUKI.N0000,2016-09-14,280.0,280.0,276.0,280.0,4704.0,17,3
BUKI.N0000,2016-09-19,276.0,276.0,275.0,275.7,184481.9,669,11
BUKI.N0000,2016-09-20,276.0,280.0,275.0,278.6,256211.5,921,13
BUKI.N0000,2016-09-21,278.0,278.0,278.0,278.6,19738.0,71,2
BUKI.N0000,2016-09-22,278.0,278.0,275.0,276.1,704704.0,2552,14
BUKI.N0000,2016-09-25,275.2,275.8,275.1,275.2,29447.1,107,4
BUKI.N0000,2016-09-26,275.0,275.0,270.5,275.2,24723.0,91,6
BUKI.N0000,2016-09-27,274.0,274.0,270.6,273.9,110687.2,404,5
BUKI.N0000,2016-09-28,271.0,275.0,271.0,274.6,54906.0,200,11
BUKI.N0000,2016-09-29,273.0,275.0,270.0,270.0,4756642.8,17616,17
BUKI.N0000,2016-10-02,272.0,272.0,270.0,270.1,138722.9,513,14
BUKI.N0000,2016-10-03,270.1,270.1,270.1,270.1,5402.0,20,1
BUKI.N0000,2016-10-04,265.1,270.0,260.0,260.2,139270.4,535,11
BUKI.N0000,2016-10-05,269.0,269.0,261.0,261.0,26369.0,101,2
BUKI.N0000,2016-10-06,261.0,267.0,260.2,264.9,33559.8,127,14
BUKI.N0000,2016-10-09,269.0,269.0,262.1,264.9,1579.5,6,2
BUKI.N0000,2016-10-10,269.0,269.0,265.0,264.9,13980.0,52,4
BUKI.N0000,2016-10-11,265.0,265.0,260.0,260.1,549349.5,2112,15
BUKI.N0000,2016-10-12,264.0,264.0,264.0,260.1,264.0,1,1
BUKI.N0000,2016-10-13,264.0,264.0,260.0,260.1,55397.2,213,7
BUKI.N0000,2016-10-16,260.0,260.0,258.0,260.0,951034.0,3658,13
BUKI.N0000,2016-10-17,261.0,261.0,261.0,260.0,1305.0,5,1
BUKI.N0000,2016-10-18,262.5,264.0,260.0,262.7,103770.0,395,6
BUKI.N0000,2016-10-19,260.0,270.0,260.0,267.0,58024.0,219,9
BUKI.N0000,2016-10-20,270.0,270.0,270.0,267.0,13500.0,50,1
BUKI.N0000,2016-10-23,270.0,270.0,266.0,269.4,41754.0,155,5
BUKI.N0000,2016-10-24,266.0,280.0,266.0,279.6,75758.0,273,10
BUKI.N0000,2016-10-25,285.0,349.4,285.0,279.6,23321.6,69,7
BUKI.N0000,2016-10-26,289.0,290.1,289.0,290.0,59400.5,205,10
BUKI.N0000,2016-10-27,289.1,289.1,282.0,290.0,18717.1,66,7
BUKI.N0000,2016-10-30,287.5,287.5,287.5,290.0,1437.5,5,1
BUKI.N0000,2016-10-31,288.0,289.0,282.0,283.1,62564.0,219,5
BUKI.N0000,2016-11-01,288.0,289.0,280.0,283.1,17619.0,62,9
BUKI.N0000,2016-11-02,283.1,287.5,283.1,283.3,30026.2,106,2
BUKI.N0000,2016-11-03,287.0,289.0,287.0,283.3,18944.0,66,5
BUKI.N0000,2016-11-06,285.0,285.0,283.5,283.3,11086.5,39,6
BUKI.N0000,2016-11-07,283.5,283.5,280.0,283.3,10718.7,38,8
BUKI.N0000,2016-11-08,270.1,275.0,270.1,274.1,40562.8,148,3
