ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
CABO.N0000,2016-01-04,118.2,118.2,118.1,118.1,106317.6,900,7
CABO.N0000,2016-01-06,120.1,120.1,120.0,120.0,60007.6,500,3
CABO.N0000,2016-01-07,120.0,120.0,118.0,118.5,35562.0,300,3
CABO.N0000,2016-01-10,118.0,118.0,118.0,118.0,11800.0,100,1
CABO.N0000,2016-01-11,118.0,118.0,118.0,118.0,5900.0,50,1
CABO.N0000,2016-01-17,108.0,108.0,108.0,108.0,10800.0,100,4
CABO.N0000,2016-01-19,110.0,110.0,110.0,108.0,1540.0,14,1
CABO.N0000,2016-01-20,109.8,110.0,109.8,110.0,59059.8,537,6
CABO.N0000,2016-01-21,112.4,112.5,112.4,112.5,207562.0,1845,12
CABO.N0000,2016-01-26,112.0,112.0,111.0,111.7,78200.0,700,2
CABO.N0000,2016-01-31,112.0,112.0,112.0,111.7,10080.0,90,1
CABO.N0000,2016-02-01,112.0,112.0,112.0,112.0,22400.0,200,1
CABO.N0000,2016-02-02,112.6,112.6,112.6,112.6,23646.0,210,1
CABO.N0000,2016-02-18,106.1,106.1,106.0,106.0,21201.0,200,2
CABO.N0000,2016-02-28,104.0,104.0,104.0,106.0,104.0,1,1
CABO.N0000,2016-03-03,119.9,119.9,119.9,106.0,119.9,1,1
CABO.N0000,2016-03-08,102.0,102.0,100.0,100.0,34010.0,340,3
CABO.N0000,2016-03-17,107.0,107.0,106.9,107.0,117690.0,1100,7
CABO.N0000,2016-03-20,106.0,106.0,106.0,106.0,53000.0,500,2
CABO.N0000,2016-03-29,106.0,106.0,106.0,106.0,6148.0,58,6
CABO.N0000,2016-03-31,106.0,106.0,106.0,106.0,530.0,5,1
CABO.N0000,2016-04-17,129.6,129.6,129.4,106.0,11648.0,90,3
CABO.N0000,2016-04-24,106.1,106.1,106.1,106.0,2652.5,25,3
CABO.N0000,2016-04-25,106.1,107.2,106.0,106.0,65977.0,620,13
CABO.N0000,2016-04-26,106.1,106.1,106.0,106.0,79550.0,750,2
CABO.N0000,2016-04-27,106.0,106.0,106.0,106.0,26500.0,250,1
CABO.N0000,2016-04-28,110.0,119.0,110.0,110.1,16619.0,151,3
CABO.N0000,2016-05-03,111.0,111.0,111.0,110.1,111.0,1,1
CABO.N0000,2016-05-05,110.0,110.0,110.0,110.1,440.0,4,1
CABO.N0000,2016-05-08,119.0,120.0,115.0,118.5,36725.0,310,8
CABO.N0000,2016-05-11,115.0,115.0,115.0,115.0,11500.0,100,2
CABO.N0000,2016-05-12,115.0,115.0,115.0,115.0,1150.0,10,1
CABO.N0000,2016-05-16,115.0,115.0,115.0,115.0,1035.0,9,1
CABO.N0000,2016-05-17,115.0,115.0,115.0,115.0,14375.0,125,3
CABO.N0000,2016-05-18,115.0,115.0,115.0,115.0,2875.0,25,4
CABO.N0000,2016-05-23,110.1,111.0,110.0,110.6,26574.1,241,9
CABO.N0000,2016-05-24,110.7,110.7,110.0,110.1,11007.7,100,5
CABO.N0000,2016-05-29,110.0,110.0,109.0,110.1,7790.0,71,3
CABO.N0000,2016-06-07,110.0,110.0,110.0,110.0,125510.0,1141,4
CABO.N0000,2016-06-12,108.0,108.0,108.0,110.0,108.0,1,1
CABO.N0000,2016-06-14,110.0,110.0,110.0,110.0,22000.0,200,1
CABO.N0000,2016-06-16,110.0,110.0,110.0,110.0,55000.0,500,2
CABO.N0000,2016-06-20,110.0,110.0,110.0,110.0,2860.0,26,1
CABO.N0000,2016-06-28,103.0,103.0,103.0,103.0,103000.0,1000,6
CABO.N0000,2016-07-11,110.0,110.0,110.0,110.0,715440.0,6504,11
CABO.N0000,2016-07-17,109.0,109.0,109.0,110.0,1090.0,10,1
CABO.N0000,2016-07-19,109.0,109.0,109.0,109.0,16350.0,150,1
CABO.N0000,2016-07-20,108.0,108.0,108.0,109.0,2160.0,20,3
CABO.N0000,2016-07-21,108.0,108.0,108.0,109.0,4104.0,38,1
CABO.N0000,2016-07-26,102.2,102.2,102.2,109.0,817.6,8,2
CABO.N0000,2016-07-28,109.0,109.0,109.0,109.0,1090.0,10,1
CABO.N0000,2016-08-02,115.0,115.0,115.0,109.0,115.0,1,1
CABO.N0000,2016-08-07,102.1,102.1,100.9,109.0,1015.0,10,2
CABO.N0000,2016-08-08,105.1,110.0,105.1,107.9,22983.0,213,4
CABO.N0000,2016-08-09,110.0,110.0,107.0,110.0,16715.0,152,5
CABO.N0000,2016-08-10,111.0,111.0,111.0,110.0,555.0,5,1
CABO.N0000,2016-08-11,114.0,114.0,108.0,110.0,1991.0,18,5
CABO.N0000,2016-08-15,108.5,108.5,108.5,110.0,1085.0,10,1
CABO.N0000,2016-08-17,108.7,109.0,108.7,110.0,6102.2,56,2
CABO.N0000,2016-08-18,110.0,110.0,110.0,110.0,9900.0,90,2
CABO.N0000,2016-08-21,110.0,110.0,110.0,110.0,11000.0,100,1
CABO.N0000,2016-08-23,109.9,109.9,109.1,110.0,5683.5,52,5
CABO.N0000,2016-08-24,109.9,109.9,109.9,110.0,1099.0,10,1
CABO.N0000,2016-08-25,109.9,109.9,109.9,110.0,9891.0,90,1
CABO.N0000,2016-08-28,109.8,110.0,109.1,109.9,12199.9,111,3
CABO.N0000,2016-08-29,105.3,105.3,105.3,109.9,105.3,1,1
CABO.N0000,2016-08-30,110.0,110.0,100.0,101.2,102231.2,1006,14
CABO.N0000,2016-08-31,101.2,101.2,101.2,101.2,151698.8,1499,3
CABO.N0000,2016-09-01,109.4,109.5,109.4,109.5,144866.1,1323,3
CABO.N0000,2016-09-04,108.0,108.0,108.0,109.5,108.0,1,1
CABO.N0000,2016-09-05,108.0,108.0,102.0,102.0,469856.8,4606,4
CABO.N0000,2016-09-06,102.5,102.5,102.4,102.5,17724.2,173,4
CABO.N0000,2016-09-07,107.9,107.9,107.9,102.5,107.9,1,1
CABO.N0000,2016-09-12,108.6,108.6,108.5,102.5,217.1,2,2
