ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
CALF.N0000,2016-01-03,14.9,14.9,14.9,14.9,89549.0,6010,3
CALF.N0000,2016-01-04,14.6,14.6,14.4,14.5,32603.4,2249,5
CALF.N0000,2016-01-05,14.1,14.1,14.1,14.5,705.0,50,1
CALF.N0000,2016-01-06,14.1,14.1,13.7,13.8,160587.3,11653,12
CALF.N0000,2016-01-07,13.2,13.2,13.2,13.2,5346.0,405,2
CALF.N0000,2016-01-10,13.0,13.0,13.0,13.0,42614.0,3278,3
CALF.N0000,2016-01-12,13.7,14.4,13.0,13.0,26699.4,2051,4
CALF.N0000,2016-01-13,12.6,12.6,12.6,12.6,75600.0,6000,3
CALF.N0000,2016-01-19,12.2,13.0,12.2,12.2,2867.8,235,2
CALF.N0000,2016-01-20,13.0,13.0,13.0,12.2,13.0,1,1
CALF.N0000,2016-01-21,13.4,13.4,13.4,12.2,187.6,14,2
CALF.N0000,2016-01-24,11.4,11.4,11.4,12.2,11.4,1,1
CALF.N0000,2016-01-26,13.3,13.3,13.3,12.2,66.5,5,1
CALF.N0000,2016-01-27,13.4,13.4,13.4,12.2,67.0,5,1
CALF.N0000,2016-01-28,13.4,13.4,13.4,12.2,268.0,20,1
CALF.N0000,2016-01-31,13.3,13.3,13.3,12.2,13.3,1,1
CALF.N0000,2016-02-01,11.6,13.3,11.6,12.2,175.7,15,2
CALF.N0000,2016-02-02,13.0,13.0,11.5,11.6,48907.6,4233,7
CALF.N0000,2016-02-04,11.5,11.5,11.5,11.5,4462.0,388,3
CALF.N0000,2016-02-07,11.7,11.7,11.6,11.6,60925.0,5250,2
CALF.N0000,2016-02-08,11.6,11.6,11.6,11.6,1160.0,100,1
CALF.N0000,2016-02-09,11.4,11.4,11.4,11.4,1140.0,100,2
CALF.N0000,2016-02-10,11.4,11.4,11.2,11.3,21546.8,1912,4
CALF.N0000,2016-02-15,10.4,10.5,10.4,10.4,5220.0,500,2
CALF.N0000,2016-02-16,10.3,10.3,10.3,10.3,7251.2,704,3
CALF.N0000,2016-02-18,10.0,10.0,10.0,10.0,9000.0,900,4
CALF.N0000,2016-02-23,9.4,9.5,9.4,9.5,78990.8,8382,3
CALF.N0000,2016-02-24,9.4,9.4,9.4,9.4,19270.0,2050,3
CALF.N0000,2016-03-01,8.7,8.7,8.7,8.7,1740.0,200,1
CALF.N0000,2016-03-02,10.0,10.0,10.0,10.0,8000.0,800,1
CALF.N0000,2016-03-03,10.0,10.5,10.0,10.0,785970.0,78592,6
CALF.N0000,2016-03-07,10.5,10.5,10.5,10.0,105.0,10,1
CALF.N0000,2016-03-08,9.5,9.5,9.0,9.5,100064.0,10562,9
CALF.N0000,2016-03-10,9.1,9.1,9.1,9.5,91.0,10,1
CALF.N0000,2016-03-14,10.0,10.0,10.0,10.0,30500.0,3050,2
CALF.N0000,2016-03-20,10.0,10.0,9.9,9.9,17037.8,1715,4
CALF.N0000,2016-03-23,10.4,10.4,10.4,10.4,1040.0,100,2
CALF.N0000,2016-03-28,10.0,10.0,10.0,10.0,3500.0,350,3
CALF.N0000,2016-03-29,10.0,10.0,10.0,10.0,40.0,4,1
CALF.N0000,2016-03-30,10.1,10.1,10.1,10.1,2353.3,233,1
CALF.N0000,2016-03-31,11.2,11.2,11.1,11.1,24440.0,2200,2
CALF.N0000,2016-04-03,10.8,10.8,10.8,10.8,21600.0,2000,1
CALF.N0000,2016-04-04,11.0,11.0,11.0,11.0,77000.0,7000,2
CALF.N0000,2016-04-05,11.0,12.0,11.0,11.0,391359.0,35578,19
CALF.N0000,2016-04-06,11.0,12.0,11.0,11.3,636192.1,56862,46
CALF.N0000,2016-04-07,12.2,12.9,11.3,11.3,274735.9,23179,21
CALF.N0000,2016-04-10,12.5,12.7,12.5,12.7,44966.9,3547,7
CALF.N0000,2016-04-11,12.7,13.0,12.6,12.7,242616.0,19050,21
CALF.N0000,2016-04-14,12.7,12.7,12.7,12.7,19050.0,1500,2
CALF.N0000,2016-04-17,12.5,12.5,12.1,12.1,6112.5,505,2
CALF.N0000,2016-04-18,11.5,13.0,11.5,12.3,118311.5,9585,11
CALF.N0000,2016-04-19,12.0,12.0,11.9,12.0,95302.0,8000,5
CALF.N0000,2016-04-21,12.0,12.0,12.0,12.0,30000.0,2500,1
CALF.N0000,2016-04-24,11.9,11.9,11.9,11.9,11900.0,1000,2
CALF.N0000,2016-04-25,11.9,12.4,11.9,12.0,7190.0,600,3
CALF.N0000,2016-04-27,12.0,12.0,11.5,11.6,81860.0,7000,4
CALF.N0000,2016-04-28,11.4,12.1,11.3,11.4,119696.9,10513,7
CALF.N0000,2016-05-02,11.3,11.5,11.0,11.5,183156.0,16230,9
CALF.N0000,2016-05-03,12.0,12.0,12.0,11.5,12.0,1,1
CALF.N0000,2016-05-04,11.5,11.5,11.5,11.5,28750.0,2500,2
CALF.N0000,2016-05-05,11.5,12.2,11.5,11.8,283454.0,24176,17
CALF.N0000,2016-05-08,11.7,12.0,11.7,12.0,116979.0,9870,2
CALF.N0000,2016-05-09,12.2,12.2,12.1,12.1,15951.0,1310,5
CALF.N0000,2016-05-10,11.6,11.6,11.6,11.6,58000.0,5000,2
CALF.N0000,2016-05-11,12.1,12.1,12.1,12.1,6050.0,500,1
CALF.N0000,2016-05-12,12.1,12.1,11.6,12.0,152981.0,12800,8
CALF.N0000,2016-05-15,12.1,12.6,12.1,12.6,329079.8,27109,15
CALF.N0000,2016-05-16,12.5,12.5,12.0,12.0,87177.5,7250,9
CALF.N0000,2016-05-17,11.8,11.9,11.8,11.9,4295.1,361,2
CALF.N0000,2016-05-18,11.9,11.9,11.5,11.6,11611.4,1000,6
CALF.N0000,2016-05-25,11.6,11.6,11.6,11.6,23200.0,2000,1
CALF.N0000,2016-05-30,11.2,11.2,11.2,11.2,7840.0,700,2
CALF.N0000,2016-05-31,11.2,11.2,11.2,11.2,3360.0,300,1
CALF.N0000,2016-06-02,11.7,11.7,11.7,11.7,1170.0,100,1
CALF.N0000,2016-06-05,11.4,11.4,11.0,11.1,102003.0,9200,7
CALF.N0000,2016-06-07,11.7,11.7,11.7,11.7,32958.9,2817,1
CALF.N0000,2016-06-08,11.3,11.3,11.2,11.2,21901.2,1951,3
CALF.N0000,2016-06-09,11.0,11.0,11.0,11.0,2200.0,200,2
CALF.N0000,2016-06-13,11.1,11.1,11.0,11.1,14070.0,1270,5
CALF.N0000,2016-06-15,9.7,9.7,9.7,9.7,81480.0,8400,3
CALF.N0000,2016-06-16,9.9,9.9,9.9,9.9,9900.0,1000,1
CALF.N0000,2016-06-19,9.9,10.1,9.9,10.1,68610.0,6800,7
CALF.N0000,2016-06-23,10.5,10.5,10.5,10.5,1050.0,100,1
CALF.N0000,2016-06-29,11.2,11.2,11.2,11.2,1120.0,100,1
CALF.N0000,2016-07-03,9.3,9.3,9.1,11.2,82.1,9,2
CALF.N0000,2016-07-04,10.8,10.8,10.8,11.2,10.8,1,1
CALF.N0000,2016-07-06,11.0,11.0,11.0,11.0,5500.0,500,1
CALF.N0000,2016-07-07,11.0,11.9,11.0,11.6,286065.5,24645,18
CALF.N0000,2016-07-11,11.5,11.8,11.1,11.5,94820.1,8247,8
CALF.N0000,2016-07-12,11.1,11.1,11.1,11.1,40059.9,3609,3
CALF.N0000,2016-07-14,11.5,11.5,11.5,11.5,55200.0,4800,2
CALF.N0000,2016-07-17,11.5,11.5,11.5,11.5,115.0,10,1
CALF.N0000,2016-07-19,11.3,11.3,11.3,11.5,11.3,1,1
CALF.N0000,2016-07-20,11.5,11.5,11.5,11.5,1150.0,100,1
CALF.N0000,2016-07-24,11.3,11.3,11.1,11.1,5662.8,510,4
CALF.N0000,2016-07-25,10.4,10.4,10.4,10.4,5200.0,500,1
CALF.N0000,2016-07-31,10.5,11.6,10.5,10.4,22.1,2,2
CALF.N0000,2016-08-01,11.6,11.6,11.6,10.4,580.0,50,1
CALF.N0000,2016-08-02,11.6,11.6,11.6,10.4,116.0,10,1
CALF.N0000,2016-08-03,10.8,10.8,10.8,10.8,5400.0,500,1
CALF.N0000,2016-08-04,11.4,11.4,11.4,10.8,11.4,1,1
CALF.N0000,2016-08-08,10.8,10.8,10.8,10.8,22140.0,2050,3
CALF.N0000,2016-08-09,10.8,11.5,10.8,10.9,109190.6,10049,6
CALF.N0000,2016-08-11,11.0,11.4,11.0,11.0,254042.0,23022,5
CALF.N0000,2016-08-15,11.2,11.2,11.2,11.2,12320.0,1100,2
CALF.N0000,2016-08-17,11.4,11.4,11.0,11.0,286091.4,25801,16
CALF.N0000,2016-08-21,11.4,11.4,11.4,11.4,20964.6,1839,1
CALF.N0000,2016-08-23,11.3,11.3,11.3,11.3,4520.0,400,1
CALF.N0000,2016-08-28,11.2,11.2,11.0,11.2,56370.0,5100,4
CALF.N0000,2016-08-31,11.4,11.4,11.4,11.2,22.8,2,1
CALF.N0000,2016-09-01,11.1,11.1,11.1,11.1,22200.0,2000,1
CALF.N0000,2016-09-04,11.1,11.1,11.0,11.0,176100.0,16000,4
CALF.N0000,2016-09-05,10.5,10.5,10.5,10.5,37170.0,3540,1
CALF.N0000,2016-09-06,10.6,10.6,10.5,10.5,17960.0,1710,4
CALF.N0000,2016-09-08,10.5,11.9,10.5,11.5,513236.4,45710,14
CALF.N0000,2016-09-12,11.8,12.0,11.4,11.7,12550.0,1050,5
CALF.N0000,2016-09-13,11.4,11.4,11.4,11.4,17100.0,1500,1
CALF.N0000,2016-09-14,10.8,11.0,10.8,11.0,33021.6,3002,2
CALF.N0000,2016-09-18,11.5,12.0,10.7,11.0,179763.0,15258,14
CALF.N0000,2016-09-19,10.7,10.7,10.7,11.0,428.0,40,1
CALF.N0000,2016-09-20,10.8,10.8,10.8,11.0,43.2,4,1
CALF.N0000,2016-09-21,10.8,13.0,10.8,11.1,19205.6,1622,17
CALF.N0000,2016-09-22,11.3,11.9,11.0,11.3,670364.6,59160,65
CALF.N0000,2016-09-27,11.2,11.9,11.2,11.2,17990.0,1600,4
CALF.N0000,2016-09-29,11.1,11.5,11.0,11.1,66640.0,6000,5
CALF.N0000,2016-10-02,11.5,11.5,11.5,11.5,5750.0,500,1
CALF.N0000,2016-10-04,11.2,11.7,11.1,11.6,36307.0,3200,7
CALF.N0000,2016-10-05,11.3,11.3,11.3,11.3,40680.0,3600,4
CALF.N0000,2016-10-06,11.3,11.3,11.3,11.3,15831.3,1401,1
CALF.N0000,2016-10-09,11.5,11.5,11.5,11.5,33350.0,2900,3
CALF.N0000,2016-10-11,11.3,11.3,11.3,11.5,113.0,10,1
CALF.N0000,2016-10-12,11.2,11.2,11.2,11.2,1120.0,100,1
CALF.N0000,2016-10-17,11.3,11.3,11.2,11.2,6165.0,550,3
CALF.N0000,2016-10-27,11.0,11.0,11.0,11.0,2200.0,200,2
CALF.N0000,2016-10-31,11.0,11.9,11.0,11.5,1283.8,112,3
CALF.N0000,2016-11-01,11.5,11.5,11.5,11.5,17250.0,1500,1
CALF.N0000,2016-11-06,11.4,11.4,11.4,11.4,11400.0,1000,1
CALF.N0000,2016-11-08,11.0,11.0,10.5,10.9,15240.0,1400,5
CALF.N0000,2016-11-10,11.0,11.0,11.0,10.9,165.0,15,2
CALF.N0000,2016-11-15,10.7,10.7,10.7,10.9,10.7,1,1
CALF.N0000,2016-11-16,10.7,10.7,10.7,10.7,10689.3,999,1
CALF.N0000,2016-11-20,10.7,10.7,10.7,10.7,749.0,70,1
CALF.N0000,2016-11-23,10.7,10.7,9.5,10.4,15561.0,1500,5
CALF.N0000,2016-11-29,9.8,9.8,9.8,9.8,9800.0,1000,2
CALF.N0000,2016-12-01,9.9,11.3,9.9,9.9,19811.3,2001,3
CALF.N0000,2016-12-04,9.9,9.9,9.8,9.8,19709.8,2001,5
CALF.N0000,2016-12-06,9.9,9.9,9.5,9.5,25130.2,2579,7
CALF.N0000,2016-12-07,9.9,9.9,9.9,9.9,10107.9,1021,2
CALF.N0000,2016-12-14,10.5,10.5,10.5,10.5,3360.0,320,1
CALF.N0000,2016-12-28,10.4,11.0,10.4,10.5,18149.0,1725,4
CALF.N0000,2016-12-29,12.2,12.2,11.8,12.1,27702.0,2290,3
CALF.N0000,2017-01-01,11.8,11.8,11.5,11.5,95064.2,8069,5
CALF.N0000,2017-01-03,10.5,10.5,10.5,10.5,17850.0,1700,1
CALF.N0000,2017-01-05,10.0,10.0,10.0,10.0,6010.0,601,2
CALF.N0000,2017-01-10,11.0,11.0,11.0,11.0,2200.0,200,1
CALF.N0000,2017-01-12,11.3,11.3,11.3,11.3,6780.0,600,1
CALF.N0000,2017-01-16,10.4,10.4,10.4,10.4,10400.0,1000,1
CALF.N0000,2017-01-17,10.4,10.4,10.3,10.3,13596.2,1320,5
CALF.N0000,2017-01-24,10.1,10.1,10.1,10.1,2030.1,201,1
CALF.N0000,2017-01-25,10.0,10.0,10.0,10.0,50000.0,5000,3
CALF.N0000,2017-01-31,10.2,10.2,10.0,10.0,81753.0,8130,6
CALF.N0000,2017-02-01,10.0,10.0,10.0,10.0,89640.0,8964,4
CALF.N0000,2017-02-02,10.0,10.0,10.0,10.0,135360.0,13536,7
CALF.N0000,2017-02-05,10.1,10.5,10.1,10.1,57601.6,5573,6
CALF.N0000,2017-02-06,10.0,10.0,10.0,10.0,195500.0,19550,11
CALF.N0000,2017-02-08,10.0,10.0,10.0,10.0,144440.0,14444,6
CALF.N0000,2017-02-12,10.0,10.0,10.0,10.0,11000.0,1100,2
CALF.N0000,2017-02-13,10.5,10.5,10.5,10.5,2625.0,250,1
CALF.N0000,2017-02-15,10.5,10.5,10.5,10.5,18375.0,1750,1
CALF.N0000,2017-02-20,10.2,10.2,10.0,10.1,107023.5,10635,5
CALF.N0000,2017-02-27,10.1,10.1,10.0,10.0,16160.1,1601,5
CALF.N0000,2017-03-01,10.3,10.3,10.0,10.0,93669.0,9281,5
CALF.N0000,2017-03-02,10.4,10.4,10.0,10.0,398484.4,39848,6
CALF.N0000,2017-03-05,10.0,10.0,10.0,10.0,49500.0,4950,1
CALF.N0000,2017-03-06,10.0,10.0,10.0,10.0,68990.0,6899,3
CALF.N0000,2017-03-08,10.0,10.0,10.0,10.0,157890.0,15789,5
CALF.N0000,2017-03-09,10.0,10.0,10.0,10.0,50000.0,5000,1
CALF.N0000,2017-03-12,10.0,10.0,10.0,10.0,10000.0,1000,2
CALF.N0000,2017-03-13,10.2,10.2,10.0,10.1,61420.0,6100,3
CALF.N0000,2017-03-15,10.1,10.1,10.0,10.0,37100.0,3700,3
CALF.N0000,2017-03-20,10.0,10.0,10.0,10.0,16190.0,1619,2
CALF.N0000,2017-03-21,10.1,10.1,10.0,10.0,11025.0,1102,2
CALF.N0000,2017-03-22,10.0,10.0,10.0,10.0,2000.0,200,1
CALF.N0000,2017-03-23,10.0,10.3,10.0,10.0,20020.3,2002,3
CALF.N0000,2017-03-26,10.1,10.1,10.1,10.1,27068.0,2680,1
CALF.N0000,2017-03-27,10.0,10.4,10.0,10.3,42988.5,4195,5
CALF.N0000,2017-03-28,10.1,10.1,10.1,10.1,65821.7,6517,1
CALF.N0000,2017-03-30,10.0,10.0,10.0,10.0,20000.0,2000,1
CALF.N0000,2017-04-04,11.0,11.0,11.0,11.0,8800.0,800,1
CALF.N0000,2017-04-05,10.1,11.0,10.1,10.9,10614.7,1011,5
CALF.N0000,2017-04-06,11.0,11.0,11.0,11.0,44154.0,4014,6
CALF.N0000,2017-04-10,11.3,11.3,11.3,11.3,2260.0,200,1
CALF.N0000,2017-04-11,11.0,11.0,11.0,11.0,31900.0,2900,2
CALF.N0000,2017-04-17,11.1,11.3,11.1,11.3,117657.9,10439,6
CALF.N0000,2017-04-18,11.4,12.5,11.4,12.3,76280.0,6200,5
CALF.N0000,2017-04-19,11.5,11.5,11.5,11.5,32016.0,2784,6
CALF.N0000,2017-04-20,11.3,11.6,11.3,11.3,5661.6,501,2
CALF.N0000,2017-04-23,11.1,11.2,11.1,11.1,17770.0,1600,2
CALF.N0000,2017-04-24,11.6,11.9,11.5,11.6,9281.0,800,4
CALF.N0000,2017-04-25,11.5,11.6,11.5,11.5,5761.6,501,2
CALF.N0000,2017-04-26,11.8,12.1,11.8,12.0,150741.0,12590,13
CALF.N0000,2017-05-01,12.5,13.0,12.1,12.9,16295.1,1300,6
CALF.N0000,2017-05-02,12.2,12.9,12.2,12.3,74813.0,6115,6
CALF.N0000,2017-05-03,12.9,12.9,12.7,12.8,78770.5,6145,6
CALF.N0000,2017-05-04,12.4,12.6,12.4,12.4,64520.0,5200,8
CALF.N0000,2017-05-08,12.1,12.8,12.1,12.1,60640.0,5000,3
CALF.N0000,2017-05-14,12.8,12.9,12.8,12.8,162082.4,12633,8
CALF.N0000,2017-05-15,12.9,12.9,12.9,12.9,32250.0,2500,1
CALF.N0000,2017-05-16,13.0,14.9,13.0,14.5,898879.9,64833,54
CALF.N0000,2017-05-17,14.4,14.9,14.1,14.4,3609.9,251,5
CALF.N0000,2017-05-18,14.1,14.5,14.0,14.5,8005.0,560,4
CALF.N0000,2017-05-21,13.9,13.9,13.9,13.9,14928.6,1074,2
CALF.N0000,2017-05-22,13.7,13.9,13.7,13.7,11099.0,810,3
CALF.N0000,2017-05-23,13.9,13.9,13.9,13.9,14025.1,1009,2
CALF.N0000,2017-05-24,13.3,13.4,13.3,13.4,6833.0,510,2
CALF.N0000,2017-05-28,13.4,14.0,13.4,14.0,42067.0,3005,4
