ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
CALT.N0000,2021-12-14,20.8,24.5,17.5,20.9,658807336.6,31720763,13761
CALT.N0000,2021-12-15,21.0,22.2,21.0,21.5,77266164.3,3592273,1726
CALT.N0000,2021-12-16,21.3,21.4,19.7,20.0,45271811.7,2229374,1187
CALT.N0000,2021-12-19,20.0,20.0,18.7,18.9,21405195.2,1118225,735
CALT.N0000,2021-12-20,18.9,19.3,17.0,18.6,36722674.2,2048048,992
CALT.N0000,2021-12-21,19.0,19.5,18.0,18.1,22275642.5,1224342,430
CALT.N0000,2021-12-22,18.1,18.1,17.7,17.8,12934451.5,724678,388
CALT.N0000,2021-12-23,17.6,19.8,17.6,19.0,19744696.3,1045860,469
CALT.N0000,2021-12-26,19.0,19.8,18.1,18.3,7462389.6,392120,259
CALT.N0000,2021-12-27,18.1,18.3,17.9,18.0,4778190.5,265325,213
CALT.N0000,2021-12-28,18.0,20.4,18.0,18.7,13191071.7,685543,356
CALT.N0000,2021-12-29,18.4,19.0,18.0,18.3,7385558.6,404300,212
CALT.N0000,2021-12-30,18.3,18.9,17.9,18.0,18153989.9,1005366,292
CALT.N0000,2022-01-02,18.4,19.1,17.6,18.6,37366037.8,2058315,390
CALT.N0000,2022-01-03,18.2,18.5,18.0,18.0,14482407.1,802413,288
CALT.N0000,2022-01-04,18.2,18.3,17.9,18.0,13552539.6,751680,315
CALT.N0000,2022-01-05,18.0,18.1,17.8,17.8,10595543.2,591775,264
CALT.N0000,2022-01-06,17.9,18.0,17.0,17.3,28049939.1,1583747,363
CALT.N0000,2022-01-09,17.3,17.4,16.7,16.8,6546949.8,385291,262
CALT.N0000,2022-01-10,16.7,18.2,16.4,17.4,15334326.8,895390,363
CALT.N0000,2022-01-11,17.8,18.4,17.0,18.0,8472002.8,475797,187
CALT.N0000,2022-01-12,17.6,17.9,17.0,17.1,3064854.9,177799,171
CALT.N0000,2022-01-17,17.2,17.2,16.8,17.0,4973427.0,292918,179
CALT.N0000,2022-01-18,17.0,17.3,16.9,17.1,4003887.6,235367,101
CALT.N0000,2022-01-19,17.0,18.2,16.9,17.8,11256613.9,645770,243
CALT.N0000,2022-01-20,18.3,19.2,17.5,17.8,30525412.3,1661791,535
CALT.N0000,2022-01-23,18.0,18.0,17.0,17.2,8459753.0,487928,178
CALT.N0000,2022-01-24,17.6,17.6,16.8,16.9,10179294.7,600042,181
CALT.N0000,2022-01-25,16.7,17.4,16.6,17.0,3371457.2,200593,143
CALT.N0000,2022-01-26,16.2,16.7,15.7,16.0,14506736.5,891557,405
CALT.N0000,2022-01-27,15.7,16.1,15.0,15.4,3490623.6,227560,204
CALT.N0000,2022-01-30,15.4,15.6,14.9,15.2,3783801.9,250559,182
CALT.N0000,2022-01-31,15.2,15.3,14.9,14.9,4363760.3,289939,139
CALT.N0000,2022-02-01,14.9,15.3,14.2,14.5,3214724.9,221159,149
CALT.N0000,2022-02-02,14.4,14.7,14.0,14.1,2513023.3,176629,128
CALT.N0000,2022-02-06,14.0,14.9,13.8,14.4,2402129.7,169601,121
CALT.N0000,2022-02-07,14.3,14.3,13.7,14.0,1499674.5,107893,112
CALT.N0000,2022-02-08,14.2,14.2,13.5,13.6,3458583.7,254256,109
CALT.N0000,2022-02-09,13.5,14.0,13.1,13.7,1244666.9,92156,89
CALT.N0000,2022-02-10,13.4,14.1,13.4,13.9,1413438.3,101610,77
CALT.N0000,2022-02-13,14.2,14.4,13.4,13.5,2987383.5,220855,74
CALT.N0000,2022-02-14,13.4,13.8,13.0,13.2,6668856.2,511071,112
CALT.N0000,2022-02-16,13.2,13.6,13.0,13.4,1842151.7,140704,73
CALT.N0000,2022-02-17,13.2,13.3,13.0,13.2,2439753.6,187269,67
CALT.N0000,2022-02-20,13.1,13.3,13.0,13.0,4435848.2,340921,81
CALT.N0000,2022-02-21,13.0,13.7,13.0,13.1,2008961.3,153293,73
