ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
CDB.X0000,2016-01-03,80.0,80.0,80.0,80.0,9040.0,113,4
CDB.X0000,2016-01-04,80.0,80.0,79.6,80.0,704159.6,8802,16
CDB.X0000,2016-01-05,80.0,80.0,79.5,80.0,102295.0,1279,2
CDB.X0000,2016-01-06,80.0,80.0,78.0,79.9,686343.9,8682,17
CDB.X0000,2016-01-07,78.1,79.9,77.0,77.6,507174.7,6533,5
CDB.X0000,2016-01-11,79.5,79.5,75.0,75.0,515126.0,6550,9
CDB.X0000,2016-01-12,75.0,75.0,75.0,75.0,5250.0,70,1
CDB.X0000,2016-01-13,75.0,75.0,73.0,73.0,997281.0,13660,12
CDB.X0000,2016-01-17,72.0,72.0,70.0,70.1,20347.0,290,8
CDB.X0000,2016-01-18,67.1,67.1,64.9,65.0,1430101.0,21980,20
CDB.X0000,2016-01-19,67.0,67.0,67.0,67.0,20100.0,300,1
CDB.X0000,2016-01-20,68.0,68.0,68.0,68.0,54060.0,795,3
CDB.X0000,2016-01-21,70.0,70.0,70.0,70.0,119420.0,1706,2
CDB.X0000,2016-01-25,67.1,67.1,67.1,70.0,671.0,10,1
CDB.X0000,2016-01-26,68.0,70.0,68.0,70.0,775578.9,11151,16
CDB.X0000,2016-01-27,70.0,71.0,70.0,71.0,897030.0,12800,15
CDB.X0000,2016-02-01,75.0,75.0,75.0,75.0,150000.0,2000,1
CDB.X0000,2016-02-02,70.7,70.7,70.5,70.5,27213.4,386,4
CDB.X0000,2016-02-04,70.5,70.7,70.5,70.5,21502.9,305,2
CDB.X0000,2016-02-08,70.7,74.9,70.7,74.9,268583.0,3670,3
CDB.X0000,2016-02-10,71.1,71.1,71.1,74.9,711.0,10,2
CDB.X0000,2016-02-11,70.8,70.8,70.0,70.0,359596.0,5101,14
CDB.X0000,2016-02-14,75.5,75.5,71.5,71.5,43700.0,600,3
CDB.X0000,2016-02-16,71.1,72.0,70.0,70.0,504509.3,7064,12
CDB.X0000,2016-02-17,68.1,68.1,68.1,70.0,68.1,1,1
CDB.X0000,2016-02-18,68.2,68.2,68.2,68.2,14663.0,215,2
CDB.X0000,2016-02-22,68.0,68.0,68.0,68.0,47600.0,700,4
CDB.X0000,2016-02-23,68.0,68.0,67.0,68.0,318900.0,4700,14
CDB.X0000,2016-02-24,68.0,68.0,68.0,68.0,134300.0,1975,4
CDB.X0000,2016-02-25,68.5,68.5,68.5,68.5,685000.0,10000,1
CDB.X0000,2016-02-28,68.0,68.0,67.9,67.9,62510.0,920,13
CDB.X0000,2016-02-29,67.5,67.5,67.5,67.5,23962.5,355,1
CDB.X0000,2016-03-01,67.5,67.5,67.0,67.1,204991.5,3038,10
CDB.X0000,2016-03-02,67.0,67.0,66.0,66.2,164015.0,2467,13
CDB.X0000,2016-03-03,66.0,66.0,66.0,66.0,5851692.0,88662,8
CDB.X0000,2016-03-07,65.1,65.1,62.0,63.0,58746.5,930,14
CDB.X0000,2016-03-08,63.0,63.0,61.0,62.0,376465.0,6062,21
CDB.X0000,2016-03-10,62.1,62.1,62.0,62.0,39004.4,629,5
CDB.X0000,2016-03-13,62.0,62.0,62.0,62.0,925164.0,14922,11
CDB.X0000,2016-03-15,62.1,62.1,62.1,62.1,8694.0,140,1
CDB.X0000,2016-03-16,63.2,63.2,63.2,63.2,79000.0,1250,1
CDB.X0000,2016-03-17,63.2,63.2,63.2,63.2,1011.2,16,1
CDB.X0000,2016-03-20,66.1,66.1,66.1,66.1,19830.0,300,2
CDB.X0000,2016-03-22,66.1,67.5,66.1,67.5,156207.6,2316,9
CDB.X0000,2016-03-27,67.5,67.5,66.0,66.8,188116.0,2801,5
CDB.X0000,2016-03-28,66.0,66.0,66.0,66.0,20328.0,308,3
CDB.X0000,2016-03-29,65.0,66.0,65.0,65.8,15532.0,236,4
CDB.X0000,2016-03-30,68.0,68.0,64.0,68.0,86152.0,1267,3
CDB.X0000,2016-04-03,66.0,66.0,66.0,66.0,3300000.0,50000,7
CDB.X0000,2016-04-04,66.0,68.4,66.0,67.4,832249.2,12413,17
CDB.X0000,2016-04-06,68.0,69.5,66.3,67.1,1321870.0,19610,14
CDB.X0000,2016-04-07,67.0,68.5,65.0,66.6,6599910.5,100300,37
CDB.X0000,2016-04-10,67.4,67.4,66.0,66.1,390815.8,5913,6
CDB.X0000,2016-04-11,67.9,68.0,67.9,68.0,624352.6,9182,5
CDB.X0000,2016-04-14,68.0,68.0,68.0,68.0,204.0,3,1
CDB.X0000,2016-04-17,68.5,70.0,68.5,70.0,5115315.0,73189,32
CDB.X0000,2016-04-18,71.0,72.0,71.0,72.0,1090792.0,15152,12
CDB.X0000,2016-04-19,72.9,74.0,72.9,74.0,369620.8,5009,10
CDB.X0000,2016-04-21,74.0,74.0,72.0,72.0,413800.0,5700,7
CDB.X0000,2016-04-24,70.7,70.7,70.7,70.7,473690.0,6700,3
CDB.X0000,2016-04-26,70.9,70.9,70.9,70.7,6593.7,93,2
CDB.X0000,2016-04-27,71.1,71.1,71.1,70.7,3626.1,51,2
CDB.X0000,2016-04-28,72.0,74.0,72.0,73.0,3546968.0,49194,7
CDB.X0000,2016-05-02,73.9,74.0,73.0,73.9,422476.0,5712,9
CDB.X0000,2016-05-03,74.0,74.0,73.5,73.9,1252.0,17,2
CDB.X0000,2016-05-04,73.1,73.1,73.0,73.0,2263731.2,31010,8
CDB.X0000,2016-05-05,73.0,75.4,73.0,74.8,3425688.0,45851,31
CDB.X0000,2016-05-08,75.0,76.9,75.0,76.1,4357009.2,57472,58
CDB.X0000,2016-05-09,77.9,77.9,76.1,76.5,1762937.8,23022,17
CDB.X0000,2016-05-10,79.0,79.0,76.6,77.5,1374938.4,17754,9
CDB.X0000,2016-05-11,77.5,77.5,77.1,77.5,1635308.4,21121,25
CDB.X0000,2016-05-12,77.9,78.0,77.5,77.5,101913.3,1313,4
CDB.X0000,2016-05-15,77.6,79.0,77.6,78.0,2983356.4,38110,19
CDB.X0000,2016-05-16,78.0,78.0,77.0,77.5,2660729.4,34259,16
CDB.X0000,2016-05-17,77.0,78.0,77.0,78.0,400600.0,5200,6
CDB.X0000,2016-05-18,77.5,77.5,76.6,76.6,706410.0,9150,6
CDB.X0000,2016-05-19,77.0,77.0,77.0,77.0,1023099.0,13287,14
CDB.X0000,2016-05-23,79.9,79.9,77.0,77.0,88387.5,1125,4
CDB.X0000,2016-05-25,76.5,76.5,76.5,76.5,80325.0,1050,3
CDB.X0000,2016-05-26,76.1,76.1,76.1,76.5,6088.0,80,4
CDB.X0000,2016-05-29,76.5,76.5,73.0,75.3,823211.0,10900,14
CDB.X0000,2016-05-30,76.0,78.0,76.0,76.0,2844000.0,37400,42
CDB.X0000,2016-05-31,77.0,77.0,76.0,76.3,1294830.5,16977,19
CDB.X0000,2016-06-01,77.0,77.0,76.0,76.0,4285896.0,56391,27
CDB.X0000,2016-06-02,76.5,78.0,76.5,78.0,658351.0,8473,9
CDB.X0000,2016-06-05,77.5,78.0,77.5,77.6,201800.0,2600,4
CDB.X0000,2016-06-06,78.0,79.0,77.9,77.9,213725.8,2733,10
CDB.X0000,2016-06-07,78.0,78.0,77.0,77.0,637886.0,8280,16
CDB.X0000,2016-06-08,77.0,77.0,77.0,77.0,1852774.0,24062,4
CDB.X0000,2016-06-09,77.0,77.5,77.0,77.5,2271160.2,29495,11
CDB.X0000,2016-06-12,77.0,77.0,77.0,77.0,1447600.0,18800,9
CDB.X0000,2016-06-13,77.1,77.1,77.1,77.0,1387.8,18,1
CDB.X0000,2016-06-14,77.0,77.0,77.0,77.0,3087469.0,40097,15
CDB.X0000,2016-06-15,77.0,77.0,77.0,77.0,11935.0,155,2
CDB.X0000,2016-06-16,76.0,76.1,76.0,76.0,558773.5,7351,5
CDB.X0000,2016-06-21,76.0,76.0,76.0,76.0,4560.0,60,1
CDB.X0000,2016-06-23,75.9,75.9,75.9,75.9,75900.0,1000,1
CDB.X0000,2016-06-26,74.0,74.0,74.0,74.0,69560.0,940,1
CDB.X0000,2016-06-29,75.9,75.9,75.9,74.0,1138.5,15,1
CDB.X0000,2016-06-30,72.2,74.5,70.0,70.1,157802.3,2250,10
CDB.X0000,2016-07-06,70.5,70.5,70.1,70.3,70420.1,1001,4
CDB.X0000,2016-07-11,71.0,71.5,71.0,71.5,371700.0,5200,4
CDB.X0000,2016-07-12,71.5,71.5,71.5,71.5,71500.0,1000,1
CDB.X0000,2016-07-17,73.6,73.6,70.1,70.2,56578.5,805,11
