ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
CFI.N0000,2016-01-03,85.0,85.1,85.0,85.0,255851.0,3010,6
CFI.N0000,2016-01-04,85.0,85.0,80.0,83.1,129190.8,1545,9
CFI.N0000,2016-01-05,82.0,82.0,82.0,82.0,123000.0,1500,3
CFI.N0000,2016-01-06,82.0,82.0,80.0,80.8,213836.0,2647,14
CFI.N0000,2016-01-07,80.0,80.0,80.0,80.0,255840.0,3198,5
CFI.N0000,2016-01-13,79.1,79.1,79.0,79.1,125315.0,1585,5
CFI.N0000,2016-01-17,78.3,78.3,78.0,78.0,162563.3,2084,8
CFI.N0000,2016-01-18,78.0,78.0,78.0,78.0,390.0,5,1
CFI.N0000,2016-01-19,76.0,78.0,76.0,77.0,35801.0,465,5
CFI.N0000,2016-01-20,80.0,80.0,80.0,80.0,8000.0,100,1
CFI.N0000,2016-01-21,80.0,80.0,80.0,80.0,8000.0,100,1
CFI.N0000,2016-01-27,77.2,77.2,77.0,77.0,347657.0,4515,4
CFI.N0000,2016-01-28,78.0,78.0,78.0,77.0,3900.0,50,2
CFI.N0000,2016-02-01,77.1,77.1,77.0,77.0,1155.5,15,2
CFI.N0000,2016-02-04,78.0,78.0,78.0,77.0,78.0,1,1
CFI.N0000,2016-02-09,78.0,78.0,76.2,76.2,119262.0,1565,8
CFI.N0000,2016-02-11,76.2,76.2,76.2,76.2,76.2,1,1
CFI.N0000,2016-02-15,72.0,72.0,72.0,76.2,1440.0,20,1
CFI.N0000,2016-02-17,75.0,75.0,75.0,75.0,300000.0,4000,4
CFI.N0000,2016-02-23,75.0,75.0,75.0,75.0,75000.0,1000,1
CFI.N0000,2016-02-28,89.0,89.0,65.1,67.6,76645.6,898,11
CFI.N0000,2016-03-01,72.0,72.0,72.0,72.0,10224.0,142,2
CFI.N0000,2016-03-03,72.0,72.0,72.0,72.0,10800.0,150,2
CFI.N0000,2016-03-07,72.0,72.0,67.0,67.4,438063.0,6500,7
CFI.N0000,2016-03-08,67.0,67.0,65.0,65.0,491795.8,7370,7
CFI.N0000,2016-03-13,65.1,65.1,65.1,65.1,32550.0,500,1
CFI.N0000,2016-03-14,65.1,65.1,65.0,65.0,26001.5,400,4
CFI.N0000,2016-03-16,70.0,70.0,70.0,65.0,3500.0,50,1
CFI.N0000,2016-03-17,78.0,78.0,78.0,65.0,780.0,10,1
CFI.N0000,2016-03-22,78.0,78.0,78.0,65.0,1560.0,20,3
CFI.N0000,2016-03-23,78.0,80.0,76.0,77.3,14232.0,184,6
CFI.N0000,2016-03-27,80.0,80.0,80.0,77.3,1200.0,15,3
CFI.N0000,2016-03-28,78.0,78.0,78.0,77.3,4212.0,54,2
CFI.N0000,2016-03-29,77.3,80.0,77.0,77.2,43255.0,560,4
CFI.N0000,2016-03-31,79.7,80.0,79.7,77.2,1197.3,15,4
CFI.N0000,2016-04-04,79.8,90.0,79.8,82.3,82717.0,956,10
CFI.N0000,2016-04-05,81.2,81.2,81.2,82.3,7308.0,90,1
CFI.N0000,2016-04-10,82.0,82.0,82.0,82.0,8200.0,100,5
CFI.N0000,2016-04-18,85.0,85.0,84.0,85.0,17840.0,210,2
CFI.N0000,2016-04-21,86.9,86.9,86.9,85.0,1738.0,20,1
CFI.N0000,2016-04-25,80.0,80.0,73.0,85.0,4610.0,60,5
CFI.N0000,2016-05-04,80.0,80.0,80.0,85.0,80.0,1,1
CFI.N0000,2016-05-10,85.0,85.0,85.0,85.0,5100.0,60,3
CFI.N0000,2016-05-12,85.0,85.0,85.0,85.0,2805.0,33,4
CFI.N0000,2016-05-18,84.5,84.5,84.5,85.0,6760.0,80,3
CFI.N0000,2016-05-26,85.0,85.0,85.0,85.0,425.0,5,1
CFI.N0000,2016-05-30,75.5,76.0,75.5,76.0,242807.0,3214,5
CFI.N0000,2016-05-31,78.0,78.0,78.0,76.0,780.0,10,2
CFI.N0000,2016-06-01,76.0,76.0,76.0,76.0,152.0,2,1
CFI.N0000,2016-06-02,82.0,85.0,82.0,82.5,9985.3,121,5
CFI.N0000,2016-06-05,85.0,85.0,85.0,85.0,233750.0,2750,2
CFI.N0000,2016-06-06,84.9,84.9,84.9,84.9,34809.0,410,1
CFI.N0000,2016-06-09,89.9,89.9,89.0,84.9,891.8,10,6
CFI.N0000,2016-06-12,85.0,85.0,85.0,84.9,2125.0,25,1
CFI.N0000,2016-06-13,85.0,85.0,85.0,84.9,425.0,5,1
CFI.N0000,2016-06-15,80.0,80.0,80.0,84.9,4400.0,55,1
CFI.N0000,2016-06-16,78.0,78.0,78.0,84.9,78.0,1,1
CFI.N0000,2016-07-03,75.0,75.0,75.0,84.9,75.0,1,1
CFI.N0000,2016-07-04,85.0,85.0,85.0,85.0,581060.0,6836,15
CFI.N0000,2016-07-06,85.0,85.0,85.0,85.0,170000.0,2000,1
CFI.N0000,2016-07-10,83.0,83.0,83.0,85.0,4233.0,51,1
CFI.N0000,2016-07-11,85.0,85.0,85.0,85.0,510000.0,6000,3
