ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
CFLB.N0000,2016-01-03,21.4,22.5,21.3,22.5,79168.3,3705,10
CFLB.N0000,2016-01-04,21.3,22.6,21.2,21.2,23343.1,1101,4
CFLB.N0000,2016-01-05,22.6,22.6,22.6,21.2,1130.0,50,1
CFLB.N0000,2016-01-06,21.2,21.8,20.2,21.8,174933.4,8557,13
CFLB.N0000,2016-01-07,20.8,21.7,20.8,21.7,85000.0,4000,5
CFLB.N0000,2016-01-10,21.0,21.5,20.8,20.8,31321.9,1501,5
CFLB.N0000,2016-01-11,20.8,22.4,20.5,21.3,191002.1,9060,15
CFLB.N0000,2016-01-12,20.4,20.4,20.3,20.4,205540.0,10100,10
CFLB.N0000,2016-01-13,21.9,21.9,20.4,20.4,95278.8,4531,9
CFLB.N0000,2016-01-17,20.3,20.9,19.1,20.0,257522.0,12890,15
CFLB.N0000,2016-01-18,21.0,21.0,19.0,19.1,270759.0,14103,18
CFLB.N0000,2016-01-19,18.9,19.0,18.5,18.6,244177.7,13171,16
CFLB.N0000,2016-01-20,19.0,20.0,19.0,19.1,71920.0,3770,4
CFLB.N0000,2016-01-21,19.9,19.9,19.0,19.1,30128.8,1580,5
CFLB.N0000,2016-01-25,19.5,19.5,19.5,19.5,2184.0,112,4
CFLB.N0000,2016-01-26,19.0,19.5,18.5,18.7,2112144.5,111308,21
CFLB.N0000,2016-01-28,18.6,19.5,18.5,18.8,76165.0,4050,8
CFLB.N0000,2016-01-31,19.5,19.5,19.5,19.5,16653.0,854,5
CFLB.N0000,2016-02-01,21.0,21.0,18.8,18.8,3781.0,201,3
CFLB.N0000,2016-02-02,20.0,20.0,16.8,17.3,1205228.8,67874,42
CFLB.N0000,2016-02-04,17.0,17.0,17.0,17.0,145384.0,8552,12
CFLB.N0000,2016-02-07,16.8,17.6,16.8,17.5,263954.0,15212,8
CFLB.N0000,2016-02-08,17.0,17.6,17.0,17.6,2319.6,132,4
CFLB.N0000,2016-02-09,17.0,17.7,16.8,17.5,236907.6,13901,13
CFLB.N0000,2016-02-10,17.0,17.0,17.0,17.0,510017.0,30001,20
CFLB.N0000,2016-02-11,16.9,17.0,16.4,16.5,538920.8,32156,21
CFLB.N0000,2016-02-14,16.5,16.5,15.5,16.0,583344.0,36059,15
CFLB.N0000,2016-02-15,15.5,16.0,15.5,15.9,309810.0,19500,10
CFLB.N0000,2016-02-16,16.0,16.6,16.0,16.2,333590.0,20735,9
CFLB.N0000,2016-02-17,16.0,16.1,16.0,16.1,29460.0,1835,8
CFLB.N0000,2016-02-18,17.2,17.2,17.2,17.2,3440.0,200,2
CFLB.N0000,2016-02-22,16.9,16.9,16.0,16.2,695881.1,42651,19
CFLB.N0000,2016-02-23,15.9,16.9,15.9,16.5,43014.1,2638,8
CFLB.N0000,2016-02-24,16.1,17.0,16.0,16.3,1740907.1,107842,15
CFLB.N0000,2016-02-25,16.3,17.0,16.3,16.5,56736.4,3451,4
CFLB.N0000,2016-02-28,16.5,16.7,16.5,16.7,258750.0,15500,6
CFLB.N0000,2016-02-29,16.4,16.6,16.4,16.6,4201440.2,255814,57
CFLB.N0000,2016-03-01,16.7,16.7,16.5,16.5,754100.1,45656,20
CFLB.N0000,2016-03-02,16.7,17.0,16.5,16.5,7242358.0,434052,14
CFLB.N0000,2016-03-03,16.5,16.5,16.5,16.5,181137.0,10978,10
CFLB.N0000,2016-03-07,16.5,16.5,16.4,16.4,492340.0,29860,21
CFLB.N0000,2016-03-08,16.5,16.5,16.0,16.5,2361934.0,143893,39
CFLB.N0000,2016-03-09,16.1,16.5,16.1,16.5,972300.0,60200,3
CFLB.N0000,2016-03-10,16.6,17.6,16.5,17.0,463359.5,27481,19
CFLB.N0000,2016-03-13,16.5,16.5,16.5,16.5,450252.0,27288,12
