ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
CFVF.N0000,2016-01-03,25.7,26.0,25.6,25.9,44465.5,1715,6
CFVF.N0000,2016-01-04,25.2,25.9,25.2,25.3,24525.0,970,7
CFVF.N0000,2016-01-05,25.3,25.3,25.0,25.0,480934.0,19232,20
CFVF.N0000,2016-01-06,25.0,25.0,24.0,24.0,505592.5,20762,24
CFVF.N0000,2016-01-07,23.5,23.5,23.0,23.2,607270.0,26165,30
CFVF.N0000,2016-01-10,24.0,24.0,22.2,22.3,347150.5,15548,18
CFVF.N0000,2016-01-11,23.0,23.0,20.0,20.2,527835.6,25847,53
CFVF.N0000,2016-01-12,21.9,22.0,21.0,21.5,361133.0,16858,21
CFVF.N0000,2016-01-13,21.6,21.6,20.0,21.1,234185.6,11515,26
CFVF.N0000,2016-01-17,20.1,21.0,18.7,19.0,950109.2,49337,53
CFVF.N0000,2016-01-18,19.1,19.1,17.5,18.8,702468.5,38655,59
CFVF.N0000,2016-01-19,19.2,19.2,18.4,18.5,216111.6,11634,17
CFVF.N0000,2016-01-20,18.3,20.9,17.5,19.7,1548001.3,82852,91
CFVF.N0000,2016-01-21,21.0,21.5,19.8,19.9,627245.6,30835,82
CFVF.N0000,2016-01-24,19.9,19.9,19.1,19.6,10484.3,531,7
CFVF.N0000,2016-01-25,19.8,21.1,18.7,18.8,209590.9,11051,25
CFVF.N0000,2016-01-26,18.6,19.7,18.6,19.1,516955.0,27668,12
CFVF.N0000,2016-01-27,19.0,19.8,18.9,19.7,87355.0,4455,18
CFVF.N0000,2016-01-28,20.0,20.0,19.6,20.0,38933.0,1951,9
CFVF.N0000,2016-01-31,20.2,20.2,20.0,20.0,11920.2,596,6
CFVF.N0000,2016-02-01,20.1,20.5,19.8,20.1,159117.1,7938,25
CFVF.N0000,2016-02-02,20.0,20.0,19.3,19.3,184531.3,9441,12
CFVF.N0000,2016-02-04,19.0,20.5,19.0,19.9,238049.9,11930,25
CFVF.N0000,2016-02-07,19.8,20.6,19.8,20.0,407431.8,20375,40
CFVF.N0000,2016-02-08,20.2,20.2,19.7,19.7,163995.6,8243,11
CFVF.N0000,2016-02-09,20.2,20.2,19.6,20.0,422566.2,21144,12
CFVF.N0000,2016-02-10,20.2,20.2,19.7,19.7,346659.1,17591,14
CFVF.N0000,2016-02-11,19.7,19.7,19.6,19.6,444207.6,22581,7
CFVF.N0000,2016-02-14,19.7,19.7,19.2,19.5,75025.5,3854,13
CFVF.N0000,2016-02-15,19.3,20.0,19.3,19.3,60813.0,3100,6
