ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
CHL.N0000,2016-01-03,101.0,101.0,101.0,101.0,173417.0,1717,11
CHL.N0000,2016-01-07,100.0,100.0,100.0,100.0,10500.0,105,2
CHL.N0000,2016-01-10,101.0,101.0,101.0,101.0,12423.0,123,1
CHL.N0000,2016-01-12,100.9,100.9,100.9,100.9,19271.9,191,3
CHL.N0000,2016-01-18,100.0,100.0,100.0,100.9,5000.0,50,1
CHL.N0000,2016-01-20,99.9,99.9,99.9,100.9,2497.5,25,1
CHL.N0000,2016-01-21,99.9,101.0,99.9,100.5,37462.0,374,6
CHL.N0000,2016-01-24,92.6,92.6,90.0,91.3,18264.0,200,3
CHL.N0000,2016-01-28,90.3,91.1,90.1,91.3,4525.8,50,5
CHL.N0000,2016-01-31,99.5,99.9,99.5,99.9,24965.4,250,5
CHL.N0000,2016-02-02,100.0,100.0,100.0,99.9,2500.0,25,1
CHL.N0000,2016-02-28,91.7,91.7,91.7,99.9,91.7,1,1
CHL.N0000,2016-03-07,99.9,99.9,99.9,99.9,10989.0,110,3
CHL.N0000,2016-03-08,98.0,98.0,92.4,97.9,100181.2,1023,5
CHL.N0000,2016-03-09,85.6,85.6,85.6,85.6,85172.0,995,6
CHL.N0000,2016-03-29,90.0,90.0,90.0,90.0,133650.0,1485,7
CHL.N0000,2016-03-30,87.2,87.2,87.1,90.0,1743.5,20,2
CHL.N0000,2016-04-03,99.8,99.8,99.7,90.0,9473.3,95,3
CHL.N0000,2016-04-04,99.7,99.7,99.7,90.0,5084.7,51,3
CHL.N0000,2016-04-10,98.9,98.9,98.9,90.0,989.0,10,1
CHL.N0000,2016-04-17,98.0,98.0,98.0,90.0,980.0,10,1
CHL.N0000,2016-04-18,94.0,94.0,94.0,94.0,43240.0,460,8
CHL.N0000,2016-04-21,96.0,96.0,96.0,94.0,3456.0,36,3
CHL.N0000,2016-04-24,96.0,96.0,96.0,94.0,8064.0,84,1
CHL.N0000,2016-04-25,94.0,95.0,94.0,95.0,24738590.0,260410,7
CHL.N0000,2016-04-26,95.0,95.0,95.0,95.0,114000.0,1200,2
CHL.N0000,2016-04-27,95.0,95.0,94.0,94.1,15050.0,160,3
CHL.N0000,2016-04-28,95.0,95.0,95.0,94.1,1520.0,16,1
CHL.N0000,2016-05-02,94.5,95.0,94.5,94.8,25978.0,274,4
CHL.N0000,2016-05-04,95.0,95.0,95.0,94.8,190.0,2,1
CHL.N0000,2016-05-08,94.9,95.2,94.9,95.0,76524495.8,805521,22
CHL.N0000,2016-05-09,95.0,95.0,95.0,95.0,855.0,9,1
CHL.N0000,2016-05-10,95.3,99.0,95.2,97.5,36565.0,375,5
CHL.N0000,2016-05-11,98.5,98.5,98.5,97.5,985.0,10,3
CHL.N0000,2016-05-12,100.0,105.0,100.0,102.1,100812.0,993,8
CHL.N0000,2016-05-16,107.7,107.7,98.6,98.6,19504036.7,197796,8
CHL.N0000,2016-05-17,104.9,107.0,104.9,106.5,1078545.0,10212,28
CHL.N0000,2016-05-18,109.9,110.0,109.5,110.0,18901536.0,171887,63
CHL.N0000,2016-05-25,105.0,105.0,105.0,110.0,105.0,1,1
CHL.N0000,2016-06-02,103.9,104.0,103.9,103.9,533020.0,5130,2
CHL.N0000,2016-06-06,105.5,110.0,105.0,109.4,859669.4,7949,16
CHL.N0000,2016-06-08,98.1,98.1,98.1,109.4,981.0,10,1
CHL.N0000,2016-06-12,101.0,101.0,101.0,109.4,8080.0,80,2
CHL.N0000,2016-06-13,105.0,105.0,105.0,109.4,420.0,4,1
