ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
CHOT.N0000,2016-01-03,25.5,27.5,23.7,26.4,149542.0,5700,11
CHOT.N0000,2016-01-06,26.9,27.0,26.9,27.0,28076.0,1040,5
CHOT.N0000,2016-01-07,24.1,24.3,24.0,24.2,14522.8,600,8
CHOT.N0000,2016-01-10,25.0,25.0,24.0,24.1,7215.0,300,3
CHOT.N0000,2016-01-11,25.4,25.5,25.0,25.5,86651.6,3404,8
CHOT.N0000,2016-01-12,24.1,24.2,24.1,24.1,30217.3,1253,4
CHOT.N0000,2016-01-13,25.5,26.5,25.5,26.0,100190316.5,3340677,22
CHOT.N0000,2016-01-17,26.0,26.0,24.0,24.5,226431.6,9100,9
CHOT.N0000,2016-01-18,25.5,25.5,24.3,25.0,263093.0,10500,9
CHOT.N0000,2016-01-19,25.0,25.0,24.0,25.0,315705041.2,10525045,13
CHOT.N0000,2016-01-21,24.0,24.0,24.0,25.0,1200.0,50,1
CHOT.N0000,2016-01-24,25.9,25.9,24.0,24.1,88243.7,3657,8
CHOT.N0000,2016-01-25,22.1,25.5,22.1,22.3,4699.0,211,4
CHOT.N0000,2016-01-26,24.1,24.1,24.0,24.1,47860.0,1990,2
CHOT.N0000,2016-01-27,24.0,24.1,24.0,24.0,73128.1,3047,2
CHOT.N0000,2016-01-28,25.0,25.0,25.0,25.0,17500.0,700,1
CHOT.N0000,2016-02-01,25.7,25.7,25.7,25.0,51.4,2,1
CHOT.N0000,2016-02-04,25.4,25.4,25.4,25.0,228.6,9,1
CHOT.N0000,2016-02-10,25.0,25.0,22.1,24.0,190858.4,8132,13
CHOT.N0000,2016-02-11,24.0,24.0,20.7,22.5,189051.6,8409,12
CHOT.N0000,2016-02-14,24.3,24.3,22.0,24.0,60815.8,2534,7
CHOT.N0000,2016-02-15,22.1,22.3,22.0,22.1,11439.3,517,6
CHOT.N0000,2016-02-17,23.4,23.4,23.2,23.2,5108.0,220,2
CHOT.N0000,2016-02-18,23.4,23.4,23.4,23.2,514.8,22,1
CHOT.N0000,2016-02-23,23.0,23.0,23.0,23.0,94576.0,4112,3
CHOT.N0000,2016-02-24,23.4,24.0,23.4,24.0,119574.8,5000,10
CHOT.N0000,2016-02-25,23.1,23.1,23.0,23.0,23030.0,1000,2
CHOT.N0000,2016-02-28,21.0,23.0,21.0,21.6,17172.0,812,4
CHOT.N0000,2016-03-01,21.2,21.2,21.2,21.2,2120.0,100,3
CHOT.N0000,2016-03-02,22.0,22.0,21.1,21.1,14896.1,701,11
CHOT.N0000,2016-03-03,21.1,21.1,21.0,21.0,30601.4,1457,9
CHOT.N0000,2016-03-07,21.0,22.0,20.0,22.0,20289.0,932,6
CHOT.N0000,2016-03-08,22.0,26.0,21.1,21.2,26988300.2,1042879,43
CHOT.N0000,2016-03-10,23.0,24.0,23.0,23.0,63300.0,2750,2
CHOT.N0000,2016-03-13,21.8,21.8,21.8,23.0,130.8,6,1
CHOT.N0000,2016-03-16,23.9,23.9,23.9,23.9,25644.7,1073,12
CHOT.N0000,2016-03-17,23.6,24.0,23.6,23.8,7699.4,323,4
CHOT.N0000,2016-03-22,24.0,24.0,24.0,24.0,27600.0,1150,3
CHOT.N0000,2016-03-23,24.3,24.3,24.3,24.3,121815.9,5013,3
CHOT.N0000,2016-03-27,24.4,24.5,24.4,24.5,244980.0,10000,9
CHOT.N0000,2016-03-28,22.6,22.6,22.6,22.6,2260.0,100,1
CHOT.N0000,2016-03-29,23.5,23.5,23.5,23.5,152750.0,6500,1
CHOT.N0000,2016-03-30,24.0,24.0,24.0,24.0,2400.0,100,1
CHOT.N0000,2016-03-31,23.5,23.5,23.5,23.5,20586.0,876,2
CHOT.N0000,2016-04-03,23.5,23.5,23.5,23.5,2350.0,100,1
CHOT.N0000,2016-04-04,24.3,24.3,23.5,23.7,7124.3,301,3
CHOT.N0000,2016-04-05,23.5,23.5,23.5,23.5,35250.0,1500,2
CHOT.N0000,2016-04-06,24.5,24.5,24.5,24.5,480200.0,19600,5
CHOT.N0000,2016-04-11,24.5,24.5,24.5,24.5,122.5,5,1
CHOT.N0000,2016-04-17,24.5,24.7,24.5,24.5,246.2,10,2
CHOT.N0000,2016-04-18,24.7,24.7,24.7,24.5,49.4,2,1
CHOT.N0000,2016-04-21,23.8,25.7,23.8,24.5,241.8,10,2
CHOT.N0000,2016-04-25,23.8,23.8,23.8,23.8,2380.0,100,1
CHOT.N0000,2016-04-26,23.9,23.9,23.8,23.8,12186.6,512,2
CHOT.N0000,2016-04-27,24.0,24.0,24.0,24.0,96000.0,4000,1
CHOT.N0000,2016-04-28,24.0,24.9,24.0,24.0,240273.9,10011,8
CHOT.N0000,2016-05-02,24.8,24.8,24.8,24.0,1364.0,55,1
CHOT.N0000,2016-05-03,23.8,23.8,23.8,23.8,2380.0,100,1
CHOT.N0000,2016-05-04,23.8,24.0,23.8,24.0,62260.8,2595,3
CHOT.N0000,2016-05-09,23.8,23.8,23.8,23.8,47600.0,2000,1
CHOT.N0000,2016-05-10,24.8,24.8,24.8,23.8,620.0,25,1
CHOT.N0000,2016-05-12,24.4,24.4,23.6,23.8,95594.8,4003,10
CHOT.N0000,2016-05-16,24.5,25.0,24.5,24.8,290087.0,11824,22
CHOT.N0000,2016-05-18,24.9,25.0,24.9,25.0,360725.0,14441,9
CHOT.N0000,2016-05-23,24.0,24.1,24.0,24.1,15032.5,625,3
CHOT.N0000,2016-05-24,24.0,24.0,24.0,24.0,47304.0,1971,1
CHOT.N0000,2016-05-25,24.0,24.0,24.0,24.0,24.0,1,1
CHOT.N0000,2016-05-26,23.5,23.5,23.5,23.5,23500.0,1000,1
CHOT.N0000,2016-05-29,23.6,23.6,23.6,23.6,5900.0,250,1
CHOT.N0000,2016-05-30,23.6,23.6,23.6,23.6,118.0,5,1
CHOT.N0000,2016-06-01,23.6,23.6,23.6,23.6,684.4,29,1
CHOT.N0000,2016-06-02,23.3,23.3,23.3,23.3,4660.0,200,1
CHOT.N0000,2016-06-07,23.8,24.0,23.8,23.9,7208.0,302,3
CHOT.N0000,2016-06-15,21.4,23.4,21.4,23.4,9160.0,400,3
CHOT.N0000,2016-06-16,23.5,23.5,23.5,23.5,2890.5,123,2
CHOT.N0000,2016-06-20,21.8,21.8,21.8,21.8,3989.4,183,2
CHOT.N0000,2016-06-26,22.4,22.5,21.7,22.4,14796.2,662,6
CHOT.N0000,2016-06-27,21.8,21.8,21.8,22.4,21.8,1,1
CHOT.N0000,2016-06-29,21.9,21.9,21.9,21.9,4380.0,200,1
CHOT.N0000,2016-06-30,21.9,21.9,21.9,21.9,92111.4,4206,13
CHOT.N0000,2016-07-03,21.8,21.8,21.8,21.8,10900.0,500,1
CHOT.N0000,2016-07-07,22.5,22.6,22.1,22.3,49221.5,2189,6
CHOT.N0000,2016-07-10,23.5,24.0,22.1,23.9,215639.0,9128,21
CHOT.N0000,2016-07-11,23.0,23.0,23.0,23.0,23000.0,1000,1
CHOT.N0000,2016-07-12,22.9,22.9,22.9,22.9,4580.0,200,2
CHOT.N0000,2016-07-14,22.6,22.6,22.6,22.6,4520.0,200,2
CHOT.N0000,2016-07-17,22.6,22.6,22.6,22.6,4633.0,205,3
CHOT.N0000,2016-07-19,22.5,22.6,22.0,22.5,654370.0,29010,12
CHOT.N0000,2016-07-21,22.7,22.7,22.5,22.6,65050.0,2880,5
CHOT.N0000,2016-07-27,22.7,22.7,22.6,22.6,81460.0,3600,4
CHOT.N0000,2016-07-28,23.6,24.0,23.0,23.7,142111.6,6000,10
CHOT.N0000,2016-08-01,23.1,23.1,23.1,23.1,2795.1,121,1
CHOT.N0000,2016-08-02,23.9,23.9,23.9,23.1,549.7,23,3
CHOT.N0000,2016-08-03,23.8,24.0,23.8,24.0,98902.2,4129,5
CHOT.N0000,2016-08-09,23.4,24.0,23.4,23.4,96000.0,4100,2
CHOT.N0000,2016-08-14,24.5,24.5,24.5,23.4,24.5,1,1
CHOT.N0000,2016-08-17,23.6,23.6,23.5,23.6,28310.0,1200,3
CHOT.N0000,2016-08-18,20.1,22.9,20.1,22.5,382052.3,17939,7
CHOT.N0000,2016-08-21,21.3,21.3,21.3,21.3,8520.0,400,2
CHOT.N0000,2016-08-22,22.8,23.0,22.8,22.9,14206.0,620,3
CHOT.N0000,2016-08-25,23.2,23.2,23.1,23.2,97199.0,4190,3
CHOT.N0000,2016-08-30,23.5,23.5,23.5,23.5,319341.5,13589,4
CHOT.N0000,2016-09-01,23.0,23.3,23.0,23.3,45101.8,1946,4
CHOT.N0000,2016-09-04,23.3,23.9,23.3,23.3,89846.0,3856,2
CHOT.N0000,2016-09-05,23.3,23.5,23.3,23.3,72347.5,3105,5
CHOT.N0000,2016-09-06,23.3,23.5,23.3,23.3,30166.9,1293,4
CHOT.N0000,2016-09-07,23.3,23.5,23.3,23.5,194832.5,8295,2
CHOT.N0000,2016-09-08,23.4,23.4,23.3,23.3,93220.0,4000,5
CHOT.N0000,2016-09-12,23.3,23.3,23.3,23.3,2330.0,100,1
CHOT.N0000,2016-09-18,23.5,23.5,23.5,23.5,7073.5,301,3
CHOT.N0000,2016-09-19,23.5,23.5,23.5,23.5,1151.5,49,1
CHOT.N0000,2016-09-20,24.0,24.0,24.0,23.5,24.0,1,1
CHOT.N0000,2016-09-21,23.1,23.1,23.0,23.0,46050.0,2000,3
CHOT.N0000,2016-09-22,24.0,24.0,24.0,23.0,72.0,3,2
CHOT.N0000,2016-09-26,23.0,23.0,21.7,21.8,30257.8,1331,5
CHOT.N0000,2016-09-27,23.0,23.0,22.5,23.0,50730.0,2210,4
CHOT.N0000,2016-09-28,24.0,24.0,24.0,24.0,127200.0,5300,1
CHOT.N0000,2016-10-02,23.0,23.0,23.0,24.0,46.0,2,1
CHOT.N0000,2016-10-03,23.5,23.5,23.5,23.5,58750.0,2500,3
CHOT.N0000,2016-10-04,23.5,23.5,23.0,23.0,23373.0,1016,4
CHOT.N0000,2016-10-05,23.0,23.0,23.0,23.0,138000.0,6000,3
CHOT.N0000,2016-10-06,23.0,23.0,22.6,23.0,25490.0,1110,3
CHOT.N0000,2016-10-10,22.7,22.7,22.7,22.7,4540.0,200,1
CHOT.N0000,2016-10-11,22.7,22.7,22.7,22.7,22700.0,1000,2
CHOT.N0000,2016-10-12,22.0,22.1,22.0,22.1,6610.0,300,3
CHOT.N0000,2016-10-16,21.9,21.9,21.9,22.1,43.8,2,1
CHOT.N0000,2016-10-18,21.9,22.0,21.8,21.8,22267.8,1021,4
CHOT.N0000,2016-10-19,22.0,23.0,22.0,23.0,28094263.0,1221664,18
CHOT.N0000,2016-10-20,23.5,23.5,23.0,23.0,258.0,11,2
CHOT.N0000,2016-10-26,22.0,23.0,22.0,23.0,23044.0,1002,2
CHOT.N0000,2016-10-27,22.5,22.5,22.0,22.0,8801.0,400,2
CHOT.N0000,2016-10-30,22.0,22.0,22.0,22.0,1694.0,77,1
CHOT.N0000,2016-10-31,22.1,22.1,22.1,22.1,60863.4,2754,1
CHOT.N0000,2016-11-01,22.0,22.0,22.0,22.0,25850.0,1175,3
CHOT.N0000,2016-11-06,22.3,22.4,22.3,22.3,821221.7,36779,6
CHOT.N0000,2016-11-08,22.5,22.5,22.5,22.5,45000.0,2000,3
CHOT.N0000,2016-11-09,22.0,22.0,22.0,22.5,220.0,10,1
CHOT.N0000,2016-11-10,22.0,22.0,22.0,22.0,2200.0,100,1
CHOT.N0000,2016-11-14,23.0,23.0,23.0,23.0,2369.0,103,3
CHOT.N0000,2016-11-15,22.3,22.3,22.0,22.0,55172.1,2501,5
CHOT.N0000,2016-11-17,23.0,23.0,23.0,22.0,23.0,1,1
CHOT.N0000,2016-11-20,22.1,22.1,22.0,22.0,6667.9,303,4
CHOT.N0000,2016-11-22,21.4,21.4,21.3,21.3,21842.5,1025,4
CHOT.N0000,2016-11-23,21.1,21.1,21.0,21.0,86110.0,4100,3
CHOT.N0000,2016-11-24,20.1,20.1,20.0,20.1,574760.0,28600,12
CHOT.N0000,2016-11-28,21.7,21.9,20.2,21.9,2972.3,136,5
CHOT.N0000,2016-12-01,21.7,21.7,21.7,21.9,43.4,2,1
CHOT.N0000,2016-12-04,21.5,21.5,21.5,21.9,21.5,1,1
CHOT.N0000,2016-12-05,21.5,21.5,21.5,21.5,4300.0,200,1
CHOT.N0000,2016-12-06,20.4,20.5,20.4,20.4,10200.1,500,2
CHOT.N0000,2016-12-08,20.5,20.5,20.4,20.4,204005.0,10000,2
CHOT.N0000,2016-12-14,20.4,20.4,20.4,20.4,1020.0,50,1
CHOT.N0000,2016-12-15,19.0,19.0,19.0,19.0,19000.0,1000,1
CHOT.N0000,2016-12-18,19.0,19.0,19.0,19.0,950.0,50,1
CHOT.N0000,2016-12-19,19.0,19.0,19.0,19.0,1900.0,100,1
CHOT.N0000,2016-12-21,19.0,19.0,19.0,19.0,22838.0,1202,6
CHOT.N0000,2016-12-26,20.0,20.0,20.0,19.0,1000.0,50,1
CHOT.N0000,2016-12-28,20.0,20.9,20.0,20.3,14180.0,700,3
CHOT.N0000,2017-01-01,19.8,19.8,19.8,20.3,39.6,2,1
CHOT.N0000,2017-01-03,19.8,19.8,19.8,20.3,257.4,13,1
CHOT.N0000,2017-01-05,19.0,19.0,19.0,19.0,6061.0,319,4
CHOT.N0000,2017-01-08,18.6,18.8,18.5,18.5,7692.0,415,3
