ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
CINS.N0000,2016-01-03,1415.0,1415.1,1415.0,1415.0,10148444.4,7172,12
CINS.N0000,2016-01-05,1410.5,1410.5,1375.0,1382.4,5081554.8,3654,17
CINS.N0000,2016-01-07,1400.0,1400.0,1400.0,1400.0,460600.0,329,2
CINS.N0000,2016-01-10,1400.0,1400.0,1400.0,1400.0,14000.0,10,1
CINS.N0000,2016-01-11,1390.0,1390.0,1390.0,1400.0,40310.0,29,2
CINS.N0000,2016-01-12,1390.0,1390.0,1390.0,1400.0,18070.0,13,2
CINS.N0000,2016-01-13,1399.9,1399.9,1399.9,1400.0,47596.6,34,1
CINS.N0000,2016-01-20,1400.0,1400.0,1400.0,1400.0,2889600.0,2064,2
CINS.N0000,2016-01-21,1400.0,1400.0,1400.0,1400.0,133000.0,95,1
CINS.N0000,2016-01-24,1400.0,1400.0,1400.0,1400.0,35000.0,25,1
CINS.N0000,2016-01-25,1350.0,1350.0,1350.0,1400.0,89100.0,66,1
CINS.N0000,2016-01-26,1355.0,1355.0,1350.0,1350.0,1215010.0,900,2
CINS.N0000,2016-01-27,1350.0,1350.0,1350.0,1350.0,2700.0,2,1
CINS.N0000,2016-01-28,1350.1,1350.1,1350.1,1350.0,2700.2,2,1
CINS.N0000,2016-02-02,1400.0,1400.0,1400.0,1400.0,142800.0,102,2
CINS.N0000,2016-02-11,1380.0,1380.0,1380.0,1380.0,1936140.0,1403,1
CINS.N0000,2016-02-14,1390.0,1400.0,1390.0,1393.7,211838.0,152,3
CINS.N0000,2016-02-16,1350.0,1350.0,1300.0,1393.7,7950.0,6,5
CINS.N0000,2016-02-17,1390.0,1450.0,1390.0,1437.9,1411740.0,996,6
CINS.N0000,2016-02-18,1451.0,1451.0,1450.0,1451.0,1394386.0,961,3
CINS.N0000,2016-02-23,1489.1,1489.1,1489.1,1489.1,148910.0,100,2
CINS.N0000,2016-02-25,1425.0,1500.0,1425.0,1425.4,574425.0,403,3
CINS.N0000,2016-02-28,1500.0,1500.0,1500.0,1425.4,3000.0,2,1
CINS.N0000,2016-03-02,1500.0,1500.0,1500.0,1500.0,187500.0,125,1
CINS.N0000,2016-03-07,1500.0,1500.0,1499.8,1500.0,157499.0,105,2
CINS.N0000,2016-03-08,1450.0,1450.0,1450.0,1500.0,4350.0,3,1
CINS.N0000,2016-03-09,1449.5,1449.5,1449.5,1500.0,11596.0,8,3
CINS.N0000,2016-03-14,1490.0,1499.9,1350.1,1488.1,322921.5,217,10
CINS.N0000,2016-03-17,1498.9,1498.9,1498.9,1488.1,10492.3,7,3
CINS.N0000,2016-03-22,1450.0,1460.0,1450.0,1450.1,291460.0,201,3
CINS.N0000,2016-03-27,1499.9,1500.0,1499.9,1500.0,305999.6,204,2
CINS.N0000,2016-03-28,1331.1,1500.0,1331.1,1499.7,637710.0,426,4
CINS.N0000,2016-03-29,1455.0,1560.0,1450.1,1455.5,27599570.4,18962,16
CINS.N0000,2016-03-30,1475.0,1500.0,1475.0,1498.0,750973.0,504,8
CINS.N0000,2016-04-03,1498.0,1498.0,1498.0,1498.0,449400.0,300,1
CINS.N0000,2016-04-07,1480.0,1500.0,1340.0,1498.0,86155.0,60,8
CINS.N0000,2016-04-10,1500.0,1500.0,1370.1,1494.9,4725250.2,3161,10
CINS.N0000,2016-04-11,1650.0,1650.0,1498.0,1499.0,452700.0,302,3
CINS.N0000,2016-04-14,1495.0,1495.0,1495.0,1499.0,2990.0,2,2
CINS.N0000,2016-04-17,1495.0,1495.0,1490.0,1499.0,71555.0,48,6
CINS.N0000,2016-04-18,1495.0,1495.0,1495.0,1495.0,301990.0,202,2
CINS.N0000,2016-04-19,1495.0,1495.0,1494.0,1495.0,8966.0,6,2
CINS.N0000,2016-04-26,1495.0,1495.0,1495.0,1495.0,306475.0,205,2
CINS.N0000,2016-05-02,1495.0,1495.0,1495.0,1495.0,692185.0,463,3
CINS.N0000,2016-05-03,1490.0,1490.0,1401.1,1489.9,1396041.1,937,2
CINS.N0000,2016-05-04,1494.9,1495.0,1494.9,1489.9,2989.9,2,2
CINS.N0000,2016-05-08,1400.0,1400.0,1400.0,1489.9,7000.0,5,5
CINS.N0000,2016-05-09,0.0,0.0,,1489.9,29000000.0,20000,1
CINS.N0000,2016-05-12,1400.0,1400.0,1400.0,1489.9,4200.0,3,1
CINS.N0000,2016-05-15,1490.0,1490.0,1400.0,1489.6,449860.0,302,4
CINS.N0000,2016-05-18,1450.0,1450.0,1400.0,1447.2,2390750.0,1649,5
CINS.N0000,2016-05-19,1489.9,1489.9,1489.9,1447.2,5959.6,4,1
CINS.N0000,2016-05-23,1447.2,1452.0,1447.2,1450.7,7803019.0,5379,8
CINS.N0000,2016-05-25,1447.2,1447.2,1447.2,1447.2,383508.0,265,2
CINS.N0000,2016-05-29,1445.0,1445.0,1445.0,1447.2,43350.0,30,3
CINS.N0000,2016-05-30,1449.0,1449.0,1449.0,1449.0,253575.0,175,1
CINS.N0000,2016-06-02,1447.2,1447.2,1400.0,1443.4,627881.0,435,5
CINS.N0000,2016-06-05,1400.0,1400.0,1400.0,1443.4,51800.0,37,2
CINS.N0000,2016-06-12,1450.0,1450.0,1425.0,1443.4,59425.0,41,2
CINS.N0000,2016-06-14,1440.0,1440.0,1439.9,1440.0,2662543.9,1849,3
CINS.N0000,2016-06-22,1440.0,1440.0,1439.0,1439.4,2150424.0,1494,3
CINS.N0000,2016-06-27,1400.0,1400.0,1400.0,1439.4,30800.0,22,2
CINS.N0000,2016-06-30,1440.0,1440.0,1440.0,1440.0,1010880.0,702,1
CINS.N0000,2016-07-03,1440.0,1440.0,1440.0,1440.0,288000.0,200,3
CINS.N0000,2016-07-04,1435.0,1435.0,1435.0,1435.0,1343160.0,936,1
CINS.N0000,2016-07-10,1435.0,1435.0,1435.0,1435.0,143500.0,100,1
CINS.N0000,2016-07-11,1410.1,1410.1,1410.1,1435.0,1410.1,1,1
CINS.N0000,2016-07-17,1410.1,1410.1,1410.1,1410.1,224205.9,159,1
CINS.N0000,2016-07-24,1411.0,1411.0,1410.1,1410.1,97297.8,69,2
CINS.N0000,2016-07-25,1411.0,1411.0,1410.1,1410.1,191777.2,136,2
CINS.N0000,2016-07-26,1410.1,1410.1,1410.1,1410.1,47943.4,34,1
