ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
CLC.N0000,2016-01-03,4.0,4.0,4.0,4.0,400.0,100,1
CLC.N0000,2016-01-04,4.2,4.2,4.2,4.2,420.0,100,1
CLC.N0000,2016-01-05,4.0,4.2,4.0,4.0,3840.0,950,2
CLC.N0000,2016-01-06,4.2,4.2,3.9,3.9,86297.6,21875,6
CLC.N0000,2016-01-07,4.2,4.2,4.0,4.0,8420.0,2100,2
CLC.N0000,2016-01-10,4.0,4.1,4.0,4.1,80410.0,20100,2
CLC.N0000,2016-01-11,4.0,4.0,3.9,3.9,211719.5,54205,7
CLC.N0000,2016-01-12,4.1,4.1,4.1,4.1,410.0,100,1
CLC.N0000,2016-01-13,3.8,4.1,3.5,3.9,20206.6,5306,9
CLC.N0000,2016-01-17,4.0,4.0,3.6,3.7,124460.0,33600,13
CLC.N0000,2016-01-18,4.0,4.0,3.7,3.8,73350.9,19803,11
CLC.N0000,2016-01-19,4.0,4.0,3.8,3.8,19438.0,5110,3
CLC.N0000,2016-01-20,4.0,4.0,3.7,3.8,208915.0,55150,19
CLC.N0000,2016-01-21,4.0,4.0,3.8,3.8,990.0,260,2
CLC.N0000,2016-01-24,3.7,3.9,3.7,3.9,393.7,101,2
CLC.N0000,2016-01-28,3.9,4.0,3.9,3.9,116280.0,29200,7
CLC.N0000,2016-01-31,4.0,4.0,3.9,3.9,907.0,230,2
CLC.N0000,2016-02-01,3.9,4.0,3.8,3.9,11766.4,3015,7
CLC.N0000,2016-02-02,4.0,4.0,3.8,3.8,16740.0,4400,2
CLC.N0000,2016-02-04,3.9,4.0,3.7,3.8,88064.0,23170,13
CLC.N0000,2016-02-07,4.0,4.0,3.8,3.8,31312.0,8228,7
CLC.N0000,2016-02-14,3.9,3.9,3.9,3.9,3900.0,1000,1
CLC.N0000,2016-02-17,3.7,3.8,3.7,3.8,6051.0,1630,4
CLC.N0000,2016-02-22,3.8,3.8,3.8,3.8,380.0,100,1
CLC.N0000,2016-02-23,3.5,3.5,3.5,3.5,1312.5,375,2
CLC.N0000,2016-02-24,4.0,4.0,3.7,3.8,44112.2,11787,11
CLC.N0000,2016-02-25,3.8,3.8,3.8,3.8,38.0,10,1
CLC.N0000,2016-02-28,3.8,3.9,3.8,3.8,2982.5,775,3
CLC.N0000,2016-02-29,3.8,3.8,3.8,3.8,1520.0,400,1
CLC.N0000,2016-03-02,3.9,3.9,3.8,3.9,821.8,211,2
CLC.N0000,2016-03-03,3.7,3.7,3.7,3.7,1295.0,350,2
CLC.N0000,2016-03-07,3.8,3.8,3.5,3.6,1090.0,300,3
CLC.N0000,2016-03-08,3.5,3.6,3.5,3.6,2182.0,620,2
CLC.N0000,2016-03-09,3.6,3.6,3.6,3.6,11376.0,3160,3
CLC.N0000,2016-03-10,3.7,3.7,3.6,3.6,7070.7,1961,4
CLC.N0000,2016-03-13,3.7,3.7,3.7,3.7,370.0,100,1
CLC.N0000,2016-03-14,3.5,3.7,3.5,3.5,1770.0,500,2
CLC.N0000,2016-03-15,3.7,3.7,3.7,3.7,555.0,150,1
CLC.N0000,2016-03-16,3.7,3.7,3.7,3.7,7400.0,2000,1
CLC.N0000,2016-03-17,3.7,3.9,3.7,3.7,10302.8,2752,4
CLC.N0000,2016-03-20,3.9,3.9,3.9,3.9,390.0,100,1
CLC.N0000,2016-03-22,3.7,3.7,3.5,3.6,1070.0,300,2
CLC.N0000,2016-03-23,3.8,3.8,3.8,3.8,760.0,200,1
CLC.N0000,2016-03-28,3.8,3.9,3.8,3.8,4380.0,1150,3
CLC.N0000,2016-03-31,3.9,3.9,3.9,3.9,39390.0,10100,4
CLC.N0000,2016-04-05,4.0,4.0,4.0,4.0,420.0,105,2
CLC.N0000,2016-04-07,3.9,4.0,3.9,4.0,4300.0,1100,2
CLC.N0000,2016-04-10,4.0,4.0,3.6,3.6,764.0,201,3
CLC.N0000,2016-04-11,4.0,4.0,4.0,4.0,1400.0,350,2
CLC.N0000,2016-04-14,4.0,4.1,4.0,4.1,1630.0,400,3
CLC.N0000,2016-04-17,3.9,3.9,3.9,3.9,780.0,200,1
CLC.N0000,2016-04-18,4.0,4.0,4.0,4.0,2400.0,600,2
CLC.N0000,2016-04-21,4.0,4.0,4.0,4.0,855220.0,213805,9
CLC.N0000,2016-04-24,3.9,4.0,3.9,4.0,20135.0,5150,2
CLC.N0000,2016-04-25,4.1,4.1,3.9,4.1,105708.2,26088,9
CLC.N0000,2016-04-26,4.1,4.1,4.1,4.1,414.1,101,2
CLC.N0000,2016-04-27,4.1,4.1,4.1,4.1,41.0,10,1
CLC.N0000,2016-05-02,4.1,4.1,4.1,4.1,41.0,10,1
CLC.N0000,2016-05-03,4.2,4.2,4.2,4.2,630.0,150,2
CLC.N0000,2016-05-04,4.0,4.2,4.0,4.2,2008.0,492,2
CLC.N0000,2016-05-05,4.1,4.2,4.1,4.1,2183.0,530,3
CLC.N0000,2016-05-08,4.1,4.1,4.1,4.1,45.1,11,1
CLC.N0000,2016-05-09,4.1,4.1,4.0,4.1,53100.0,13000,7
CLC.N0000,2016-05-10,4.1,4.1,4.1,4.1,410.0,100,1
CLC.N0000,2016-05-15,4.1,4.1,4.0,4.0,17145.0,4286,2
CLC.N0000,2016-05-16,3.9,4.0,3.9,4.0,8200.0,2100,2
CLC.N0000,2016-05-18,3.8,4.0,3.6,3.6,36420.0,10100,4
CLC.N0000,2016-05-19,4.0,4.0,4.0,4.0,40500.0,10125,5
CLC.N0000,2016-05-23,4.0,4.0,3.8,3.9,20280.0,5200,3
CLC.N0000,2016-05-25,4.0,4.0,3.8,3.8,3217.8,841,2
CLC.N0000,2016-05-26,4.0,4.0,4.0,4.0,400.0,100,1
CLC.N0000,2016-05-29,4.0,4.0,4.0,4.0,400.0,100,1
CLC.N0000,2016-05-31,3.9,3.9,3.9,3.9,3120.0,800,4
CLC.N0000,2016-06-01,3.9,3.9,3.7,3.8,72199.0,19010,12
CLC.N0000,2016-06-02,3.9,3.9,3.8,3.8,17277.0,4530,5
CLC.N0000,2016-06-06,3.8,3.9,3.7,3.7,4741.5,1265,4
CLC.N0000,2016-06-07,4.0,4.0,3.7,3.7,1220.3,320,3
CLC.N0000,2016-06-08,3.9,3.9,3.7,3.7,2299.5,605,6
CLC.N0000,2016-06-09,3.9,3.9,3.8,3.8,812.8,211,2
CLC.N0000,2016-06-12,3.9,3.9,3.7,3.7,400.2,108,2
CLC.N0000,2016-06-13,3.9,3.9,3.9,3.9,1462.5,375,5
CLC.N0000,2016-06-14,3.9,4.0,3.9,3.9,16790.0,4300,8
CLC.N0000,2016-06-15,3.7,4.0,3.7,3.7,1140.0,300,3
CLC.N0000,2016-06-16,3.9,3.9,3.9,3.9,397.8,102,1
CLC.N0000,2016-06-19,3.7,3.7,3.7,3.7,747.4,202,1
CLC.N0000,2016-06-20,3.9,3.9,3.5,3.5,14831.5,4019,9
CLC.N0000,2016-06-21,3.9,3.9,3.5,3.7,1176.8,312,3
CLC.N0000,2016-06-22,3.9,3.9,3.8,3.8,8068.0,2120,2
CLC.N0000,2016-06-23,3.9,3.9,3.8,3.8,2717.8,702,4
CLC.N0000,2016-06-26,3.6,3.6,3.6,3.6,378.0,105,1
CLC.N0000,2016-06-28,3.9,3.9,3.9,3.6,273.0,70,1
CLC.N0000,2016-06-29,3.9,3.9,3.9,3.9,479.7,123,2
CLC.N0000,2016-06-30,3.7,3.7,3.7,3.7,444.0,120,1
CLC.N0000,2016-07-03,3.9,3.9,3.7,3.7,1157.4,302,2
CLC.N0000,2016-07-04,3.9,3.9,3.8,3.8,91987.3,24207,5
CLC.N0000,2016-07-06,3.9,3.9,3.9,3.9,10920.0,2800,2
CLC.N0000,2016-07-07,3.9,3.9,3.9,3.9,2457.0,630,2
CLC.N0000,2016-07-11,3.8,3.9,3.8,3.8,789.0,205,3
CLC.N0000,2016-07-14,3.8,4.0,3.8,3.9,1542.3,400,3
CLC.N0000,2016-07-17,4.0,4.0,3.8,3.9,2021.8,513,4
CLC.N0000,2016-07-19,3.9,3.9,3.7,3.8,33575.1,8819,13
CLC.N0000,2016-07-20,3.9,3.9,3.9,3.9,928.2,238,3
CLC.N0000,2016-07-21,3.9,3.9,3.9,3.9,4286.1,1099,3
CLC.N0000,2016-07-25,3.8,3.9,3.8,3.8,39150.0,10300,7
CLC.N0000,2016-07-26,3.8,3.8,3.8,3.8,4560.0,1200,1
CLC.N0000,2016-07-27,3.8,3.8,3.8,3.8,12179.0,3205,4
CLC.N0000,2016-07-28,3.8,3.8,3.8,3.8,22439.0,5905,3
CLC.N0000,2016-07-31,3.9,3.9,3.8,3.9,393.8,101,2
CLC.N0000,2016-08-01,3.9,3.9,3.9,3.9,390.0,100,1
CLC.N0000,2016-08-02,3.8,3.9,3.8,3.8,2365.0,620,6
CLC.N0000,2016-08-03,3.9,3.9,3.7,3.7,3350.7,899,3
CLC.N0000,2016-08-04,3.8,3.8,3.8,3.8,1140.0,300,1
CLC.N0000,2016-08-07,3.7,3.9,3.7,3.7,6168.7,1651,4
CLC.N0000,2016-08-09,3.8,3.9,3.8,3.8,799.0,210,3
CLC.N0000,2016-08-10,3.9,3.9,3.7,3.7,2240.0,600,2
CLC.N0000,2016-08-14,3.7,3.9,3.7,3.7,4846.3,1299,2
CLC.N0000,2016-08-15,3.9,3.9,3.9,3.9,397.8,102,3
CLC.N0000,2016-08-17,3.9,3.9,3.9,3.9,2254.2,578,3
