ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
CLND.N0000,2016-01-03,25.2,25.2,24.8,24.8,79646.8,3209,4
CLND.N0000,2016-01-04,24.0,24.0,24.0,24.0,6096.0,254,5
CLND.N0000,2016-01-05,24.0,24.0,23.6,23.9,5189.6,217,3
CLND.N0000,2016-01-07,23.6,24.3,23.6,23.9,1267.6,53,4
CLND.N0000,2016-01-10,24.0,24.0,23.2,23.2,154695.6,6634,9
CLND.N0000,2016-01-11,23.2,23.2,23.0,23.0,431586.0,18705,13
CLND.N0000,2016-01-12,22.8,24.2,22.8,24.2,125931.2,5513,9
CLND.N0000,2016-01-13,22.7,23.0,22.0,23.0,334763.6,15005,16
CLND.N0000,2016-01-17,22.2,23.0,22.0,22.3,505146.2,22736,16
CLND.N0000,2016-01-18,22.0,24.0,22.0,23.0,367516.2,16564,25
CLND.N0000,2016-01-19,23.8,23.8,22.0,23.5,212792.9,9077,14
CLND.N0000,2016-01-20,22.0,22.0,22.0,22.0,653136.0,29688,3
CLND.N0000,2016-01-21,23.0,23.8,22.5,22.8,48108.0,2110,4
CLND.N0000,2016-01-24,22.5,23.0,22.5,23.0,2480.0,108,2
CLND.N0000,2016-01-25,22.2,23.0,22.2,22.4,68665.8,3039,4
CLND.N0000,2016-01-26,22.2,23.0,22.0,23.0,40873.0,1810,9
CLND.N0000,2016-01-27,22.2,23.0,22.2,23.0,105764.4,4602,7
CLND.N0000,2016-01-28,23.2,23.2,22.2,23.0,105930.6,4615,7
CLND.N0000,2016-02-04,22.5,23.0,22.5,23.0,315125.0,13770,6
CLND.N0000,2016-02-09,22.5,22.7,22.5,22.5,10715.0,476,5
CLND.N0000,2016-02-10,22.5,22.5,22.0,22.2,43505.0,1970,8
CLND.N0000,2016-02-11,22.5,22.5,22.4,22.4,94300.0,4200,5
CLND.N0000,2016-02-14,23.0,23.0,22.0,22.1,303677.9,13678,15
CLND.N0000,2016-02-15,22.2,23.0,22.0,22.3,891623.6,39900,19
CLND.N0000,2016-02-16,22.1,22.1,22.0,22.0,53021.0,2410,5
CLND.N0000,2016-02-17,22.0,22.4,22.0,22.4,82760.0,3700,4
CLND.N0000,2016-02-18,21.5,22.5,21.5,21.6,220430.0,10206,7
CLND.N0000,2016-02-22,0.0,0.0,,21.6,32462776.2,1524074,1
CLND.N0000,2016-02-23,21.1,21.1,20.6,20.6,8546.0,410,4
CLND.N0000,2016-02-24,20.5,21.9,20.5,21.9,16596.0,786,7
CLND.N0000,2016-02-25,21.0,21.0,21.0,21.0,10500.0,500,1
CLND.N0000,2016-02-28,20.7,20.7,20.7,20.7,31050.0,1500,2
CLND.N0000,2016-02-29,20.7,20.7,20.3,20.3,21761.0,1070,3
CLND.N0000,2016-03-01,20.3,20.3,20.1,20.2,14251.5,705,6
CLND.N0000,2016-03-02,20.2,20.3,20.0,20.0,261790.0,13086,15
CLND.N0000,2016-03-03,20.2,20.6,19.5,20.4,216925.5,10640,11
CLND.N0000,2016-03-07,19.1,19.1,18.1,18.1,389758.5,21203,22
CLND.N0000,2016-03-08,18.5,19.9,18.2,18.2,377068.0,20530,21
CLND.N0000,2016-03-09,18.5,21.0,18.1,19.9,277636.7,13930,27
CLND.N0000,2016-03-10,20.8,21.0,20.8,21.0,88241.0,4221,6
CLND.N0000,2016-03-13,21.0,21.0,20.0,20.0,165695.0,8266,11
CLND.N0000,2016-03-14,19.6,19.6,19.5,19.5,169720.0,8700,4
CLND.N0000,2016-03-15,19.2,20.9,18.1,20.7,175639.1,9614,12
CLND.N0000,2016-03-16,20.9,20.9,20.9,20.9,10450.0,500,2
CLND.N0000,2016-03-17,21.0,21.0,20.9,21.0,146900.0,7000,4
CLND.N0000,2016-03-22,20.0,20.8,20.0,20.8,312541.6,15027,3
CLND.N0000,2016-03-23,20.0,20.5,20.0,20.0,402255.0,20110,6
CLND.N0000,2016-03-27,20.0,20.0,20.0,20.0,70000.0,3500,3
CLND.N0000,2016-03-28,19.4,20.0,19.2,19.6,19605.0,1000,3
CLND.N0000,2016-03-29,20.0,21.9,19.1,20.4,304577.5,15590,13
CLND.N0000,2016-03-30,20.4,21.9,20.0,21.4,98092.8,4586,7
CLND.N0000,2016-03-31,21.5,21.5,21.5,21.5,21500.0,1000,1
