ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
COF.U0000,2016-01-03,10.5,10.5,9.1,9.1,73533.6,8001,30
COF.U0000,2016-01-07,9.1,9.1,9.0,9.0,450251.8,50000,18
COF.U0000,2016-01-10,9.9,9.9,9.9,9.9,297099.0,30010,2
COF.U0000,2016-01-11,9.5,9.5,9.5,9.5,4750.0,500,2
COF.U0000,2016-01-12,9.1,9.1,9.1,9.1,274820.0,30200,6
COF.U0000,2016-01-13,9.8,9.8,9.7,9.8,999.5,102,2
COF.U0000,2016-01-17,9.0,9.0,9.0,9.0,280800.0,31200,10
COF.U0000,2016-01-18,9.0,9.0,9.0,9.0,63.0,7,1
COF.U0000,2016-01-19,9.0,9.0,9.0,9.0,59499.0,6611,5
COF.U0000,2016-01-20,9.0,9.0,9.0,9.0,2700.0,300,1
COF.U0000,2016-01-21,9.7,9.7,9.6,9.0,106.6,11,2
COF.U0000,2016-01-26,9.0,9.0,9.0,9.0,900.0,100,1
COF.U0000,2016-01-27,9.0,9.0,9.0,9.0,13374.0,1486,1
COF.U0000,2016-01-31,9.5,9.5,9.5,9.0,475.0,50,1
COF.U0000,2016-02-01,9.0,9.4,9.0,9.0,219348.4,24372,14
COF.U0000,2016-02-02,9.4,9.4,9.4,9.4,4700.0,500,1
COF.U0000,2016-02-04,9.4,9.4,9.3,9.3,186009.4,20001,2
COF.U0000,2016-02-10,10.0,10.0,10.0,9.3,500.0,50,1
COF.U0000,2016-02-24,9.6,9.6,9.6,9.3,9.6,1,1
COF.U0000,2016-02-29,9.3,9.3,9.3,9.3,9.3,1,1
COF.U0000,2016-03-01,9.3,9.3,9.3,9.3,18600.0,2000,1
COF.U0000,2016-03-02,9.1,9.1,9.0,9.0,89571.0,9950,5
COF.U0000,2016-03-07,9.0,9.0,9.0,9.0,90000.0,10000,1
COF.U0000,2016-03-08,9.0,9.0,9.0,9.0,9000.0,1000,3
COF.U0000,2016-03-09,9.0,9.0,9.0,9.0,9000.0,1000,1
COF.U0000,2016-03-13,10.0,10.0,10.0,9.0,100.0,10,2
COF.U0000,2016-03-15,9.5,9.5,9.5,9.5,950.0,100,1
COF.U0000,2016-03-16,9.5,9.5,9.5,9.5,950.0,100,1
COF.U0000,2016-03-17,9.0,9.0,9.0,9.0,4500.0,500,4
COF.U0000,2016-03-23,9.0,9.0,8.5,8.5,12086.0,1416,5
COF.U0000,2016-03-27,9.0,9.0,9.0,9.0,55080.0,6120,3
COF.U0000,2016-03-28,8.8,8.8,8.8,8.8,88000.0,10000,1
COF.U0000,2016-03-30,9.0,9.0,9.0,9.0,119880.0,13320,8
COF.U0000,2016-03-31,9.5,9.5,9.5,9.5,12340.5,1299,2
COF.U0000,2016-04-03,9.6,12.1,9.6,10.8,42487.0,3921,8
COF.U0000,2016-04-04,10.0,10.0,9.9,10.0,16000.0,1606,5
COF.U0000,2016-04-06,10.0,10.0,9.5,9.5,53500.0,5500,2
COF.U0000,2016-04-11,9.5,10.0,9.5,9.5,96040.5,10099,2
COF.U0000,2016-04-14,10.0,10.0,10.0,10.0,32690.0,3269,3
COF.U0000,2016-04-19,10.0,10.0,10.0,10.0,10.0,1,1
COF.U0000,2016-04-24,9.7,9.7,9.7,9.7,1940.0,200,2
COF.U0000,2016-04-26,9.9,11.6,9.9,9.9,49561.7,5006,4
COF.U0000,2016-04-28,10.5,10.5,10.5,9.9,52.5,5,1
COF.U0000,2016-05-02,10.4,10.4,10.0,10.2,109729.4,10801,8
COF.U0000,2016-05-03,10.2,10.2,9.9,9.9,228420.4,23002,6
COF.U0000,2016-05-04,9.9,9.9,9.9,9.9,48312.0,4880,5
COF.U0000,2016-05-08,9.9,9.9,9.9,9.9,13899.6,1404,4
COF.U0000,2016-05-09,9.9,10.0,9.9,9.9,19771.4,1987,6
COF.U0000,2016-05-10,10.0,10.0,9.9,9.9,200000.0,20200,4
COF.U0000,2016-05-11,9.9,9.9,9.9,9.9,1188.0,120,4
COF.U0000,2016-05-12,9.9,9.9,9.9,9.9,199683.0,20170,3
COF.U0000,2016-05-15,9.9,9.9,9.9,9.9,138.6,14,2
COF.U0000,2016-05-19,10.0,10.0,10.0,10.0,5000.0,500,1
COF.U0000,2016-05-25,9.7,9.7,9.2,9.2,2310.0,250,2
COF.U0000,2016-05-30,9.9,9.9,9.9,9.9,990.0,100,1
COF.U0000,2016-06-01,9.4,10.0,9.4,9.4,9500.0,1010,4
COF.U0000,2016-06-05,9.4,9.4,9.4,9.4,9400.0,1000,2
COF.U0000,2016-06-06,9.4,9.4,9.3,9.3,9301.0,1000,3
COF.U0000,2016-06-13,9.5,9.5,9.5,9.3,456.0,48,1
COF.U0000,2016-06-16,9.9,9.9,9.9,9.3,79.2,8,1
COF.U0000,2016-06-19,9.9,9.9,9.9,9.3,811.8,82,2
COF.U0000,2016-06-20,9.9,9.9,9.4,9.3,569.0,60,2
COF.U0000,2016-06-21,9.9,9.9,9.7,9.7,2039.0,210,2
COF.U0000,2016-06-22,9.8,9.8,9.5,9.5,4966.0,520,9
COF.U0000,2016-06-26,9.6,9.6,9.6,9.5,96.0,10,1
COF.U0000,2016-06-27,9.4,9.4,9.4,9.4,85041.8,9047,6
COF.U0000,2016-06-28,9.6,9.6,9.6,9.4,96.0,10,2
COF.U0000,2016-06-29,9.5,9.5,9.5,9.5,5130.0,540,2
COF.U0000,2016-06-30,9.5,9.5,9.5,9.5,18639.0,1962,3
COF.U0000,2016-07-03,9.5,9.5,9.5,9.5,95.0,10,1
COF.U0000,2016-07-04,9.5,9.5,9.5,9.5,142.5,15,2
COF.U0000,2016-07-06,9.5,9.5,9.5,9.5,237.5,25,2
COF.U0000,2016-07-07,9.2,9.2,9.2,9.2,14536.0,1580,7
COF.U0000,2016-07-10,9.5,9.5,9.5,9.2,190.0,20,1
COF.U0000,2016-07-11,9.5,9.5,9.0,9.0,13692.0,1520,3
COF.U0000,2016-07-13,9.7,9.7,9.7,9.0,126.1,13,3
COF.U0000,2016-07-19,9.5,9.5,9.5,9.0,475.0,50,2
COF.U0000,2016-07-20,9.6,9.6,9.6,9.0,480.0,50,1
COF.U0000,2016-07-21,9.1,9.1,9.1,9.0,9.1,1,1
COF.U0000,2016-07-24,9.1,9.5,8.5,8.8,12785.9,1460,12
COF.U0000,2016-07-25,9.5,9.6,9.5,9.6,1055.0,110,2
COF.U0000,2016-07-26,9.5,9.5,9.0,9.4,235280.0,25030,5
COF.U0000,2016-07-27,9.5,9.5,9.0,9.4,208.5,22,3
COF.U0000,2016-07-28,8.5,9.5,8.5,9.4,196.3,22,10
COF.U0000,2016-07-31,9.1,9.1,9.0,9.0,183270.0,20363,4
COF.U0000,2016-08-01,9.1,9.2,9.1,9.2,104548.8,11379,7
COF.U0000,2016-08-02,9.1,9.4,9.0,9.0,9250.0,1026,8
COF.U0000,2016-08-03,9.4,9.4,9.0,9.0,180186.0,20020,6
COF.U0000,2016-08-04,9.3,9.3,9.3,9.0,102.3,11,1
COF.U0000,2016-08-07,9.1,9.1,9.1,9.0,455.0,50,1
COF.U0000,2016-08-09,9.2,9.2,9.1,9.1,116970.0,12850,4
COF.U0000,2016-08-14,9.3,9.3,9.0,9.0,9861.0,1079,2
COF.U0000,2016-08-17,9.4,9.4,9.0,9.0,46555.0,5150,7
COF.U0000,2016-08-18,9.1,9.1,9.0,9.0,50880.0,5650,2
COF.U0000,2016-08-21,9.2,9.2,9.2,9.0,184.0,20,1
COF.U0000,2016-08-22,9.1,9.2,9.1,9.2,189210.0,20675,5
COF.U0000,2016-08-24,9.2,9.2,9.0,9.1,46268.0,5085,5
COF.U0000,2016-08-25,9.4,9.4,9.1,9.1,9649.0,1060,2
COF.U0000,2016-08-31,9.3,9.5,9.3,9.4,188342.8,20000,10
COF.U0000,2016-09-04,9.1,9.1,9.1,9.4,18.2,2,1
COF.U0000,2016-09-13,9.5,9.5,9.5,9.5,4750.0,500,1
COF.U0000,2016-09-14,9.4,9.4,9.4,9.4,1410.0,150,1
COF.U0000,2016-09-18,9.2,9.2,9.2,9.2,10718.0,1165,4
COF.U0000,2016-09-19,9.1,9.1,9.1,9.1,83401.5,9165,2
COF.U0000,2016-09-21,9.1,9.1,9.1,9.1,9100.0,1000,2
COF.U0000,2016-10-09,9.3,9.3,9.3,9.3,70363.8,7566,2
COF.U0000,2016-10-10,9.3,9.3,9.3,9.3,13950.0,1500,1
COF.U0000,2016-10-12,9.2,9.2,9.1,9.1,33770.3,3700,4
COF.U0000,2016-10-16,9.6,9.6,9.5,9.5,1046.0,110,2
COF.U0000,2016-10-17,9.5,9.5,9.1,9.1,3644.0,400,3
COF.U0000,2016-10-23,9.2,9.2,9.2,9.2,5980.0,650,1
COF.U0000,2016-10-24,9.2,9.2,9.2,9.2,9200.0,1000,1
COF.U0000,2016-10-27,9.3,9.3,9.3,9.2,279.0,30,1
COF.U0000,2016-11-16,9.0,9.0,9.0,9.0,900.0,100,2
COF.U0000,2016-11-22,9.1,9.1,9.1,9.0,455.0,50,1
COF.U0000,2016-12-06,9.8,9.8,9.8,9.0,58.8,6,2
COF.U0000,2016-12-14,8.9,9.0,8.9,8.9,68303.0,7667,2
COF.U0000,2016-12-18,9.0,9.0,9.0,9.0,3600.0,400,1
COF.U0000,2016-12-20,9.0,9.0,9.0,9.0,81.0,9,1
COF.U0000,2016-12-21,8.9,8.9,8.9,8.9,1673.2,188,2
COF.U0000,2016-12-22,8.9,8.9,8.9,8.9,267000.0,30000,1
COF.U0000,2016-12-26,8.9,8.9,8.9,8.9,449450.0,50500,5
COF.U0000,2016-12-28,8.9,8.9,8.9,8.9,91678.9,10301,4
COF.U0000,2016-12-29,8.9,8.9,8.9,8.9,890.0,100,1
COF.U0000,2017-01-01,8.9,8.9,8.9,8.9,18245.0,2050,2
COF.U0000,2017-01-02,8.9,8.9,8.9,8.9,890.0,100,1
COF.U0000,2017-01-04,8.9,8.9,8.9,8.9,1780.0,200,1
COF.U0000,2017-01-08,8.9,8.9,8.9,8.9,440274.1,49469,2
COF.U0000,2017-01-09,8.9,8.9,8.9,8.9,445000.0,50000,2
COF.U0000,2017-01-23,8.2,8.3,8.2,8.2,615226.5,75020,5
COF.U0000,2017-01-24,8.2,8.2,8.2,8.2,369000.0,45000,2
COF.U0000,2017-01-26,7.9,7.9,7.8,7.8,858100.0,110000,10
COF.U0000,2017-01-31,8.5,8.5,8.4,8.4,925.0,110,2
COF.U0000,2017-02-06,8.1,8.1,8.1,8.1,8464.5,1045,3
COF.U0000,2017-02-07,8.0,8.0,8.0,8.0,21600.0,2700,3
COF.U0000,2017-02-12,7.4,7.4,7.4,7.4,3330.0,450,1
COF.U0000,2017-02-13,7.3,7.3,7.3,7.3,3650.0,500,1
COF.U0000,2017-02-14,7.5,8.0,7.5,8.0,7450.0,950,3
COF.U0000,2017-02-20,7.9,7.9,7.9,7.9,900.6,114,2
