ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
COLO.N0000,2016-01-04,110.3,110.3,105.0,106.3,106342.3,1000,10
COLO.N0000,2016-01-05,106.0,110.0,105.2,110.0,29493.2,271,9
COLO.N0000,2016-01-07,106.1,110.1,106.1,109.3,27320.0,250,3
COLO.N0000,2016-01-10,108.5,109.0,105.0,105.0,474457.4,4510,20
COLO.N0000,2016-01-11,105.0,105.0,104.0,104.4,216726.0,2074,8
COLO.N0000,2016-01-12,105.1,108.0,105.1,106.6,40412.9,379,3
COLO.N0000,2016-01-17,105.1,105.1,104.0,104.0,225212.6,2161,8
COLO.N0000,2016-01-18,104.1,104.1,100.0,101.3,326928.0,3221,8
COLO.N0000,2016-01-19,105.0,105.0,105.0,105.0,525000.0,5000,1
COLO.N0000,2016-01-20,104.9,106.0,104.9,105.1,1145584.3,10907,6
COLO.N0000,2016-01-21,104.9,105.0,104.9,105.1,3673.5,35,5
COLO.N0000,2016-01-24,104.0,104.0,100.0,100.0,493908.0,4937,8
COLO.N0000,2016-01-25,100.1,100.1,100.0,100.0,64001.0,640,5
COLO.N0000,2016-02-02,101.1,101.1,101.0,100.0,5050.5,50,6
COLO.N0000,2016-02-07,100.5,100.6,100.5,100.5,27638.4,275,5
COLO.N0000,2016-02-09,101.0,101.0,101.0,100.5,505.0,5,1
COLO.N0000,2016-02-10,108.5,108.5,108.5,108.5,154070.0,1420,1
COLO.N0000,2016-02-14,101.0,101.0,101.0,108.5,101.0,1,1
COLO.N0000,2016-02-15,101.0,101.0,100.0,100.0,700009.0,7000,13
COLO.N0000,2016-02-16,99.0,99.0,98.0,98.0,110251.0,1125,9
COLO.N0000,2016-02-17,99.0,99.0,99.0,99.0,25443.0,257,2
COLO.N0000,2016-02-18,99.0,99.0,99.0,99.0,9900.0,100,1
COLO.N0000,2016-02-23,99.0,99.0,97.0,97.0,177848.0,1822,6
COLO.N0000,2016-02-25,97.2,97.2,97.0,97.0,164903.5,1700,6
COLO.N0000,2016-02-28,97.0,99.0,96.0,96.4,85911.0,891,10
COLO.N0000,2016-02-29,96.0,96.0,96.0,96.4,3264.0,34,2
