ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
CRL.N0000,2016-01-04,49.3,51.9,49.3,51.9,108728.6,2100,10
CRL.N0000,2016-01-06,47.3,51.9,47.3,51.3,405070.8,7900,16
CRL.N0000,2016-01-07,48.1,48.1,48.1,51.3,673.4,14,14
CRL.N0000,2016-01-10,46.6,51.0,46.6,50.0,836025.5,17028,28
CRL.N0000,2016-01-11,47.1,49.6,40.0,45.0,846445.4,18711,26
CRL.N0000,2016-01-12,49.5,49.5,48.9,49.4,246851.4,5001,15
CRL.N0000,2016-01-13,46.1,48.5,46.1,47.6,126697.5,2695,5
CRL.N0000,2016-01-17,46.0,48.6,45.0,47.7,1102545.6,23402,26
CRL.N0000,2016-01-18,45.1,47.0,43.0,47.0,519687.9,11860,24
CRL.N0000,2016-01-19,43.1,47.7,43.0,45.8,378927.1,8284,25
CRL.N0000,2016-01-20,46.9,46.9,46.9,46.9,24153.5,515,7
CRL.N0000,2016-01-21,46.9,47.0,45.0,46.8,1618151.8,34440,15
CRL.N0000,2016-01-25,43.2,46.8,43.0,45.8,183299.0,4000,12
CRL.N0000,2016-01-26,43.2,46.4,43.1,46.4,370878926.7,8241727,7
CRL.N0000,2016-01-27,43.7,43.7,43.7,46.4,174.8,4,3
CRL.N0000,2016-01-28,47.0,47.0,46.5,46.9,5678.3,121,8
CRL.N0000,2016-01-31,46.9,46.9,46.5,46.9,3267.8,70,5
CRL.N0000,2016-02-01,45.0,46.9,45.0,46.4,15362.8,334,23
CRL.N0000,2016-02-02,46.8,46.9,46.4,46.4,99279.0,2139,7
CRL.N0000,2016-02-04,46.8,46.9,46.0,46.0,76523.8,1659,8
CRL.N0000,2016-02-07,46.7,46.7,46.0,46.0,9574.3,208,3
CRL.N0000,2016-02-09,46.0,46.0,46.0,46.0,46.0,1,1
CRL.N0000,2016-02-10,45.0,46.7,45.0,45.9,119324.7,2599,6
CRL.N0000,2016-02-11,45.0,45.9,43.4,43.4,1424176.4,32075,10
CRL.N0000,2016-02-14,45.5,45.5,42.0,43.4,130750.5,3013,6
CRL.N0000,2016-02-15,43.0,43.6,41.7,42.5,173965.8,4099,10
CRL.N0000,2016-02-16,41.5,42.0,40.0,41.0,595551.7,14547,26
CRL.N0000,2016-02-17,42.0,42.0,42.0,42.0,42000.0,1000,1
CRL.N0000,2016-02-18,42.5,42.5,42.5,42.5,85000.0,2000,2
CRL.N0000,2016-02-23,39.2,42.5,39.2,42.4,111669.9,2733,8
CRL.N0000,2016-02-28,40.1,42.3,40.1,42.4,82.4,2,2
CRL.N0000,2016-02-29,40.0,42.3,40.0,42.2,65119.7,1600,5
CRL.N0000,2016-03-03,40.0,42.2,40.0,40.0,100042.2,2501,4
CRL.N0000,2016-03-07,40.2,40.2,36.7,40.0,234088.2,5899,12
CRL.N0000,2016-03-08,34.1,39.0,34.1,37.8,450808.6,12316,26
CRL.N0000,2016-03-09,38.9,39.5,37.0,39.5,94169.0,2401,12
CRL.N0000,2016-03-10,39.8,39.9,39.8,39.8,19979.7,502,4
CRL.N0000,2016-03-13,37.1,39.9,37.1,39.2,5132.9,131,4
CRL.N0000,2016-03-14,39.0,39.0,39.0,39.0,78000.0,2000,2
CRL.N0000,2016-03-15,36.7,38.8,35.5,38.8,562543.0,15130,12
