ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
CSLK.N0000,2024-08-13,7.5,7.6,7.5,7.6,7939309.0,1052388,177
CSLK.N0000,2024-08-14,7.6,7.8,7.6,7.7,5333074.5,693924,149
CSLK.N0000,2024-08-15,7.7,7.7,7.6,7.7,2528625.3,328439,50
CSLK.N0000,2024-08-19,7.7,7.7,7.4,7.4,2124045.7,282471,74
CSLK.N0000,2024-08-20,7.5,7.5,7.4,7.5,1661125.0,221496,22
CSLK.N0000,2024-08-21,7.5,7.5,7.4,7.4,614327.5,82231,37
CSLK.N0000,2024-08-22,7.4,7.4,7.3,7.3,741404.2,101470,41
CSLK.N0000,2024-08-25,7.3,7.4,7.0,7.0,1198265.4,166863,77
CSLK.N0000,2024-08-26,7.3,7.3,7.0,7.1,2192615.5,307606,37
CSLK.N0000,2024-08-27,7.1,7.1,7.0,7.1,213912.9,30199,9
CSLK.N0000,2024-08-28,7.2,7.2,7.1,7.1,484160.0,68175,26
CSLK.N0000,2024-08-29,7.2,7.3,7.0,7.3,905954.3,125504,29
CSLK.N0000,2024-09-01,7.3,7.3,7.2,7.2,34608.2,4792,11
CSLK.N0000,2024-09-02,7.1,7.2,7.0,7.2,851162.9,120224,32
CSLK.N0000,2024-09-03,7.2,7.3,7.2,7.3,227696.9,31200,9
CSLK.N0000,2024-09-04,7.4,7.4,7.1,7.1,450426.4,62600,18
CSLK.N0000,2024-09-05,7.4,7.4,7.3,7.4,21498899.6,3067419,21
CSLK.N0000,2024-09-08,7.3,7.3,7.1,7.2,383802.2,53279,24
CSLK.N0000,2024-09-09,7.2,7.4,7.1,7.1,21462892.2,3064872,19
CSLK.N0000,2024-09-10,7.2,7.3,7.2,7.2,504154.0,70020,14
CSLK.N0000,2024-09-11,7.4,7.4,7.2,7.2,372826.6,51781,13
CSLK.N0000,2024-09-12,7.2,7.2,7.1,7.2,23170016.2,3304436,55
CSLK.N0000,2024-09-17,7.4,7.4,7.2,7.3,408204.2,56083,32
CSLK.N0000,2024-09-18,7.4,7.4,7.2,7.2,768103.4,105171,21
CSLK.N0000,2024-09-19,7.4,7.4,7.3,7.3,745599.6,101900,12
CSLK.N0000,2024-09-22,7.1,7.4,7.1,7.4,1192548.7,162871,17
CSLK.N0000,2024-09-23,7.5,8.0,7.3,7.7,8009548.3,1040762,94
CSLK.N0000,2024-09-24,7.7,7.9,7.7,7.8,12782859.5,1638638,65
CSLK.N0000,2024-09-25,7.9,8.1,7.7,7.7,10904272.1,1380839,97
CSLK.N0000,2024-09-26,7.9,7.9,7.7,7.7,17610791.6,2286750,43
CSLK.N0000,2024-09-29,7.9,7.9,7.7,7.7,17331501.0,2246684,48
CSLK.N0000,2024-09-30,7.8,7.9,7.7,7.7,11625386.6,1502805,43
CSLK.N0000,2024-10-01,7.7,7.8,7.6,7.7,9851908.4,1279432,32
