ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
CTBL.N0000,2016-01-03,3.8,3.9,3.8,3.8,6107.3,1607,6
CTBL.N0000,2016-01-04,3.9,3.9,3.8,3.8,38003.9,10001,3
CTBL.N0000,2016-01-05,3.9,3.9,3.7,3.7,3963.4,1070,5
CTBL.N0000,2016-01-06,3.7,3.8,3.7,3.7,41840.0,11300,14
CTBL.N0000,2016-01-07,3.7,3.7,3.5,3.5,102000.0,28450,22
CTBL.N0000,2016-01-10,3.6,3.6,3.5,3.5,5610.0,1600,5
CTBL.N0000,2016-01-11,3.5,3.5,3.5,3.5,21297.5,6085,9
CTBL.N0000,2016-01-12,3.6,3.6,3.5,3.5,2806.5,799,4
CTBL.N0000,2016-01-13,3.5,3.5,3.4,3.5,1322.0,380,6
CTBL.N0000,2016-01-17,3.5,3.6,3.4,3.5,28110.2,8057,10
CTBL.N0000,2016-01-18,3.4,3.4,3.4,3.4,5542.0,1630,4
CTBL.N0000,2016-01-19,3.6,3.6,3.6,3.4,3.6,1,1
CTBL.N0000,2016-01-20,3.7,3.7,3.6,3.6,1450.0,400,2
CTBL.N0000,2016-01-24,3.5,3.5,3.5,3.5,31500.0,9000,1
CTBL.N0000,2016-01-27,3.4,3.4,3.4,3.4,11900.0,3500,3
CTBL.N0000,2016-01-31,3.6,3.6,3.6,3.4,180.0,50,2
CTBL.N0000,2016-02-02,3.6,3.6,3.6,3.4,342.0,95,1
CTBL.N0000,2016-02-04,3.5,3.5,3.4,3.4,23213.6,6798,12
CTBL.N0000,2016-02-07,3.4,3.5,3.4,3.4,103151.6,30199,9
CTBL.N0000,2016-02-08,3.3,3.3,3.2,3.3,33028.6,10009,8
CTBL.N0000,2016-02-09,3.3,3.4,3.3,3.3,17129.0,5185,2
CTBL.N0000,2016-02-10,3.4,3.4,3.2,3.2,30960.2,9675,13
CTBL.N0000,2016-02-11,3.1,3.1,3.1,3.1,54076.4,17444,11
CTBL.N0000,2016-02-14,3.1,3.1,3.1,3.1,620.0,200,1
CTBL.N0000,2016-02-15,3.1,3.3,3.1,3.3,10291.9,3265,8
CTBL.N0000,2016-02-16,3.1,3.3,3.1,3.1,6203.3,2001,2
CTBL.N0000,2016-02-17,3.3,3.3,3.3,3.1,3.3,1,1
CTBL.N0000,2016-02-18,3.2,3.2,3.0,3.0,98506.4,32802,13
CTBL.N0000,2016-02-22,3.2,3.2,3.0,3.0,306.4,102,3
CTBL.N0000,2016-02-23,3.0,3.0,3.0,3.0,17412.0,5804,3
CTBL.N0000,2016-02-24,3.0,3.0,3.0,3.0,16500.0,5500,9
CTBL.N0000,2016-02-25,3.1,3.1,2.9,2.9,231442.8,79314,16
CTBL.N0000,2016-02-28,3.0,3.0,3.0,3.0,4500.0,1500,5
CTBL.N0000,2016-03-01,2.9,2.9,2.9,2.9,1223.8,422,1
CTBL.N0000,2016-03-02,2.9,3.1,2.5,2.6,144390.7,55827,13
CTBL.N0000,2016-03-03,2.5,2.6,2.4,2.5,35752.5,14444,12
CTBL.N0000,2016-03-07,2.5,2.5,2.4,2.4,27460.0,11425,5
CTBL.N0000,2016-03-08,2.3,2.3,2.3,2.3,20815.0,9050,5
CTBL.N0000,2016-03-09,2.2,2.4,2.2,2.4,73493.8,32130,10
CTBL.N0000,2016-03-10,2.5,2.6,2.5,2.5,53525.0,21010,6
CTBL.N0000,2016-03-13,2.6,2.6,2.6,2.6,2600.0,1000,1
CTBL.N0000,2016-03-15,2.6,2.8,2.6,2.6,8460.0,3200,3
CTBL.N0000,2016-03-16,2.8,2.8,2.8,2.8,280.0,100,1
CTBL.N0000,2016-03-17,2.6,2.6,2.6,2.6,780.0,300,3
CTBL.N0000,2016-03-20,2.6,2.8,2.6,2.7,15533.6,5762,6
CTBL.N0000,2016-03-22,2.8,2.8,2.7,2.7,25270.0,9100,6
CTBL.N0000,2016-03-23,2.9,2.9,2.8,2.8,14145.0,5050,2
CTBL.N0000,2016-03-27,2.8,2.9,2.8,2.8,17300.4,6143,5
CTBL.N0000,2016-03-28,2.8,2.8,2.8,2.8,3217.2,1149,3
CTBL.N0000,2016-03-29,2.9,2.9,2.8,2.8,5757.4,2056,3
CTBL.N0000,2016-03-30,2.8,2.8,2.8,2.8,28921.2,10329,4
CTBL.N0000,2016-03-31,2.9,3.1,2.9,3.0,101017.6,34644,16
CTBL.N0000,2016-04-04,3.2,3.2,3.2,3.2,33600.0,10500,3
CTBL.N0000,2016-04-05,3.2,3.2,3.1,3.1,9716.2,3102,3
CTBL.N0000,2016-04-07,3.2,3.2,3.2,3.2,12800.0,4000,3
CTBL.N0000,2016-04-10,3.3,3.3,3.2,3.2,6598.0,2060,2
CTBL.N0000,2016-04-11,3.3,4.0,3.3,3.8,267495.2,76806,38
CTBL.N0000,2016-04-14,3.9,4.0,3.9,3.9,6727.6,1725,5
CTBL.N0000,2016-04-17,3.9,4.1,3.7,4.0,662766.6,166635,37
CTBL.N0000,2016-04-18,4.0,4.1,4.0,4.0,8004.1,2001,4
CTBL.N0000,2016-04-19,4.1,4.2,4.1,4.2,252749.6,60495,25
CTBL.N0000,2016-04-21,4.3,4.3,4.2,4.3,29900.0,7000,2
CTBL.N0000,2016-04-24,4.2,4.4,4.2,4.3,150650.9,35293,19
CTBL.N0000,2016-04-25,4.3,4.3,4.3,4.3,47433.3,11031,8
CTBL.N0000,2016-04-26,4.3,4.3,4.2,4.3,23688.0,5540,6
CTBL.N0000,2016-04-27,4.3,4.3,4.3,4.3,31897.4,7418,7
CTBL.N0000,2016-05-03,4.3,4.3,4.3,4.3,2150.0,500,1
CTBL.N0000,2016-05-05,4.1,4.1,3.9,4.1,104331.1,26649,10
CTBL.N0000,2016-05-08,4.0,4.2,4.0,4.1,24.2,6,2
CTBL.N0000,2016-05-09,4.0,4.0,4.0,4.0,1916.0,479,2
CTBL.N0000,2016-05-10,4.0,4.0,4.0,4.0,48104.0,12026,5
CTBL.N0000,2016-05-11,4.1,4.2,4.0,4.2,67280.0,16760,7
CTBL.N0000,2016-05-12,4.2,4.2,4.2,4.2,1050.0,250,1
CTBL.N0000,2016-05-15,4.2,4.2,4.2,4.2,121.8,29,1
CTBL.N0000,2016-05-16,4.1,4.1,4.1,4.1,26609.0,6490,5
CTBL.N0000,2016-05-17,4.1,4.1,4.1,4.1,21734.1,5301,5
CTBL.N0000,2016-05-18,4.0,4.1,4.0,4.0,38085.0,9521,6
CTBL.N0000,2016-05-23,4.1,4.1,4.1,4.1,134484.1,32801,9
CTBL.N0000,2016-05-24,4.1,4.1,4.1,4.1,231580.3,56483,10
CTBL.N0000,2016-05-25,4.1,4.1,4.1,4.1,49441.9,12059,6
CTBL.N0000,2016-05-26,4.1,4.1,4.0,4.0,132750.0,32500,6
CTBL.N0000,2016-05-29,4.1,4.1,3.9,4.1,144166.9,35171,5
CTBL.N0000,2016-05-30,4.0,4.0,4.0,4.0,37600.0,9400,1
CTBL.N0000,2016-05-31,4.1,4.1,4.0,4.0,6558.0,1602,3
CTBL.N0000,2016-06-01,4.0,4.0,4.0,4.0,61992.0,15498,2
CTBL.N0000,2016-06-05,4.2,4.2,4.2,4.2,4804.8,1144,2
CTBL.N0000,2016-06-06,4.1,4.1,4.1,4.1,6765.0,1650,2
CTBL.N0000,2016-06-07,4.1,4.1,4.1,4.1,4920.0,1200,2
CTBL.N0000,2016-06-08,4.1,4.1,4.1,4.1,47170.5,11505,3
CTBL.N0000,2016-06-12,4.2,4.2,4.2,4.2,1008.0,240,1
CTBL.N0000,2016-06-13,4.1,4.2,4.1,4.1,79296.5,19340,9
CTBL.N0000,2016-06-14,4.0,4.0,3.8,4.0,68575.4,17386,7
CTBL.N0000,2016-06-15,3.8,3.8,3.8,3.8,7600.0,2000,1
CTBL.N0000,2016-06-16,3.9,3.9,3.9,3.8,3.9,1,1
CTBL.N0000,2016-06-19,3.8,4.0,3.8,4.0,57800.0,14600,6
CTBL.N0000,2016-06-20,4.1,4.1,4.0,4.0,44.1,11,2
CTBL.N0000,2016-06-23,4.0,4.0,3.9,4.0,4241.8,1062,3
CTBL.N0000,2016-06-26,3.9,3.9,3.9,4.0,11.7,3,1
CTBL.N0000,2016-06-27,4.0,4.0,4.0,4.0,4.0,1,1
CTBL.N0000,2016-06-29,3.9,3.9,3.9,3.9,390.0,100,1
CTBL.N0000,2016-06-30,3.9,3.9,3.9,3.9,35880.0,9200,5
CTBL.N0000,2016-07-03,3.9,3.9,3.9,3.9,351000.0,90000,2
CTBL.N0000,2016-07-06,3.8,3.9,3.8,3.9,79.9,21,2
CTBL.N0000,2016-07-10,3.9,3.9,3.9,3.9,306150.0,78500,8
CTBL.N0000,2016-07-11,4.0,4.0,4.0,3.9,208.0,52,2
CTBL.N0000,2016-07-13,4.0,4.0,4.0,4.0,4000.0,1000,1
CTBL.N0000,2016-07-14,3.9,3.9,3.9,3.9,204063.6,52324,6
CTBL.N0000,2016-07-19,4.0,4.0,3.9,4.0,49750.0,12500,7
CTBL.N0000,2016-07-20,4.0,4.0,4.0,4.0,6428.0,1607,3
CTBL.N0000,2016-07-21,4.0,4.1,4.0,4.0,136.9,34,3
CTBL.N0000,2016-07-26,4.1,4.2,4.1,4.2,41820.0,10000,6
CTBL.N0000,2016-07-27,4.1,4.2,4.1,4.1,3629.0,885,2
CTBL.N0000,2016-07-28,4.1,4.1,4.1,4.1,3300.5,805,1
CTBL.N0000,2016-07-31,4.1,4.1,3.6,3.9,89162.1,22526,9
CTBL.N0000,2016-08-01,3.9,3.9,3.9,3.9,22620.0,5800,5
CTBL.N0000,2016-08-02,3.9,3.9,3.9,3.9,1326.0,340,1
CTBL.N0000,2016-08-03,4.0,4.0,4.0,3.9,396.0,99,1
CTBL.N0000,2016-08-04,4.0,4.0,4.0,3.9,4.0,1,1
CTBL.N0000,2016-08-07,3.9,4.0,3.9,4.0,27800.0,7000,3
CTBL.N0000,2016-08-08,4.0,4.0,3.9,3.9,8191.5,2100,7
CTBL.N0000,2016-08-09,3.9,3.9,3.9,3.9,3900.0,1000,1
CTBL.N0000,2016-08-10,3.9,3.9,3.9,3.9,7800.0,2000,1
CTBL.N0000,2016-08-11,4.0,4.0,3.9,3.9,20272.0,5193,6
CTBL.N0000,2016-08-14,4.0,4.0,4.0,4.0,400.0,100,1
CTBL.N0000,2016-08-15,3.9,4.0,3.9,3.9,46771.3,11967,11
CTBL.N0000,2016-08-17,4.0,4.0,4.0,4.0,16048.0,4012,6
CTBL.N0000,2016-08-18,4.0,4.1,4.0,4.0,4028.2,1007,5
CTBL.N0000,2016-08-21,3.9,4.1,3.9,4.0,647.7,163,4
CTBL.N0000,2016-08-23,4.1,4.1,4.1,4.0,53.3,13,3
CTBL.N0000,2016-09-04,3.9,3.9,3.9,3.9,77629.5,19905,5
CTBL.N0000,2016-09-05,3.9,4.1,3.9,4.1,12401.1,3171,4
CTBL.N0000,2016-09-06,3.9,3.9,3.9,3.9,3825.9,981,1
CTBL.N0000,2016-09-08,3.9,3.9,3.8,3.9,58100.0,14900,5
CTBL.N0000,2016-09-13,4.0,4.0,4.0,4.0,400.0,100,2
CTBL.N0000,2016-09-14,3.8,3.8,3.8,3.8,760.0,200,1
CTBL.N0000,2016-09-19,3.9,3.9,3.9,3.9,4680.0,1200,2
CTBL.N0000,2016-09-21,3.9,3.9,3.9,3.9,1560.0,400,2
CTBL.N0000,2016-09-26,3.9,3.9,3.8,3.9,33089.0,8510,4
CTBL.N0000,2016-09-28,3.8,3.9,3.8,3.9,9611.0,2490,3
CTBL.N0000,2016-09-29,3.8,3.8,3.8,3.8,26600.0,7000,4
CTBL.N0000,2016-10-02,3.8,3.9,3.8,3.9,26800.0,7000,3
CTBL.N0000,2016-10-03,3.8,4.0,3.8,3.8,3576.0,941,2
CTBL.N0000,2016-10-04,4.0,4.0,3.9,3.9,140026.0,35904,7
CTBL.N0000,2016-10-05,3.9,3.9,3.9,3.9,11700.0,3000,1
CTBL.N0000,2016-10-10,3.9,3.9,3.9,3.9,23400.0,6000,3
CTBL.N0000,2016-10-12,3.9,3.9,3.9,3.9,12480.0,3200,3
CTBL.N0000,2016-10-13,3.9,3.9,3.9,3.9,14820.0,3800,2
CTBL.N0000,2016-10-16,3.8,3.8,3.8,3.8,18240.0,4800,2
CTBL.N0000,2016-10-18,3.9,3.9,3.8,3.9,37840.0,9800,3
CTBL.N0000,2016-10-19,3.8,4.0,3.8,3.8,19420.0,5110,3
CTBL.N0000,2016-10-23,3.9,3.9,3.9,3.9,44850.0,11500,1
CTBL.N0000,2016-10-26,4.0,4.0,4.0,4.0,1184.0,296,2
CTBL.N0000,2016-10-27,4.0,4.0,4.0,4.0,20204.0,5051,3
CTBL.N0000,2016-10-30,4.0,4.1,4.0,4.1,8050.0,2000,2
CTBL.N0000,2016-10-31,4.0,4.2,4.0,4.0,1394.0,346,2
CTBL.N0000,2016-11-07,4.1,4.1,4.1,4.0,4.1,1,1
CTBL.N0000,2016-11-15,3.6,3.6,3.6,3.6,360.0,100,1
CTBL.N0000,2016-11-21,3.8,3.8,3.8,3.8,38000.0,10000,3
CTBL.N0000,2016-11-27,3.8,3.8,3.8,3.8,13300.0,3500,3
CTBL.N0000,2016-11-28,3.8,3.8,3.8,3.8,26235.2,6904,3
CTBL.N0000,2016-11-29,3.7,3.9,3.7,3.7,429.3,115,2
CTBL.N0000,2016-12-07,4.1,4.1,4.1,3.7,12.3,3,1
CTBL.N0000,2016-12-14,4.1,4.1,4.1,3.7,82.0,20,1
CTBL.N0000,2016-12-18,3.9,3.9,3.9,3.9,7800.0,2000,1
CTBL.N0000,2016-12-19,4.0,4.0,4.0,4.0,67068.0,16767,2
CTBL.N0000,2016-12-21,4.0,4.0,4.0,4.0,4000.0,1000,1
CTBL.N0000,2016-12-28,3.9,3.9,3.9,3.9,1560.0,400,1
CTBL.N0000,2017-01-01,3.8,3.8,3.8,3.8,5707.6,1502,1
CTBL.N0000,2017-01-08,3.8,3.8,3.7,3.7,400.4,108,2
