ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
CTLD.N0000,2016-01-03,50.0,50.0,50.0,50.0,10550.0,211,1
CTLD.N0000,2016-01-04,51.0,51.0,51.0,50.0,2550.0,50,2
CTLD.N0000,2016-01-05,53.5,53.5,52.4,53.3,147055.0,2760,11
CTLD.N0000,2016-01-06,50.4,53.2,50.4,53.0,43894.0,830,5
CTLD.N0000,2016-01-07,50.6,50.6,50.2,50.3,75945.6,1510,8
CTLD.N0000,2016-01-10,50.1,50.1,50.0,50.0,155520.0,3110,7
CTLD.N0000,2016-01-11,50.0,50.0,48.0,48.0,100900.0,2022,5
CTLD.N0000,2016-01-13,46.1,46.1,46.0,46.0,24383.5,530,9
CTLD.N0000,2016-01-17,45.5,45.5,42.1,45.5,294744.7,6481,5
CTLD.N0000,2016-01-18,45.0,45.0,43.0,43.0,635702.0,14524,8
CTLD.N0000,2016-01-19,43.1,43.1,42.1,42.4,44408.5,1047,8
CTLD.N0000,2016-01-25,42.4,43.1,42.4,43.1,249294.0,5840,12
CTLD.N0000,2016-01-27,46.0,46.0,46.0,46.0,46000.0,1000,1
CTLD.N0000,2016-01-28,47.9,48.0,47.9,48.0,105580.0,2200,3
CTLD.N0000,2016-01-31,48.0,48.0,47.5,47.5,157750.0,3300,2
CTLD.N0000,2016-02-01,48.0,49.0,48.0,48.2,442877.8,9202,9
CTLD.N0000,2016-02-04,48.1,49.0,48.1,48.3,1179240.0,24400,9
CTLD.N0000,2016-02-07,45.1,46.0,45.1,46.0,96937.0,2122,4
CTLD.N0000,2016-02-08,46.0,46.0,45.0,45.2,25323.1,560,7
CTLD.N0000,2016-02-10,45.5,45.5,45.5,45.5,22750.0,500,2
CTLD.N0000,2016-02-11,45.5,46.0,45.5,45.6,232060.0,5100,3
CTLD.N0000,2016-02-14,45.1,45.1,45.1,45.6,451.0,10,1
CTLD.N0000,2016-02-15,45.0,46.0,45.0,45.0,22592.0,502,2
CTLD.N0000,2016-02-16,45.0,45.0,45.0,45.0,22500.0,500,1
CTLD.N0000,2016-02-17,43.5,43.5,43.5,43.5,4350.0,100,2
CTLD.N0000,2016-02-18,43.5,46.3,43.5,46.3,17680.0,400,5
CTLD.N0000,2016-02-24,46.0,46.0,46.0,46.3,644.0,14,1
