ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
CWM.N0000,2016-01-04,56.0,56.0,55.0,55.0,142575.0,2554,9
CWM.N0000,2016-01-05,55.0,55.0,54.6,55.0,65420.0,1190,10
CWM.N0000,2016-01-06,54.6,55.0,54.6,55.0,8517.0,155,7
CWM.N0000,2016-01-07,54.8,54.8,54.6,54.7,425246.9,7784,14
CWM.N0000,2016-01-10,54.7,54.7,54.0,54.0,406851.6,7528,13
CWM.N0000,2016-01-11,53.7,54.0,53.7,53.7,319843.5,5955,8
CWM.N0000,2016-01-12,53.6,53.6,51.9,52.0,77922.2,1457,15
CWM.N0000,2016-01-13,55.0,55.0,55.0,55.0,5500.0,100,2
CWM.N0000,2016-01-17,52.2,52.2,52.0,52.0,26001.0,500,5
CWM.N0000,2016-01-18,53.0,53.0,53.0,52.0,530.0,10,1
CWM.N0000,2016-01-20,53.8,54.0,53.8,53.9,26958.0,500,3
CWM.N0000,2016-01-21,53.5,53.5,53.5,53.9,535.0,10,1
CWM.N0000,2016-01-24,53.5,53.5,51.8,51.8,18228.2,350,11
CWM.N0000,2016-01-25,52.0,52.0,52.0,51.8,2600.0,50,1
CWM.N0000,2016-01-26,50.9,50.9,49.1,50.4,10081.4,200,7
CWM.N0000,2016-01-27,50.0,50.0,49.2,49.3,51801.8,1050,6
CWM.N0000,2016-01-28,51.8,54.0,51.7,53.6,333537.3,6381,32
CWM.N0000,2016-02-04,51.5,51.5,51.0,51.3,94523.9,1841,14
CWM.N0000,2016-02-08,51.0,51.0,51.0,51.0,66300.0,1300,3
CWM.N0000,2016-02-09,50.9,50.9,50.0,50.0,671152.6,13419,29
CWM.N0000,2016-02-11,50.0,50.0,49.6,50.0,20099.2,402,9
CWM.N0000,2016-02-14,49.8,49.8,49.0,49.0,326366.6,6658,11
CWM.N0000,2016-02-15,48.5,50.0,48.5,50.0,5145.5,103,2
CWM.N0000,2016-02-22,50.9,51.0,50.9,51.0,6374.6,125,3
