ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
DIST.N0000,2016-01-03,245.7,245.9,245.6,245.9,749407.9,3050,8
DIST.N0000,2016-01-04,245.8,245.9,245.8,245.8,27039.0,110,3
DIST.N0000,2016-01-05,245.9,245.9,245.0,245.0,8527886.0,34798,26
DIST.N0000,2016-01-06,240.1,245.0,240.0,240.1,665084.0,2770,11
DIST.N0000,2016-01-07,236.1,237.0,229.5,230.1,58800058.8,250924,50
DIST.N0000,2016-01-10,229.5,230.0,228.0,228.1,15625133.5,68149,30
DIST.N0000,2016-01-11,229.5,236.5,229.0,229.0,20535921.6,89498,31
DIST.N0000,2016-01-12,231.0,236.5,226.5,229.7,278809.0,1208,9
DIST.N0000,2016-01-13,227.1,227.1,221.0,221.0,2934338.2,12963,27
DIST.N0000,2016-01-17,217.0,225.0,205.1,215.0,886238.1,4122,12
DIST.N0000,2016-01-18,211.0,216.0,211.0,215.1,116653199.1,542787,28
DIST.N0000,2016-01-19,214.0,215.0,212.0,215.0,3526568.0,16474,11
DIST.N0000,2016-01-20,212.0,227.0,212.0,225.1,2131634.4,9910,16
DIST.N0000,2016-01-21,220.0,225.0,220.0,220.5,247750.0,1124,10
DIST.N0000,2016-01-24,220.0,220.0,219.0,219.0,23000.0,105,2
DIST.N0000,2016-01-25,216.1,216.1,213.5,214.4,8621787.4,39923,9
DIST.N0000,2016-01-26,219.9,220.0,210.1,211.9,1356657.5,6402,18
DIST.N0000,2016-01-28,220.0,225.0,216.0,217.9,2237549.0,10231,31
DIST.N0000,2016-01-31,224.0,224.0,220.0,217.9,6008.0,27,4
DIST.N0000,2016-02-01,217.9,227.0,217.9,225.0,1060569.0,4735,10
DIST.N0000,2016-02-02,226.0,226.0,220.0,221.0,132698.0,599,8
DIST.N0000,2016-02-04,219.0,224.0,219.0,221.0,5699.0,26,4
DIST.N0000,2016-02-07,219.0,220.0,219.0,220.0,203491.0,925,9
DIST.N0000,2016-02-08,220.0,220.0,215.0,215.0,107527770.0,500124,15
DIST.N0000,2016-02-09,216.0,216.0,216.0,216.0,648000.0,3000,11
DIST.N0000,2016-02-10,216.0,216.0,215.6,215.6,342840.0,1590,5
DIST.N0000,2016-02-11,219.4,219.4,215.7,215.8,793206.0,3677,14
DIST.N0000,2016-02-14,217.0,217.0,215.6,215.6,731000.2,3390,16
DIST.N0000,2016-02-15,215.6,219.0,215.5,215.5,43320.0,201,4
DIST.N0000,2016-02-16,216.0,216.0,210.1,210.5,9934208.6,46226,12
DIST.N0000,2016-02-17,219.0,219.0,210.2,210.2,639127.5,3040,4
DIST.N0000,2016-02-18,218.0,218.0,212.5,212.5,2126526.0,10007,3
DIST.N0000,2016-02-22,213.1,213.1,213.1,212.5,213.1,1,1
DIST.N0000,2016-02-23,218.0,218.0,215.0,212.5,4736.0,22,7
DIST.N0000,2016-02-24,215.0,218.0,215.0,215.0,175533.0,816,9
DIST.N0000,2016-02-25,215.0,215.0,215.0,215.0,537500.0,2500,2
DIST.N0000,2016-02-28,215.1,215.2,215.0,215.0,43436.2,202,4
DIST.N0000,2016-02-29,217.5,220.0,216.1,220.0,11350521.4,51622,29
DIST.N0000,2016-03-01,215.1,215.1,215.0,215.0,316920.1,1474,6
DIST.N0000,2016-03-02,220.0,220.0,214.0,215.0,434.0,2,2
DIST.N0000,2016-03-03,215.0,215.0,215.0,215.0,1075000.0,5000,3
DIST.N0000,2016-03-07,214.1,214.1,214.0,214.0,30392.2,142,4
DIST.N0000,2016-03-08,213.0,213.0,209.0,209.0,2732244.2,13053,9
DIST.N0000,2016-03-09,209.9,210.0,209.9,209.0,3779.7,18,3
DIST.N0000,2016-03-10,213.0,213.0,210.0,210.0,417063.0,1986,9
DIST.N0000,2016-03-13,210.0,210.0,208.5,210.0,841670.0,4008,7
DIST.N0000,2016-03-14,210.0,210.0,210.0,210.0,250740.0,1194,3
DIST.N0000,2016-03-15,208.6,210.0,207.1,208.0,131078092.4,596095,19
DIST.N0000,2016-03-16,205.1,210.9,205.1,206.1,8389355.0,40690,24
DIST.N0000,2016-03-17,206.1,206.1,206.1,206.1,4232469.6,20536,2
DIST.N0000,2016-03-20,210.9,211.9,210.6,211.4,21440351.2,101137,7
DIST.N0000,2016-03-22,211.5,211.9,208.0,208.0,63555.0,305,6
DIST.N0000,2016-03-23,211.4,211.4,210.9,210.9,23411.4,111,3
DIST.N0000,2016-03-27,210.0,210.0,210.0,210.9,630.0,3,1
DIST.N0000,2016-03-28,210.0,210.0,205.1,206.7,291034.0,1408,14
DIST.N0000,2016-03-29,205.1,206.7,205.0,206.2,755814.0,3680,14
DIST.N0000,2016-03-31,206.0,210.1,206.0,210.0,3930246.6,18717,21
DIST.N0000,2016-04-03,210.0,210.0,210.0,210.0,2100.0,10,2
DIST.N0000,2016-04-04,212.0,212.1,210.0,212.0,27182145.0,128230,37
DIST.N0000,2016-04-05,210.0,211.0,210.0,210.1,43492.0,207,3
DIST.N0000,2016-04-06,211.0,212.0,211.0,212.0,27268382.0,128646,46
DIST.N0000,2016-04-07,212.0,217.0,212.0,216.2,72549851.0,341962,27
DIST.N0000,2016-04-10,218.0,218.0,217.9,216.2,2397.0,11,3
DIST.N0000,2016-04-11,217.9,217.9,215.0,215.0,281050.0,1293,13
DIST.N0000,2016-04-14,217.0,217.0,215.0,215.0,714600.0,3300,9
DIST.N0000,2016-04-17,216.9,216.9,215.0,215.1,855621.1,3979,19
DIST.N0000,2016-04-18,215.0,215.0,214.0,215.0,1085816.8,5052,25
DIST.N0000,2016-04-19,215.0,216.0,215.0,216.0,2204866.0,10250,20
DIST.N0000,2016-04-21,215.0,215.0,214.5,214.8,3852607.5,17922,20
DIST.N0000,2016-04-24,215.0,215.0,215.0,215.0,2472500.0,11500,8
DIST.N0000,2016-04-25,214.9,215.1,214.5,214.7,195755.7,911,13
DIST.N0000,2016-04-26,215.2,215.2,215.0,215.0,1888441.0,8782,22
DIST.N0000,2016-04-27,215.0,215.0,214.7,214.7,146005.0,680,5
DIST.N0000,2016-04-28,215.0,225.0,214.9,216.1,306037468.0,1429688,63
DIST.N0000,2016-05-02,220.0,225.0,216.5,220.0,1048855.7,4765,22
DIST.N0000,2016-05-03,225.0,225.0,218.5,218.9,18781446.1,85233,51
DIST.N0000,2016-05-04,224.5,224.5,217.0,217.0,115285288.9,531261,19
DIST.N0000,2016-05-05,220.0,220.0,215.0,215.1,215005685.0,1000001,18
DIST.N0000,2016-05-08,220.0,220.0,215.1,215.3,999385.0,4641,13
DIST.N0000,2016-05-09,219.0,219.0,218.5,215.3,17505.0,80,2
