ticker,trade_date,open,high,low,close,turnover,share_volume,trade_volume
DOCK.N0000,2016-01-03,153.0,153.0,149.0,150.6,18825.5,125,3
DOCK.N0000,2016-01-04,149.0,149.0,149.0,149.0,30545.0,205,3
DOCK.N0000,2016-01-05,148.0,148.0,148.0,149.0,8140.0,55,1
DOCK.N0000,2016-01-07,148.0,148.0,148.0,148.0,15540.0,105,1
DOCK.N0000,2016-01-10,147.0,147.0,146.0,146.0,218957.0,1491,12
DOCK.N0000,2016-01-11,150.0,150.0,150.0,146.0,7800.0,52,1
DOCK.N0000,2016-01-12,149.0,149.0,146.0,146.0,48943.0,335,5
DOCK.N0000,2016-01-13,146.1,146.1,142.9,142.9,829957.0,5745,19
DOCK.N0000,2016-01-17,140.2,140.2,138.1,138.1,136240.0,975,12
DOCK.N0000,2016-01-18,138.0,138.0,133.0,135.0,1176630.0,8718,13
DOCK.N0000,2016-01-19,135.5,136.0,135.5,136.0,19175.5,141,7
DOCK.N0000,2016-01-20,141.0,141.0,140.5,141.0,55972.0,397,2
DOCK.N0000,2016-01-21,141.0,141.0,140.0,140.9,54900.3,390,7
DOCK.N0000,2016-01-24,141.0,141.0,140.8,140.9,628268.1,4459,10
DOCK.N0000,2016-01-25,140.0,140.0,140.0,140.0,56000.0,400,2
DOCK.N0000,2016-01-26,137.5,139.0,137.5,138.7,36065.0,260,2
DOCK.N0000,2016-01-27,139.0,140.4,139.0,139.0,305858.0,2194,12
DOCK.N0000,2016-01-28,139.0,139.9,138.0,138.5,127691.9,919,10
DOCK.N0000,2016-01-31,139.9,139.9,139.9,139.9,22384.0,160,2
DOCK.N0000,2016-02-01,138.5,140.0,138.5,139.9,353658.6,2544,11
DOCK.N0000,2016-02-02,139.0,140.0,138.0,138.4,169900.0,1220,8
DOCK.N0000,2016-02-04,137.0,137.0,136.5,136.8,236860.0,1730,12
DOCK.N0000,2016-02-07,136.2,136.2,136.1,136.1,40844.9,300,3
DOCK.N0000,2016-02-09,139.0,139.0,139.0,139.0,14595.0,105,2
DOCK.N0000,2016-02-10,139.9,139.9,139.9,139.0,1538.9,11,2
DOCK.N0000,2016-02-11,136.4,137.0,136.2,139.0,9686.2,71,6
DOCK.N0000,2016-02-14,138.9,138.9,135.0,135.0,1428301.4,10579,12
DOCK.N0000,2016-02-15,133.6,135.0,133.6,133.6,136570.0,1022,4
DOCK.N0000,2016-02-16,137.0,137.0,137.0,133.6,1370.0,10,1
DOCK.N0000,2016-02-17,136.0,136.0,136.0,133.6,1360.0,10,1
DOCK.N0000,2016-02-18,133.6,136.0,133.5,135.9,27860.6,206,8
DOCK.N0000,2016-02-23,136.0,136.0,135.9,135.9,42130.0,310,5
DOCK.N0000,2016-02-24,135.9,135.9,134.0,135.1,120636.7,893,14
DOCK.N0000,2016-02-25,135.0,135.0,135.0,135.1,1350.0,10,1
DOCK.N0000,2016-02-28,134.0,134.0,134.0,134.0,80534.0,601,4
DOCK.N0000,2016-02-29,135.0,135.0,133.0,133.2,38749.6,291,6
DOCK.N0000,2016-03-01,133.3,133.3,132.9,133.0,466933.0,3510,7
DOCK.N0000,2016-03-02,132.1,132.1,132.1,132.1,68031.5,515,6
